case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,runtime_sec,items,notes
ex280,ex280_unknown_algebraic_12x12_anf_shared_identity,unknown_algebraic_12x12,anf_shared_identity,student/work/ex280_ex284_frontend_raw_anf_davio_20260608_2000/ex280/verilog/ex280_unknown_algebraic_12x12_anf_shared_identity.v,student/work/ex280_ex284_frontend_raw_anf_davio_20260608_2000/ex280/aigs/ex280_unknown_algebraic_12x12_anf_shared_identity.aig,1,1,1,6160,22,135520,3.459,transform=identity; total_terms=2142; unique_terms=712; max_degree=4; max_bit_terms=375,unknown function algebraic Verilog seed
ex280,ex280_unknown_algebraic_12x12_anf_davio_identity,unknown_algebraic_12x12,anf_davio_identity,student/work/ex280_ex284_frontend_raw_anf_davio_20260608_2000/ex280/verilog/ex280_unknown_algebraic_12x12_anf_davio_identity.v,student/work/ex280_ex284_frontend_raw_anf_davio_20260608_2000/ex280/aigs/ex280_unknown_algebraic_12x12_anf_davio_identity.aig,1,1,1,2719,23,62537,1.559,transform=identity; total_terms=2142; unique_terms=712; max_degree=4; max_bit_terms=375; davio_order=dynamic; davio_nodes=1505,unknown function algebraic Verilog seed
ex280,ex280_unknown_algebraic_12x12_anf_davio_best_order,unknown_algebraic_12x12,anf_davio_best_order,student/work/ex280_ex284_frontend_raw_anf_davio_20260608_2000/ex280/verilog/ex280_unknown_algebraic_12x12_anf_davio_best_order.v,student/work/ex280_ex284_frontend_raw_anf_davio_20260608_2000/ex280/aigs/ex280_unknown_algebraic_12x12_anf_davio_best_order.aig,1,1,1,1143,25,28575,1.267,transform=identity; total_terms=2142; unique_terms=712; max_degree=4; max_bit_terms=375; davio_order=interleave; davio_nodes=703,unknown function algebraic Verilog seed
ex281,ex281_unknown_algebraic_13x13_anf_shared_identity,unknown_algebraic_13x13,anf_shared_identity,student/work/ex280_ex284_frontend_raw_anf_davio_20260608_2000/ex281/verilog/ex281_unknown_algebraic_13x13_anf_shared_identity.v,student/work/ex280_ex284_frontend_raw_anf_davio_20260608_2000/ex281/aigs/ex281_unknown_algebraic_13x13_anf_shared_identity.aig,1,1,1,9325,23,214475,6.477,transform=identity; total_terms=3339; unique_terms=994; max_degree=4; max_bit_terms=523,unknown function algebraic Verilog seed
ex281,ex281_unknown_algebraic_13x13_anf_davio_identity,unknown_algebraic_13x13,anf_davio_identity,student/work/ex280_ex284_frontend_raw_anf_davio_20260608_2000/ex281/verilog/ex281_unknown_algebraic_13x13_anf_davio_identity.v,student/work/ex280_ex284_frontend_raw_anf_davio_20260608_2000/ex281/aigs/ex281_unknown_algebraic_13x13_anf_davio_identity.aig,1,1,1,4026,26,104676,3.371,transform=identity; total_terms=3339; unique_terms=994; max_degree=4; max_bit_terms=523; davio_order=dynamic; davio_nodes=2157,unknown function algebraic Verilog seed
ex281,ex281_unknown_algebraic_13x13_anf_davio_best_order,unknown_algebraic_13x13,anf_davio_best_order,student/work/ex280_ex284_frontend_raw_anf_davio_20260608_2000/ex281/verilog/ex281_unknown_algebraic_13x13_anf_davio_best_order.v,student/work/ex280_ex284_frontend_raw_anf_davio_20260608_2000/ex281/aigs/ex281_unknown_algebraic_13x13_anf_davio_best_order.aig,1,1,1,1478,27,39906,2.757,transform=identity; total_terms=3339; unique_terms=994; max_degree=4; max_bit_terms=523; davio_order=interleave; davio_nodes=853,unknown function algebraic Verilog seed
ex282,ex282_unknown_algebraic_14x14_anf_shared_identity,unknown_algebraic_14x14,anf_shared_identity,student/work/ex280_ex284_frontend_raw_anf_davio_20260608_2000/ex282/verilog/ex282_unknown_algebraic_14x14_anf_shared_identity.v,student/work/ex280_ex284_frontend_raw_anf_davio_20260608_2000/ex282/aigs/ex282_unknown_algebraic_14x14_anf_shared_identity.aig,1,1,1,11585,24,278040,10.880,transform=identity; total_terms=4266; unique_terms=1340; max_degree=4; max_bit_terms=705,unknown function algebraic Verilog seed
ex282,ex282_unknown_algebraic_14x14_anf_davio_identity,unknown_algebraic_14x14,anf_davio_identity,student/work/ex280_ex284_frontend_raw_anf_davio_20260608_2000/ex282/verilog/ex282_unknown_algebraic_14x14_anf_davio_identity.v,student/work/ex280_ex284_frontend_raw_anf_davio_20260608_2000/ex282/aigs/ex282_unknown_algebraic_14x14_anf_davio_identity.aig,1,1,1,4945,27,133515,6.692,transform=identity; total_terms=4266; unique_terms=1340; max_degree=4; max_bit_terms=705; davio_order=dynamic; davio_nodes=2612,unknown function algebraic Verilog seed
ex282,ex282_unknown_algebraic_14x14_anf_davio_best_order,unknown_algebraic_14x14,anf_davio_best_order,student/work/ex280_ex284_frontend_raw_anf_davio_20260608_2000/ex282/verilog/ex282_unknown_algebraic_14x14_anf_davio_best_order.v,student/work/ex280_ex284_frontend_raw_anf_davio_20260608_2000/ex282/aigs/ex282_unknown_algebraic_14x14_anf_davio_best_order.aig,1,1,1,1634,31,50654,7.079,transform=identity; total_terms=4266; unique_terms=1340; max_degree=4; max_bit_terms=705; davio_order=interleave; davio_nodes=967,unknown function algebraic Verilog seed
ex283,ex283_unknown_algebraic_15x15_anf_shared_identity,unknown_algebraic_15x15,anf_shared_identity,student/work/ex280_ex284_frontend_raw_anf_davio_20260608_2000/ex283/verilog/ex283_unknown_algebraic_15x15_anf_shared_identity.v,student/work/ex280_ex284_frontend_raw_anf_davio_20260608_2000/ex283/aigs/ex283_unknown_algebraic_15x15_anf_shared_identity.aig,1,1,1,16111,24,386664,23.087,transform=identity; total_terms=6293; unique_terms=1785; max_degree=4; max_bit_terms=929,unknown function algebraic Verilog seed
