case,domain,agent_id,candidate_id,simulation_pass,log_path,notes
ex285,unknown,local-ex285-gia-r44,ex285_r44_resyn2rs_area_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex285,unknown,local-ex285-gia-r44,ex285_r44_compress2rs_area_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex285,unknown,local-ex285-gia-r44,ex285_r44_mfs_dc2_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex285,unknown,local-ex285-gia-r44,ex285_r44_mfs_rwz_mfs_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex285,unknown,local-ex285-gia-r44,ex285_r44_ssw_dc2_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex285,unknown,local-ex285-gia-r44,ex285_r44_fraig_mfs_dc2_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex285,unknown,local-ex285-gia-r44,ex285_r44_dchoice_dc2_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex285,unknown,local-ex285-gia-r44,ex285_r44_choice_if4_dc2_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex285,unknown,local-ex285-gia-r44,ex285_r44_compress_l_no_dc_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex285,unknown,local-ex285-gia-r44,ex285_r44_resub_deep_rf_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex285,unknown,local-ex285-gia-r44,ex285_r44_dc2_scorr_resyn_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex285,unknown,local-ex285-gia-r44,ex285_r44_dc2_lcorr_resyn_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex285,unknown,local-ex285-gia-r44,ex285_r44_rw_resub_loop5_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex285,unknown,local-ex285-gia-r44,ex285_r44_area_then_delay_recover_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex285,unknown,local-ex285-gia-r44,ex285_r44_gia_dc2_put_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex285,unknown,local-ex285-gia-r44,ex285_r44_gia_dch_put_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex285,unknown,local-ex285-gia-r44,ex285_r44_gia_dc2_rw_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
