case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,runtime_sec,items,notes,pool_source,source_csv
ex280,ex280_unknown_12x12_rotate_high_split_default,unknown_12x12,rotate_high_split_default,student/work/reverse_unknown_20260603_1812/ex280/verilog/ex280_unknown_12x12_rotate_high_split_default.v,student/work/best/unknown_current/ex280.aig,1,1,1,1392,15,20880,1.945,rotate=3; outer=high; outer_bits=6; inner_bits=6; full_default_groups=0; exceptions=3623,unknown function structural Verilog seed,unknown_verilog_20260603_1812,unknown_verilog_20260603_1812.csv
ex281,ex281_unknown_13x13_rotate_low_split_default,unknown_13x13,rotate_low_split_default,student/work/reverse_unknown_20260603_1812/ex281/verilog/ex281_unknown_13x13_rotate_low_split_default.v,student/work/best/unknown_current/ex281.aig,1,1,1,2425,17,41225,4.009,rotate=10; outer=low; outer_bits=6; inner_bits=7; full_default_groups=0; exceptions=7483,unknown function structural Verilog seed,unknown_verilog_20260603_1812,unknown_verilog_20260603_1812.csv
ex282,ex282_unknown_14x14_rotate_high_split_default,unknown_14x14,rotate_high_split_default,student/work/reverse_unknown_20260603_1812/ex282/verilog/ex282_unknown_14x14_rotate_high_split_default.v,student/work/best/unknown_current/ex282.aig,1,1,1,3299,18,59382,9.552,rotate=4; outer=high; outer_bits=7; inner_bits=7; full_default_groups=0; exceptions=15041,unknown function structural Verilog seed,unknown_verilog_20260603_1812,unknown_verilog_20260603_1812.csv
ex283,ex283_unknown_15x15_rotate_high_split_default,unknown_15x15,rotate_high_split_default,student/work/reverse_unknown_20260603_1812/ex283/verilog/ex283_unknown_15x15_rotate_high_split_default.v,student/work/best/unknown_current/ex283.aig,1,1,1,4982,20,99640,20.259,rotate=4; outer=high; outer_bits=8; inner_bits=7; full_default_groups=0; exceptions=30080,unknown function structural Verilog seed,unknown_verilog_20260603_1812,unknown_verilog_20260603_1812.csv
ex284,ex284_unknown_16x16_rotate_high_split_default,unknown_16x16,rotate_high_split_default,student/work/reverse_unknown_20260603_1812/ex284/verilog/ex284_unknown_16x16_rotate_high_split_default.v,student/work/best/unknown_current/ex284.aig,1,1,1,4831,20,96620,34.490,rotate=4; outer=high; outer_bits=8; inner_bits=8; full_default_groups=0; exceptions=61947,unknown function structural Verilog seed,unknown_verilog_20260603_1812,unknown_verilog_20260603_1812.csv
ex285,ex285_unknown_12x12_decision_tree_greedy,unknown_12x12,decision_tree_greedy,student/work/reverse_unknown_20260603_1812/ex285/verilog/ex285_unknown_12x12_decision_tree_greedy.v,student/work/best/unknown_current/ex285.aig,1,1,1,818,17,13906,6.683,nodes=4095; leaves=4096,unknown function structural Verilog seed,unknown_verilog_20260603_1812,unknown_verilog_20260603_1812.csv
ex286,ex286_unknown_13x13_rotate_low_split_default,unknown_13x13,rotate_low_split_default,student/work/reverse_unknown_20260603_1812/ex286/verilog/ex286_unknown_13x13_rotate_low_split_default.v,student/work/best/unknown_current/ex286.aig,1,1,1,1865,14,26110,3.517,rotate=2; outer=low; outer_bits=6; inner_bits=7; full_default_groups=0; exceptions=7840,unknown function structural Verilog seed,unknown_verilog_20260603_1812,unknown_verilog_20260603_1812.csv
ex287,ex287_unknown_14x14_decision_tree_greedy,unknown_14x14,decision_tree_greedy,student/work/reverse_unknown_20260603_1812/ex287/verilog/ex287_unknown_14x14_decision_tree_greedy.v,student/work/best/unknown_current/ex287.aig,1,1,1,1833,19,34827,33.725,nodes=16383; leaves=16384,unknown function structural Verilog seed,unknown_verilog_20260603_1812,unknown_verilog_20260603_1812.csv
ex288,ex288_unknown_15x15_rotate_high_split_default,unknown_15x15,rotate_high_split_default,student/work/reverse_unknown_20260603_1812/ex288/verilog/ex288_unknown_15x15_rotate_high_split_default.v,student/work/best/unknown_current/ex288.aig,1,1,1,4356,16,69696,12.769,rotate=12; outer=high; outer_bits=8; inner_bits=7; full_default_groups=0; exceptions=30712,unknown function structural Verilog seed,unknown_verilog_20260603_1812,unknown_verilog_20260603_1812.csv
ex289,ex289_unknown_16x16_decision_tree_greedy,unknown_16x16,decision_tree_greedy,student/work/reverse_unknown_20260603_1812/ex289/verilog/ex289_unknown_16x16_decision_tree_greedy.v,student/work/best/unknown_current/ex289.aig,1,1,1,2203,21,46263,161.023,nodes=65535; leaves=65536,unknown function structural Verilog seed,unknown_verilog_20260603_1812,unknown_verilog_20260603_1812.csv
