case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,runtime_sec,items,notes,pool_source,source_csv
ex280,ex280_unknown_12x12_rotate_high_split_default,unknown_12x12,rotate_high_split_default,student/work/reverse_unknown_20260603_1812/ex280/verilog/ex280_unknown_12x12_rotate_high_split_default.v,student/work/reverse_unknown_20260603_1812/ex280/aigs/ex280_unknown_12x12_rotate_high_split_default.aig,1,1,1,1392,15,20880,1.945,rotate=3; outer=high; outer_bits=6; inner_bits=6; full_default_groups=0; exceptions=3623,unknown function structural Verilog seed,unknown_verilog_20260603_1812,unknown_verilog_20260603_1812.csv
ex280,ex280_unknown_12x12_rotate_low_split_default,unknown_12x12,rotate_low_split_default,student/work/reverse_unknown_20260603_1812/ex280/verilog/ex280_unknown_12x12_rotate_low_split_default.v,student/work/reverse_unknown_20260603_1812/ex280/aigs/ex280_unknown_12x12_rotate_low_split_default.aig,1,1,1,1392,15,20880,2.238,rotate=9; outer=low; outer_bits=6; inner_bits=6; full_default_groups=0; exceptions=3623,unknown function structural Verilog seed,unknown_verilog_20260603_1812,unknown_verilog_20260603_1812.csv
ex280,ex280_unknown_12x12_low_split_default,unknown_12x12,low_split_default,student/work/reverse_unknown_20260603_1812/ex280/verilog/ex280_unknown_12x12_low_split_default.v,student/work/reverse_unknown_20260603_1812/ex280/aigs/ex280_unknown_12x12_low_split_default.aig,1,1,1,2379,18,42822,2.184,rotate=0; outer=low; outer_bits=6; inner_bits=6; full_default_groups=0; exceptions=3680,unknown function structural Verilog seed,unknown_verilog_20260603_1812,unknown_verilog_20260603_1812.csv
ex280,ex280_unknown_12x12_high_split_default,unknown_12x12,high_split_default,student/work/reverse_unknown_20260603_1812/ex280/verilog/ex280_unknown_12x12_high_split_default.v,student/work/reverse_unknown_20260603_1812/ex280/aigs/ex280_unknown_12x12_high_split_default.aig,1,1,1,3014,18,54252,2.276,rotate=0; outer=high; outer_bits=6; inner_bits=6; full_default_groups=0; exceptions=3727,unknown function structural Verilog seed,unknown_verilog_20260603_1812,unknown_verilog_20260603_1812.csv
ex280,ex280_unknown_12x12_expr_default_exception,unknown_12x12,expr_default_exception,student/work/reverse_unknown_20260603_1812/ex280/verilog/ex280_unknown_12x12_expr_default_exception.v,student/work/reverse_unknown_20260603_1812/ex280/aigs/ex280_unknown_12x12_expr_default_exception.aig,1,1,1,3098,20,61960,1.992,expr=ones; matches=53; exceptions=4043,unknown function structural Verilog seed,unknown_verilog_20260603_1812,unknown_verilog_20260603_1812.csv
ex280,ex280_unknown_12x12_value_case,unknown_12x12,value_case,student/work/reverse_unknown_20260603_1812/ex280/verilog/ex280_unknown_12x12_value_case.v,student/work/reverse_unknown_20260603_1812/ex280/aigs/ex280_unknown_12x12_value_case.aig,1,1,1,3098,20,61960,2.536,4096,unknown function structural Verilog seed,unknown_verilog_20260603_1812,unknown_verilog_20260603_1812.csv
ex280,ex280_unknown_12x12_decision_tree_greedy,unknown_12x12,decision_tree_greedy,student/work/reverse_unknown_20260603_1812/ex280/verilog/ex280_unknown_12x12_decision_tree_greedy.v,student/work/reverse_unknown_20260603_1812/ex280/aigs/ex280_unknown_12x12_decision_tree_greedy.aig,1,1,1,4775,20,95500,7.826,nodes=3266; leaves=3267,unknown function structural Verilog seed,unknown_verilog_20260603_1812,unknown_verilog_20260603_1812.csv
ex281,ex281_unknown_13x13_rotate_low_split_default,unknown_13x13,rotate_low_split_default,student/work/reverse_unknown_20260603_1812/ex281/verilog/ex281_unknown_13x13_rotate_low_split_default.v,student/work/reverse_unknown_20260603_1812/ex281/aigs/ex281_unknown_13x13_rotate_low_split_default.aig,1,1,1,2425,17,41225,4.009,rotate=10; outer=low; outer_bits=6; inner_bits=7; full_default_groups=0; exceptions=7483,unknown function structural Verilog seed,unknown_verilog_20260603_1812,unknown_verilog_20260603_1812.csv
ex281,ex281_unknown_13x13_rotate_high_split_default,unknown_13x13,rotate_high_split_default,student/work/reverse_unknown_20260603_1812/ex281/verilog/ex281_unknown_13x13_rotate_high_split_default.v,student/work/reverse_unknown_20260603_1812/ex281/aigs/ex281_unknown_13x13_rotate_high_split_default.aig,1,1,1,3218,17,54706,4.524,rotate=4; outer=high; outer_bits=7; inner_bits=6; full_default_groups=0; exceptions=7253,unknown function structural Verilog seed,unknown_verilog_20260603_1812,unknown_verilog_20260603_1812.csv
ex281,ex281_unknown_13x13_low_split_default,unknown_13x13,low_split_default,student/work/reverse_unknown_20260603_1812/ex281/verilog/ex281_unknown_13x13_low_split_default.v,student/work/reverse_unknown_20260603_1812/ex281/aigs/ex281_unknown_13x13_low_split_default.aig,1,1,1,2990,20,59800,4.211,rotate=0; outer=low; outer_bits=6; inner_bits=7; full_default_groups=0; exceptions=7579,unknown function structural Verilog seed,unknown_verilog_20260603_1812,unknown_verilog_20260603_1812.csv
