case,candidate_id,equivalent,area,delay,adp,aig_path,notes
ex261,ex261_smul_baugh_wooley_wallace_hcla4_wreduce_abc_g_aig,1,164,18,2952,student/work/ex261_ex264_frontend_smul_csel_karatsuba_smoke_20260609_0550/ex261/aigs/ex261_smul_baugh_wooley_wallace_hcla4_wreduce_abc_g_aig.aig,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_hcla4; flow=wreduce_abc_g_aig
ex261,ex261_smul_baugh_wooley_wallace_hcla4_synth_preset_d13,1,164,18,2952,student/work/ex261_ex264_frontend_smul_csel_karatsuba_smoke_20260609_0550/ex261/aigs/ex261_smul_baugh_wooley_wallace_hcla4_synth_preset_d13.aig,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_hcla4; flow=synth_preset_d13
ex261,ex261_smul_baugh_wooley_wallace_hcla4_synth_preset_d18,1,164,18,2952,student/work/ex261_ex264_frontend_smul_csel_karatsuba_smoke_20260609_0550/ex261/aigs/ex261_smul_baugh_wooley_wallace_hcla4_synth_preset_d18.aig,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_hcla4; flow=synth_preset_d18
ex261,ex261_smul_baugh_wooley_wallace_plus_abc_g_aig,1,156,21,3276,student/work/ex261_ex264_frontend_smul_csel_karatsuba_smoke_20260609_0550/ex261/aigs/ex261_smul_baugh_wooley_wallace_plus_abc_g_aig.aig,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_plus; flow=abc_g_aig
ex261,ex261_smul_baugh_wooley_wallace_plus_wreduce_abc_g_aig,1,156,21,3276,student/work/ex261_ex264_frontend_smul_csel_karatsuba_smoke_20260609_0550/ex261/aigs/ex261_smul_baugh_wooley_wallace_plus_wreduce_abc_g_aig.aig,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_plus; flow=wreduce_abc_g_aig
ex261,ex261_smul_baugh_wooley_wallace_plus_synth_preset_d13,1,163,20,3260,student/work/ex261_ex264_frontend_smul_csel_karatsuba_smoke_20260609_0550/ex261/aigs/ex261_smul_baugh_wooley_wallace_plus_synth_preset_d13.aig,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_plus; flow=synth_preset_d13
ex261,ex261_smul_baugh_wooley_wallace_plus_synth_preset_d18,1,163,20,3260,student/work/ex261_ex264_frontend_smul_csel_karatsuba_smoke_20260609_0550/ex261/aigs/ex261_smul_baugh_wooley_wallace_plus_synth_preset_d18.aig,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_plus; flow=synth_preset_d18
ex264,ex264_smul_baugh_wooley_wallace_csel2_abc_g_aig,1,470,33,15510,student/work/ex261_ex264_frontend_smul_csel_karatsuba_smoke_20260609_0550/ex264/aigs/ex264_smul_baugh_wooley_wallace_csel2_abc_g_aig.aig,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_wallace_csel2; flow=abc_g_aig
ex264,ex264_smul_baugh_wooley_wallace_csel2_wreduce_abc_g_aig,1,474,31,14694,student/work/ex261_ex264_frontend_smul_csel_karatsuba_smoke_20260609_0550/ex264/aigs/ex264_smul_baugh_wooley_wallace_csel2_wreduce_abc_g_aig.aig,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_wallace_csel2; flow=wreduce_abc_g_aig
ex264,ex264_smul_baugh_wooley_wallace_csel2_synth_preset_d13,1,470,34,15980,student/work/ex261_ex264_frontend_smul_csel_karatsuba_smoke_20260609_0550/ex264/aigs/ex264_smul_baugh_wooley_wallace_csel2_synth_preset_d13.aig,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_wallace_csel2; flow=synth_preset_d13
ex264,ex264_smul_baugh_wooley_wallace_csel2_synth_preset_d18,1,470,34,15980,student/work/ex261_ex264_frontend_smul_csel_karatsuba_smoke_20260609_0550/ex264/aigs/ex264_smul_baugh_wooley_wallace_csel2_synth_preset_d18.aig,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_wallace_csel2; flow=synth_preset_d18
ex264,ex264_smul_baugh_wooley_wallace_csel3_abc_g_aig,1,477,30,14310,student/work/ex261_ex264_frontend_smul_csel_karatsuba_smoke_20260609_0550/ex264/aigs/ex264_smul_baugh_wooley_wallace_csel3_abc_g_aig.aig,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_wallace_csel3; flow=abc_g_aig
ex264,ex264_smul_baugh_wooley_wallace_csel3_wreduce_abc_g_aig,1,477,30,14310,student/work/ex261_ex264_frontend_smul_csel_karatsuba_smoke_20260609_0550/ex264/aigs/ex264_smul_baugh_wooley_wallace_csel3_wreduce_abc_g_aig.aig,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_wallace_csel3; flow=wreduce_abc_g_aig
ex264,ex264_smul_baugh_wooley_wallace_csel3_synth_preset_d13,1,477,30,14310,student/work/ex261_ex264_frontend_smul_csel_karatsuba_smoke_20260609_0550/ex264/aigs/ex264_smul_baugh_wooley_wallace_csel3_synth_preset_d13.aig,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_wallace_csel3; flow=synth_preset_d13
ex264,ex264_smul_baugh_wooley_wallace_csel3_synth_preset_d18,1,477,30,14310,student/work/ex261_ex264_frontend_smul_csel_karatsuba_smoke_20260609_0550/ex264/aigs/ex264_smul_baugh_wooley_wallace_csel3_synth_preset_d18.aig,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_wallace_csel3; flow=synth_preset_d18
ex264,ex264_smul_baugh_wooley_wallace_csel4_abc_g_aig,1,484,31,15004,student/work/ex261_ex264_frontend_smul_csel_karatsuba_smoke_20260609_0550/ex264/aigs/ex264_smul_baugh_wooley_wallace_csel4_abc_g_aig.aig,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_wallace_csel4; flow=abc_g_aig
ex264,ex264_smul_baugh_wooley_wallace_csel4_wreduce_abc_g_aig,1,481,31,14911,student/work/ex261_ex264_frontend_smul_csel_karatsuba_smoke_20260609_0550/ex264/aigs/ex264_smul_baugh_wooley_wallace_csel4_wreduce_abc_g_aig.aig,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_wallace_csel4; flow=wreduce_abc_g_aig
ex264,ex264_smul_baugh_wooley_wallace_csel4_synth_preset_d13,1,485,31,15035,student/work/ex261_ex264_frontend_smul_csel_karatsuba_smoke_20260609_0550/ex264/aigs/ex264_smul_baugh_wooley_wallace_csel4_synth_preset_d13.aig,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_wallace_csel4; flow=synth_preset_d13
ex264,ex264_smul_baugh_wooley_wallace_csel4_synth_preset_d18,1,485,31,15035,student/work/ex261_ex264_frontend_smul_csel_karatsuba_smoke_20260609_0550/ex264/aigs/ex264_smul_baugh_wooley_wallace_csel4_synth_preset_d18.aig,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_wallace_csel4; flow=synth_preset_d18
