case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex261,ex261_smul_karatsuba_split_signed_synth_preset_d13,signed low5_high5:a*b,karatsuba_split_signed+synth_preset_d13,student/work/ex261_ex264_frontend_smul_csel_karatsuba_smoke_20260609_0550/ex261/verilog/ex261_smul_karatsuba_split_signed.v,student/work/ex261_ex264_frontend_smul_csel_karatsuba_smoke_20260609_0550/ex261/aigs/ex261_smul_karatsuba_split_signed_synth_preset_d13.aig,1,1,1,305,39,11895,2041,5.828025,0,0,0.385,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=karatsuba_split_signed; flow=synth_preset_d13
ex261,ex261_smul_karatsuba_split_signed_synth_preset_d18,signed low5_high5:a*b,karatsuba_split_signed+synth_preset_d18,student/work/ex261_ex264_frontend_smul_csel_karatsuba_smoke_20260609_0550/ex261/verilog/ex261_smul_karatsuba_split_signed.v,student/work/ex261_ex264_frontend_smul_csel_karatsuba_smoke_20260609_0550/ex261/aigs/ex261_smul_karatsuba_split_signed_synth_preset_d18.aig,1,1,1,305,39,11895,2041,5.828025,0,0,0.387,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=karatsuba_split_signed; flow=synth_preset_d18
ex261,ex261_smul_baugh_wooley_wallace_hcla4_abc_g_aig,signed low5_high5:a*b,baugh_wooley_wallace_hcla4+abc_g_aig,student/work/ex261_ex264_frontend_smul_csel_karatsuba_smoke_20260609_0550/ex261/verilog/ex261_smul_baugh_wooley_wallace_hcla4.v,student/work/ex261_ex264_frontend_smul_csel_karatsuba_smoke_20260609_0550/ex261/aigs/ex261_smul_baugh_wooley_wallace_hcla4_abc_g_aig.aig,1,1,1,164,18,2952,2041,1.446350,1,0,0.242,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_hcla4; flow=abc_g_aig
ex261,ex261_smul_baugh_wooley_wallace_hcla4_wreduce_abc_g_aig,signed low5_high5:a*b,baugh_wooley_wallace_hcla4+wreduce_abc_g_aig,student/work/ex261_ex264_frontend_smul_csel_karatsuba_smoke_20260609_0550/ex261/verilog/ex261_smul_baugh_wooley_wallace_hcla4.v,student/work/ex261_ex264_frontend_smul_csel_karatsuba_smoke_20260609_0550/ex261/aigs/ex261_smul_baugh_wooley_wallace_hcla4_wreduce_abc_g_aig.aig,1,1,1,164,18,2952,2041,1.446350,1,0,0.248,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_hcla4; flow=wreduce_abc_g_aig
ex261,ex261_smul_baugh_wooley_wallace_hcla4_synth_preset_d13,signed low5_high5:a*b,baugh_wooley_wallace_hcla4+synth_preset_d13,student/work/ex261_ex264_frontend_smul_csel_karatsuba_smoke_20260609_0550/ex261/verilog/ex261_smul_baugh_wooley_wallace_hcla4.v,student/work/ex261_ex264_frontend_smul_csel_karatsuba_smoke_20260609_0550/ex261/aigs/ex261_smul_baugh_wooley_wallace_hcla4_synth_preset_d13.aig,1,1,1,164,18,2952,2041,1.446350,1,0,0.315,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_hcla4; flow=synth_preset_d13
ex261,ex261_smul_baugh_wooley_wallace_hcla4_synth_preset_d18,signed low5_high5:a*b,baugh_wooley_wallace_hcla4+synth_preset_d18,student/work/ex261_ex264_frontend_smul_csel_karatsuba_smoke_20260609_0550/ex261/verilog/ex261_smul_baugh_wooley_wallace_hcla4.v,student/work/ex261_ex264_frontend_smul_csel_karatsuba_smoke_20260609_0550/ex261/aigs/ex261_smul_baugh_wooley_wallace_hcla4_synth_preset_d18.aig,1,1,1,164,18,2952,2041,1.446350,1,0,0.316,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_hcla4; flow=synth_preset_d18
ex261,ex261_smul_baugh_wooley_wallace_plus_abc_g_aig,signed low5_high5:a*b,baugh_wooley_wallace_plus+abc_g_aig,student/work/ex261_ex264_frontend_smul_csel_karatsuba_smoke_20260609_0550/ex261/verilog/ex261_smul_baugh_wooley_wallace_plus.v,student/work/ex261_ex264_frontend_smul_csel_karatsuba_smoke_20260609_0550/ex261/aigs/ex261_smul_baugh_wooley_wallace_plus_abc_g_aig.aig,1,1,1,156,21,3276,2041,1.605096,0,0,0.220,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_plus; flow=abc_g_aig
ex261,ex261_smul_baugh_wooley_wallace_plus_wreduce_abc_g_aig,signed low5_high5:a*b,baugh_wooley_wallace_plus+wreduce_abc_g_aig,student/work/ex261_ex264_frontend_smul_csel_karatsuba_smoke_20260609_0550/ex261/verilog/ex261_smul_baugh_wooley_wallace_plus.v,student/work/ex261_ex264_frontend_smul_csel_karatsuba_smoke_20260609_0550/ex261/aigs/ex261_smul_baugh_wooley_wallace_plus_wreduce_abc_g_aig.aig,1,1,1,156,21,3276,2041,1.605096,0,0,0.226,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_plus; flow=wreduce_abc_g_aig
ex261,ex261_smul_baugh_wooley_wallace_plus_synth_preset_d13,signed low5_high5:a*b,baugh_wooley_wallace_plus+synth_preset_d13,student/work/ex261_ex264_frontend_smul_csel_karatsuba_smoke_20260609_0550/ex261/verilog/ex261_smul_baugh_wooley_wallace_plus.v,student/work/ex261_ex264_frontend_smul_csel_karatsuba_smoke_20260609_0550/ex261/aigs/ex261_smul_baugh_wooley_wallace_plus_synth_preset_d13.aig,1,1,1,163,20,3260,2041,1.597256,0,0,0.288,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_plus; flow=synth_preset_d13
ex261,ex261_smul_baugh_wooley_wallace_plus_synth_preset_d18,signed low5_high5:a*b,baugh_wooley_wallace_plus+synth_preset_d18,student/work/ex261_ex264_frontend_smul_csel_karatsuba_smoke_20260609_0550/ex261/verilog/ex261_smul_baugh_wooley_wallace_plus.v,student/work/ex261_ex264_frontend_smul_csel_karatsuba_smoke_20260609_0550/ex261/aigs/ex261_smul_baugh_wooley_wallace_plus_synth_preset_d18.aig,1,1,1,163,20,3260,2041,1.597256,0,0,1.378,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_plus; flow=synth_preset_d18
