case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex264,ex264_smul_baugh_wooley_wallace_csel4_synth_preset_d13,signed low8_high8:a*b,baugh_wooley_wallace_csel4+synth_preset_d13,student/work/ex261_ex264_frontend_smul_csel_karatsuba_smoke_20260609_0550/ex264/verilog/ex264_smul_baugh_wooley_wallace_csel4.v,student/work/ex261_ex264_frontend_smul_csel_karatsuba_smoke_20260609_0550/ex264/aigs/ex264_smul_baugh_wooley_wallace_csel4_synth_preset_d13.aig,1,1,1,485,31,15035,9724,1.546174,0,0,2.079,semantic_signed_mul_exact,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_wallace_csel4; flow=synth_preset_d13
ex264,ex264_smul_baugh_wooley_wallace_csel4_synth_preset_d18,signed low8_high8:a*b,baugh_wooley_wallace_csel4+synth_preset_d18,student/work/ex261_ex264_frontend_smul_csel_karatsuba_smoke_20260609_0550/ex264/verilog/ex264_smul_baugh_wooley_wallace_csel4.v,student/work/ex261_ex264_frontend_smul_csel_karatsuba_smoke_20260609_0550/ex264/aigs/ex264_smul_baugh_wooley_wallace_csel4_synth_preset_d18.aig,1,1,1,485,31,15035,9724,1.546174,0,0,2.084,semantic_signed_mul_exact,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_wallace_csel4; flow=synth_preset_d18
ex264,ex264_smul_karatsuba_split_signed_abc_g_aig,signed low8_high8:a*b,karatsuba_split_signed+abc_g_aig,student/work/ex261_ex264_frontend_smul_csel_karatsuba_smoke_20260609_0550/ex264/verilog/ex264_smul_karatsuba_split_signed.v,student/work/ex261_ex264_frontend_smul_csel_karatsuba_smoke_20260609_0550/ex264/aigs/ex264_smul_karatsuba_split_signed_abc_g_aig.aig,1,1,1,698,51,35598,9724,3.660839,0,0,1.987,semantic_signed_mul_exact,exact signed low8 * signed high8 over 65536 inputs; source=karatsuba_split_signed; flow=abc_g_aig
ex264,ex264_smul_karatsuba_split_signed_wreduce_abc_g_aig,signed low8_high8:a*b,karatsuba_split_signed+wreduce_abc_g_aig,student/work/ex261_ex264_frontend_smul_csel_karatsuba_smoke_20260609_0550/ex264/verilog/ex264_smul_karatsuba_split_signed.v,student/work/ex261_ex264_frontend_smul_csel_karatsuba_smoke_20260609_0550/ex264/aigs/ex264_smul_karatsuba_split_signed_wreduce_abc_g_aig.aig,1,1,1,693,52,36036,9724,3.705882,0,0,2.011,semantic_signed_mul_exact,exact signed low8 * signed high8 over 65536 inputs; source=karatsuba_split_signed; flow=wreduce_abc_g_aig
ex264,ex264_smul_karatsuba_split_signed_synth_preset_d13,signed low8_high8:a*b,karatsuba_split_signed+synth_preset_d13,student/work/ex261_ex264_frontend_smul_csel_karatsuba_smoke_20260609_0550/ex264/verilog/ex264_smul_karatsuba_split_signed.v,student/work/ex261_ex264_frontend_smul_csel_karatsuba_smoke_20260609_0550/ex264/aigs/ex264_smul_karatsuba_split_signed_synth_preset_d13.aig,1,1,1,717,53,38001,9724,3.907960,0,0,2.130,semantic_signed_mul_exact,exact signed low8 * signed high8 over 65536 inputs; source=karatsuba_split_signed; flow=synth_preset_d13
ex264,ex264_smul_karatsuba_split_signed_synth_preset_d18,signed low8_high8:a*b,karatsuba_split_signed+synth_preset_d18,student/work/ex261_ex264_frontend_smul_csel_karatsuba_smoke_20260609_0550/ex264/verilog/ex264_smul_karatsuba_split_signed.v,student/work/ex261_ex264_frontend_smul_csel_karatsuba_smoke_20260609_0550/ex264/aigs/ex264_smul_karatsuba_split_signed_synth_preset_d18.aig,1,1,1,717,53,38001,9724,3.907960,0,0,2.133,semantic_signed_mul_exact,exact signed low8 * signed high8 over 65536 inputs; source=karatsuba_split_signed; flow=synth_preset_d18
ex264,ex264_smul_baugh_wooley_wallace_hcla4_abc_g_aig,signed low8_high8:a*b,baugh_wooley_wallace_hcla4+abc_g_aig,student/work/ex261_ex264_frontend_smul_csel_karatsuba_smoke_20260609_0550/ex264/verilog/ex264_smul_baugh_wooley_wallace_hcla4.v,student/work/ex261_ex264_frontend_smul_csel_karatsuba_smoke_20260609_0550/ex264/aigs/ex264_smul_baugh_wooley_wallace_hcla4_abc_g_aig.aig,1,1,1,488,28,13664,9724,1.405183,1,0,1.917,semantic_signed_mul_exact,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_wallace_hcla4; flow=abc_g_aig
ex264,ex264_smul_baugh_wooley_wallace_hcla4_wreduce_abc_g_aig,signed low8_high8:a*b,baugh_wooley_wallace_hcla4+wreduce_abc_g_aig,student/work/ex261_ex264_frontend_smul_csel_karatsuba_smoke_20260609_0550/ex264/verilog/ex264_smul_baugh_wooley_wallace_hcla4.v,student/work/ex261_ex264_frontend_smul_csel_karatsuba_smoke_20260609_0550/ex264/aigs/ex264_smul_baugh_wooley_wallace_hcla4_wreduce_abc_g_aig.aig,1,1,1,489,28,13692,9724,1.408063,1,0,1.832,semantic_signed_mul_exact,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_wallace_hcla4; flow=wreduce_abc_g_aig
ex264,ex264_smul_baugh_wooley_wallace_hcla4_synth_preset_d13,signed low8_high8:a*b,baugh_wooley_wallace_hcla4+synth_preset_d13,student/work/ex261_ex264_frontend_smul_csel_karatsuba_smoke_20260609_0550/ex264/verilog/ex264_smul_baugh_wooley_wallace_hcla4.v,student/work/ex261_ex264_frontend_smul_csel_karatsuba_smoke_20260609_0550/ex264/aigs/ex264_smul_baugh_wooley_wallace_hcla4_synth_preset_d13.aig,1,1,1,489,27,13203,9724,1.357775,1,0,2.058,semantic_signed_mul_exact,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_wallace_hcla4; flow=synth_preset_d13
ex264,ex264_smul_baugh_wooley_wallace_hcla4_synth_preset_d18,signed low8_high8:a*b,baugh_wooley_wallace_hcla4+synth_preset_d18,student/work/ex261_ex264_frontend_smul_csel_karatsuba_smoke_20260609_0550/ex264/verilog/ex264_smul_baugh_wooley_wallace_hcla4.v,student/work/ex261_ex264_frontend_smul_csel_karatsuba_smoke_20260609_0550/ex264/aigs/ex264_smul_baugh_wooley_wallace_hcla4_synth_preset_d18.aig,1,1,1,489,27,13203,9724,1.357775,1,0,2.053,semantic_signed_mul_exact,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_wallace_hcla4; flow=synth_preset_d18
ex264,ex264_smul_baugh_wooley_wallace_plus_abc_g_aig,signed low8_high8:a*b,baugh_wooley_wallace_plus+abc_g_aig,student/work/ex261_ex264_frontend_smul_csel_karatsuba_smoke_20260609_0550/ex264/verilog/ex264_smul_baugh_wooley_wallace_plus.v,student/work/ex261_ex264_frontend_smul_csel_karatsuba_smoke_20260609_0550/ex264/aigs/ex264_smul_baugh_wooley_wallace_plus_abc_g_aig.aig,1,1,1,465,34,15810,9724,1.625874,0,0,1.874,semantic_signed_mul_exact,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_wallace_plus; flow=abc_g_aig
ex264,ex264_smul_baugh_wooley_wallace_plus_wreduce_abc_g_aig,signed low8_high8:a*b,baugh_wooley_wallace_plus+wreduce_abc_g_aig,student/work/ex261_ex264_frontend_smul_csel_karatsuba_smoke_20260609_0550/ex264/verilog/ex264_smul_baugh_wooley_wallace_plus.v,student/work/ex261_ex264_frontend_smul_csel_karatsuba_smoke_20260609_0550/ex264/aigs/ex264_smul_baugh_wooley_wallace_plus_wreduce_abc_g_aig.aig,1,1,1,465,34,15810,9724,1.625874,0,0,1.917,semantic_signed_mul_exact,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_wallace_plus; flow=wreduce_abc_g_aig
ex264,ex264_smul_baugh_wooley_wallace_plus_synth_preset_d13,signed low8_high8:a*b,baugh_wooley_wallace_plus+synth_preset_d13,student/work/ex261_ex264_frontend_smul_csel_karatsuba_smoke_20260609_0550/ex264/verilog/ex264_smul_baugh_wooley_wallace_plus.v,student/work/ex261_ex264_frontend_smul_csel_karatsuba_smoke_20260609_0550/ex264/aigs/ex264_smul_baugh_wooley_wallace_plus_synth_preset_d13.aig,1,1,1,465,34,15810,9724,1.625874,0,0,1.969,semantic_signed_mul_exact,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_wallace_plus; flow=synth_preset_d13
ex264,ex264_smul_baugh_wooley_wallace_plus_synth_preset_d18,signed low8_high8:a*b,baugh_wooley_wallace_plus+synth_preset_d18,student/work/ex261_ex264_frontend_smul_csel_karatsuba_smoke_20260609_0550/ex264/verilog/ex264_smul_baugh_wooley_wallace_plus.v,student/work/ex261_ex264_frontend_smul_csel_karatsuba_smoke_20260609_0550/ex264/aigs/ex264_smul_baugh_wooley_wallace_plus_synth_preset_d18.aig,1,1,1,465,34,15810,9724,1.625874,0,0,1.991,semantic_signed_mul_exact,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_wallace_plus; flow=synth_preset_d18
