case,candidate_id,hypothesis,variant,verilog_path,aig_path,area,delay,adp,items,notes
ex280,ex280_unknown_muxcoord_anf_prefix_parity_reduce_full_mod_deg2,unknown_muxcoord_anf,prefix_parity_reduce_full_mod_deg2,student/work/ex280_ex284_frontend_muxcoord_full_smoke_20260609_0117/ex280/verilog/ex280_unknown_muxcoord_anf_prefix_parity_reduce_full_mod_deg2.v,student/work/ex280_ex284_frontend_muxcoord_full_smoke_20260609_0117/ex280/aigs/ex280_unknown_muxcoord_anf_prefix_parity_reduce_full_mod_deg2.aig,373,25,9325,transform=prefix_parity_reduce; coord_mode=full_mod; degree=2; coord_width=17; features=154; ok_bits=0:1:2:3:4:5:6:7:8:9:10:11; inconsistent=0x0; used_features=77; term_counts=1:3:5:7:9:11:13:19:23:24:27:26; hash=d3ff182b5c57,unknown mux-coordinate ANF Verilog seed
ex284,ex284_unknown_muxcoord_anf_prefix_parity_reduce_full_wrap_low_zero_high_deg2,unknown_muxcoord_anf,prefix_parity_reduce_full_wrap_low_zero_high_deg2,student/work/ex280_ex284_frontend_muxcoord_full_smoke_20260609_0117/ex284/verilog/ex284_unknown_muxcoord_anf_prefix_parity_reduce_full_wrap_low_zero_high_deg2.v,student/work/ex280_ex284_frontend_muxcoord_full_smoke_20260609_0117/ex284/aigs/ex284_unknown_muxcoord_anf_prefix_parity_reduce_full_wrap_low_zero_high_deg2.aig,580,35,20300,transform=prefix_parity_reduce; coord_mode=full_wrap_low_zero_high; degree=2; coord_width=21; features=232; ok_bits=0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15; inconsistent=0x0; used_features=132; term_counts=1:3:5:7:9:11:13:15:17:19:21:27:30:32:34:34; hash=e74ae4e7fc8c,unknown mux-coordinate ANF Verilog seed
