case,output_bit,input_width,bucket_count,selected_features,key_width,mapped_keys,primitive_count,best_single,best_single_inverted,best_single_match,total_rows,best_single_exact,tree_depth,tree_exact,tree_leaves,key_anf_terms,key_anf_max_degree,key_anf_degree_hist
ex286,0,13,8,raw3:raw10:xor6_7,15,4608,97,cnt1==cnt4,1,5665,8192,0,4,0,16,12042,14,1:2;2:20;3:99;4:332;5:825;6:1553;7:2278;8:2579;9:2225;10:1318;11:561;12:191;13:48;14:11
ex286,1,13,8,raw3:raw10:xor6_7,15,4608,97,cnt1==cnt4,0,6144,8192,0,4,0,16,9506,14,1:3;2:32;3:142;4:395;5:867;6:1565;7:2057;8:1994;9:1394;10:686;11:285;12:75;13:10;14:1
ex286,2,13,8,raw3:raw10:xor6_7,15,4608,97,cnt1==cnt4,1,6144,8192,0,4,0,16,9986,13,1:1;2:15;3:97;4:376;5:961;6:1702;7:2170;8:2052;9:1481;10:741;11:305;12:74;13:11
ex286,3,13,8,raw3:raw10:xor6_7,15,4608,97,cnt1==cnt4,0,6144,8192,0,4,0,16,9786,14,1:1;2:17;3:109;4:404;5:983;6:1694;7:2140;8:2031;9:1385;10:672;11:269;12:67;13:13;14:1
ex286,4,13,8,raw3:raw10:xor6_7,15,4608,97,cnt1==cnt4,1,5585,8192,0,4,0,16,11242,15,2:3;3:44;4:240;5:702;6:1380;7:2092;8:2473;9:2137;10:1310;11:603;12:201;13:47;14:9;15:1
ex286,5,13,8,raw3:raw10:xor6_7,15,4608,97,cnt1==cnt4,0,6144,8192,0,4,0,16,3602,12,1:1;2:15;3:82;4:255;5:537;6:809;7:847;8:609;9:294;10:122;11:27;12:4
ex286,6,13,8,raw3:raw10:xor6_7,15,4608,97,cnt1==cnt4,1,6144,8192,0,4,0,16,3112,12,1:1;2:9;3:47;4:178;5:468;6:754;7:750;8:526;9:245;10:105;11:25;12:4
ex286,7,13,8,raw3:raw10:xor6_7,15,4608,97,cnt1==cnt4,0,6144,8192,0,4,0,16,3542,12,2:4;3:52;4:240;5:557;6:814;7:835;8:586;9:303;10:118;11:29;12:4
ex286,8,13,8,raw3:raw10:xor6_7,15,4608,97,cnt1==cnt4,1,5599,8192,0,4,0,16,11650,14,1:1;2:8;3:48;4:232;5:746;6:1547;7:2282;8:2548;9:2149;10:1282;11:564;12:184;13:48;14:11
ex286,9,13,8,raw3:raw10:xor6_7,15,4608,97,cnt1==cnt4,0,6144,8192,0,4,0,16,10032,14,1:1;2:17;3:113;4:421;5:1015;6:1733;7:2169;8:2048;9:1418;10:723;11:286;12:77;13:10;14:1
ex286,10,13,8,raw3:raw10:xor6_7,15,4608,97,cnt1==cnt4,1,6144,8192,0,4,0,16,9738,13,2:5;3:56;4:288;5:859;6:1646;7:2144;8:2092;9:1494;10:763;11:304;12:76;13:11
ex286,11,13,8,raw3:raw10:xor6_7,15,4608,97,cnt1==cnt4,0,6144,8192,0,4,0,16,10714,14,1:1;2:15;3:112;4:471;5:1199;6:2001;7:2376;8:2094;9:1413;10:687;11:264;12:67;13:13;14:1
ex286,12,13,8,raw3:raw10:xor6_7,15,4608,97,cnt1==cnt4,1,5679,8192,0,4,0,16,11302,15,2:2;3:38;4:230;5:712;6:1434;7:2151;8:2472;9:2111;10:1303;11:592;12:200;13:47;14:9;15:1
ex287,0,14,7,xor6_7:xor8_9:raw13:raw12,16,6912,85,cnt1==cnt3,1,12561,16384,0,4,0,16,28460,16,1:3;2:34;3:187;4:648;5:1621;6:3138;7:4794;8:5744;9:5273;10:3731;11:2079;12:867;13:283;14:53;15:4;16:1
ex287,1,14,7,xor6_7:xor8_9:raw13:raw12,16,6912,85,cnt1==cnt3,0,12541,16384,0,4,0,16,29492,15,1:3;2:31;3:162;4:590;5:1652;6:3440;7:5208;8:5955;9:5368;10:3811;11:2076;12:853;13:281;14:56;15:6
ex287,2,14,7,xor6_7:xor8_9:raw13:raw12,16,6912,85,cnt1==cnt3,1,12288,16384,0,4,0,16,24540,14,2:13;3:122;4:523;5:1429;6:2856;7:4356;8:5135;9:4640;10:3126;11:1548;12:586;13:171;14:35
ex287,3,14,7,xor6_7:xor8_9:raw13:raw12,16,6912,85,cnt1==cnt3,0,12288,16384,0,4,0,16,24844,15,1:1;2:16;3:113;4:474;5:1344;6:2791;7:4382;8:5222;9:4706;10:3218;11:1700;12:650;13:187;14:37;15:3
ex287,4,14,7,xor6_7:xor8_9:raw13:raw12,16,6912,85,cnt1==cnt3,1,11985,16384,0,4,0,16,25934,16,1:1;2:13;3:86;4:366;5:1116;6:2522;7:4281;8:5367;9:5092;10:3757;11:2081;12:882;13:301;14:56;15:12;16:1
ex287,5,14,7,xor6_7:xor8_9:raw13:raw12,16,6912,85,cnt1==cnt3,0,12029,16384,0,4,0,16,28040,16,1:1;2:17;3:115;4:474;5:1346;6:2918;7:4708;8:5782;9:5466;10:3882;11:2104;12:871;13:277;14:65;15:13;16:1
ex287,6,14,7,xor6_7:xor8_9:raw13:raw12,16,6912,85,cnt1==cnt3,1,12288,16384,0,4,0,16,17088,14,1:1;2:10;3:60;4:285;5:961;6:2127;7:3290;8:3723;9:3189;10:2039;11:948;12:368;13:81;14:6
ex287,7,14,7,xor6_7:xor8_9:raw13:raw12,16,6912,85,cnt1==cnt3,0,12288,16384,0,4,0,16,19200,14,2:5;3:70;4:390;5:1185;6:2411;7:3606;8:4007;9:3502;10:2350;11:1156;12:425;13:87;14:6
ex287,8,14,7,xor6_7:xor8_9:raw13:raw12,16,6912,85,cnt1==cnt3,1,12015,16384,0,4,0,16,28216,16,2:6;3:71;4:413;5:1411;6:3150;7:5018;8:5877;9:5239;10:3713;11:2081;12:885;13:294;14:53;15:4;16:1
ex287,9,14,7,xor6_7:xor8_9:raw13:raw12,16,6912,85,cnt1==cnt3,0,12035,16384,0,4,0,16,29876,15,1:1;2:18;3:139;4:616;5:1774;6:3646;7:5474;8:6082;9:5271;10:3644;11:2025;12:858;13:268;14:54;15:6
ex287,10,14,7,xor6_7:xor8_9:raw13:raw12,16,6912,85,cnt1==cnt3,1,12288,16384,0,4,0,16,24612,14,2:3;3:61;4:402;5:1381;6:2953;7:4530;8:5211;9:4575;10:3105;11:1577;12:595;13:184;14:35
ex287,11,14,7,xor6_7:xor8_9:raw13:raw12,16,6912,85,cnt1==cnt3,0,12288,16384,0,4,0,16,26792,15,1:1;2:19;3:144;4:617;5:1718;6:3386;7:4949;8:5561;9:4847;10:3160;11:1570;12:600;13:182;14:35;15:3
ex287,12,14,7,xor6_7:xor8_9:raw13:raw12,16,6912,85,cnt1==cnt3,1,12591,16384,0,4,0,16,27454,16,2:6;3:78;4:406;5:1284;6:2845;7:4650;8:5654;9:5298;10:3861;11:2086;12:921;13:300;14:52;15:12;16:1
ex287,13,14,7,xor6_7:xor8_9:raw13:raw12,16,6912,85,cnt1==cnt3,0,12547,16384,0,4,0,16,28648,16,1:1;2:20;3:133;4:513;5:1445;6:3058;7:4861;8:5965;9:5508;10:3873;11:2037;12:887;13:272;14:61;15:13;16:1
ex288,0,15,9,raw13:raw10:xor6_7,16,13824,118,cnt2==cnt8,1,23485,32768,0,4,0,16,24272,16,1:3;2:33;3:165;4:530;5:1324;6:2596;7:3930;8:4778;9:4511;10:3340;11:1860;12:851;13:274;14:65;15:11;16:1
ex288,1,15,9,raw13:raw10:xor6_7,16,13824,118,cnt2==cnt8,0,24576,32768,0,4,0,16,19056,14,1:4;2:40;3:180;4:560;5:1371;6:2459;7:3475;8:3831;9:3317;10:2179;11:1121;12:419;13:94;14:6
ex288,2,15,9,raw13:raw10:xor6_7,16,13824,118,cnt2==cnt8,1,23485,32768,0,4,0,16,21268,15,2:9;3:82;4:377;5:1076;6:2186;7:3373;8:4192;9:4177;10:3080;11:1702;12:735;13:219;14:53;15:7
ex288,3,15,9,raw13:raw10:xor6_7,16,13824,118,cnt2==cnt8,0,24576,32768,0,4,0,16,17460,15,1:1;2:22;3:147;4:535;5:1334;6:2391;7:3292;8:3608;9:2864;10:1878;11:940;12:357;13:79;14:11;15:1
ex288,4,15,9,raw13:raw10:xor6_7,16,13824,118,cnt2==cnt8,1,23629,32768,0,4,0,16,22758,16,1:1;2:12;3:78;4:361;5:1067;6:2215;7:3594;8:4525;9:4425;10:3370;11:1910;12:851;13:277;14:61;15:10;16:1
