case,selected_count,best_candidate_id,best_area,best_delay,best_adp,reference_adp,adp_ratio_to_reference,candidate_ids
ex220,4,ex220_fp16_exp_positive_default_exp_mant_case,10794,22,237468,180404,1.316312,ex220_fp16_exp_positive_default_exp_mant_case;ex220_fp16_exp_sign_exp_mant_case;ex220_fp16_exp_semantic_sign_exp_field_defaults;ex220_fp16_exp_sign_exp_default_expr_case
ex221,4,ex221_fp16_exp2_exp_mant_pair_case,6974,22,153428,105655,1.452160,ex221_fp16_exp2_exp_mant_pair_case;ex221_fp16_exp2_positive_default_exp_mant_case;ex221_fp16_exp2_semantic_sign_exp_field_defaults;ex221_fp16_exp2_sign_exp_mant_case
ex222,4,ex222_fp16_exp10_sign_exp_default_expr_case,10629,22,233838,173621,1.346830,ex222_fp16_exp10_sign_exp_default_expr_case;ex222_fp16_exp10_exp_mant_pair_case;ex222_fp16_exp10_sign_exp_mant_case;ex222_fp16_exp10_semantic_sign_exp_field_defaults
ex223,4,ex223_log_nested_low13_hi5_abc_g_aig,10754,19,204326,120549,1.694962,ex223_log_nested_low13_hi5_abc_g_aig;ex223_fp16_log_casez_sign_abc_g_aig;ex223_fp16_log_bitrun_bit14_t8;ex223_fp16_log_sign_exp_mant_case
ex224,4,ex224_log_nested_low15_hi5_abc_g_aig,5787,17,98379,64708,1.520353,ex224_log_nested_low15_hi5_abc_g_aig;ex224_fp16_log2_casez_sign_bits11_12_t8_abc_g_aig;ex224_fp16_log2_bitrun_bits12_9_t32;ex224_fp16_log2_bitvec_bits11_12_t32
ex225,4,ex225_log_nested_low13_hi5_abc_g_aig,11535,19,219165,116676,1.878407,ex225_log_nested_low13_hi5_abc_g_aig;ex225_manual15_14_13_predecode12_9_abc_g_aig;ex225_manual14_bit12run_bit9hilo_h8_abc_g_aig;ex225_bitrun_bits12_9_t32_abc_g_aig
ex226,4,ex226_abc_g_aig_abc_g_aig_d18,33356,22,733832,587790,1.248459,ex226_abc_g_aig_abc_g_aig_d18;ex226_fp16_sin_semantic_positive_field_defaults;ex226_fp16_sin_split_sign_exp_mant_case;ex226_fp16_sin_exp_mant_delta_pair
ex227,4,ex227_abc_g_aig_abc_g_aig_d18,40629,22,893838,721639,1.238622,ex227_abc_g_aig_abc_g_aig_d18;ex227_fp16_tan_split_sign_exp_mant_case;ex227_fp16_tan_semantic_sign_exp_field_defaults;ex227_fp16_tan_exp_mant_delta_pair
ex228,4,ex228_abc_g_aig_abc_g_aig_d18,6627,20,132540,101205,1.309619,ex228_abc_g_aig_abc_g_aig_d18;ex228_fp16_sinh_split_sign_exp_mant_case;ex228_fp16_sinh_positive_default_exp_mant_case;ex228_fp16_sinh_positive_default_exp_mant_delta
ex229,4,ex229_abc_g_aig_abc_g_aig_d18,3971,19,75449,57968,1.301563,ex229_abc_g_aig_abc_g_aig_d18;ex229_fp16_tanh_exp_mant_pair_case;ex229_fp16_tanh_positive_default_exp_mant_case;ex229_fp16_tanh_exp_mant_delta_pair
