case,candidate_id,hypothesis/function_guess,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,items,classification,notes
ex225,ex225_fp16_log10_bitvec_sign_bits12_9_t32,fp16_log10,bitvec_sign_bits12_9_t32,student/work/ex225_frontend_fp16_bitvec_highbits_20260607_1302/ex225/verilog/ex225_fp16_log10_bitvec_sign_bits12_9_t32.v,student/work/ex225_frontend_fp16_bitvec_highbits_20260607_1302/ex225/aigs/ex225_fp16_log10_bitvec_sign_bits12_9_t32.aig,1,1,1,11612,22,255464,116676,2.189516,0,0,15.465,"bitvec selected bits; table_items=31777; bits=15,12,9; threshold=32; const_groups=47; range_groups=17; table_groups=0; range_items=72; table_items=0",structural_exact,"per-output-bit run-cover hybrid; bitvec selected bits; table_items=31777; bits=15,12,9; threshold=32; const_groups=47; range_groups=17; table_groups=0; range_items=72; table_items=0"
ex225,ex225_fp16_log10_bitvec_bits14_12_9_t32,fp16_log10,bitvec_bits14_12_9_t32,student/work/ex225_frontend_fp16_bitvec_highbits_20260607_1302/ex225/verilog/ex225_fp16_log10_bitvec_bits14_12_9_t32.v,student/work/ex225_frontend_fp16_bitvec_highbits_20260607_1302/ex225/aigs/ex225_fp16_log10_bitvec_bits14_12_9_t32.aig,1,1,1,11550,23,265650,116676,2.276818,0,0,16.044,"bitvec selected bits; table_items=31777; bits=14,12,9; threshold=32; const_groups=47; range_groups=17; table_groups=0; range_items=72; table_items=0",structural_exact,"per-output-bit run-cover hybrid; bitvec selected bits; table_items=31777; bits=14,12,9; threshold=32; const_groups=47; range_groups=17; table_groups=0; range_items=72; table_items=0"
ex225,ex225_fp16_log10_bitvec_bits13_12_9_t32,fp16_log10,bitvec_bits13_12_9_t32,student/work/ex225_frontend_fp16_bitvec_highbits_20260607_1302/ex225/verilog/ex225_fp16_log10_bitvec_bits13_12_9_t32.v,student/work/ex225_frontend_fp16_bitvec_highbits_20260607_1302/ex225/aigs/ex225_fp16_log10_bitvec_bits13_12_9_t32.aig,1,1,1,11509,23,264707,116676,2.268736,0,0,16.086,"bitvec selected bits; table_items=31777; bits=13,12,9; threshold=32; const_groups=47; range_groups=17; table_groups=0; range_items=72; table_items=0",structural_exact,"per-output-bit run-cover hybrid; bitvec selected bits; table_items=31777; bits=13,12,9; threshold=32; const_groups=47; range_groups=17; table_groups=0; range_items=72; table_items=0"
ex225,ex225_fp16_log10_bitvec_bits14_13_12_9_t32,fp16_log10,bitvec_bits14_13_12_9_t32,student/work/ex225_frontend_fp16_bitvec_highbits_20260607_1302/ex225/verilog/ex225_fp16_log10_bitvec_bits14_13_12_9_t32.v,student/work/ex225_frontend_fp16_bitvec_highbits_20260607_1302/ex225/aigs/ex225_fp16_log10_bitvec_bits14_13_12_9_t32.aig,1,1,1,11662,23,268226,116676,2.298896,0,0,15.753,"bitvec selected bits; table_items=31777; bits=14,13,12,9; threshold=32; const_groups=47; range_groups=17; table_groups=0; range_items=72; table_items=0",structural_exact,"per-output-bit run-cover hybrid; bitvec selected bits; table_items=31777; bits=14,13,12,9; threshold=32; const_groups=47; range_groups=17; table_groups=0; range_items=72; table_items=0"
