case,candidate_id,hypothesis,function_guess,variant,method_signature,verilog_path,aig_path,metadata_path,verified_truth,equivalent,official_status,area,delay,adp,reference_adp,ratio_to_reference,within_1p5_reference,beats_reference,classification,selection_reason,source_kind,source_csv,source_run,source_verilog_path,source_aig_path,source_evaluate_log,aig_sha256,verilog_sha256,notes
ex210,ex210_bf16_sigmoid_const_default_3f80_h3,bf16_sigmoid,,const_default_3f80_h3,ex210|frontend|current,student/new_seeds/bf16/ex200_ex219_current/ex210/verilog/ex210_bf16_sigmoid_const_default_3f80_h3.v,student/new_seeds/bf16/ex200_ex219_current/ex210/aigs/ex210_bf16_sigmoid_const_default_3f80_h3.aig,student/new_seeds/bf16/ex200_ex219_current/ex210/metadata/ex210_bf16_sigmoid_const_default_3f80_h3.json,1,1,OK,2232,15,33480,27053,1.237571,1,0,frontend_verified,current_best,frontend_best_registry,student/frontend_campaigns/frontend_best_registry.csv,ex200_ex219_current,student/seeds/bf16/ex200_ex219_current/ex210/verilog/ex210_bf16_sigmoid_const_default_3f80_h3.v,student/seeds/bf16/ex200_ex219_current/ex210/aigs/ex210_bf16_sigmoid_const_default_3f80_h3.aig,,04afbd46c7fa59308c6222947bdeaff446c4da3b7b879f49ec6ab028719efccd,3d2614729488ef6e8bb36b4a3576d92728c2ee2d8d82a66c0e31e34b69b16388,auto-indexed from student/runs frontend summary
ex211,ex211_bf16_reciprocal_hand_recip_formula_signmag_lut,bf16_reciprocal,,hand_recip_formula_signmag_lut,ex211|frontend|current,student/new_seeds/bf16/ex200_ex219_current/ex211/verilog/ex211_bf16_reciprocal_hand_recip_formula_signmag_lut.v,student/new_seeds/bf16/ex200_ex219_current/ex211/aigs/ex211_bf16_reciprocal_hand_recip_formula_signmag_lut.aig,student/new_seeds/bf16/ex200_ex219_current/ex211/metadata/ex211_bf16_reciprocal_hand_recip_formula_signmag_lut.json,1,1,OK,273,11,3003,2136,1.405899,1,0,frontend_verified,current_best,frontend_best_registry,student/frontend_campaigns/frontend_best_registry.csv,ex200_ex219_current,student/seeds/bf16/ex200_ex219_current/ex211/verilog/ex211_bf16_reciprocal_hand_recip_formula_signmag_lut.v,student/seeds/bf16/ex200_ex219_current/ex211/aigs/ex211_bf16_reciprocal_hand_recip_formula_signmag_lut.aig,,0a4f08dd8681ea9ae3926b2fd218418c86410acda3832bab7f28f1e6ca672345,8f8208baca0c78eafc7c069f54965d1165ca66af836b360e02d5013e65f3c7d0,auto-indexed from student/runs frontend summary
ex212,ex212_bf16_square_delta_pair_mode_hilo4_bits_15_bh1,bf16_square,,delta_pair_mode_hilo4_bits_15_bh1,ex212|frontend|current,student/new_seeds/bf16/ex200_ex219_current/ex212/verilog/ex212_bf16_square_delta_pair_mode_hilo4_bits_15_bh1.v,student/new_seeds/bf16/ex200_ex219_current/ex212/aigs/ex212_bf16_square_delta_pair_mode_hilo4_bits_15_bh1.aig,student/new_seeds/bf16/ex200_ex219_current/ex212/metadata/ex212_bf16_square_delta_pair_mode_hilo4_bits_15_bh1.json,1,1,OK,281,11,3091,2304,1.341580,1,0,frontend_verified,current_best,frontend_best_registry,student/frontend_campaigns/frontend_best_registry.csv,ex200_ex219_current,student/seeds/bf16/ex200_ex219_current/ex212/verilog/ex212_bf16_square_delta_pair_mode_hilo4_bits_15_bh1.v,student/seeds/bf16/ex200_ex219_current/ex212/aigs/ex212_bf16_square_delta_pair_mode_hilo4_bits_15_bh1.aig,,5a0227dc407dcab11b068c64c7530179fc78cdc35e91bf25a29d930965078ff1,f5f0dfb13a51795e292ae7e9dc815f06eb072c1da46e47d4d36d37307a9107fb,auto-indexed from student/runs frontend summary
ex213,ex213_bf16_sqrt_sep_fields_e2_m3_s3_bits_1_bh1,bf16_sqrt,,sep_fields_e2_m3_s3_bits_1_bh1,ex213|frontend|current,student/new_seeds/bf16/ex200_ex219_current/ex213/verilog/ex213_bf16_sqrt_sep_fields_e2_m3_s3_bits_1_bh1.v,student/new_seeds/bf16/ex200_ex219_current/ex213/aigs/ex213_bf16_sqrt_sep_fields_e2_m3_s3_bits_1_bh1.aig,student/new_seeds/bf16/ex200_ex219_current/ex213/metadata/ex213_bf16_sqrt_sep_fields_e2_m3_s3_bits_1_bh1.json,1,1,OK,346,11,3806,2900,1.312414,1,0,frontend_verified,current_best,frontend_best_registry,student/frontend_campaigns/frontend_best_registry.csv,ex200_ex219_current,student/seeds/bf16/ex200_ex219_current/ex213/verilog/ex213_bf16_sqrt_sep_fields_e2_m3_s3_bits_1_bh1.v,student/seeds/bf16/ex200_ex219_current/ex213/aigs/ex213_bf16_sqrt_sep_fields_e2_m3_s3_bits_1_bh1.aig,,fb53650bb57a9780142bdf91271149c5bc0d849599c19f91409235909cf6fbf6,0e6520d67247249b0ec6c3b8ff12f253dca0eeb65df783e963692f85a80163ba,auto-indexed from student/runs frontend summary
ex214,ex214_r96_bf16_recip_square_bit13_exp_formula_abc_g_aig,bf16_reciprocal_square_bit13_formula,,sign-independent exponent range formula for bit13,ex214|round96_bf16_smallgap_source_flow|bf16_reciprocal_square_bit13_formula|sign-independent exponent range formula for bit13|source_to_aig_frontend_only|abc_read_truth_xf,student/new_seeds/bf16/ex200_ex219_current/ex214/verilog/ex214_r96_bf16_recip_square_bit13_exp_formula_abc_g_aig.v,student/new_seeds/bf16/ex200_ex219_current/ex214/aigs/ex214_r96_bf16_recip_square_bit13_exp_formula_abc_g_aig.aig,student/new_seeds/bf16/ex200_ex219_current/ex214/metadata/ex214_r96_bf16_recip_square_bit13_exp_formula_abc_g_aig.json,1,1,OK,324,11,3564,2424,1.470297,1,0,frontend_verified,current_best,frontend_best_registry,student/frontend_campaigns/frontend_best_registry.csv,frontend_gt15_structural_round96_20260614_0651,student/work/frontend_gt15_structural_round96_20260614_0651/sub-bf16-smallgap-flow-r96/ex214/verilog/ex214_r96_bf16_recip_square_bit13_exp_formula_abc_g_aig.v,student/work/frontend_gt15_structural_round96_20260614_0651/sub-bf16-smallgap-flow-r96/ex214/official_eval/ex214_r96_bf16_recip_square_bit13_exp_formula_abc_g_aig/ex214.aig,student/work/frontend_gt15_structural_round96_20260614_0651/sub-bf16-smallgap-flow-r96/ex214/logs/ex214_r96_bf16_recip_square_bit13_exp_formula_abc_g_aig.evaluate.py.log,efd56267c7bbd394331f503a972c6e289b4ac56325063575b949d6399da3cc9a,3db4adb19f64fbf64e77d67c1f4af6d5eaed39825909c01e7af6a6f3008bd5ce,official evaluate.py OK; frontend-only source/Yosys flow; crosses 1.5x target by factoring selected bit13 with exponent/mantissa formula
ex215,ex215_r8_caseattrs_abc_g_aig,,,,ex215|current_source_caseattrs_probe|ex215_r8_caseattrs_abc_g_aig|preserve current source sharing; only expose case exclusivity hints|abc_g_aig|abc_xf_official_evaluate|unary_r8,student/new_seeds/bf16/ex200_ex219_current/ex215/verilog/ex215_r8_caseattrs_abc_g_aig.v,student/new_seeds/bf16/ex200_ex219_current/ex215/aigs/ex215_r8_caseattrs_abc_g_aig.aig,student/new_seeds/bf16/ex200_ex219_current/ex215/metadata/ex215_r8_caseattrs_abc_g_aig.json,1,1,OK,389,12,4668,3150,1.481905,1,0,frontend_verified,current_best,frontend_best_registry,student/frontend_campaigns/frontend_best_registry.csv,ex204_ex299_frontend_breakthrough_20260614_1051,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/unary-r8/ex215/verilog/ex215_r8_caseattrs_abc_g_aig.v,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/unary-r8/ex215/aigs/ex215_r8_caseattrs_abc_g_aig.aig,student/runs/bf16/ex204_ex299_frontend_breakthrough_20260614_1051/unary-r8/ex215/official_eval/ex215_r8_caseattrs_abc_g_aig/ex215_r8_caseattrs_abc_g_aig.evaluate.py.log,82cd63f7d6509d910c571bb7eeadb83bbc892c452011252d3526bd415d0ac2a2,31eb3b0d0a2a747dd4a61478f7f7d676290c350156381bd08220f86a4b0599ca,caseattrs current-best source copy; case_statements_annotated=0; source=student/seeds/bf16/ex200_ex219_current/ex215/verilog/ex215_bf16_reciprocal_sqrt_delta_pair_mode_hilo3_bits_9_bh1_fix2_caseattrs_fix12.v; evaluate.py exit 0; elapsed 0.898s; yosys abc_g_aig exit 0; elapsed 10.941s
ex216,ex216_r4_current_source_abc_g_aig,,,,ex216|current_source_flow_recut|ex216_r4_current_source_abc_g_aig|reuse accepted shared field decode and source structure|abc_g_aig|abc_xf_official_evaluate|unary_struct_r4,student/new_seeds/bf16/ex200_ex219_current/ex216/verilog/ex216_r4_current_source_abc_g_aig.v,student/new_seeds/bf16/ex200_ex219_current/ex216/aigs/ex216_r4_current_source_abc_g_aig.aig,student/new_seeds/bf16/ex200_ex219_current/ex216/metadata/ex216_r4_current_source_abc_g_aig.json,1,1,OK,440,13,5720,3357,1.703902,0,0,frontend_verified,current_best,frontend_best_registry,student/frontend_campaigns/frontend_best_registry.csv,ex204_ex299_frontend_breakthrough_20260614_1051,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/unary-struct-r4/ex216/verilog/ex216_r4_current_source_abc_g_aig.v,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/unary-struct-r4/ex216/aigs/ex216_r4_current_source_abc_g_aig.aig,student/runs/bf16/ex204_ex299_frontend_breakthrough_20260614_1051/unary-struct-r4/ex216/official_eval/ex216_r4_current_source_abc_g_aig/ex216_r4_current_source_abc_g_aig.evaluate.py.log,03e33bf8ba5a06a7843dc03615bc3636c6f6d791adcc2b47026e386c2398d6df,76ee18be8ce6a0e76a8b752dd6abd1988ab2dec9af749cf9798cad82e302ef1d,source=student/seeds/bf16/ex200_ex219_current/ex216/verilog/ex216_bf16_cube_aggr_semantic_positive_symmetry_fields_cube_bit14_boundary_caseattrs_fix13.v; evaluate.py exit 0; elapsed 0.621s; yosys exit 0; elapsed 9.385s
ex217,ex217_bf16_cbrt_delta_pair_first_hilo3_bits_0_bh3_fix2_manual_sign_non_nan_caseattrs_fix15,bf16_cbrt,cbrt,delta_pair_first_hilo3_bits_0_bh3_fix2_manual_sign_non_nan_caseattrs_fix15,bf16_cbrt,student/new_seeds/bf16/ex200_ex219_current/ex217/verilog/ex217_bf16_cbrt_delta_pair_first_hilo3_bits_0_bh3_fix2_manual_sign_non_nan_caseattrs_fix15.v,student/new_seeds/bf16/ex200_ex219_current/ex217/aigs/ex217_bf16_cbrt_delta_pair_first_hilo3_bits_0_bh3_fix2_manual_sign_non_nan_caseattrs_fix15.aig,student/new_seeds/bf16/ex200_ex219_current/ex217/metadata/ex217_bf16_cbrt_delta_pair_first_hilo3_bits_0_bh3_fix2_manual_sign_non_nan_caseattrs_fix15.json,1,1,OK,623,13,8099,5785,1.400000,1,0,frontend_verified,current_best,student_runs,student/runs/bf16/ex200_ex219_current/results/best.csv,ex215_ex219_frontend_bf16_deep2_20260606_1726,student/seeds/bf16/ex200_ex219_current/ex217/verilog/ex217_bf16_cbrt_delta_pair_first_hilo3_bits_0_bh3_fix2_manual_sign_non_nan_caseattrs_fix15.v,student/seeds/bf16/ex200_ex219_current/ex217/aigs/ex217_bf16_cbrt_delta_pair_first_hilo3_bits_0_bh3_fix2_manual_sign_non_nan_caseattrs_fix15.aig,,7877c74bd295a86b143b950d530fa70434c8de7af08c76b740b77df8eb1debed,6dd56c93f0bb602b3e5c70823e152c732252cab9c5459967f7b7e4cd2842883d,semantic model exact over 65536 inputs; delta pair base_policy=first delta_mode=hilo3 items=27692; generic selected bit overrides bits=0 bit_hi_bits=3 bit_items=33528; manual sign bit override sign && !is_nan; source case attributes parallel_case full_case
ex218,ex218_field_selector_abc_g_aig,bf16_reciprocal_cube_existing_seed_field_selector,,,ex218|bf16_reciprocal_cube_existing_seed_field_selector|legacy_value_case_field_selector|decoded_sign_exp_mant_selector|yosys_abc_g_aig|DAZ_reciprocal_cube_BF16_RNE_FTZ|full_word_value_case,student/new_seeds/bf16/ex200_ex219_current/ex218/verilog/ex218_field_selector_abc_g_aig.v,student/new_seeds/bf16/ex200_ex219_current/ex218/aigs/ex218_field_selector_abc_g_aig.aig,student/new_seeds/bf16/ex200_ex219_current/ex218/metadata/ex218_field_selector_abc_g_aig.json,1,1,OK,457,13,5941,3222,1.843886,0,0,frontend_verified,current_best,frontend_best_registry,student/frontend_campaigns/frontend_best_registry.csv,ex200_ex299_frontend_refgap_round19_20260612_2346,student/work/ex200_ex299_frontend_refgap_round19_20260612_2346/fpbf-existing-r19/ex218/verilog/ex218_bf16_reciprocal_cube_field_selector_abcgaig_r19.v,student/work/ex200_ex299_frontend_refgap_round19_20260612_2346/fpbf-existing-r19/ex218/official_eval/ex218_field_selector_abc_g_aig/ex218.aig,student/work/ex200_ex299_frontend_refgap_round19_20260612_2346/fpbf-existing-r19/ex218/logs/ex218_field_selector_abc_g_aig.evaluate.py.log,99a67bfe668302ff9d25303ebd3651587debe268111e23477a8429e81537446c,6ba9a57b62c84e7024de4364caba7a889e9fee9dca03888dbf4c5ec88c7bf235,official evaluate.py OK; copied current frontend-best seed; changed selector to decoded fields and used abc -g aig
ex219,ex219_r4_current_source_abc_g_aig,,,,ex219|current_source_flow_recut|ex219_r4_current_source_abc_g_aig|reuse accepted shared field decode and source structure|abc_g_aig|abc_xf_official_evaluate|unary_struct_r4,student/new_seeds/bf16/ex200_ex219_current/ex219/verilog/ex219_r4_current_source_abc_g_aig.v,student/new_seeds/bf16/ex200_ex219_current/ex219/aigs/ex219_r4_current_source_abc_g_aig.aig,student/new_seeds/bf16/ex200_ex219_current/ex219/metadata/ex219_r4_current_source_abc_g_aig.json,1,1,OK,657,13,8541,5640,1.514362,0,0,frontend_verified,current_best,frontend_best_registry,student/frontend_campaigns/frontend_best_registry.csv,ex204_ex299_frontend_breakthrough_20260614_1051,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/unary-struct-r4/ex219/verilog/ex219_r4_current_source_abc_g_aig.v,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/unary-struct-r4/ex219/aigs/ex219_r4_current_source_abc_g_aig.aig,student/runs/bf16/ex204_ex299_frontend_breakthrough_20260614_1051/unary-struct-r4/ex219/official_eval/ex219_r4_current_source_abc_g_aig/ex219_r4_current_source_abc_g_aig.evaluate.py.log,f76fdf75a2e3290c6ce7276ded20fb6e2010594a93fc8bf0a454e793d8a94d3d,30054d14cb67c0617ab4013e6cde9b76449e48202c1d158cc472cadc49653e63,source=student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-recip-power-r94/ex219/verilog/ex219_r94_bf16_reciprocal_cbrt_delta_pair_mant64_hilo3_bits_6_cmp.v; evaluate.py exit 0; elapsed 1.063s; yosys exit 0; elapsed 10.926s
