case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex273,ex273_square_triangular_balanced_abc_g_aig,unsigned_square_x_times_x,triangular_balanced+abc_g_aig,student/work/ex273_ex274_frontend_square_triangular_fix_20260609_1345/ex273/verilog/ex273_square_triangular_balanced.v,student/work/ex273_ex274_frontend_square_triangular_fix_20260609_1345/ex273/aigs/ex273_square_triangular_balanced_abc_g_aig.aig,1,1,1,745,56,41720,15078,2.766945,0,0,1.473,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=triangular_balanced; flow=abc_g_aig
ex273,ex273_square_triangular_balanced_wreduce_abc_g_aig,unsigned_square_x_times_x,triangular_balanced+wreduce_abc_g_aig,student/work/ex273_ex274_frontend_square_triangular_fix_20260609_1345/ex273/verilog/ex273_square_triangular_balanced.v,student/work/ex273_ex274_frontend_square_triangular_fix_20260609_1345/ex273/aigs/ex273_square_triangular_balanced_wreduce_abc_g_aig.aig,1,1,1,750,56,42000,15078,2.785515,0,0,1.530,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=triangular_balanced; flow=wreduce_abc_g_aig
ex273,ex273_square_triangular_balanced_synth_preset,unsigned_square_x_times_x,triangular_balanced+synth_preset,student/work/ex273_ex274_frontend_square_triangular_fix_20260609_1345/ex273/verilog/ex273_square_triangular_balanced.v,student/work/ex273_ex274_frontend_square_triangular_fix_20260609_1345/ex273/aigs/ex273_square_triangular_balanced_synth_preset.aig,1,1,1,752,46,34592,15078,2.294203,0,0,0.882,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=triangular_balanced; flow=synth_preset
ex273,ex273_square_triangular_balanced_synth_preset_d20,unsigned_square_x_times_x,triangular_balanced+synth_preset_d20,student/work/ex273_ex274_frontend_square_triangular_fix_20260609_1345/ex273/verilog/ex273_square_triangular_balanced.v,student/work/ex273_ex274_frontend_square_triangular_fix_20260609_1345/ex273/aigs/ex273_square_triangular_balanced_synth_preset_d20.aig,1,1,1,752,46,34592,15078,2.294203,0,0,0.861,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=triangular_balanced; flow=synth_preset_d20
ex273,ex273_square_triangular_rows_csa_abc_g_aig,unsigned_square_x_times_x,triangular_rows_csa+abc_g_aig,student/work/ex273_ex274_frontend_square_triangular_fix_20260609_1345/ex273/verilog/ex273_square_triangular_rows_csa.v,student/work/ex273_ex274_frontend_square_triangular_fix_20260609_1345/ex273/aigs/ex273_square_triangular_rows_csa_abc_g_aig.aig,1,1,1,870,50,43500,15078,2.884998,0,0,0.848,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=triangular_rows_csa; flow=abc_g_aig
ex273,ex273_square_triangular_rows_csa_wreduce_abc_g_aig,unsigned_square_x_times_x,triangular_rows_csa+wreduce_abc_g_aig,student/work/ex273_ex274_frontend_square_triangular_fix_20260609_1345/ex273/verilog/ex273_square_triangular_rows_csa.v,student/work/ex273_ex274_frontend_square_triangular_fix_20260609_1345/ex273/aigs/ex273_square_triangular_rows_csa_wreduce_abc_g_aig.aig,1,1,1,874,50,43700,15078,2.898262,0,0,0.856,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=triangular_rows_csa; flow=wreduce_abc_g_aig
ex273,ex273_square_triangular_rows_csa_synth_preset,unsigned_square_x_times_x,triangular_rows_csa+synth_preset,student/work/ex273_ex274_frontend_square_triangular_fix_20260609_1345/ex273/verilog/ex273_square_triangular_rows_csa.v,student/work/ex273_ex274_frontend_square_triangular_fix_20260609_1345/ex273/aigs/ex273_square_triangular_rows_csa_synth_preset.aig,1,1,1,866,52,45032,15078,2.986603,0,0,0.996,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=triangular_rows_csa; flow=synth_preset
ex273,ex273_square_triangular_rows_csa_synth_preset_d20,unsigned_square_x_times_x,triangular_rows_csa+synth_preset_d20,student/work/ex273_ex274_frontend_square_triangular_fix_20260609_1345/ex273/verilog/ex273_square_triangular_rows_csa.v,student/work/ex273_ex274_frontend_square_triangular_fix_20260609_1345/ex273/aigs/ex273_square_triangular_rows_csa_synth_preset_d20.aig,1,1,1,866,52,45032,15078,2.986603,0,0,1.009,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=triangular_rows_csa; flow=synth_preset_d20
ex274,ex274_square_triangular_balanced_abc_g_aig,unsigned_square_x_times_x,triangular_balanced+abc_g_aig,student/work/ex273_ex274_frontend_square_triangular_fix_20260609_1345/ex274/verilog/ex274_square_triangular_balanced.v,student/work/ex273_ex274_frontend_square_triangular_fix_20260609_1345/ex274/aigs/ex274_square_triangular_balanced_abc_g_aig.aig,1,1,1,1049,65,68185,21630,3.152335,0,0,5.966,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=triangular_balanced; flow=abc_g_aig
ex274,ex274_square_triangular_balanced_wreduce_abc_g_aig,unsigned_square_x_times_x,triangular_balanced+wreduce_abc_g_aig,student/work/ex273_ex274_frontend_square_triangular_fix_20260609_1345/ex274/verilog/ex274_square_triangular_balanced.v,student/work/ex273_ex274_frontend_square_triangular_fix_20260609_1345/ex274/aigs/ex274_square_triangular_balanced_wreduce_abc_g_aig.aig,1,1,1,1035,67,69345,21630,3.205964,0,0,4.586,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=triangular_balanced; flow=wreduce_abc_g_aig
ex274,ex274_square_triangular_balanced_synth_preset,unsigned_square_x_times_x,triangular_balanced+synth_preset,student/work/ex273_ex274_frontend_square_triangular_fix_20260609_1345/ex274/verilog/ex274_square_triangular_balanced.v,student/work/ex273_ex274_frontend_square_triangular_fix_20260609_1345/ex274/aigs/ex274_square_triangular_balanced_synth_preset.aig,1,1,1,967,60,58020,21630,2.682386,0,0,3.623,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=triangular_balanced; flow=synth_preset
