case,degree,relation_index,term_count,relation,notes
ex286,1,0,0,,relation evaluates to zero on every unique output image value
ex286,1,1,0,,relation evaluates to zero on every unique output image value
ex286,1,2,0,,relation evaluates to zero on every unique output image value
ex286,1,3,0,,relation evaluates to zero on every unique output image value
ex286,1,4,0,,relation evaluates to zero on every unique output image value
ex286,1,5,0,,relation evaluates to zero on every unique output image value
ex286,1,6,0,,relation evaluates to zero on every unique output image value
ex286,1,7,0,,relation evaluates to zero on every unique output image value
ex286,1,8,0,,relation evaluates to zero on every unique output image value
ex286,1,9,0,,relation evaluates to zero on every unique output image value
ex286,1,10,0,,relation evaluates to zero on every unique output image value
ex286,1,11,0,,relation evaluates to zero on every unique output image value
ex286,1,12,0,,relation evaluates to zero on every unique output image value
ex286,1,13,0,,relation evaluates to zero on every unique output image value
ex286,2,0,0,,relation evaluates to zero on every unique output image value
ex286,2,1,0,,relation evaluates to zero on every unique output image value
ex286,2,2,0,,relation evaluates to zero on every unique output image value
ex286,2,3,0,,relation evaluates to zero on every unique output image value
ex286,2,4,0,,relation evaluates to zero on every unique output image value
ex286,2,5,0,,relation evaluates to zero on every unique output image value
ex286,2,6,0,,relation evaluates to zero on every unique output image value
ex286,2,7,0,,relation evaluates to zero on every unique output image value
ex286,2,8,0,,relation evaluates to zero on every unique output image value
ex286,2,9,0,,relation evaluates to zero on every unique output image value
ex286,2,10,0,,relation evaluates to zero on every unique output image value
ex286,2,11,0,,relation evaluates to zero on every unique output image value
ex286,2,12,0,,relation evaluates to zero on every unique output image value
ex286,2,13,0,,relation evaluates to zero on every unique output image value
ex286,2,14,0,,relation evaluates to zero on every unique output image value
ex286,2,15,0,,relation evaluates to zero on every unique output image value
ex286,2,16,0,,relation evaluates to zero on every unique output image value
ex286,2,17,0,,relation evaluates to zero on every unique output image value
ex286,2,18,0,,relation evaluates to zero on every unique output image value
ex286,2,19,0,,relation evaluates to zero on every unique output image value
ex286,3,0,0,,relation evaluates to zero on every unique output image value
ex286,3,1,0,,relation evaluates to zero on every unique output image value
ex286,3,2,0,,relation evaluates to zero on every unique output image value
ex286,3,3,0,,relation evaluates to zero on every unique output image value
