domain,case,attempts,official_ok,non_ok,campaign_best_candidate,campaign_best_area,campaign_best_delay,campaign_best_adp,baseline_frontend_adp,delta_vs_baseline,improved_vs_baseline,reference_adp,verilog_path,aig_path,log_path,agent_id,method_signature
bf16,ex204,21,21,0,ex204_r8_caseattrs_abc_g_aig,1536,16,24576,24576,0,0,15180,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/unary-r8/ex204/verilog/ex204_r8_caseattrs_abc_g_aig.v,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/unary-r8/ex204/aigs/ex204_r8_caseattrs_abc_g_aig.aig,student/runs/bf16/ex204_ex299_frontend_breakthrough_20260614_1051/unary-r8/ex204/official_eval/ex204_r8_caseattrs_abc_g_aig/ex204_r8_caseattrs_abc_g_aig.evaluate.py.log,unary-r8,ex204|current_source_caseattrs_probe|ex204_r8_caseattrs_abc_g_aig|preserve current source sharing; only expose case exclusivity hints|abc_g_aig|abc_xf_official_evaluate|unary_r8
bf16,ex205,33,33,0,ex205_r9_active_shell_currentbase_abc_g_aig,4422,16,70752,71040,288,1,47128,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/bf16-fp16-r9/ex205/verilog/ex205_r9_active_shell_currentbase_abc_g_aig.v,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/bf16-fp16-r9/ex205/aigs/ex205_r9_active_shell_currentbase_abc_g_aig.aig,student/runs/bf16/ex204_ex299_frontend_breakthrough_20260614_1051/bf16-fp16-r9/ex205/official_eval/ex205_r9_active_shell_currentbase_abc_g_aig/ex205_r9_active_shell_currentbase_abc_g_aig.evaluate.py.log,bf16-fp16-r9,ex205|active_normal_currentbase_compact_special_shell|current best source used only for active-normal region with a new compact truth-derived special shell:ex205_r9_active_shell_currentbase_abc_g_aig|share active-normal base logic while exposing nonactive constant/NaN/inf shell outside the base module|abc_g_aig|abc_xf_official_evaluate|bf16_fp16_r9
bf16,ex214,9,9,0,ex214_r8_flow_muxclean_aig,324,11,3564,,,,,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/unary-r8/ex214/verilog/ex214_r8_flow_muxclean_aig.v,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/unary-r8/ex214/aigs/ex214_r8_flow_muxclean_aig.aig,student/runs/bf16/ex204_ex299_frontend_breakthrough_20260614_1051/unary-r8/ex214/official_eval/ex214_r8_flow_muxclean_aig/ex214_r8_flow_muxclean_aig.evaluate.py.log,unary-r8,ex214|current_source_frontend_flow_probe|ex214_r8_flow_muxclean_aig|preserve current source sharing; vary only Yosys frontend normalization/mapping script|muxclean_aig|abc_xf_official_evaluate|unary_r8
bf16,ex215,10,10,0,ex215_r8_caseattrs_abc_g_aig,389,12,4668,,,,,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/unary-r8/ex215/verilog/ex215_r8_caseattrs_abc_g_aig.v,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/unary-r8/ex215/aigs/ex215_r8_caseattrs_abc_g_aig.aig,student/runs/bf16/ex204_ex299_frontend_breakthrough_20260614_1051/unary-r8/ex215/official_eval/ex215_r8_caseattrs_abc_g_aig/ex215_r8_caseattrs_abc_g_aig.evaluate.py.log,unary-r8,ex215|current_source_caseattrs_probe|ex215_r8_caseattrs_abc_g_aig|preserve current source sharing; only expose case exclusivity hints|abc_g_aig|abc_xf_official_evaluate|unary_r8
bf16,ex216,14,14,0,ex216_r8_flow_muxclean_aig,440,13,5720,,,,,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/unary-r8/ex216/verilog/ex216_r8_flow_muxclean_aig.v,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/unary-r8/ex216/aigs/ex216_r8_flow_muxclean_aig.aig,student/runs/bf16/ex204_ex299_frontend_breakthrough_20260614_1051/unary-r8/ex216/official_eval/ex216_r8_flow_muxclean_aig/ex216_r8_flow_muxclean_aig.evaluate.py.log,unary-r8,ex216|current_source_frontend_flow_probe|ex216_r8_flow_muxclean_aig|preserve current source sharing; vary only Yosys frontend normalization/mapping script|muxclean_aig|abc_xf_official_evaluate|unary_r8
bf16,ex218,21,21,0,ex218_r7_flow_muxclean_aig,457,13,5941,5941,0,0,3222,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/unary-r7/ex218/verilog/ex218_r7_flow_muxclean_aig.v,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/unary-r7/ex218/aigs/ex218_r7_flow_muxclean_aig.aig,student/runs/bf16/ex204_ex299_frontend_breakthrough_20260614_1051/unary-r7/ex218/official_eval/ex218_r7_flow_muxclean_aig/ex218_r7_flow_muxclean_aig.evaluate.py.log,unary-r7,ex218|current_source_frontend_flow_probe|ex218_r7_flow_muxclean_aig|preserve current source sharing; vary only Yosys frontend normalization/mapping script|muxclean_aig|abc_xf_official_evaluate|unary_r7_flowprobe
bf16,ex219,19,19,0,ex219_r8_caseattrs_abc_g_aig,657,13,8541,9212,671,1,5640,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/unary-r8/ex219/verilog/ex219_r8_caseattrs_abc_g_aig.v,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/unary-r8/ex219/aigs/ex219_r8_caseattrs_abc_g_aig.aig,student/runs/bf16/ex204_ex299_frontend_breakthrough_20260614_1051/unary-r8/ex219/official_eval/ex219_r8_caseattrs_abc_g_aig/ex219_r8_caseattrs_abc_g_aig.evaluate.py.log,unary-r8,ex219|current_source_caseattrs_probe|ex219_r8_caseattrs_abc_g_aig|preserve current source sharing; only expose case exclusivity hints|abc_g_aig|abc_xf_official_evaluate|unary_r8
fp16,ex223,25,25,0,ex223_r4_current_source_abc_g_aig,10705,19,203395,203395,0,0,120549,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/unary-struct-r4/ex223/verilog/ex223_r4_current_source_abc_g_aig.v,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/unary-struct-r4/ex223/aigs/ex223_r4_current_source_abc_g_aig.aig,student/runs/fp16/ex204_ex299_frontend_breakthrough_20260614_1051/unary-struct-r4/ex223/official_eval/ex223_r4_current_source_abc_g_aig/ex223_r4_current_source_abc_g_aig.evaluate.py.log,unary-struct-r4,ex223|current_source_flow_recut|ex223_r4_current_source_abc_g_aig|reuse accepted shared field decode and source structure|abc_g_aig|abc_xf_official_evaluate|unary_struct_r4
fp16,ex224,3,3,0,ex224_low12_hi6_highbit_runs_abc_g_aig,6016,17,102272,93072,-9200,0,64708,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/unary-breakthrough/ex224/verilog/ex224_low12_hi6_highbit_runs.v,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/unary-breakthrough/ex224/aigs/ex224_low12_hi6_highbit_runs_abc_g_aig.aig,student/runs/fp16/ex204_ex299_frontend_breakthrough_20260614_1051/unary-breakthrough/ex224/official_eval/ex224_low12_hi6_highbit_runs_abc_g_aig/ex224_low12_hi6_highbit_runs_abc_g_aig.evaluate.py.log,unary-breakthrough,ex224|fp16_log2_output_grouped_correction|low12_hi6_highbit_runs|shared FP16 sign/exp decode with high-bit run trees and low12 hi6 field|abc_g_aig|abc_xf_official_evaluate|unary_breakthrough_field_decision_graph
fp16,ex225,26,26,0,ex225_r7_flow_muxclean_aig,11505,19,218595,218595,0,0,116676,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/unary-r7/ex225/verilog/ex225_r7_flow_muxclean_aig.v,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/unary-r7/ex225/aigs/ex225_r7_flow_muxclean_aig.aig,student/runs/fp16/ex204_ex299_frontend_breakthrough_20260614_1051/unary-r7/ex225/official_eval/ex225_r7_flow_muxclean_aig/ex225_r7_flow_muxclean_aig.evaluate.py.log,unary-r7,ex225|current_source_frontend_flow_probe|ex225_r7_flow_muxclean_aig|preserve current source sharing; vary only Yosys frontend normalization/mapping script|muxclean_aig|abc_xf_official_evaluate|unary_r7_flowprobe
float_fp8,ex240,20,20,0,ex240_r11_registry_synthcmd_preset,610,43,26230,26230,0,0,13299,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/fp8-hard-r11/ex240/verilog/ex240_r11_registry_synthcmd_preset.v,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/fp8-hard-r11/ex240/aigs/ex240_r11_registry_synthcmd_preset.aig,student/runs/float_fp8/ex204_ex299_frontend_breakthrough_20260614_1051/fp8-hard-r11/ex240/logs/ex240_r11_registry_synthcmd_preset.evaluate.py.log,fp8-hard-r11,ex240|E4M3FN packed add high byte plus low byte|current frontend source through explicit synth -top -flatten preset|preserve existing shared semantic source and replay the historical frontend synthesis command|synth_preset_aig|official_evaluate|full_word
float_fp8,ex241,25,25,0,ex241_r10_current_muxclean,548,29,15892,15544,-348,0,7224,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/fp8-r10/ex241/verilog/ex241_r10_current_muxclean.v,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/fp8-r10/ex241/aigs/ex241_r10_current_muxclean.aig,student/runs/float_fp8/ex204_ex299_frontend_breakthrough_20260614_1051/fp8-r10/ex241/logs/ex241_r10_current_muxclean.evaluate.py.log,fp8-r10,ex241|E4M3FN packed multiply high byte times low byte|current frontend best source with opt_muxtree/opt_reduce before abc -g aig|preserves current shared source while reducing mux tree shape before AIG mapping|muxclean_aig|official_evaluate|frontend_only
float_fp8,ex242,2,2,0,ex242_r8_axis_numzero_shell_abc_g_aig_frontend,841,20,16820,,,,,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/fp8-recent-r8/ex242/verilog/ex242_r8_axis_numzero_shell_abc_g_aig_frontend.v,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/fp8-recent-r8/ex242/aig/ex242_r8_axis_numzero_shell_abc_g_aig_frontend.aig,student/runs/float_fp8/ex204_ex299_frontend_breakthrough_20260614_1051/fp8-recent-r8/ex242/logs/ex242_r8_axis_numzero_shell_abc_g_aig_frontend.evaluate.py.log,fp8-recent-r8,r8_axis_attr_numzero_special_shell
float_fp8,ex244,25,25,0,ex244_r7_satbit_regroup_synth_preset_aig,311,32,9952,10234,282,1,4272,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/fp8-source-r7/ex244/verilog/ex244_r7_satbit_regroup.v,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/fp8-source-r7/ex244/aigs/ex244_r7_satbit_regroup_synth_preset_aig.aig,student/runs/float_fp8/ex204_ex299_frontend_breakthrough_20260614_1051/fp8-source-r7/ex244/logs/ex244_r7_satbit_regroup_synth_preset_aig.evaluate.py.log,fp8-source-r7,ex244|fp8_source_r7|satbit_regroup|split_saturation_terms_and_bitwise_nan_payload|synth_preset_aig|official_evaluate
float_fp8,ex245,21,21,0,ex245_r11_r89_active_branch_muxclean,696,33,22968,23834,866,1,11050,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/fp8-hard-r11/ex245/verilog/ex245_r11_r89_active_branch_muxclean.v,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/fp8-hard-r11/ex245/aigs/ex245_r11_r89_active_branch_muxclean.aig,student/runs/float_fp8/ex204_ex299_frontend_breakthrough_20260614_1051/fp8-hard-r11/ex245/logs/ex245_r11_r89_active_branch_muxclean.evaluate.py.log,fp8-hard-r11,ex245|E5M2FN packed add high byte plus low byte|r89 active same/diff/pass branch source with mux-clean frontend flow|shared sorted decode plus selected active residual roots before final NaN mux|muxclean_aig|official_evaluate|full_word
float_fp8,ex246,27,27,0,ex246_r11_registry_synthcmd_preset,343,23,7889,7502,-387,0,2805,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/fp8-hard-r11/ex246/verilog/ex246_r11_registry_synthcmd_preset.v,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/fp8-hard-r11/ex246/aigs/ex246_r11_registry_synthcmd_preset.aig,student/runs/float_fp8/ex204_ex299_frontend_breakthrough_20260614_1051/fp8-hard-r11/ex246/logs/ex246_r11_registry_synthcmd_preset.evaluate.py.log,fp8-hard-r11,ex246|E5M2FN packed multiply high byte times low byte|current frontend source through explicit synth -top -flatten preset|preserve existing shared semantic source and replay the historical frontend synthesis command|synth_preset_aig|official_evaluate|full_word
float_fp8,ex247,70,69,1,ex247_r5_lowpred_truth_case_abc_g_aig_frontend,249,26,6474,8349,1875,1,2975,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/ex247-breakthrough-r5/ex247/verilog/ex247_r5_lowpred_truth_case_abc_g_aig_frontend.v,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/ex247-breakthrough-r5/ex247/aigs/ex247_r5_lowpred_truth_case_abc_g_aig_frontend.aig,student/runs/float_fp8/ex204_ex299_frontend_breakthrough_20260614_1051/ex247-breakthrough-r5/ex247/logs/ex247_r5_lowpred_truth_case_abc_g_aig_frontend.evaluate.py.log,ex247-breakthrough-r5,ex247|E5M2FN packed low-over-high division|tail-direct lowpred-min with 16-row low residual case|low_step/pat truth table is encoded as a compact 4-bit case over the low residual only|abc_g_aig_frontend|official_evaluate|lowpred_truth_case
float_fp8,ex248,15,15,0,ex248_r8_split_payload_shell_abc_g_aig_frontend,290,27,7830,7938,108,1,4180,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/fp8-recent-r8/ex248/verilog/ex248_r8_split_payload_shell_abc_g_aig_frontend.v,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/fp8-recent-r8/ex248/aig/ex248_r8_split_payload_shell_abc_g_aig_frontend.aig,student/runs/float_fp8/ex204_ex299_frontend_breakthrough_20260614_1051/fp8-recent-r8/ex248/logs/ex248_r8_split_payload_shell_abc_g_aig_frontend.evaluate.py.log,fp8-recent-r8,r8_numden_split_payload_shell
float_fp8,ex249,26,26,0,ex249_r7_bitout_boundary_synth_preset_aig,180,26,4680,4368,-312,0,2079,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/fp8-source-r7/ex249/verilog/ex249_r7_bitout_boundary.v,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/fp8-source-r7/ex249/aigs/ex249_r7_bitout_boundary_synth_preset_aig.aig,student/runs/float_fp8/ex204_ex299_frontend_breakthrough_20260614_1051/fp8-source-r7/ex249/logs/ex249_r7_bitout_boundary_synth_preset_aig.evaluate.py.log,fp8-source-r7,ex249|fp8_source_r7|bitout_boundary|rawexp_threshold_with_payload_bit_boundary|synth_preset_aig|official_evaluate
integer,ex256,6,6,0,ex256_r8_current_optshare_aig,159,18,2862,,,,,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/integer-r8/ex256/verilog/ex256_r8_current_source.v,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/integer-r8/ex256/aigs/ex256_r8_current_optshare_aig.aig,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/integer-r8/ex256/logs/ex256_r8_current_optshare_aig.evaluate.py.log,integer-r8,
integer,ex260,20,20,0,ex260_r8_current_optshare_aig,92,12,1104,1104,0,0,657,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/integer-r8/ex260/verilog/ex260_r8_current_source.v,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/integer-r8/ex260/aigs/ex260_r8_current_optshare_aig.aig,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/integer-r8/ex260/logs/ex260_r8_current_optshare_aig.evaluate.py.log,integer-r8,
integer,ex265,10,10,0,ex265_r6_range_bhi2_lut_abc_g_aig,58,8,464,,,,,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/integer-r6/ex265/verilog/ex265_r6_range_bhi2_lut.v,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/integer-r6/ex265/aigs/ex265_r6_range_bhi2_lut_abc_g_aig.aig,student/runs/integer/ex204_ex299_frontend_breakthrough_20260614_1051/integer-r6/ex265/logs/ex265_r6_range_bhi2_lut_abc_g_aig.evaluate.py.log,integer-r6,ex265|divisor-high_partition_with_local_dividend/divisor-low_quotient_table|shared_quotient_word_per_high-divisor_residual_bucket|abc_g_aig|abc_xf_official_evaluate|frontend_only_no_backend
integer,ex266,24,24,0,ex266_r9_q3_formula_overlay,149,11,1639,1480,-159,0,848,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/integer-r9/ex266/verilog/ex266_r9_q3_formula_overlay.v,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/integer-r9/ex266/aigs/ex266_r9_q3_formula_overlay.aig,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/integer-r9/ex266/logs/ex266_r9_q3_formula_overlay.evaluate.py.log,integer-r9,ex266|unsigned_low5_high5_divide_with_dbz_saturation|current_wordmux_with_q3_replaced_by_direct_quotient_bit_formula|reuse_current_quotient_word_except_one_middle/top_threshold_bit|abc_g_aig|official_evaluate_py|frontend_only
integer,ex267,61,61,0,ex267_r9_q54_formula_overlay,331,12,3972,,,,,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/integer-r9/ex267/verilog/ex267_r9_q54_formula_overlay.v,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/integer-r9/ex267/aigs/ex267_r9_q54_formula_overlay.aig,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/integer-r9/ex267/logs/ex267_r9_q54_formula_overlay.evaluate.py.log,integer-r9,ex267|unsigned_low6_high6_divide_with_dbz_saturation|current_hybrid_wordmux_with_q5/q4_replaced_by_direct_quotient_bit_formulas|reuse_current_lower_quotient_word_and_share_simple_top-bit_predicates|abc_g_aig|official_evaluate_py|frontend_only
integer,ex270,29,29,0,ex270_r5_top3_threshold_recut_abc_g_aig,204,15,3060,3230,170,1,2076,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/integer-square-r5/ex270/verilog/ex270_r5_top3_threshold_recut.v,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/integer-square-r5/ex270/aigs/ex270_r5_top3_threshold_recut_abc_g_aig.aig,student/runs/integer/ex204_ex299_frontend_breakthrough_20260614_1051/integer-square-r5/ex270/official_eval/ex270_r5_top3_threshold_recut_abc_g_aig/ex270_r5_top3_threshold_recut_abc_g_aig.evaluate.py.log,integer-square-r5,ex270|unsigned_square_x_times_x|replace_top_three_outputs_with_exact_square_range-threshold_predicates|existing_triangular_square_source_with_range_threshold_recut|abc_g_aig|abc_xf_official_evaluate|frontend_only_no_backend
integer,ex273,56,52,4,ex273_r9_top2726_interval_overlay,734,36,26424,26301,-123,0,15078,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/integer-r9/ex273/verilog/ex273_r9_top2726_interval_overlay.v,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/integer-r9/ex273/aigs/ex273_r9_top2726_interval_overlay.aig,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/integer-r9/ex273/logs/ex273_r9_top2726_interval_overlay.evaluate.py.log,integer-r9,ex273|unsigned_14-bit_square|current_square_hybrid_with_top_two_bits_replaced_by_x^2_interval_thresholds|share_existing_body_and_expose_high_square_bits_as_monotone/range_descriptors|abc_g_aig|official_evaluate_py|frontend_only
integer,ex274,57,57,0,ex274_r9_keep_low_topbdd_boundary_optfull,987,42,41454,41370,-84,0,21630,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/integer-r9/ex274/verilog/ex274_r9_keep_low_topbdd_boundary_optfull.v,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/integer-r9/ex274/aigs/ex274_r9_keep_low_topbdd_boundary_optfull.aig,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/integer-r9/ex274/logs/ex274_r9_keep_low_topbdd_boundary_optfull.evaluate.py.log,integer-r9,ex274|unsigned_16-bit_square|current_top2-BDD_truncated_hybrid_with_keep_attributes_on_low/top_boundary_wires|preserve_lower_truncated_arithmetic_and_selected_top_BDD_boundary_sharing|optfull_aig|official_evaluate_py|frontend_only
integer,ex275,7,7,0,ex275_r7_q1_threshold_overlay_abc_g_aig,49,8,392,,,,,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/integer-r7/ex275/verilog/ex275_r7_q1_threshold_overlay.v,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/integer-r7/ex275/aigs/ex275_r7_q1_threshold_overlay_abc_g_aig.aig,student/runs/integer/ex204_ex299_frontend_breakthrough_20260614_1051/integer-r7/ex275/logs/ex275_r7_q1_threshold_overlay_abc_g_aig.evaluate.py.log,integer-r7,ex275|current_prefix5_isqrt_source_with_q1_replaced_by_exact_root_threshold_toggles|reuse_current_shared-ge_classifier_and_overlay_one_low_root_bit|abc_g_aig|abc_xf_official_evaluate|frontend_only_no_backend
integer,ex276,41,40,1,ex276_r4_prefix4_shared_ge_synth_preset_and,101,10,1010,1010,0,0,632,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/integer-struct-r4/ex276/verilog/ex276_r4_prefix4_shared_ge_synth_preset_and.v,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/integer-struct-r4/ex276/aigs/ex276_r4_prefix4_shared_ge_synth_preset_and.aig,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/integer-struct-r4/ex276/logs/ex276_r4_prefix4_shared_ge_synth_preset_and.evaluate.py.log,integer-struct-r4,ex276|unsigned_floor_isqrt_10_to_5|prefix4_shared_ge_current_source_resynth|same shared hi bucket low-threshold classifier; frontend synth-flow variant|synth_preset_and|abc_xf_official_evaluate|whole_word
unknown,ex285,32,32,0,ex285_r9_boundary_mask_all_boundary,772,16,12352,12800,448,1,5499,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/unknown-hard-r9/ex285/verilog/ex285_r9_boundary_mask_all_boundary.v,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/unknown-hard-r9/ex285/aigs/ex285_r9_boundary_mask_all_boundary.aig,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/unknown-hard-r9/ex285/logs/ex285_r9_boundary_mask_all_boundary.evaluate.py.log,unknown-hard-r9,ex285|boundary_helper_output_mask_r9|bits_0_1_2_3_4_5_6_7_8_9_10_11|decision_tree_base_plus_route_decode_helper|yosys_frontend_abc_g_aig|official_evaluate|selected_output_planes
