case,domain,frontend_best_adp,frontend_best_area,frontend_best_delay,frontend_candidate,frontend_run,reference_adp,frontend_ratio,gap_to_reference
ex286,unknown,20190,1346,15,ex286_unknown_symcof_interleave_f00_bits_0_12_1_10_onehot_group_abc_g_aig,ex286_frontend_symcof_bitset_probe_20260612_1820,2376,8.497475,17814
ex287,unknown,26880,1680,16,ex287_deep_k4_vector_case_plain,ex223_ex299_frontend_parallel_deep_20260614_0943,5782,4.648910,21098
ex285,unknown,12800,800,16,ex285_uc_boundary_alt_0_2_9_11,ex223_ex299_frontend_parallel_deep_20260614_0943,5499,2.327696,7301
ex288,unknown,31598,2257,14,ex288_unknown_symcof_keybdd_selected_interleave_f10_k6_keybdd_7_abc_g_aig,ex286_ex288_frontend_keybdd_selected_synth_20260609_1448,16394,1.927412,15204
ex292,unknown,135780,6789,20,ex292_r25_bdd_mod4_output_planes_abc_g_aig,ex200_ex299_frontend_refgap_round25_20260613_0506,84854,1.600160,50926
ex294,unknown,234608,10664,22,ex294_r81_octant_plane_descriptor_cofactor,frontend_radical_parallel_round81_20260613_1958,133365,1.759142,101243
ex297,unknown,425024,26564,16,ex297_r73_pairsel_cell_bit_template,frontend_source_parallel_round73_20260613_1414,225900,1.881470,199124
ex299,unknown,1774260,98570,18,ex299_uc_celllocal_quad_6_7_8_9,ex223_ex299_frontend_parallel_deep_20260614_0943,1013807,1.750096,760453
ex240,float_fp8,26230,610,43,ex240_r64_signmag_selected_output_factor_synth_preset,frontend_source_parallel_round64_20260613_1004,13299,1.972329,12931
ex241,float_fp8,15544,536,29,ex241_semantic_mul_product_nested_exp_synth_preset_aig,ex241_ex242_ex243_frontend_fp8_nested_tables_fix_20260608_1330,7224,2.151717,8320
ex244,float_fp8,10234,301,34,ex244_semantic_hypot_delta_maxeff_bdd_expfirst_synth_preset_aig,ex240_ex244_frontend_fp8_magbdd_deltaeff_20260608_1401,4272,2.395599,5962
ex245,float_fp8,23834,701,34,ex245_semantic_add_gap_class_synth_preset_aig,ex245_ex249_frontend_fp8_e5m2_curated_20260608_1715,11050,2.156923,12784
ex246,float_fp8,7502,341,22,ex246_semantic_mul_product_dc_seed12_set11to10_synth_preset_aig,ex246_frontend_fp8_e5m2_dc_neighbor12_20260608_2000,2805,2.674510,4697
ex247,float_fp8,8349,363,23,ex247_round5_bound_region_mux_abc_g_aig,ex200_ex299_frontend_refgap_round8_20260612_1826,2975,2.806387,5374
ex248,float_fp8,7938,294,27,ex248_r26r_fmod_norm_by_rem_abc_g_aig,ex240_ex299_frontend_gt2_round26_20260613_0556,4180,1.899043,3758
ex249,float_fp8,4368,168,26,ex249_semantic_hypot_threshold_rawexp_synth_preset_aig,ex245_ex249_frontend_fp8_e5m2_curated_20260608_1715,2079,2.101010,2289
ex260,integer,1104,92,12,ex260_smul_bw4_center_rhcla2_abc_g_aig,ex223_ex299_frontend_parallel_deep_20260614_0943,657,1.680365,447
ex266,integer,1480,148,10,ex266_udiv_ex266_cof_bhi2_a4_bitbdd_wordmux_synth_preset_d18,ex266_frontend_udiv_best_wordmux_flow_20260609_1204,848,1.745283,632
ex270,integer,3230,190,17,ex270_current_frontend_replay_post_dch,ex200_ex299_frontend_parallel_shared_20260612_1422,2076,1.555877,1154
ex273,integer,26301,797,33,ex273_square_hybrid_bddtop4_wreduce_abc_g_aig,ex273_ex274_frontend_square_block4_decomp_20260609_1240,15078,1.744329,11223
ex274,integer,41370,985,42,ex274_square_hybrid_bddtop2_trunc_synth_preset_d16,ex273_ex274_frontend_square_best_delaytarget_20260609_1345,21630,1.912621,19740
ex276,integer,1010,101,10,ex276_isqrt_prefix4_ge_bitwise_synth_preset,ex275_ex276_frontend_isqrt_newbest_gateflow_20260609_1656,632,1.598101,378
ex204,bf16,24576,1536,16,ex204_r24_bf16_log2_log2_arithbase_delta_hilo3_bits_11_14_bh2_abc_g_aig,ex200_ex299_frontend_refgap_round24_20260613_0435,15180,1.618972,9396
ex205,bf16,71040,4440,16,ex205_r97_sf_e3m3_b14_15_abc_g_aig,frontend_gt15_deepstruct_round97_20260614_0724,47128,1.507384,23912
ex218,bf16,5941,457,13,ex218_field_selector_abc_g_aig,ex200_ex299_frontend_refgap_round19_20260612_2346,3222,1.843886,2719
ex219,bf16,9212,658,14,ex219_r94_bf16_reciprocal_cbrt_delta_pair_mant64_hilo3_bits_6_cmp,frontend_bf16_unknown_struct_round94_20260614_0552,5640,1.633333,3572
ex223,fp16,203395,10705,19,ex223_r86_truthroot_bit11_abc_g_aig,frontend_truthroot_parallel_round86_20260613_2221,120549,1.687239,82846
ex224,fp16,93072,5817,16,ex224_expbase_xor_low12_hi6_synth_preset_aig,ex223_ex299_frontend_parallel_deep_20260614_0943,64708,1.438338,28364
ex225,fp16,218595,11505,19,ex225_r79_split_hi3_keep_highrun_abc_g_aig,frontend_source_parallel_round79_20260613_1838,116676,1.873522,101919
