case,candidate_id,hypothesis/function_guess,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,items,classification,notes
ex228,ex228_fp16_sinh_odd_sinh_saturation_shell,fp16_sinh,odd_sinh_saturation_shell,student/work/ex228_ex229_frontend_fp16_shells_20260607_1124/ex228/verilog/ex228_fp16_sinh_odd_sinh_saturation_shell.v,student/work/ex228_ex229_frontend_fp16_shells_20260607_1124/ex228/aigs/ex228_fp16_sinh_odd_sinh_saturation_shell.aig,1,1,0,,,,101205,,,,8.049,"odd_positive_table_items=18433; active_exps=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",semantic_shell,sinh positive table only below exp>=19 saturation
ex229,ex229_fp16_tanh_odd_tanh_saturation_shell,fp16_tanh,odd_tanh_saturation_shell,student/work/ex228_ex229_frontend_fp16_shells_20260607_1124/ex229/verilog/ex229_fp16_tanh_odd_tanh_saturation_shell.v,student/work/ex228_ex229_frontend_fp16_shells_20260607_1124/ex229/aigs/ex229_fp16_tanh_odd_tanh_saturation_shell.aig,1,1,0,,,,57968,,,,6.318,"odd_positive_table_items=17409; active_exps=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]",semantic_shell,tanh positive table only below exp>=18 saturation
