case,candidate_id,hypothesis/function_guess,variant,verilog_path,aig_path,verified_truth,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,classification,tool_chain,selection_reason,source_kind,source_csv,source_verilog_path,source_aig_path,notes
ex220,ex220_fp16_exp_exp_mant_pair_case,fp16_exp / fp16_exp / fp16_exp / fp16_exp,exp_mant_pair_case,student/seeds/fp16/ex220_ex239_backend_start_20260608_1008/ex220/verilog/ex220_fp16_exp_exp_mant_pair_case.v,student/seeds/fp16/ex220_ex239_backend_start_20260608_1008/ex220/aigs/ex220_fp16_exp_exp_mant_pair_case.aig,1,1,10754,22,236588,180404,1.311434,1,0,structural_exact,,current_best,current_best,student/results/current_best_by_case.csv,student/seeds/fp16/ex220_ex239_backend_start_20260608_1008/ex220/verilog/ex220_fp16_exp_exp_mant_pair_case.v,student/seeds/fp16/ex220_ex239_backend_start_20260608_1008/ex220/aigs/ex220_fp16_exp_exp_mant_pair_case.aig,structural_exact FP16 curated frontend candidate
ex221,ex221_fp16_exp2_semantic_positive_field_defaults,fp16_exp2 / fp16_exp2 / fp16_exp2 / fp16_exp2,semantic_positive_field_defaults,student/seeds/fp16/ex220_ex239_backend_start_20260608_1008/ex221/verilog/ex221_fp16_exp2_semantic_positive_field_defaults.v,student/seeds/fp16/ex220_ex239_backend_start_20260608_1008/ex221/aigs/ex221_fp16_exp2_semantic_positive_field_defaults.aig,1,1,6968,21,146328,105655,1.384960,1,0,semantic_hybrid,,current_best,current_best,student/results/current_best_by_case.csv,student/seeds/fp16/ex220_ex239_backend_start_20260608_1008/ex221/verilog/ex221_fp16_exp2_semantic_positive_field_defaults.v,student/seeds/fp16/ex220_ex239_backend_start_20260608_1008/ex221/aigs/ex221_fp16_exp2_semantic_positive_field_defaults.aig,semantic_hybrid FP16 frontend candidate
ex222,ex222_fp16_exp10_positive_default_exp_mant_case,fp16_exp10 / fp16_exp10 / fp16_exp10 / fp16_exp10,positive_default_exp_mant_case,student/seeds/fp16/ex220_ex239_backend_start_20260608_1008/ex222/verilog/ex222_fp16_exp10_positive_default_exp_mant_case.v,student/seeds/fp16/ex220_ex239_backend_start_20260608_1008/ex222/aigs/ex222_fp16_exp10_positive_default_exp_mant_case.aig,1,1,10615,22,233530,173621,1.345056,1,0,structural_exact,,current_best,current_best,student/results/current_best_by_case.csv,student/seeds/fp16/ex220_ex239_backend_start_20260608_1008/ex222/verilog/ex222_fp16_exp10_positive_default_exp_mant_case.v,student/seeds/fp16/ex220_ex239_backend_start_20260608_1008/ex222/aigs/ex222_fp16_exp10_positive_default_exp_mant_case.aig,structural_exact FP16 curated frontend candidate
ex223,ex223_log_nested_low11_hi5_abc_g_aig,fp16_log / fp16_log / fp16_log / fp16_log,log_nested_low11_hi5,student/seeds/fp16/ex220_ex239_backend_start_20260608_1008/ex223/verilog/ex223_log_nested_low11_hi5_abc_g_aig.v,student/seeds/fp16/ex220_ex239_backend_start_20260608_1008/ex223/aigs/ex223_log_nested_low11_hi5_abc_g_aig.aig,1,1,10753,19,204307,120549,1.694805,0,0,semantic_structural_exact,,current_best,current_best,student/results/current_best_by_case.csv,student/seeds/fp16/ex220_ex239_backend_start_20260608_1008/ex223/verilog/ex223_log_nested_low11_hi5_abc_g_aig.v,student/seeds/fp16/ex220_ex239_backend_start_20260608_1008/ex223/aigs/ex223_log_nested_low11_hi5_abc_g_aig.aig,positive-normal exp-group high-bit run trees plus nested low11 hi5 LUT; official evaluate.py OK
ex224,ex224_log_nested_low12_hi6_abc_g_aig,fp16_log2 / fp16_log2 / fp16_log2 / fp16_log2,log_nested_low12_hi6,student/seeds/fp16/ex220_ex239_backend_start_20260608_1008/ex224/verilog/ex224_log_nested_low12_hi6_abc_g_aig.v,student/seeds/fp16/ex220_ex239_backend_start_20260608_1008/ex224/aigs/ex224_log_nested_low12_hi6_abc_g_aig.aig,1,1,6014,16,96224,64708,1.487050,1,0,semantic_structural_exact,,current_best,current_best,student/results/current_best_by_case.csv,student/seeds/fp16/ex220_ex239_backend_start_20260608_1008/ex224/verilog/ex224_log_nested_low12_hi6_abc_g_aig.v,student/seeds/fp16/ex220_ex239_backend_start_20260608_1008/ex224/aigs/ex224_log_nested_low12_hi6_abc_g_aig.aig,positive-normal exp-group high-bit run trees plus nested low12 hi6 LUT; official evaluate.py OK
ex225,ex225_log_nested_low12_hi5_abc_g_aig,fp16_log10 / fp16_log10 / fp16_log10 / fp16_log10,log_nested_low12_hi5,student/seeds/fp16/ex220_ex239_backend_start_20260608_1008/ex225/verilog/ex225_log_nested_low12_hi5_abc_g_aig.v,student/seeds/fp16/ex220_ex239_backend_start_20260608_1008/ex225/aigs/ex225_log_nested_low12_hi5_abc_g_aig.aig,1,1,11533,19,219127,116676,1.878081,0,0,semantic_structural_exact,,current_best,current_best,student/results/current_best_by_case.csv,student/seeds/fp16/ex220_ex239_backend_start_20260608_1008/ex225/verilog/ex225_log_nested_low12_hi5_abc_g_aig.v,student/seeds/fp16/ex220_ex239_backend_start_20260608_1008/ex225/aigs/ex225_log_nested_low12_hi5_abc_g_aig.aig,positive-normal exp-group high-bit run trees plus nested low12 hi5 LUT; official evaluate.py OK
ex226,ex226_positive_default_exp_mant_case_abc_g_aig,fp16_sin / fp16_sin / fp16_sin / fp16_sin,abc_g_aig,student/seeds/fp16/ex220_ex239_backend_start_20260608_1008/ex226/verilog/ex226_positive_default_exp_mant_case_abc_g_aig.v,student/seeds/fp16/ex220_ex239_backend_start_20260608_1008/ex226/aigs/ex226_positive_default_exp_mant_case_abc_g_aig.aig,1,1,33356,22,733832,587790,1.248459,1,0,synthflow_exact,,current_best,current_best,student/results/current_best_by_case.csv,student/seeds/fp16/ex220_ex239_backend_start_20260608_1008/ex226/verilog/ex226_positive_default_exp_mant_case_abc_g_aig.v,student/seeds/fp16/ex220_ex239_backend_start_20260608_1008/ex226/aigs/ex226_positive_default_exp_mant_case_abc_g_aig.aig,Yosys abc gate set aig from positive/default exp-mant seed
ex227,ex227_positive_default_exp_mant_case_abc_g_aig,fp16_tan / fp16_tan / fp16_tan / fp16_tan,abc_g_aig,student/seeds/fp16/ex220_ex239_backend_start_20260608_1008/ex227/verilog/ex227_positive_default_exp_mant_case_abc_g_aig.v,student/seeds/fp16/ex220_ex239_backend_start_20260608_1008/ex227/aigs/ex227_positive_default_exp_mant_case_abc_g_aig.aig,1,1,40629,22,893838,721639,1.238622,1,0,synthflow_exact,,current_best,current_best,student/results/current_best_by_case.csv,student/seeds/fp16/ex220_ex239_backend_start_20260608_1008/ex227/verilog/ex227_positive_default_exp_mant_case_abc_g_aig.v,student/seeds/fp16/ex220_ex239_backend_start_20260608_1008/ex227/aigs/ex227_positive_default_exp_mant_case_abc_g_aig.aig,Yosys abc gate set aig from positive/default exp-mant seed
ex228,ex228_semantic_sign_exp_field_defaults_abc_g_aig,fp16_sinh / fp16_sinh / fp16_sinh / fp16_sinh,abc_g_aig,student/seeds/fp16/ex220_ex239_backend_start_20260608_1008/ex228/verilog/ex228_semantic_sign_exp_field_defaults_abc_g_aig.v,student/seeds/fp16/ex220_ex239_backend_start_20260608_1008/ex228/aigs/ex228_semantic_sign_exp_field_defaults_abc_g_aig.aig,1,1,6627,20,132540,101205,1.309619,1,0,synthflow_exact,,current_best,current_best,student/results/current_best_by_case.csv,student/seeds/fp16/ex220_ex239_backend_start_20260608_1008/ex228/verilog/ex228_semantic_sign_exp_field_defaults_abc_g_aig.v,student/seeds/fp16/ex220_ex239_backend_start_20260608_1008/ex228/aigs/ex228_semantic_sign_exp_field_defaults_abc_g_aig.aig,Yosys abc gate set aig from semantic sign/exp field-default seed
ex229,ex229_semantic_positive_field_defaults_abc_g_aig,fp16_tanh / fp16_tanh / fp16_tanh / fp16_tanh,abc_g_aig,student/seeds/fp16/ex220_ex239_backend_start_20260608_1008/ex229/verilog/ex229_semantic_positive_field_defaults_abc_g_aig.v,student/seeds/fp16/ex220_ex239_backend_start_20260608_1008/ex229/aigs/ex229_semantic_positive_field_defaults_abc_g_aig.aig,1,1,3971,19,75449,57968,1.301563,1,0,synthflow_exact,,current_best,current_best,student/results/current_best_by_case.csv,student/seeds/fp16/ex220_ex239_backend_start_20260608_1008/ex229/verilog/ex229_semantic_positive_field_defaults_abc_g_aig.v,student/seeds/fp16/ex220_ex239_backend_start_20260608_1008/ex229/aigs/ex229_semantic_positive_field_defaults_abc_g_aig.aig,Yosys abc gate set aig from semantic positive-field defaults seed
