case,selected_count,best_candidate_id,best_area,best_delay,best_adp,reference_adp,adp_ratio_to_reference,candidate_ids
ex220,5,ex220_fp16_exp_exp_mant_pair_case,10754,22,236588,180404,1.311434,ex220_fp16_exp_exp_mant_pair_case;ex220_fp16_exp_positive_default_exp_mant_case;ex220_fp16_exp_sign_exp_mant_case;ex220_fp16_exp_semantic_sign_exp_field_defaults;ex220_fp16_exp_sign_exp_default_expr_case
ex221,5,ex221_fp16_exp2_semantic_positive_field_defaults,6968,21,146328,105655,1.384960,ex221_fp16_exp2_semantic_positive_field_defaults;ex221_fp16_exp2_exp_mant_pair_case;ex221_fp16_exp2_positive_default_exp_mant_case;ex221_fp16_exp2_semantic_sign_exp_field_defaults;ex221_fp16_exp2_sign_exp_mant_case
ex222,5,ex222_fp16_exp10_positive_default_exp_mant_case,10615,22,233530,173621,1.345056,ex222_fp16_exp10_positive_default_exp_mant_case;ex222_fp16_exp10_sign_exp_default_expr_case;ex222_fp16_exp10_exp_mant_pair_case;ex222_fp16_exp10_sign_exp_mant_case;ex222_fp16_exp10_semantic_sign_exp_field_defaults
ex223,5,ex223_log_nested_low11_hi5_abc_g_aig,10753,19,204307,120549,1.694805,ex223_log_nested_low11_hi5_abc_g_aig;ex223_log_nested_low13_hi5_abc_g_aig;ex223_fp16_log_casez_sign_abc_g_aig;ex223_fp16_log_bitrun_bit14_t8;ex223_fp16_log_sign_exp_mant_case
ex224,5,ex224_log_nested_low12_hi6_abc_g_aig,6014,16,96224,64708,1.487050,ex224_log_nested_low12_hi6_abc_g_aig;ex224_log_nested_low15_hi5_abc_g_aig;ex224_fp16_log2_casez_sign_bits11_12_t8_abc_g_aig;ex224_fp16_log2_bitrun_bits12_9_t32;ex224_fp16_log2_bitvec_bits11_12_t32
ex225,5,ex225_log_nested_low12_hi5_abc_g_aig,11533,19,219127,116676,1.878081,ex225_log_nested_low12_hi5_abc_g_aig;ex225_log_nested_low13_hi5_abc_g_aig;ex225_manual15_14_13_predecode12_9_abc_g_aig;ex225_manual14_bit12run_bit9hilo_h8_abc_g_aig;ex225_bitrun_bits12_9_t32_abc_g_aig
ex226,5,ex226_positive_default_exp_mant_case_abc_g_aig,33356,22,733832,587790,1.248459,ex226_positive_default_exp_mant_case_abc_g_aig;ex226_abc_g_aig_abc_g_aig_d18;ex226_fp16_sin_semantic_positive_field_defaults;ex226_fp16_sin_split_sign_exp_mant_case;ex226_fp16_sin_exp_mant_delta_pair
ex227,5,ex227_positive_default_exp_mant_case_abc_g_aig,40629,22,893838,721639,1.238622,ex227_positive_default_exp_mant_case_abc_g_aig;ex227_abc_g_aig_abc_g_aig_d18;ex227_fp16_tan_split_sign_exp_mant_case;ex227_fp16_tan_semantic_sign_exp_field_defaults;ex227_fp16_tan_exp_mant_delta_pair
ex228,5,ex228_semantic_sign_exp_field_defaults_abc_g_aig,6627,20,132540,101205,1.309619,ex228_semantic_sign_exp_field_defaults_abc_g_aig;ex228_abc_g_aig_abc_g_aig_d18;ex228_fp16_sinh_split_sign_exp_mant_case;ex228_fp16_sinh_positive_default_exp_mant_case;ex228_fp16_sinh_positive_default_exp_mant_delta
ex229,5,ex229_semantic_positive_field_defaults_abc_g_aig,3971,19,75449,57968,1.301563,ex229_semantic_positive_field_defaults_abc_g_aig;ex229_abc_g_aig_abc_g_aig_d18;ex229_fp16_tanh_exp_mant_pair_case;ex229_fp16_tanh_positive_default_exp_mant_case;ex229_fp16_tanh_exp_mant_delta_pair
ex230,5,ex230_exp_mant_pair_case_abc_g_aig,6969,20,139380,108320,1.286743,ex230_exp_mant_pair_case_abc_g_aig;ex230_positive_default_exp_mant_case_abc_g_aig;ex230_semantic_sign_exp_field_defaults_abc_g_aig;ex230_fp16_sigmoid_sign_exp_mant_case;ex230_fp16_sigmoid_positive_default_exp_mant_delta
ex231,5,ex231_nested_bits9_hi6_abc_g_aig,1163,14,16282,14066,1.157543,ex231_nested_bits9_hi6_abc_g_aig;ex231_abc_g_aig_abc_g_aig;ex231_abc_g_aig_default_recheck;ex231_semantic_sign_exp_field_defaults_abc_g_aig;ex231_fp16_reciprocal_positive_default_exp_mant_delta
ex232,5,ex232_exp_formula_hi9_8_low8_nested_hi6_abc_g_aig,1240,13,16120,13392,1.203704,ex232_exp_formula_hi9_8_low8_nested_hi6_abc_g_aig;ex232_attr_abc_g_aig;ex232_abc_g_aig_default_recheck;ex232_exp_formula_hi9_8_low8_abc_g_aig;ex232_bitrun_bit9_t32_abc_g_aig
ex233,5,ex233_nested_bits9_8_hi6_abc_g_aig,1530,15,22950,20174,1.137603,ex233_nested_bits9_8_hi6_abc_g_aig;ex233_abc_g_aig_abc_g_aig;ex233_abc_g_aig_default_recheck;ex233_bitrun_bit11_t8_abc_g_aig;ex233_fp16_sqrt_bitvec_bits12_9_t32
ex234,5,ex234_nested_bits9_8_hi5_abc_g_aig,1351,17,22967,15561,1.475933,ex234_nested_bits9_8_hi5_abc_g_aig;ex234_abc_g_aig_abc_g_aig;ex234_fp16_reciprocal_square_sign_pair_case;ex234_abc_g_aig_default_recheck;ex234_semantic_sign_exp_field_defaults_abc_g_aig
ex235,5,ex235_direct_special_low8_hi6_synth_preset,1628,14,22792,20800,1.095769,ex235_direct_special_low8_hi6_synth_preset;ex235_direct_special_low8_hi6_abc_g_aig;ex235_open_low8_hi6_abc_g_aig;ex235_open_low8_hi6_abc_g_aig_d18;ex235_open_low8_hi6_default_recheck
ex236,5,ex236_core_clamp_hi6_abc_g_aig,1432,15,21480,17290,1.242337,ex236_core_clamp_hi6_abc_g_aig;ex236_core_clamp_hi6_abc_g_aig_d18;ex236_core_boundary_low14_hi6_abc_g_aig;ex236_sign_only_synth_preset;ex236_positive_default_exp_mant_delta_abc_g_aig
ex237,5,ex237_direct_special_low10_hi6_synth_preset,1889,16,30224,25440,1.188050,ex237_direct_special_low10_hi6_synth_preset;ex237_open_low10_hi6_abc_g_aig;ex237_vec_high_low10_hi6_abc_g_aig;ex237_open_low10_hi6_default_recheck;ex237_fp16_cbrt_exp_mant_pair_case
ex238,5,ex238_core_boundary_low12_hi6_synth_preset,1502,15,22530,16549,1.361412,ex238_core_boundary_low12_hi6_synth_preset;ex238_core_boundary_low15_hi5_synth_preset;ex238_core_clamp_hi5_abc_g_aig;ex238_b10_9_formula_expr_abc_g_aig;ex238_mag_b10_9_t16_abc_g_aig
ex239,5,ex239_direct_special_low7_hi6_abc_g_aig,2026,16,32416,25965,1.248450,ex239_direct_special_low7_hi6_abc_g_aig;ex239_direct_special_low8_hi6_abc_g_aig;ex239_semantic_shell_abc_g_aig;ex239_open_low8_hi6_abc_g_aig;ex239_positive_default_exp_mant_case_abc_g_aig
