case,candidate_id,verified_truth,equivalent,area,delay,adp,verilog_path,aig_path,notes
ex280,ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_split2_depth,1,1,817,29,23693,student/work/ex280_frontend_grouped_davio_refine_20260608_2348/ex280/verilog/ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_split2_depth.v,student/work/ex280_frontend_grouped_davio_refine_20260608_2348/ex280/aigs/ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_split2_depth.aig,unknown grouped ANF/Davio Verilog seed
ex280,ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_split3_node,1,1,777,28,21756,student/work/ex280_frontend_grouped_davio_refine_20260608_2348/ex280/verilog/ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_split3_node.v,student/work/ex280_frontend_grouped_davio_refine_20260608_2348/ex280/aigs/ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_split3_node.aig,unknown grouped ANF/Davio Verilog seed
ex280,ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_split3_depth,1,1,740,28,20720,student/work/ex280_frontend_grouped_davio_refine_20260608_2348/ex280/verilog/ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_split3_depth.v,student/work/ex280_frontend_grouped_davio_refine_20260608_2348/ex280/aigs/ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_split3_depth.aig,unknown grouped ANF/Davio Verilog seed
ex280,ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_split4_node,1,1,726,30,21780,student/work/ex280_frontend_grouped_davio_refine_20260608_2348/ex280/verilog/ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_split4_node.v,student/work/ex280_frontend_grouped_davio_refine_20260608_2348/ex280/aigs/ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_split4_node.aig,unknown grouped ANF/Davio Verilog seed
ex280,ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_split4_depth,1,1,733,29,21257,student/work/ex280_frontend_grouped_davio_refine_20260608_2348/ex280/verilog/ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_split4_depth.v,student/work/ex280_frontend_grouped_davio_refine_20260608_2348/ex280/aigs/ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_split4_depth.aig,unknown grouped ANF/Davio Verilog seed
ex280,ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_split5_node,1,1,671,30,20130,student/work/ex280_frontend_grouped_davio_refine_20260608_2348/ex280/verilog/ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_split5_node.v,student/work/ex280_frontend_grouped_davio_refine_20260608_2348/ex280/aigs/ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_split5_node.aig,unknown grouped ANF/Davio Verilog seed
ex280,ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_split5_depth,1,1,747,30,22410,student/work/ex280_frontend_grouped_davio_refine_20260608_2348/ex280/verilog/ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_split5_depth.v,student/work/ex280_frontend_grouped_davio_refine_20260608_2348/ex280/aigs/ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_split5_depth.aig,unknown grouped ANF/Davio Verilog seed
ex280,ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_split6_node,1,1,704,34,23936,student/work/ex280_frontend_grouped_davio_refine_20260608_2348/ex280/verilog/ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_split6_node.v,student/work/ex280_frontend_grouped_davio_refine_20260608_2348/ex280/aigs/ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_split6_node.aig,unknown grouped ANF/Davio Verilog seed
ex280,ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_split6_depth,1,1,730,34,24820,student/work/ex280_frontend_grouped_davio_refine_20260608_2348/ex280/verilog/ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_split6_depth.v,student/work/ex280_frontend_grouped_davio_refine_20260608_2348/ex280/aigs/ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_split6_depth.aig,unknown grouped ANF/Davio Verilog seed
ex280,ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_split7_node,1,1,748,32,23936,student/work/ex280_frontend_grouped_davio_refine_20260608_2348/ex280/verilog/ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_split7_node.v,student/work/ex280_frontend_grouped_davio_refine_20260608_2348/ex280/aigs/ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_split7_node.aig,unknown grouped ANF/Davio Verilog seed
ex280,ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_split7_depth,1,1,759,29,22011,student/work/ex280_frontend_grouped_davio_refine_20260608_2348/ex280/verilog/ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_split7_depth.v,student/work/ex280_frontend_grouped_davio_refine_20260608_2348/ex280/aigs/ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_split7_depth.aig,unknown grouped ANF/Davio Verilog seed
ex280,ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_low2_node,1,1,743,32,23776,student/work/ex280_frontend_grouped_davio_refine_20260608_2348/ex280/verilog/ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_low2_node.v,student/work/ex280_frontend_grouped_davio_refine_20260608_2348/ex280/aigs/ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_low2_node.aig,unknown grouped ANF/Davio Verilog seed
ex280,ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_low2_depth,1,1,743,32,23776,student/work/ex280_frontend_grouped_davio_refine_20260608_2348/ex280/verilog/ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_low2_depth.v,student/work/ex280_frontend_grouped_davio_refine_20260608_2348/ex280/aigs/ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_low2_depth.aig,unknown grouped ANF/Davio Verilog seed
ex280,ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_low3_node,1,1,718,36,25848,student/work/ex280_frontend_grouped_davio_refine_20260608_2348/ex280/verilog/ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_low3_node.v,student/work/ex280_frontend_grouped_davio_refine_20260608_2348/ex280/aigs/ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_low3_node.aig,unknown grouped ANF/Davio Verilog seed
ex280,ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_low3_depth,1,1,718,36,25848,student/work/ex280_frontend_grouped_davio_refine_20260608_2348/ex280/verilog/ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_low3_depth.v,student/work/ex280_frontend_grouped_davio_refine_20260608_2348/ex280/aigs/ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_low3_depth.aig,unknown grouped ANF/Davio Verilog seed
ex280,ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_low4_node,1,1,736,32,23552,student/work/ex280_frontend_grouped_davio_refine_20260608_2348/ex280/verilog/ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_low4_node.v,student/work/ex280_frontend_grouped_davio_refine_20260608_2348/ex280/aigs/ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_low4_node.aig,unknown grouped ANF/Davio Verilog seed
ex280,ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_low4_depth,1,1,730,34,24820,student/work/ex280_frontend_grouped_davio_refine_20260608_2348/ex280/verilog/ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_low4_depth.v,student/work/ex280_frontend_grouped_davio_refine_20260608_2348/ex280/aigs/ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_low4_depth.aig,unknown grouped ANF/Davio Verilog seed
ex280,ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_low5_node,1,1,667,36,24012,student/work/ex280_frontend_grouped_davio_refine_20260608_2348/ex280/verilog/ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_low5_node.v,student/work/ex280_frontend_grouped_davio_refine_20260608_2348/ex280/aigs/ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_low5_node.aig,unknown grouped ANF/Davio Verilog seed
ex280,ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_low5_depth,1,1,732,33,24156,student/work/ex280_frontend_grouped_davio_refine_20260608_2348/ex280/verilog/ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_low5_depth.v,student/work/ex280_frontend_grouped_davio_refine_20260608_2348/ex280/aigs/ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_low5_depth.aig,unknown grouped ANF/Davio Verilog seed
