case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,runtime_sec,items,notes
ex280,ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_high2_node,unknown_grouped_anf_davio,prefix_parity_reduce_deg0_high2_node,student/work/ex280_frontend_grouped_davio_refine_20260608_2348/ex280/verilog/ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_high2_node.v,student/work/ex280_frontend_grouped_davio_refine_20260608_2348/ex280/aigs/ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_high2_node.aig,1,1,1,729,29,21141,0.870,transform=prefix_parity_reduce; threshold=0; group_mode=high2; order_metric=node; groups=2; direct_terms=0; residual_terms=932; direct_unique=0; davio_nodes=627; max_est_depth=15; orders=0:endpoint_rev:bits=0.1.2.3.4.5.6.7.8.9:nodes=184:depth=15:emit=516|1:rot3:bits=10.11:nodes=46:depth=14:emit=111; hash=420ec9645800,unknown grouped ANF/Davio Verilog seed
ex280,ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_high2_depth,unknown_grouped_anf_davio,prefix_parity_reduce_deg0_high2_depth,student/work/ex280_frontend_grouped_davio_refine_20260608_2348/ex280/verilog/ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_high2_depth.v,student/work/ex280_frontend_grouped_davio_refine_20260608_2348/ex280/aigs/ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_high2_depth.aig,1,1,1,733,36,26388,0.870,transform=prefix_parity_reduce; threshold=0; group_mode=high2; order_metric=depth; groups=2; direct_terms=0; residual_terms=932; direct_unique=0; davio_nodes=568; max_est_depth=14; orders=0:center:bits=0.1.2.3.4.5.6.7.8.9:nodes=195:depth=14:emit=457|1:rot3:bits=10.11:nodes=46:depth=14:emit=111; hash=f88b07d63d8b,unknown grouped ANF/Davio Verilog seed
ex280,ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_high3_node,unknown_grouped_anf_davio,prefix_parity_reduce_deg0_high3_node,student/work/ex280_frontend_grouped_davio_refine_20260608_2348/ex280/verilog/ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_high3_node.v,student/work/ex280_frontend_grouped_davio_refine_20260608_2348/ex280/aigs/ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_high3_node.aig,1,1,1,732,27,19764,0.890,transform=prefix_parity_reduce; threshold=0; group_mode=high3; order_metric=node; groups=2; direct_terms=0; residual_terms=932; direct_unique=0; davio_nodes=643; max_est_depth=15; orders=0:endpoint_rev:bits=0.1.2.3.4.5.6.7.8:nodes=172:depth=15:emit=478|1:center:bits=9.10.11:nodes=60:depth=14:emit=165; hash=9cd481ae6956,unknown grouped ANF/Davio Verilog seed
ex280,ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_high3_depth,unknown_grouped_anf_davio,prefix_parity_reduce_deg0_high3_depth,student/work/ex280_frontend_grouped_davio_refine_20260608_2348/ex280/verilog/ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_high3_depth.v,student/work/ex280_frontend_grouped_davio_refine_20260608_2348/ex280/aigs/ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_high3_depth.aig,1,1,1,740,28,20720,0.883,transform=prefix_parity_reduce; threshold=0; group_mode=high3; order_metric=depth; groups=2; direct_terms=0; residual_terms=932; direct_unique=0; davio_nodes=639; max_est_depth=14; orders=0:endpoint:bits=0.1.2.3.4.5.6.7.8:nodes=183:depth=14:emit=474|1:center:bits=9.10.11:nodes=60:depth=14:emit=165; hash=49933c52b31f,unknown grouped ANF/Davio Verilog seed
ex280,ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_high4_node,unknown_grouped_anf_davio,prefix_parity_reduce_deg0_high4_node,student/work/ex280_frontend_grouped_davio_refine_20260608_2348/ex280/verilog/ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_high4_node.v,student/work/ex280_frontend_grouped_davio_refine_20260608_2348/ex280/aigs/ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_high4_node.aig,1,1,1,782,26,20332,0.890,transform=prefix_parity_reduce; threshold=0; group_mode=high4; order_metric=node; groups=2; direct_terms=0; residual_terms=932; direct_unique=0; davio_nodes=635; max_est_depth=14; orders=0:endpoint_rev:bits=0.1.2.3.4.5.6.7:nodes=140:depth=14:emit=396|1:center:bits=8.9.10.11:nodes=84:depth=14:emit=239; hash=85e080a096df,unknown grouped ANF/Davio Verilog seed
ex280,ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_high4_depth,unknown_grouped_anf_davio,prefix_parity_reduce_deg0_high4_depth,student/work/ex280_frontend_grouped_davio_refine_20260608_2348/ex280/verilog/ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_high4_depth.v,student/work/ex280_frontend_grouped_davio_refine_20260608_2348/ex280/aigs/ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_high4_depth.aig,1,1,1,733,29,21257,0.876,transform=prefix_parity_reduce; threshold=0; group_mode=high4; order_metric=depth; groups=2; direct_terms=0; residual_terms=932; direct_unique=0; davio_nodes=626; max_est_depth=14; orders=0:endpoint:bits=0.1.2.3.4.5.6.7:nodes=155:depth=13:emit=387|1:center:bits=8.9.10.11:nodes=84:depth=14:emit=239; hash=1a9e3c71b5a4,unknown grouped ANF/Davio Verilog seed
ex280,ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_high5_node,unknown_grouped_anf_davio,prefix_parity_reduce_deg0_high5_node,student/work/ex280_frontend_grouped_davio_refine_20260608_2348/ex280/verilog/ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_high5_node.v,student/work/ex280_frontend_grouped_davio_refine_20260608_2348/ex280/aigs/ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_high5_node.aig,1,1,1,748,32,23936,0.887,transform=prefix_parity_reduce; threshold=0; group_mode=high5; order_metric=node; groups=2; direct_terms=0; residual_terms=932; direct_unique=0; davio_nodes=634; max_est_depth=14; orders=0:endpoint_rev:bits=0.1.2.3.4.5.6:nodes=108:depth=14:emit=306|1:center:bits=7.8.9.10.11:nodes=116:depth=14:emit=328; hash=ee8d1f08bb22,unknown grouped ANF/Davio Verilog seed
ex280,ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_high5_depth,unknown_grouped_anf_davio,prefix_parity_reduce_deg0_high5_depth,student/work/ex280_frontend_grouped_davio_refine_20260608_2348/ex280/verilog/ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_high5_depth.v,student/work/ex280_frontend_grouped_davio_refine_20260608_2348/ex280/aigs/ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_high5_depth.aig,1,1,1,759,29,22011,0.886,transform=prefix_parity_reduce; threshold=0; group_mode=high5; order_metric=depth; groups=2; direct_terms=0; residual_terms=932; direct_unique=0; davio_nodes=620; max_est_depth=14; orders=0:endpoint:bits=0.1.2.3.4.5.6:nodes=122:depth=12:emit=292|1:center:bits=7.8.9.10.11:nodes=116:depth=14:emit=328; hash=1623f61ce796,unknown grouped ANF/Davio Verilog seed
ex280,ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_high6_node,unknown_grouped_anf_davio,prefix_parity_reduce_deg0_high6_node,student/work/ex280_frontend_grouped_davio_refine_20260608_2348/ex280/verilog/ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_high6_node.v,student/work/ex280_frontend_grouped_davio_refine_20260608_2348/ex280/aigs/ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_high6_node.aig,1,1,1,704,34,23936,0.856,transform=prefix_parity_reduce; threshold=0; group_mode=high6; order_metric=node; groups=2; direct_terms=0; residual_terms=932; direct_unique=0; davio_nodes=575; max_est_depth=14; orders=0:center:bits=0.1.2.3.4.5:nodes=91:depth=14:emit=189|1:endpoint:bits=6.7.8.9.10.11:nodes=150:depth=14:emit=386; hash=bc93898023c5,unknown grouped ANF/Davio Verilog seed
ex280,ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_high6_depth,unknown_grouped_anf_davio,prefix_parity_reduce_deg0_high6_depth,student/work/ex280_frontend_grouped_davio_refine_20260608_2348/ex280/verilog/ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_high6_depth.v,student/work/ex280_frontend_grouped_davio_refine_20260608_2348/ex280/aigs/ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_high6_depth.aig,1,1,1,730,34,24820,0.864,transform=prefix_parity_reduce; threshold=0; group_mode=high6; order_metric=depth; groups=2; direct_terms=0; residual_terms=932; direct_unique=0; davio_nodes=608; max_est_depth=14; orders=0:endpoint:bits=0.1.2.3.4.5:nodes=99:depth=12:emit=222|1:endpoint:bits=6.7.8.9.10.11:nodes=150:depth=14:emit=386; hash=88e72437a25a,unknown grouped ANF/Davio Verilog seed
ex280,ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_high7_node,unknown_grouped_anf_davio,prefix_parity_reduce_deg0_high7_node,student/work/ex280_frontend_grouped_davio_refine_20260608_2348/ex280/verilog/ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_high7_node.v,student/work/ex280_frontend_grouped_davio_refine_20260608_2348/ex280/aigs/ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_high7_node.aig,1,1,1,667,36,24012,0.869,transform=prefix_parity_reduce; threshold=0; group_mode=high7; order_metric=node; groups=2; direct_terms=0; residual_terms=932; direct_unique=0; davio_nodes=597; max_est_depth=14; orders=0:center:bits=0.1.2.3.4:nodes=74:depth=14:emit=146|1:center:bits=5.6.7.8.9.10.11:nodes=171:depth=14:emit=451; hash=1c9a3ebb4330,unknown grouped ANF/Davio Verilog seed
