case     status           area    delay            adp
------------------------------------------------------
ex200    OK              18311       36         659196
ex201    OK               8345       33         275385
ex202    OK              17826       36         641736
ex203    OK              27907       45        1255815
ex204    OK              16792       38         638096
ex205    OK              28647       40        1145880
ex206    OK             115161       55        6333855
ex207    OK             162389       59        9580951
ex208    OK               9780       33         322740
ex209    OK               3310       31         102610
ex210    OK              11872       34         403648
ex211    OK               1670       25          41750
ex212    OK               1409       24          33816
ex213    OK               4187       25         104675
ex214    OK               1779       25          44475
ex215    OK               5617       27         151659
ex216    OK               2835       26          73710
ex217    OK               7536       29         218544
ex218    OK               2846       27          76842
ex219    OK               7466       30         223980
ex220    OK              67046       52        3486392
ex221    OK              44788       38        1701944
ex222    OK              67111       53        3556883
ex223    OK              74386       58        4314388
ex224    OK              54362       45        2446290
ex225    OK              72272       60        4336320
ex226    OK             133910       61        8168510
ex227    OK             152514       61        9303354
ex228    OK              36194       51        1845894
ex229    OK              18081       40         723240
ex230    OK              44104       52        2293408
ex231    OK               4669       35         163415
ex232    OK               4902       30         147060
ex233    OK              16182       40         647280
ex234    OK               5612       33         185196
ex235    OK              15716       34         534344
ex236    OK              10507       31         325717
ex237    OK              22639       36         815004
ex238    OK              10259       31         318029
ex239    OK              24517       46        1127782
ex240    OK              27130       39        1058070
ex241    OK              12019       36         432684
ex242    OK              13652       35         477820
ex243    OK              20102       39         783978
ex244    OK               5989       31         185659
ex245    OK              14726       37         544862
ex246    OK               7201       30         216030
ex247    OK               7787       28         218036
ex248    OK              12483       34         424422
ex249    OK               2299       28          64372
ex250    OK              18131       38         688978
ex251    OK              21332       40         853280
ex252    OK              76443       49        3745707
ex253    OK              13901       35         486535
ex254    OK              26146       38         993548
ex255    OK                456       16           7296
ex256    OK               1872       23          43056
ex257    OK               7994       31         247814
ex258    OK              30474       46        1401804
ex259    OK             120875       69        8340375
ex260    OK                364       16           5824
ex261    OK               1419       23          32637
ex262    OK               5500       29         159500
ex263    OK              22590       46        1039140
ex264    OK              88987       65        5784155
ex265    OK                162       15           2430
ex266    OK                421       20           8420
ex267    OK               1037       22          22814
ex268    OK               2517       29          72993
ex269    OK               6217       32         198944
ex270    OK                673       16          10768
ex271    OK               2726       23          62698
ex272    OK              11077       38         420926
ex273    OK              43122       67        2889174
ex274    OK             168031      111       18651441
ex275    OK                106       14           1484
ex276    OK                342       21           7182
ex277    OK                769       21          16149
ex278    OK               2009       25          50225
ex279    OK               4598       32         147136
ex280    OK               4288       26         111488
ex281    OK               7154       30         214620
ex282    OK               9481       31         293911
ex283    OK              15397       38         585086
ex284    OK              20683       38         785954
ex285    OK               8915       27         240705
ex286    OK              11289       27         304803
ex287    OK              21536       31         667616
ex288    OK              35493       32        1135776
ex289    OK              46977       33        1550241
ex290    OK              14895       30         446850
ex291    OK              22942       29         665318
ex292    OK              33699       31        1044669
ex293    OK              46739       31        1448909
ex294    OK              61486       37        2274982
ex295    OK              26527       34         901918
ex296    OK              31804       36        1144944
ex297    OK             113640       53        6022920
ex298    OK             132341       56        7411096
ex299    OK             472167       71       33523857
------------------------------------------------------
Equivalent cases: 100/100
Total ADP over equivalent cases: 180343842
