case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex260,ex260_smul_baugh_wooley_wallace_center_hcla4_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_center_hcla4+abc_g_aig,student/work/ex260_ex264_frontend_smul_order_center_fix_20260609_0601/ex260/verilog/ex260_smul_baugh_wooley_wallace_center_hcla4.v,student/work/ex260_ex264_frontend_smul_order_center_fix_20260609_0601/ex260/aigs/ex260_smul_baugh_wooley_wallace_center_hcla4_abc_g_aig.aig,1,1,1,91,14,1274,657,1.939117,0,0,0.217,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_center_hcla4; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_center_hcla4_wreduce_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_center_hcla4+wreduce_abc_g_aig,student/work/ex260_ex264_frontend_smul_order_center_fix_20260609_0601/ex260/verilog/ex260_smul_baugh_wooley_wallace_center_hcla4.v,student/work/ex260_ex264_frontend_smul_order_center_fix_20260609_0601/ex260/aigs/ex260_smul_baugh_wooley_wallace_center_hcla4_wreduce_abc_g_aig.aig,1,1,1,91,14,1274,657,1.939117,0,0,0.218,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_center_hcla4; flow=wreduce_abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_center_hcla4_synth_preset_d13,signed low4_high4:a*b,baugh_wooley_wallace_center_hcla4+synth_preset_d13,student/work/ex260_ex264_frontend_smul_order_center_fix_20260609_0601/ex260/verilog/ex260_smul_baugh_wooley_wallace_center_hcla4.v,student/work/ex260_ex264_frontend_smul_order_center_fix_20260609_0601/ex260/aigs/ex260_smul_baugh_wooley_wallace_center_hcla4_synth_preset_d13.aig,1,1,1,90,14,1260,657,1.917808,0,0,0.256,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_center_hcla4; flow=synth_preset_d13
ex260,ex260_smul_baugh_wooley_wallace_center_rhcla3_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_center_rhcla3+abc_g_aig,student/work/ex260_ex264_frontend_smul_order_center_fix_20260609_0601/ex260/verilog/ex260_smul_baugh_wooley_wallace_center_rhcla3.v,student/work/ex260_ex264_frontend_smul_order_center_fix_20260609_0601/ex260/aigs/ex260_smul_baugh_wooley_wallace_center_rhcla3_abc_g_aig.aig,1,1,1,89,14,1246,657,1.896499,0,0,0.207,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_center_rhcla3; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_center_rhcla3_wreduce_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_center_rhcla3+wreduce_abc_g_aig,student/work/ex260_ex264_frontend_smul_order_center_fix_20260609_0601/ex260/verilog/ex260_smul_baugh_wooley_wallace_center_rhcla3.v,student/work/ex260_ex264_frontend_smul_order_center_fix_20260609_0601/ex260/aigs/ex260_smul_baugh_wooley_wallace_center_rhcla3_wreduce_abc_g_aig.aig,1,1,1,89,14,1246,657,1.896499,0,0,0.214,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_center_rhcla3; flow=wreduce_abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_center_rhcla3_synth_preset_d13,signed low4_high4:a*b,baugh_wooley_wallace_center_rhcla3+synth_preset_d13,student/work/ex260_ex264_frontend_smul_order_center_fix_20260609_0601/ex260/verilog/ex260_smul_baugh_wooley_wallace_center_rhcla3.v,student/work/ex260_ex264_frontend_smul_order_center_fix_20260609_0601/ex260/aigs/ex260_smul_baugh_wooley_wallace_center_rhcla3_synth_preset_d13.aig,1,1,1,90,14,1260,657,1.917808,0,0,0.265,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_center_rhcla3; flow=synth_preset_d13
ex260,ex260_smul_baugh_wooley_wallace_center_rhcla4_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_center_rhcla4+abc_g_aig,student/work/ex260_ex264_frontend_smul_order_center_fix_20260609_0601/ex260/verilog/ex260_smul_baugh_wooley_wallace_center_rhcla4.v,student/work/ex260_ex264_frontend_smul_order_center_fix_20260609_0601/ex260/aigs/ex260_smul_baugh_wooley_wallace_center_rhcla4_abc_g_aig.aig,1,1,1,90,14,1260,657,1.917808,0,0,0.203,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_center_rhcla4; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_center_rhcla4_wreduce_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_center_rhcla4+wreduce_abc_g_aig,student/work/ex260_ex264_frontend_smul_order_center_fix_20260609_0601/ex260/verilog/ex260_smul_baugh_wooley_wallace_center_rhcla4.v,student/work/ex260_ex264_frontend_smul_order_center_fix_20260609_0601/ex260/aigs/ex260_smul_baugh_wooley_wallace_center_rhcla4_wreduce_abc_g_aig.aig,1,1,1,90,14,1260,657,1.917808,0,0,0.206,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_center_rhcla4; flow=wreduce_abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_center_rhcla4_synth_preset_d13,signed low4_high4:a*b,baugh_wooley_wallace_center_rhcla4+synth_preset_d13,student/work/ex260_ex264_frontend_smul_order_center_fix_20260609_0601/ex260/verilog/ex260_smul_baugh_wooley_wallace_center_rhcla4.v,student/work/ex260_ex264_frontend_smul_order_center_fix_20260609_0601/ex260/aigs/ex260_smul_baugh_wooley_wallace_center_rhcla4_synth_preset_d13.aig,1,1,1,90,14,1260,657,1.917808,0,0,0.269,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_center_rhcla4; flow=synth_preset_d13
ex260,ex260_smul_baugh_wooley_wallace_evenodd_hcla4_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_evenodd_hcla4+abc_g_aig,student/work/ex260_ex264_frontend_smul_order_center_fix_20260609_0601/ex260/verilog/ex260_smul_baugh_wooley_wallace_evenodd_hcla4.v,student/work/ex260_ex264_frontend_smul_order_center_fix_20260609_0601/ex260/aigs/ex260_smul_baugh_wooley_wallace_evenodd_hcla4_abc_g_aig.aig,1,1,1,92,15,1380,657,2.100457,0,0,0.206,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_evenodd_hcla4; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_evenodd_hcla4_wreduce_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_evenodd_hcla4+wreduce_abc_g_aig,student/work/ex260_ex264_frontend_smul_order_center_fix_20260609_0601/ex260/verilog/ex260_smul_baugh_wooley_wallace_evenodd_hcla4.v,student/work/ex260_ex264_frontend_smul_order_center_fix_20260609_0601/ex260/aigs/ex260_smul_baugh_wooley_wallace_evenodd_hcla4_wreduce_abc_g_aig.aig,1,1,1,90,14,1260,657,1.917808,0,0,0.209,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_evenodd_hcla4; flow=wreduce_abc_g_aig
