case,candidate_id,equivalent,area,delay,adp,aig_path,notes
ex260,ex260_smul_baugh_wooley_wallace_center_hcla4_abc_g_aig,1,91,14,1274,student/work/ex260_ex264_frontend_smul_order_center_fix_20260609_0601/ex260/aigs/ex260_smul_baugh_wooley_wallace_center_hcla4_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_center_hcla4; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_center_hcla4_wreduce_abc_g_aig,1,91,14,1274,student/work/ex260_ex264_frontend_smul_order_center_fix_20260609_0601/ex260/aigs/ex260_smul_baugh_wooley_wallace_center_hcla4_wreduce_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_center_hcla4; flow=wreduce_abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_center_hcla4_synth_preset_d13,1,90,14,1260,student/work/ex260_ex264_frontend_smul_order_center_fix_20260609_0601/ex260/aigs/ex260_smul_baugh_wooley_wallace_center_hcla4_synth_preset_d13.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_center_hcla4; flow=synth_preset_d13
ex260,ex260_smul_baugh_wooley_wallace_center_rhcla3_abc_g_aig,1,89,14,1246,student/work/ex260_ex264_frontend_smul_order_center_fix_20260609_0601/ex260/aigs/ex260_smul_baugh_wooley_wallace_center_rhcla3_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_center_rhcla3; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_center_rhcla3_wreduce_abc_g_aig,1,89,14,1246,student/work/ex260_ex264_frontend_smul_order_center_fix_20260609_0601/ex260/aigs/ex260_smul_baugh_wooley_wallace_center_rhcla3_wreduce_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_center_rhcla3; flow=wreduce_abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_center_rhcla3_synth_preset_d13,1,90,14,1260,student/work/ex260_ex264_frontend_smul_order_center_fix_20260609_0601/ex260/aigs/ex260_smul_baugh_wooley_wallace_center_rhcla3_synth_preset_d13.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_center_rhcla3; flow=synth_preset_d13
ex260,ex260_smul_baugh_wooley_wallace_center_rhcla4_abc_g_aig,1,90,14,1260,student/work/ex260_ex264_frontend_smul_order_center_fix_20260609_0601/ex260/aigs/ex260_smul_baugh_wooley_wallace_center_rhcla4_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_center_rhcla4; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_center_rhcla4_wreduce_abc_g_aig,1,90,14,1260,student/work/ex260_ex264_frontend_smul_order_center_fix_20260609_0601/ex260/aigs/ex260_smul_baugh_wooley_wallace_center_rhcla4_wreduce_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_center_rhcla4; flow=wreduce_abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_center_rhcla4_synth_preset_d13,1,90,14,1260,student/work/ex260_ex264_frontend_smul_order_center_fix_20260609_0601/ex260/aigs/ex260_smul_baugh_wooley_wallace_center_rhcla4_synth_preset_d13.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_center_rhcla4; flow=synth_preset_d13
ex260,ex260_smul_baugh_wooley_wallace_evenodd_hcla4_abc_g_aig,1,92,15,1380,student/work/ex260_ex264_frontend_smul_order_center_fix_20260609_0601/ex260/aigs/ex260_smul_baugh_wooley_wallace_evenodd_hcla4_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_evenodd_hcla4; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_evenodd_hcla4_wreduce_abc_g_aig,1,90,14,1260,student/work/ex260_ex264_frontend_smul_order_center_fix_20260609_0601/ex260/aigs/ex260_smul_baugh_wooley_wallace_evenodd_hcla4_wreduce_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_evenodd_hcla4; flow=wreduce_abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_evenodd_hcla4_synth_preset_d13,1,91,14,1274,student/work/ex260_ex264_frontend_smul_order_center_fix_20260609_0601/ex260/aigs/ex260_smul_baugh_wooley_wallace_evenodd_hcla4_synth_preset_d13.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_evenodd_hcla4; flow=synth_preset_d13
ex260,ex260_smul_baugh_wooley_wallace_evenodd_rhcla4_abc_g_aig,1,91,14,1274,student/work/ex260_ex264_frontend_smul_order_center_fix_20260609_0601/ex260/aigs/ex260_smul_baugh_wooley_wallace_evenodd_rhcla4_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_evenodd_rhcla4; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_evenodd_rhcla4_wreduce_abc_g_aig,1,91,14,1274,student/work/ex260_ex264_frontend_smul_order_center_fix_20260609_0601/ex260/aigs/ex260_smul_baugh_wooley_wallace_evenodd_rhcla4_wreduce_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_evenodd_rhcla4; flow=wreduce_abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_evenodd_rhcla4_synth_preset_d13,1,91,14,1274,student/work/ex260_ex264_frontend_smul_order_center_fix_20260609_0601/ex260/aigs/ex260_smul_baugh_wooley_wallace_evenodd_rhcla4_synth_preset_d13.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_evenodd_rhcla4; flow=synth_preset_d13
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla4_abc_g_aig,1,88,13,1144,student/work/ex260_ex264_frontend_smul_order_center_fix_20260609_0601/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla4_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla4; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla4_wreduce_abc_g_aig,1,88,13,1144,student/work/ex260_ex264_frontend_smul_order_center_fix_20260609_0601/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla4_wreduce_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla4; flow=wreduce_abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla4_synth_preset_d13,1,88,16,1408,student/work/ex260_ex264_frontend_smul_order_center_fix_20260609_0601/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla4_synth_preset_d13.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla4; flow=synth_preset_d13
ex260,ex260_smul_baugh_wooley_wallace_outside_rhcla4_abc_g_aig,1,93,14,1302,student/work/ex260_ex264_frontend_smul_order_center_fix_20260609_0601/ex260/aigs/ex260_smul_baugh_wooley_wallace_outside_rhcla4_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_outside_rhcla4; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_outside_rhcla4_wreduce_abc_g_aig,1,93,14,1302,student/work/ex260_ex264_frontend_smul_order_center_fix_20260609_0601/ex260/aigs/ex260_smul_baugh_wooley_wallace_outside_rhcla4_wreduce_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_outside_rhcla4; flow=wreduce_abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_outside_rhcla4_synth_preset_d13,1,93,14,1302,student/work/ex260_ex264_frontend_smul_order_center_fix_20260609_0601/ex260/aigs/ex260_smul_baugh_wooley_wallace_outside_rhcla4_synth_preset_d13.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_outside_rhcla4; flow=synth_preset_d13
ex260,ex260_smul_baugh_wooley_wallace_rev_rhcla3_abc_g_aig,1,87,16,1392,student/work/ex260_ex264_frontend_smul_order_center_fix_20260609_0601/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_rhcla3_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_rhcla3; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_rev_rhcla3_wreduce_abc_g_aig,1,87,16,1392,student/work/ex260_ex264_frontend_smul_order_center_fix_20260609_0601/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_rhcla3_wreduce_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_rhcla3; flow=wreduce_abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_rev_rhcla3_synth_preset_d13,1,88,14,1232,student/work/ex260_ex264_frontend_smul_order_center_fix_20260609_0601/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_rhcla3_synth_preset_d13.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_rhcla3; flow=synth_preset_d13
ex261,ex261_smul_baugh_wooley_wallace_center_hcla4_abc_g_aig,1,165,19,3135,student/work/ex260_ex264_frontend_smul_order_center_fix_20260609_0601/ex261/aigs/ex261_smul_baugh_wooley_wallace_center_hcla4_abc_g_aig.aig,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_center_hcla4; flow=abc_g_aig
ex261,ex261_smul_baugh_wooley_wallace_center_hcla4_wreduce_abc_g_aig,1,165,19,3135,student/work/ex260_ex264_frontend_smul_order_center_fix_20260609_0601/ex261/aigs/ex261_smul_baugh_wooley_wallace_center_hcla4_wreduce_abc_g_aig.aig,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_center_hcla4; flow=wreduce_abc_g_aig
ex261,ex261_smul_baugh_wooley_wallace_center_hcla4_synth_preset_d13,1,167,19,3173,student/work/ex260_ex264_frontend_smul_order_center_fix_20260609_0601/ex261/aigs/ex261_smul_baugh_wooley_wallace_center_hcla4_synth_preset_d13.aig,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_center_hcla4; flow=synth_preset_d13
ex261,ex261_smul_baugh_wooley_wallace_center_rhcla3_abc_g_aig,1,161,19,3059,student/work/ex260_ex264_frontend_smul_order_center_fix_20260609_0601/ex261/aigs/ex261_smul_baugh_wooley_wallace_center_rhcla3_abc_g_aig.aig,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_center_rhcla3; flow=abc_g_aig
ex261,ex261_smul_baugh_wooley_wallace_center_rhcla3_wreduce_abc_g_aig,1,160,20,3200,student/work/ex260_ex264_frontend_smul_order_center_fix_20260609_0601/ex261/aigs/ex261_smul_baugh_wooley_wallace_center_rhcla3_wreduce_abc_g_aig.aig,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_center_rhcla3; flow=wreduce_abc_g_aig
ex261,ex261_smul_baugh_wooley_wallace_center_rhcla3_synth_preset_d13,1,166,19,3154,student/work/ex260_ex264_frontend_smul_order_center_fix_20260609_0601/ex261/aigs/ex261_smul_baugh_wooley_wallace_center_rhcla3_synth_preset_d13.aig,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_center_rhcla3; flow=synth_preset_d13
ex261,ex261_smul_baugh_wooley_wallace_center_rhcla4_abc_g_aig,1,165,18,2970,student/work/ex260_ex264_frontend_smul_order_center_fix_20260609_0601/ex261/aigs/ex261_smul_baugh_wooley_wallace_center_rhcla4_abc_g_aig.aig,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_center_rhcla4; flow=abc_g_aig
ex261,ex261_smul_baugh_wooley_wallace_center_rhcla4_wreduce_abc_g_aig,1,164,19,3116,student/work/ex260_ex264_frontend_smul_order_center_fix_20260609_0601/ex261/aigs/ex261_smul_baugh_wooley_wallace_center_rhcla4_wreduce_abc_g_aig.aig,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_center_rhcla4; flow=wreduce_abc_g_aig
