case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex275,ex275_isqrt_prefix3_ge_tree_msb_abc_g_aig,unsigned_floor_isqrt,prefix3_ge_tree_msb+abc_g_aig,student/work/ex275_ex276_frontend_isqrt_prefix_ge_tree_20260609_1656/ex275/verilog/ex275_isqrt_prefix3_ge_tree_msb.v,student/work/ex275_ex276_frontend_isqrt_prefix_ge_tree_20260609_1656/ex275/aigs/ex275_isqrt_prefix3_ge_tree_msb_abc_g_aig.aig,1,1,1,46,9,414,204,2.029412,0,0,0.222,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix3_ge_tree_msb; flow=abc_g_aig
ex275,ex275_isqrt_prefix3_ge_tree_msb_wreduce_abc_g_aig,unsigned_floor_isqrt,prefix3_ge_tree_msb+wreduce_abc_g_aig,student/work/ex275_ex276_frontend_isqrt_prefix_ge_tree_20260609_1656/ex275/verilog/ex275_isqrt_prefix3_ge_tree_msb.v,student/work/ex275_ex276_frontend_isqrt_prefix_ge_tree_20260609_1656/ex275/aigs/ex275_isqrt_prefix3_ge_tree_msb_wreduce_abc_g_aig.aig,1,1,1,46,10,460,204,2.254902,0,0,0.216,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix3_ge_tree_msb; flow=wreduce_abc_g_aig
ex275,ex275_isqrt_prefix3_ge_tree_msb_arith_wreduce_aig,unsigned_floor_isqrt,prefix3_ge_tree_msb+arith_wreduce_aig,student/work/ex275_ex276_frontend_isqrt_prefix_ge_tree_20260609_1656/ex275/verilog/ex275_isqrt_prefix3_ge_tree_msb.v,student/work/ex275_ex276_frontend_isqrt_prefix_ge_tree_20260609_1656/ex275/aigs/ex275_isqrt_prefix3_ge_tree_msb_arith_wreduce_aig.aig,1,1,1,46,10,460,204,2.254902,0,0,0.220,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix3_ge_tree_msb; flow=arith_wreduce_aig
ex275,ex275_isqrt_prefix3_ge_tree_msb_synth_preset,unsigned_floor_isqrt,prefix3_ge_tree_msb+synth_preset,student/work/ex275_ex276_frontend_isqrt_prefix_ge_tree_20260609_1656/ex275/verilog/ex275_isqrt_prefix3_ge_tree_msb.v,student/work/ex275_ex276_frontend_isqrt_prefix_ge_tree_20260609_1656/ex275/aigs/ex275_isqrt_prefix3_ge_tree_msb_synth_preset.aig,1,1,1,46,9,414,204,2.029412,0,0,0.279,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix3_ge_tree_msb; flow=synth_preset
ex275,ex275_isqrt_prefix3_ge_tree_msb_synth_preset_d6,unsigned_floor_isqrt,prefix3_ge_tree_msb+synth_preset_d6,student/work/ex275_ex276_frontend_isqrt_prefix_ge_tree_20260609_1656/ex275/verilog/ex275_isqrt_prefix3_ge_tree_msb.v,student/work/ex275_ex276_frontend_isqrt_prefix_ge_tree_20260609_1656/ex275/aigs/ex275_isqrt_prefix3_ge_tree_msb_synth_preset_d6.aig,1,1,1,46,9,414,204,2.029412,0,0,0.303,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix3_ge_tree_msb; flow=synth_preset_d6
ex275,ex275_isqrt_prefix3_ge_tree_msb_synth_preset_d8,unsigned_floor_isqrt,prefix3_ge_tree_msb+synth_preset_d8,student/work/ex275_ex276_frontend_isqrt_prefix_ge_tree_20260609_1656/ex275/verilog/ex275_isqrt_prefix3_ge_tree_msb.v,student/work/ex275_ex276_frontend_isqrt_prefix_ge_tree_20260609_1656/ex275/aigs/ex275_isqrt_prefix3_ge_tree_msb_synth_preset_d8.aig,1,1,1,46,9,414,204,2.029412,0,0,0.279,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix3_ge_tree_msb; flow=synth_preset_d8
ex275,ex275_isqrt_prefix3_ge_tree_msb_synth_preset_d10,unsigned_floor_isqrt,prefix3_ge_tree_msb+synth_preset_d10,student/work/ex275_ex276_frontend_isqrt_prefix_ge_tree_20260609_1656/ex275/verilog/ex275_isqrt_prefix3_ge_tree_msb.v,student/work/ex275_ex276_frontend_isqrt_prefix_ge_tree_20260609_1656/ex275/aigs/ex275_isqrt_prefix3_ge_tree_msb_synth_preset_d10.aig,1,1,1,46,9,414,204,2.029412,0,0,0.280,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix3_ge_tree_msb; flow=synth_preset_d10
ex275,ex275_isqrt_prefix4_ge_tree_msb_abc_g_aig,unsigned_floor_isqrt,prefix4_ge_tree_msb+abc_g_aig,student/work/ex275_ex276_frontend_isqrt_prefix_ge_tree_20260609_1656/ex275/verilog/ex275_isqrt_prefix4_ge_tree_msb.v,student/work/ex275_ex276_frontend_isqrt_prefix_ge_tree_20260609_1656/ex275/aigs/ex275_isqrt_prefix4_ge_tree_msb_abc_g_aig.aig,1,1,1,46,10,460,204,2.254902,0,0,0.217,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix4_ge_tree_msb; flow=abc_g_aig
ex275,ex275_isqrt_prefix4_ge_tree_msb_wreduce_abc_g_aig,unsigned_floor_isqrt,prefix4_ge_tree_msb+wreduce_abc_g_aig,student/work/ex275_ex276_frontend_isqrt_prefix_ge_tree_20260609_1656/ex275/verilog/ex275_isqrt_prefix4_ge_tree_msb.v,student/work/ex275_ex276_frontend_isqrt_prefix_ge_tree_20260609_1656/ex275/aigs/ex275_isqrt_prefix4_ge_tree_msb_wreduce_abc_g_aig.aig,1,1,1,44,10,440,204,2.156863,0,0,0.210,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix4_ge_tree_msb; flow=wreduce_abc_g_aig
ex275,ex275_isqrt_prefix4_ge_tree_msb_arith_wreduce_aig,unsigned_floor_isqrt,prefix4_ge_tree_msb+arith_wreduce_aig,student/work/ex275_ex276_frontend_isqrt_prefix_ge_tree_20260609_1656/ex275/verilog/ex275_isqrt_prefix4_ge_tree_msb.v,student/work/ex275_ex276_frontend_isqrt_prefix_ge_tree_20260609_1656/ex275/aigs/ex275_isqrt_prefix4_ge_tree_msb_arith_wreduce_aig.aig,1,1,1,46,10,460,204,2.254902,0,0,0.254,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix4_ge_tree_msb; flow=arith_wreduce_aig
ex275,ex275_isqrt_prefix4_ge_tree_msb_synth_preset,unsigned_floor_isqrt,prefix4_ge_tree_msb+synth_preset,student/work/ex275_ex276_frontend_isqrt_prefix_ge_tree_20260609_1656/ex275/verilog/ex275_isqrt_prefix4_ge_tree_msb.v,student/work/ex275_ex276_frontend_isqrt_prefix_ge_tree_20260609_1656/ex275/aigs/ex275_isqrt_prefix4_ge_tree_msb_synth_preset.aig,1,1,1,44,10,440,204,2.156863,0,0,0.273,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix4_ge_tree_msb; flow=synth_preset
ex275,ex275_isqrt_prefix4_ge_tree_msb_synth_preset_d6,unsigned_floor_isqrt,prefix4_ge_tree_msb+synth_preset_d6,student/work/ex275_ex276_frontend_isqrt_prefix_ge_tree_20260609_1656/ex275/verilog/ex275_isqrt_prefix4_ge_tree_msb.v,student/work/ex275_ex276_frontend_isqrt_prefix_ge_tree_20260609_1656/ex275/aigs/ex275_isqrt_prefix4_ge_tree_msb_synth_preset_d6.aig,1,1,1,44,10,440,204,2.156863,0,0,0.274,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix4_ge_tree_msb; flow=synth_preset_d6
ex275,ex275_isqrt_prefix4_ge_tree_msb_synth_preset_d8,unsigned_floor_isqrt,prefix4_ge_tree_msb+synth_preset_d8,student/work/ex275_ex276_frontend_isqrt_prefix_ge_tree_20260609_1656/ex275/verilog/ex275_isqrt_prefix4_ge_tree_msb.v,student/work/ex275_ex276_frontend_isqrt_prefix_ge_tree_20260609_1656/ex275/aigs/ex275_isqrt_prefix4_ge_tree_msb_synth_preset_d8.aig,1,1,1,44,10,440,204,2.156863,0,0,0.302,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix4_ge_tree_msb; flow=synth_preset_d8
ex275,ex275_isqrt_prefix4_ge_tree_msb_synth_preset_d10,unsigned_floor_isqrt,prefix4_ge_tree_msb+synth_preset_d10,student/work/ex275_ex276_frontend_isqrt_prefix_ge_tree_20260609_1656/ex275/verilog/ex275_isqrt_prefix4_ge_tree_msb.v,student/work/ex275_ex276_frontend_isqrt_prefix_ge_tree_20260609_1656/ex275/aigs/ex275_isqrt_prefix4_ge_tree_msb_synth_preset_d10.aig,1,1,1,44,10,440,204,2.156863,0,0,0.310,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix4_ge_tree_msb; flow=synth_preset_d10
