case,candidate_id,hypothesis/function_guess,variant,verilog_path,aig_path,verified_truth,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,classification,notes
ex241,ex241_semantic_mul_product_param_exception_synth_preset,fp8_e4m3fn_mul,semantic_mul_product_param_exception_synth_preset,student/work/ex241_ex243_ex244_frontend_fp8_arith_struct2_20260608_1330/ex241/verilog/ex241_semantic_mul_product_param_exception.v,student/work/ex241_ex243_ex244_frontend_fp8_arith_struct2_20260608_1330/ex241/aigs/ex241_semantic_mul_product_param_exception_synth_preset.aig,1,1,534,40,21360,7224,2.956811,0,0,semantic_exact,
ex243,ex243_semantic_fmod_modsig_table_synth_preset_aig,fp8_e4m3fn_fmod_low_by_high_abs,semantic_fmod_modsig_table_synth_preset_aig,student/work/ex241_ex243_ex244_frontend_fp8_arith_struct2_20260608_1330/ex243/verilog/ex243_semantic_fmod_modsig_table.v,student/work/ex241_ex243_ex244_frontend_fp8_arith_struct2_20260608_1330/ex243/aigs/ex243_semantic_fmod_modsig_table_synth_preset_aig.aig,1,1,2167,29,62843,53227,1.180660,1,0,semantic_exact,
ex244,ex244_semantic_hypot_direct_result_table_synth_preset_aig,fp8_e4m3fn_hypot_abs,semantic_hypot_direct_result_table_synth_preset_aig,student/work/ex241_ex243_ex244_frontend_fp8_arith_struct2_20260608_1330/ex244/verilog/ex244_semantic_hypot_direct_result_table.v,student/work/ex241_ex243_ex244_frontend_fp8_arith_struct2_20260608_1330/ex244/aigs/ex244_semantic_hypot_direct_result_table_synth_preset_aig.aig,1,1,1142,33,37686,4272,8.821629,0,0,semantic_exact,
