case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex275,ex275_isqrt_bdd_outside_abc_g_aig,unsigned_floor_isqrt,bdd_outside+abc_g_aig,student/work/ex275_ex276_frontend_isqrt_threshold_popcount_20260609_1618/ex275/verilog/ex275_isqrt_bdd_outside.v,student/work/ex275_ex276_frontend_isqrt_threshold_popcount_20260609_1618/ex275/aigs/ex275_isqrt_bdd_outside_abc_g_aig.aig,1,1,1,53,8,424,204,2.078431,0,0,0.192,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=bdd_outside; flow=abc_g_aig
ex275,ex275_isqrt_bdd_outside_wreduce_abc_g_aig,unsigned_floor_isqrt,bdd_outside+wreduce_abc_g_aig,student/work/ex275_ex276_frontend_isqrt_threshold_popcount_20260609_1618/ex275/verilog/ex275_isqrt_bdd_outside.v,student/work/ex275_ex276_frontend_isqrt_threshold_popcount_20260609_1618/ex275/aigs/ex275_isqrt_bdd_outside_wreduce_abc_g_aig.aig,1,1,1,53,8,424,204,2.078431,0,0,0.197,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=bdd_outside; flow=wreduce_abc_g_aig
ex275,ex275_isqrt_bdd_outside_arith_wreduce_aig,unsigned_floor_isqrt,bdd_outside+arith_wreduce_aig,student/work/ex275_ex276_frontend_isqrt_threshold_popcount_20260609_1618/ex275/verilog/ex275_isqrt_bdd_outside.v,student/work/ex275_ex276_frontend_isqrt_threshold_popcount_20260609_1618/ex275/aigs/ex275_isqrt_bdd_outside_arith_wreduce_aig.aig,1,1,1,53,8,424,204,2.078431,0,0,0.195,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=bdd_outside; flow=arith_wreduce_aig
ex275,ex275_isqrt_bdd_outside_synth_preset,unsigned_floor_isqrt,bdd_outside+synth_preset,student/work/ex275_ex276_frontend_isqrt_threshold_popcount_20260609_1618/ex275/verilog/ex275_isqrt_bdd_outside.v,student/work/ex275_ex276_frontend_isqrt_threshold_popcount_20260609_1618/ex275/aigs/ex275_isqrt_bdd_outside_synth_preset.aig,1,1,1,42,8,336,204,1.647059,0,0,0.256,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=bdd_outside; flow=synth_preset
ex275,ex275_isqrt_bdd_outside_synth_preset_d6,unsigned_floor_isqrt,bdd_outside+synth_preset_d6,student/work/ex275_ex276_frontend_isqrt_threshold_popcount_20260609_1618/ex275/verilog/ex275_isqrt_bdd_outside.v,student/work/ex275_ex276_frontend_isqrt_threshold_popcount_20260609_1618/ex275/aigs/ex275_isqrt_bdd_outside_synth_preset_d6.aig,1,1,1,42,8,336,204,1.647059,0,0,0.253,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=bdd_outside; flow=synth_preset_d6
ex275,ex275_isqrt_bdd_outside_synth_preset_d8,unsigned_floor_isqrt,bdd_outside+synth_preset_d8,student/work/ex275_ex276_frontend_isqrt_threshold_popcount_20260609_1618/ex275/verilog/ex275_isqrt_bdd_outside.v,student/work/ex275_ex276_frontend_isqrt_threshold_popcount_20260609_1618/ex275/aigs/ex275_isqrt_bdd_outside_synth_preset_d8.aig,1,1,1,42,8,336,204,1.647059,0,0,0.256,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=bdd_outside; flow=synth_preset_d8
ex275,ex275_isqrt_bdd_outside_synth_preset_d10,unsigned_floor_isqrt,bdd_outside+synth_preset_d10,student/work/ex275_ex276_frontend_isqrt_threshold_popcount_20260609_1618/ex275/verilog/ex275_isqrt_bdd_outside.v,student/work/ex275_ex276_frontend_isqrt_threshold_popcount_20260609_1618/ex275/aigs/ex275_isqrt_bdd_outside_synth_preset_d10.aig,1,1,1,42,8,336,204,1.647059,0,0,0.257,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=bdd_outside; flow=synth_preset_d10
ex276,ex276_isqrt_threshold_popcount_abc_g_aig,unsigned_floor_isqrt,threshold_popcount+abc_g_aig,student/work/ex275_ex276_frontend_isqrt_threshold_popcount_20260609_1618/ex276/verilog/ex276_isqrt_threshold_popcount.v,student/work/ex275_ex276_frontend_isqrt_threshold_popcount_20260609_1618/ex276/aigs/ex276_isqrt_threshold_popcount_abc_g_aig.aig,1,1,1,136,11,1496,632,2.367089,0,0,0.443,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=threshold_popcount; flow=abc_g_aig
ex276,ex276_isqrt_threshold_popcount_wreduce_abc_g_aig,unsigned_floor_isqrt,threshold_popcount+wreduce_abc_g_aig,student/work/ex275_ex276_frontend_isqrt_threshold_popcount_20260609_1618/ex276/verilog/ex276_isqrt_threshold_popcount.v,student/work/ex275_ex276_frontend_isqrt_threshold_popcount_20260609_1618/ex276/aigs/ex276_isqrt_threshold_popcount_wreduce_abc_g_aig.aig,1,1,1,136,11,1496,632,2.367089,0,0,0.462,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=threshold_popcount; flow=wreduce_abc_g_aig
ex276,ex276_isqrt_threshold_popcount_arith_wreduce_aig,unsigned_floor_isqrt,threshold_popcount+arith_wreduce_aig,student/work/ex275_ex276_frontend_isqrt_threshold_popcount_20260609_1618/ex276/verilog/ex276_isqrt_threshold_popcount.v,student/work/ex275_ex276_frontend_isqrt_threshold_popcount_20260609_1618/ex276/aigs/ex276_isqrt_threshold_popcount_arith_wreduce_aig.aig,1,1,1,202,27,5454,632,8.629747,0,0,0.408,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=threshold_popcount; flow=arith_wreduce_aig
ex276,ex276_isqrt_threshold_popcount_synth_preset,unsigned_floor_isqrt,threshold_popcount+synth_preset,student/work/ex275_ex276_frontend_isqrt_threshold_popcount_20260609_1618/ex276/verilog/ex276_isqrt_threshold_popcount.v,student/work/ex275_ex276_frontend_isqrt_threshold_popcount_20260609_1618/ex276/aigs/ex276_isqrt_threshold_popcount_synth_preset.aig,1,1,1,189,27,5103,632,8.074367,0,0,0.507,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=threshold_popcount; flow=synth_preset
