case,candidate_id,hypothesis,function_guess,variant,classification,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,verilog_path,aig_path,source_csv,notes
ex280,ex280_unknown_quadratic_compressor_prefix_parity_reduce_full_clamp_boundary,unknown_quadratic_compressor,,prefix_parity_reduce_full_clamp_boundary,,162,31,5022,2415,2.079503,0,0,student/seeds/unknown/ex280_ex299_backend_candidates_20260609_2047/ex280/verilog/ex280_unknown_quadratic_compressor_prefix_parity_reduce_full_clamp_boundary.v,student/seeds/unknown/ex280_ex299_backend_candidates_20260609_2047/ex280/aigs/ex280_unknown_quadratic_compressor_prefix_parity_reduce_full_clamp_boundary.aig,student/runs/unknown/ex280_ex284_frontend_quadratic_compressor_smoke_20260609_0216/results/candidates.csv,unknown quadratic shared-compressor Verilog seed
ex280,ex280_prefix_parity_full_clamp_simplified_grouped_deg2_abc_g_aig,unknown_muxcoord_anf,unknown_muxcoord_anf,abc_g_aig,synthflow_exact,185,29,5365,2415,2.221532,0,0,student/seeds/unknown/ex280_ex299_backend_candidates_20260609_2047/ex280/verilog/ex280_unknown_muxcoord_anf_prefix_parity_full_clamp_simplified_grouped_deg2.v,student/seeds/unknown/ex280_ex299_backend_candidates_20260609_2047/ex280/aigs/ex280_prefix_parity_full_clamp_simplified_grouped_deg2_abc_g_aig.aig,student/runs/unknown/ex280_ex284_frontend_muxcoord_keychain_smoke_synthflow_20260609_0142/results/candidates.csv,Yosys abc gate set aig
ex280,ex280_unknown_muxcoord_anf_prefix_parity_reduce_full_clamp_grouped_deg2,unknown_muxcoord_anf,,prefix_parity_reduce_full_clamp_grouped_deg2,,221,28,6188,2415,2.562319,0,0,student/seeds/unknown/ex280_ex299_backend_candidates_20260609_2047/ex280/verilog/ex280_unknown_muxcoord_anf_prefix_parity_reduce_full_clamp_grouped_deg2.v,student/seeds/unknown/ex280_ex299_backend_candidates_20260609_2047/ex280/aigs/ex280_unknown_muxcoord_anf_prefix_parity_reduce_full_clamp_grouped_deg2.aig,student/runs/unknown/ex280_ex284_frontend_muxcoord_grouped_20260609_0117/results/candidates.csv,unknown mux-coordinate ANF Verilog seed
ex280,ex280_unknown_muxcoord_anf_prefix_parity_reduce_deg2_hybrid_endpoint_rev_abc_g_aig,unknown_muxcoord_anf_synthflow,,prefix_parity_reduce_deg2_hybrid_endpoint_rev_abc_g_aig,,357,30,10710,2415,4.434783,0,0,student/seeds/unknown/ex280_ex299_backend_candidates_20260609_2047/ex280/verilog/ex280_unknown_muxcoord_anf_prefix_parity_reduce_deg2_hybrid_endpoint_rev.v,student/seeds/unknown/ex280_ex299_backend_candidates_20260609_2047/ex280/aigs/ex280_unknown_muxcoord_anf_prefix_parity_reduce_deg2_hybrid_endpoint_rev_abc_g_aig.aig,student/runs/unknown/ex280_ex284_frontend_muxcoord_hybrid_synthflow_20260609_0057/results/candidates.csv,Yosys abc gate set aig
ex281,ex281_unknown_quadratic_compressor_prefix_parity_full_clamp_basic,unknown_quadratic_compressor,,prefix_parity_full_clamp_basic,,182,33,6006,2336,2.571062,0,0,student/seeds/unknown/ex280_ex299_backend_candidates_20260609_2047/ex281/verilog/ex281_unknown_quadratic_compressor_prefix_parity_full_clamp_basic.v,student/seeds/unknown/ex280_ex299_backend_candidates_20260609_2047/ex281/aigs/ex281_unknown_quadratic_compressor_prefix_parity_full_clamp_basic.aig,student/runs/unknown/ex280_ex284_frontend_quadratic_compressor_20260609_0216/results/candidates.csv,unknown quadratic shared-compressor Verilog seed
ex281,ex281_prefix_parity_reduce_full_clamp_simplified_grouped_deg2_abc_g_aig,unknown_muxcoord_anf,unknown_muxcoord_anf,abc_g_aig,synthflow_exact,205,30,6150,2336,2.632705,0,0,student/seeds/unknown/ex280_ex299_backend_candidates_20260609_2047/ex281/verilog/ex281_unknown_muxcoord_anf_prefix_parity_reduce_full_clamp_simplified_grouped_deg2.v,student/seeds/unknown/ex280_ex299_backend_candidates_20260609_2047/ex281/aigs/ex281_prefix_parity_reduce_full_clamp_simplified_grouped_deg2_abc_g_aig.aig,student/runs/unknown/ex280_ex284_frontend_muxcoord_simplified_synthflow_20260609_0142/results/candidates.csv,Yosys abc gate set aig
ex281,ex281_unknown_muxcoord_anf_prefix_parity_reduce_full_clamp_grouped_deg2,unknown_muxcoord_anf,,prefix_parity_reduce_full_clamp_grouped_deg2,,231,31,7161,2336,3.065497,0,0,student/seeds/unknown/ex280_ex299_backend_candidates_20260609_2047/ex281/verilog/ex281_unknown_muxcoord_anf_prefix_parity_reduce_full_clamp_grouped_deg2.v,student/seeds/unknown/ex280_ex299_backend_candidates_20260609_2047/ex281/aigs/ex281_unknown_muxcoord_anf_prefix_parity_reduce_full_clamp_grouped_deg2.aig,student/runs/unknown/ex280_ex284_frontend_muxcoord_grouped_20260609_0117/results/candidates.csv,unknown mux-coordinate ANF Verilog seed
ex281,ex281_unknown_muxcoord_anf_prefix_parity_reduce_deg2_hybrid_best_depth_abc_g_aig,unknown_muxcoord_anf_synthflow,,prefix_parity_reduce_deg2_hybrid_best_depth_abc_g_aig,,404,32,12928,2336,5.534247,0,0,student/seeds/unknown/ex280_ex299_backend_candidates_20260609_2047/ex281/verilog/ex281_unknown_muxcoord_anf_prefix_parity_reduce_deg2_hybrid_best_depth.v,student/seeds/unknown/ex280_ex299_backend_candidates_20260609_2047/ex281/aigs/ex281_unknown_muxcoord_anf_prefix_parity_reduce_deg2_hybrid_best_depth_abc_g_aig.aig,student/runs/unknown/ex280_ex284_frontend_muxcoord_hybrid_synthflow_20260609_0057/results/candidates.csv,Yosys abc gate set aig
ex282,ex282_prefix_parity_reduce_full_clamp_grouped_deg2_abc_g_aig,unknown_muxcoord_anf,unknown_muxcoord_anf,abc_g_aig,synthflow_exact,215,31,6665,2704,2.464867,0,0,student/seeds/unknown/ex280_ex299_backend_candidates_20260609_2047/ex282/verilog/ex282_unknown_muxcoord_anf_prefix_parity_reduce_full_clamp_grouped_deg2.v,student/seeds/unknown/ex280_ex299_backend_candidates_20260609_2047/ex282/aigs/ex282_prefix_parity_reduce_full_clamp_grouped_deg2_abc_g_aig.aig,student/runs/unknown/ex280_ex284_frontend_muxcoord_grouped_synthflow_20260609_0117/results/candidates.csv,Yosys abc gate set aig
ex282,ex282_unknown_quadratic_compressor_prefix_parity_full_clamp_basic,unknown_quadratic_compressor,,prefix_parity_full_clamp_basic,,195,36,7020,2704,2.596154,0,0,student/seeds/unknown/ex280_ex299_backend_candidates_20260609_2047/ex282/verilog/ex282_unknown_quadratic_compressor_prefix_parity_full_clamp_basic.v,student/seeds/unknown/ex280_ex299_backend_candidates_20260609_2047/ex282/aigs/ex282_unknown_quadratic_compressor_prefix_parity_full_clamp_basic.aig,student/runs/unknown/ex280_ex284_frontend_quadratic_compressor_20260609_0216/results/candidates.csv,unknown quadratic shared-compressor Verilog seed
