case,candidate_id,hypothesis,function_guess,variant,classification,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,verilog_path,aig_path,source_csv,notes
ex280,ex280_unknown_quadratic_compressor_prefix_parity_reduce_full_clamp_boundary,unknown_quadratic_compressor,,prefix_parity_reduce_full_clamp_boundary,,162,31,5022,2415,2.079503,0,0,student/seeds/unknown/ex280_ex299_backend_candidates_20260609_2047/ex280/verilog/ex280_unknown_quadratic_compressor_prefix_parity_reduce_full_clamp_boundary.v,student/seeds/unknown/ex280_ex299_backend_candidates_20260609_2047/ex280/aigs/ex280_unknown_quadratic_compressor_prefix_parity_reduce_full_clamp_boundary.aig,student/runs/unknown/ex280_ex284_frontend_quadratic_compressor_smoke_20260609_0216/results/candidates.csv,unknown quadratic shared-compressor Verilog seed
ex281,ex281_unknown_quadratic_compressor_prefix_parity_full_clamp_basic,unknown_quadratic_compressor,,prefix_parity_full_clamp_basic,,182,33,6006,2336,2.571062,0,0,student/seeds/unknown/ex280_ex299_backend_candidates_20260609_2047/ex281/verilog/ex281_unknown_quadratic_compressor_prefix_parity_full_clamp_basic.v,student/seeds/unknown/ex280_ex299_backend_candidates_20260609_2047/ex281/aigs/ex281_unknown_quadratic_compressor_prefix_parity_full_clamp_basic.aig,student/runs/unknown/ex280_ex284_frontend_quadratic_compressor_20260609_0216/results/candidates.csv,unknown quadratic shared-compressor Verilog seed
ex282,ex282_prefix_parity_reduce_full_clamp_grouped_deg2_abc_g_aig,unknown_muxcoord_anf,unknown_muxcoord_anf,abc_g_aig,synthflow_exact,215,31,6665,2704,2.464867,0,0,student/seeds/unknown/ex280_ex299_backend_candidates_20260609_2047/ex282/verilog/ex282_unknown_muxcoord_anf_prefix_parity_reduce_full_clamp_grouped_deg2.v,student/seeds/unknown/ex280_ex299_backend_candidates_20260609_2047/ex282/aigs/ex282_prefix_parity_reduce_full_clamp_grouped_deg2_abc_g_aig.aig,student/runs/unknown/ex280_ex284_frontend_muxcoord_grouped_synthflow_20260609_0117/results/candidates.csv,Yosys abc gate set aig
ex283,ex283_unknown_quadratic_compressor_prefix_parity_reduce_full_clamp_basic,unknown_quadratic_compressor,,prefix_parity_reduce_full_clamp_basic,,201,38,7638,3168,2.410985,0,0,student/seeds/unknown/ex280_ex299_backend_candidates_20260609_2047/ex283/verilog/ex283_unknown_quadratic_compressor_prefix_parity_reduce_full_clamp_basic.v,student/seeds/unknown/ex280_ex299_backend_candidates_20260609_2047/ex283/aigs/ex283_unknown_quadratic_compressor_prefix_parity_reduce_full_clamp_basic.aig,student/runs/unknown/ex280_ex284_frontend_quadratic_compressor_20260609_0216/results/candidates.csv,unknown quadratic shared-compressor Verilog seed
ex284,ex284_unknown_quadratic_compressor_prefix_parity_full_clamp_boundary,unknown_quadratic_compressor,,prefix_parity_full_clamp_boundary,,215,39,8385,4240,1.977594,0,0,student/seeds/unknown/ex280_ex299_backend_candidates_20260609_2047/ex284/verilog/ex284_unknown_quadratic_compressor_prefix_parity_full_clamp_boundary.v,student/seeds/unknown/ex280_ex299_backend_candidates_20260609_2047/ex284/aigs/ex284_unknown_quadratic_compressor_prefix_parity_full_clamp_boundary.aig,student/runs/unknown/ex280_ex284_frontend_quadratic_compressor_smoke_20260609_0216/results/candidates.csv,unknown quadratic shared-compressor Verilog seed
ex285,ex285_unknown_shared_bdd_12x12_order_8_9_10_11_0_1_2_3_4_5_6_7,unknown_shared_bdd_12x12,unknown_shared_bdd_12x12,order_8_9_10_11_0_1_2_3_4_5_6_7,structural_exact,794,18,14292,5499,2.599018,0,0,student/seeds/unknown/ex280_ex299_backend_candidates_20260609_2047/ex285/verilog/ex285_unknown_shared_bdd_12x12_order_8_9_10_11_0_1_2_3_4_5_6_7.v,student/seeds/unknown/ex280_ex299_backend_candidates_20260609_2047/ex285/aigs/ex285_unknown_shared_bdd_12x12_order_8_9_10_11_0_1_2_3_4_5_6_7.aig,student/results/unknown_candidates_current.csv,unknown function shared-BDD Verilog seed
ex286,ex286_unknown_symcof_keybdd_selected_interleave_f00_k4_keybdd_5_6_7_abc_g_aig,unknown_symcof_keybdd_selected,unknown_symcof_keybdd_selected,abc_g_aig,synthflow_exact,1453,15,21795,2376,9.172980,0,0,student/seeds/unknown/ex280_ex299_backend_candidates_20260609_2047/ex286/verilog/ex286_unknown_symcof_interleave_f00_k4_onehot_group_keybdd_5_6_7.v,student/seeds/unknown/ex280_ex299_backend_candidates_20260609_2047/ex286/aigs/ex286_unknown_symcof_keybdd_selected_interleave_f00_k4_keybdd_5_6_7_abc_g_aig.aig,student/runs/unknown/ex286_ex288_frontend_keybdd_selected_synth_20260609_1448/results/candidates.csv,Yosys abc gate set aig
ex287,ex287_unknown_symcof_keybdd_selected_interleave_f00_k5_keybdd_6_7_abc_g_aig,unknown_symcof_keybdd_selected,unknown_symcof_keybdd_selected,abc_g_aig,synthflow_exact,1856,15,27840,5782,4.814943,0,0,student/seeds/unknown/ex280_ex299_backend_candidates_20260609_2047/ex287/verilog/ex287_unknown_symcof_interleave_f00_k5_onehot_group_keybdd_6_7.v,student/seeds/unknown/ex280_ex299_backend_candidates_20260609_2047/ex287/aigs/ex287_unknown_symcof_keybdd_selected_interleave_f00_k5_keybdd_6_7_abc_g_aig.aig,student/runs/unknown/ex286_ex288_frontend_keybdd_selected_synth_20260609_1448/results/candidates.csv,Yosys abc gate set aig
ex288,ex288_unknown_symmetry_cofactor_classonehot_interleave_f10_k6_abc_g_aig,unknown_symmetry_cofactor_classonehot,unknown_symmetry_cofactor_classonehot,abc_g_aig,synthflow_exact,2281,14,31934,16394,1.947908,0,0,student/seeds/unknown/ex280_ex299_backend_candidates_20260609_2047/ex288/verilog/ex288_unknown_symcof_interleave_f10_k6.v,student/seeds/unknown/ex280_ex299_backend_candidates_20260609_2047/ex288/aigs/ex288_unknown_symmetry_cofactor_classonehot_interleave_f10_k6_abc_g_aig.aig,student/runs/unknown/ex286_ex288_frontend_lowdelay_symcof_synthflow_20260609_1140/results/candidates.csv,Yosys abc gate set aig
ex289,ex289_split2_f00_bits_0_1_12_13_onehot_group_abc_g_aig,unknown_duality_symcof,unknown_duality_symcof,abc_g_aig,synthflow_exact,1046,20,20920,13620,1.535977,0,0,student/seeds/unknown/ex280_ex299_backend_candidates_20260609_2047/ex289/verilog/ex289_unknown_duality_symcof_split2_f00_bits_0_1_12_13_onehot_group.v,student/seeds/unknown/ex280_ex299_backend_candidates_20260609_2047/ex289/aigs/ex289_split2_f00_bits_0_1_12_13_onehot_group_abc_g_aig.aig,student/runs/unknown/ex289_frontend_duality_symcof_splitbits_synthflow_20260609_1109/results/candidates.csv,Yosys abc gate set aig
