case,domain,agent_id,candidate_id,equivalent,area,delay,adp,verilog_path,aig_path,evaluate_log,notes
ex247,float_fp8,local-fp8-extra-r48,ex247_r48_gia_dch_put_from_frontend_best,1,317,23,7291,student/work/ex200_ex299_frontend_refgap_round8_20260612_1826/fp8-r8/ex247/verilog/ex247_round5_bound_region_mux.v,student/work/ex246_ex247_frontend_gt2_extra_remap_round48_20260613_0855/local-fp8-extra-r48/ex247/aigs/ex247_r48_gia_dch_put_from_frontend_best.aig,student/work/ex246_ex247_frontend_gt2_extra_remap_round48_20260613_0855/local-fp8-extra-r48/ex247/logs/ex247_r48_gia_dch_put_from_frontend_best.evaluate.py.log,official evaluate.py OK; abc_log=student/work/ex246_ex247_frontend_gt2_extra_remap_round48_20260613_0855/local-fp8-extra-r48/ex247/logs/ex247_r48_gia_dch_put_from_frontend_best.abc.log; gen_sec=0.074; eval_sec=0.478; flow=strash; &get; &dch; &put; balance
ex247,float_fp8,local-fp8-extra-r48,ex247_r48_gia_dc2_rw_from_frontend_best,1,318,23,7314,student/work/ex200_ex299_frontend_refgap_round8_20260612_1826/fp8-r8/ex247/verilog/ex247_round5_bound_region_mux.v,student/work/ex246_ex247_frontend_gt2_extra_remap_round48_20260613_0855/local-fp8-extra-r48/ex247/aigs/ex247_r48_gia_dc2_rw_from_frontend_best.aig,student/work/ex246_ex247_frontend_gt2_extra_remap_round48_20260613_0855/local-fp8-extra-r48/ex247/logs/ex247_r48_gia_dc2_rw_from_frontend_best.evaluate.py.log,official evaluate.py OK; abc_log=student/work/ex246_ex247_frontend_gt2_extra_remap_round48_20260613_0855/local-fp8-extra-r48/ex247/logs/ex247_r48_gia_dc2_rw_from_frontend_best.abc.log; gen_sec=0.096; eval_sec=0.479; flow=strash; &get; &dc2; &put; rewrite; rewrite -z; balance
ex247,float_fp8,local-fp8-extra-r48,ex247_r48_if4_dc2_from_frontend_best,1,318,23,7314,student/work/ex200_ex299_frontend_refgap_round8_20260612_1826/fp8-r8/ex247/verilog/ex247_round5_bound_region_mux.v,student/work/ex246_ex247_frontend_gt2_extra_remap_round48_20260613_0855/local-fp8-extra-r48/ex247/aigs/ex247_r48_if4_dc2_from_frontend_best.aig,student/work/ex246_ex247_frontend_gt2_extra_remap_round48_20260613_0855/local-fp8-extra-r48/ex247/logs/ex247_r48_if4_dc2_from_frontend_best.evaluate.py.log,official evaluate.py OK; abc_log=student/work/ex246_ex247_frontend_gt2_extra_remap_round48_20260613_0855/local-fp8-extra-r48/ex247/logs/ex247_r48_if4_dc2_from_frontend_best.abc.log; gen_sec=0.075; eval_sec=0.488; flow=strash; if -K 4; strash; dc2; balance
ex247,float_fp8,local-fp8-extra-r48,ex247_r48_if5_dc2_from_frontend_best,1,318,23,7314,student/work/ex200_ex299_frontend_refgap_round8_20260612_1826/fp8-r8/ex247/verilog/ex247_round5_bound_region_mux.v,student/work/ex246_ex247_frontend_gt2_extra_remap_round48_20260613_0855/local-fp8-extra-r48/ex247/aigs/ex247_r48_if5_dc2_from_frontend_best.aig,student/work/ex246_ex247_frontend_gt2_extra_remap_round48_20260613_0855/local-fp8-extra-r48/ex247/logs/ex247_r48_if5_dc2_from_frontend_best.evaluate.py.log,official evaluate.py OK; abc_log=student/work/ex246_ex247_frontend_gt2_extra_remap_round48_20260613_0855/local-fp8-extra-r48/ex247/logs/ex247_r48_if5_dc2_from_frontend_best.abc.log; gen_sec=0.079; eval_sec=0.475; flow=strash; if -K 5; strash; dc2; balance
ex247,float_fp8,local-fp8-extra-r48,ex247_r48_if6_dc2_from_frontend_best,1,318,23,7314,student/work/ex200_ex299_frontend_refgap_round8_20260612_1826/fp8-r8/ex247/verilog/ex247_round5_bound_region_mux.v,student/work/ex246_ex247_frontend_gt2_extra_remap_round48_20260613_0855/local-fp8-extra-r48/ex247/aigs/ex247_r48_if6_dc2_from_frontend_best.aig,student/work/ex246_ex247_frontend_gt2_extra_remap_round48_20260613_0855/local-fp8-extra-r48/ex247/logs/ex247_r48_if6_dc2_from_frontend_best.evaluate.py.log,official evaluate.py OK; abc_log=student/work/ex246_ex247_frontend_gt2_extra_remap_round48_20260613_0855/local-fp8-extra-r48/ex247/logs/ex247_r48_if6_dc2_from_frontend_best.abc.log; gen_sec=0.054; eval_sec=0.468; flow=strash; if -K 6; strash; dc2; balance
ex247,float_fp8,local-fp8-extra-r48,ex247_r48_dc2_if6_dc2_from_frontend_best,1,318,24,7632,student/work/ex200_ex299_frontend_refgap_round8_20260612_1826/fp8-r8/ex247/verilog/ex247_round5_bound_region_mux.v,student/work/ex246_ex247_frontend_gt2_extra_remap_round48_20260613_0855/local-fp8-extra-r48/ex247/aigs/ex247_r48_dc2_if6_dc2_from_frontend_best.aig,student/work/ex246_ex247_frontend_gt2_extra_remap_round48_20260613_0855/local-fp8-extra-r48/ex247/logs/ex247_r48_dc2_if6_dc2_from_frontend_best.evaluate.py.log,official evaluate.py OK; abc_log=student/work/ex246_ex247_frontend_gt2_extra_remap_round48_20260613_0855/local-fp8-extra-r48/ex247/logs/ex247_r48_dc2_if6_dc2_from_frontend_best.abc.log; gen_sec=0.083; eval_sec=0.482; flow=strash; dc2; if -K 6; strash; dc2; balance
ex246,float_fp8,local-fp8-extra-r48,ex246_r48_resyn2rs_area_from_frontend_best,1,328,21,6888,student/work/ex246_frontend_fp8_e5m2_dc_neighbor12_20260608_2000/ex246/verilog/ex246_semantic_mul_product_dc_seed12_set11to10.v,student/work/ex246_ex247_frontend_gt2_extra_remap_round48_20260613_0855/local-fp8-extra-r48/ex246/aigs/ex246_r48_resyn2rs_area_from_frontend_best.aig,student/work/ex246_ex247_frontend_gt2_extra_remap_round48_20260613_0855/local-fp8-extra-r48/ex246/logs/ex246_r48_resyn2rs_area_from_frontend_best.evaluate.py.log,official evaluate.py OK; abc_log=student/work/ex246_ex247_frontend_gt2_extra_remap_round48_20260613_0855/local-fp8-extra-r48/ex246/logs/ex246_r48_resyn2rs_area_from_frontend_best.abc.log; gen_sec=0.124; eval_sec=0.479; flow=strash; balance; resub -K 6; rewrite; resub -K 6 -N 2; refactor; resub -K 8; balance; resub -K 8 -N 2; rewrite; resub -K 10; rewrite -z; resub -K 10 -N 2; balance; resub -K 12; refactor -z; resub -K 12 -N 2; rewrite -z; balance
ex246,float_fp8,local-fp8-extra-r48,ex246_r48_compress2rs_area_from_frontend_best,1,328,22,7216,student/work/ex246_frontend_fp8_e5m2_dc_neighbor12_20260608_2000/ex246/verilog/ex246_semantic_mul_product_dc_seed12_set11to10.v,student/work/ex246_ex247_frontend_gt2_extra_remap_round48_20260613_0855/local-fp8-extra-r48/ex246/aigs/ex246_r48_compress2rs_area_from_frontend_best.aig,student/work/ex246_ex247_frontend_gt2_extra_remap_round48_20260613_0855/local-fp8-extra-r48/ex246/logs/ex246_r48_compress2rs_area_from_frontend_best.evaluate.py.log,official evaluate.py OK; abc_log=student/work/ex246_ex247_frontend_gt2_extra_remap_round48_20260613_0855/local-fp8-extra-r48/ex246/logs/ex246_r48_compress2rs_area_from_frontend_best.abc.log; gen_sec=0.121; eval_sec=0.481; flow=strash; balance -l; resub -K 6 -l; rewrite -l; resub -K 6 -N 2 -l; refactor -l; resub -K 8 -l; balance -l; resub -K 8 -N 2 -l; rewrite -l; resub -K 10 -l; rewrite -z -l; resub -K 10 -N 2 -l; balance -l; resub -K 12 -l; refactor -z -l; resub -K 12 -N 2 -l; rewrite -z -l; balance -l
ex246,float_fp8,local-fp8-extra-r48,ex246_r48_dchoice_dc2_from_frontend_best,1,328,22,7216,student/work/ex246_frontend_fp8_e5m2_dc_neighbor12_20260608_2000/ex246/verilog/ex246_semantic_mul_product_dc_seed12_set11to10.v,student/work/ex246_ex247_frontend_gt2_extra_remap_round48_20260613_0855/local-fp8-extra-r48/ex246/aigs/ex246_r48_dchoice_dc2_from_frontend_best.aig,student/work/ex246_ex247_frontend_gt2_extra_remap_round48_20260613_0855/local-fp8-extra-r48/ex246/logs/ex246_r48_dchoice_dc2_from_frontend_best.evaluate.py.log,official evaluate.py OK; abc_log=student/work/ex246_ex247_frontend_gt2_extra_remap_round48_20260613_0855/local-fp8-extra-r48/ex246/logs/ex246_r48_dchoice_dc2_from_frontend_best.abc.log; gen_sec=0.071; eval_sec=0.534; flow=strash; dchoice; dc2; balance
ex246,float_fp8,local-fp8-extra-r48,ex246_r48_compress_l_no_dc_from_frontend_best,1,327,22,7194,student/work/ex246_frontend_fp8_e5m2_dc_neighbor12_20260608_2000/ex246/verilog/ex246_semantic_mul_product_dc_seed12_set11to10.v,student/work/ex246_ex247_frontend_gt2_extra_remap_round48_20260613_0855/local-fp8-extra-r48/ex246/aigs/ex246_r48_compress_l_no_dc_from_frontend_best.aig,student/work/ex246_ex247_frontend_gt2_extra_remap_round48_20260613_0855/local-fp8-extra-r48/ex246/logs/ex246_r48_compress_l_no_dc_from_frontend_best.evaluate.py.log,official evaluate.py OK; abc_log=student/work/ex246_ex247_frontend_gt2_extra_remap_round48_20260613_0855/local-fp8-extra-r48/ex246/logs/ex246_r48_compress_l_no_dc_from_frontend_best.abc.log; gen_sec=0.122; eval_sec=0.529; flow=strash; balance -l; rewrite -l; refactor -l; rewrite -z -l; refactor -z -l; balance -l
