case,domain,agent_id,candidate_id,simulation_pass,log_path,notes
ex247,float_fp8,local-fp8-extra-r48,ex247_r48_resyn2rs_area_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex247,float_fp8,local-fp8-extra-r48,ex247_r48_compress2rs_area_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex247,float_fp8,local-fp8-extra-r48,ex247_r48_mfs_dc2_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex247,float_fp8,local-fp8-extra-r48,ex247_r48_mfs_rwz_mfs_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex247,float_fp8,local-fp8-extra-r48,ex247_r48_ssw_dc2_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex247,float_fp8,local-fp8-extra-r48,ex247_r48_fraig_mfs_dc2_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex247,float_fp8,local-fp8-extra-r48,ex247_r48_dchoice_dc2_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex247,float_fp8,local-fp8-extra-r48,ex247_r48_choice_if4_dc2_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex247,float_fp8,local-fp8-extra-r48,ex247_r48_compress_l_no_dc_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex247,float_fp8,local-fp8-extra-r48,ex247_r48_resub_deep_rf_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex247,float_fp8,local-fp8-extra-r48,ex247_r48_dc2_scorr_resyn_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex247,float_fp8,local-fp8-extra-r48,ex247_r48_dc2_lcorr_resyn_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex247,float_fp8,local-fp8-extra-r48,ex247_r48_rw_resub_loop5_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex247,float_fp8,local-fp8-extra-r48,ex247_r48_area_then_delay_recover_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex247,float_fp8,local-fp8-extra-r48,ex247_r48_gia_dc2_put_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex247,float_fp8,local-fp8-extra-r48,ex247_r48_gia_dch_put_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex247,float_fp8,local-fp8-extra-r48,ex247_r48_gia_dc2_rw_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex247,float_fp8,local-fp8-extra-r48,ex247_r48_if4_dc2_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex247,float_fp8,local-fp8-extra-r48,ex247_r48_if5_dc2_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex247,float_fp8,local-fp8-extra-r48,ex247_r48_if6_dc2_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex247,float_fp8,local-fp8-extra-r48,ex247_r48_dc2_if6_dc2_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex246,float_fp8,local-fp8-extra-r48,ex246_r48_resyn2rs_area_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex246,float_fp8,local-fp8-extra-r48,ex246_r48_compress2rs_area_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex246,float_fp8,local-fp8-extra-r48,ex246_r48_mfs_dc2_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex246,float_fp8,local-fp8-extra-r48,ex246_r48_mfs_rwz_mfs_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex246,float_fp8,local-fp8-extra-r48,ex246_r48_ssw_dc2_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex246,float_fp8,local-fp8-extra-r48,ex246_r48_fraig_mfs_dc2_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex246,float_fp8,local-fp8-extra-r48,ex246_r48_dchoice_dc2_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex246,float_fp8,local-fp8-extra-r48,ex246_r48_choice_if4_dc2_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex246,float_fp8,local-fp8-extra-r48,ex246_r48_compress_l_no_dc_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex246,float_fp8,local-fp8-extra-r48,ex246_r48_resub_deep_rf_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex246,float_fp8,local-fp8-extra-r48,ex246_r48_dc2_scorr_resyn_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex246,float_fp8,local-fp8-extra-r48,ex246_r48_dc2_lcorr_resyn_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex246,float_fp8,local-fp8-extra-r48,ex246_r48_rw_resub_loop5_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex246,float_fp8,local-fp8-extra-r48,ex246_r48_area_then_delay_recover_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex246,float_fp8,local-fp8-extra-r48,ex246_r48_gia_dc2_put_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex246,float_fp8,local-fp8-extra-r48,ex246_r48_gia_dch_put_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex246,float_fp8,local-fp8-extra-r48,ex246_r48_gia_dc2_rw_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex246,float_fp8,local-fp8-extra-r48,ex246_r48_if4_dc2_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex246,float_fp8,local-fp8-extra-r48,ex246_r48_if5_dc2_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex246,float_fp8,local-fp8-extra-r48,ex246_r48_if6_dc2_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex246,float_fp8,local-fp8-extra-r48,ex246_r48_dc2_if6_dc2_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
