case,domain,agent_id,candidate_id,method_signature,hypothesis,representation,shared_structure,verilog_path,aig_path,evaluate_log,equivalent,simulation_pass,area,delay,adp,frontend_best_adp,new_best_adp,old_best_adp,old_frontend_adp,reference_adp,improvement_vs_frontend,beats_reference,notes
ex241,float_fp8,local-synthflow-r28,ex241_r28_abc_bal_rw_from_frontend_best,ex241|frontend_synthflow_micro_from_current_best|abc_flow_abc_bal_rw|preserve_current_frontend_structure_rebalance_rewrite|abc_bal_rw|official_evaluate|full_word,frontend synth-flow micro from current best,ABC flow abc_bal_rw from current frontend best AIG,preserves current high-level frontend sharing; ABC rebalance/rewrite only,student/work/ex241_ex242_ex243_frontend_fp8_nested_tables_fix_20260608_1330/ex241/verilog/ex241_semantic_mul_product_nested_exp.v,student/work/ex240_ex299_frontend_gt2_round28_20260613_0650/local-synthflow-r28/ex241/aigs/ex241_r28_abc_bal_rw_from_frontend_best.aig,student/work/ex240_ex299_frontend_gt2_round28_20260613_0650/local-synthflow-r28/ex241/logs/ex241_r28_abc_bal_rw_from_frontend_best.evaluate.py.log,1,not_run,534,29,15486,15486,15486,15544,15544,7224,58,0,official evaluate.py OK; abc_log=student/work/ex240_ex299_frontend_gt2_round28_20260613_0650/local-synthflow-r28/ex241/logs/ex241_r28_abc_bal_rw_from_frontend_best.abc.log; flow=strash; balance; rewrite; balance
ex241,float_fp8,local-synthflow-r28,ex241_r28_abc_rwz_rf_from_frontend_best,ex241|frontend_synthflow_micro_from_current_best|abc_flow_abc_rwz_rf|preserve_current_frontend_structure_rebalance_rewrite|abc_rwz_rf|official_evaluate|full_word,frontend synth-flow micro from current best,ABC flow abc_rwz_rf from current frontend best AIG,preserves current high-level frontend sharing; ABC rebalance/rewrite only,student/work/ex241_ex242_ex243_frontend_fp8_nested_tables_fix_20260608_1330/ex241/verilog/ex241_semantic_mul_product_nested_exp.v,student/work/ex240_ex299_frontend_gt2_round28_20260613_0650/local-synthflow-r28/ex241/aigs/ex241_r28_abc_rwz_rf_from_frontend_best.aig,student/work/ex240_ex299_frontend_gt2_round28_20260613_0650/local-synthflow-r28/ex241/logs/ex241_r28_abc_rwz_rf_from_frontend_best.evaluate.py.log,1,not_run,532,28,14896,14896,14896,15544,15544,7224,648,0,official evaluate.py OK; abc_log=student/work/ex240_ex299_frontend_gt2_round28_20260613_0650/local-synthflow-r28/ex241/logs/ex241_r28_abc_rwz_rf_from_frontend_best.abc.log; flow=strash; balance; rewrite -z; refactor -z; balance; rewrite -z; balance
ex241,float_fp8,local-synthflow-r28,ex241_r28_abc_dc2_from_frontend_best,ex241|frontend_synthflow_micro_from_current_best|abc_flow_abc_dc2|preserve_current_frontend_structure_rebalance_rewrite|abc_dc2|official_evaluate|full_word,frontend synth-flow micro from current best,ABC flow abc_dc2 from current frontend best AIG,preserves current high-level frontend sharing; ABC rebalance/rewrite only,student/work/ex241_ex242_ex243_frontend_fp8_nested_tables_fix_20260608_1330/ex241/verilog/ex241_semantic_mul_product_nested_exp.v,student/work/ex240_ex299_frontend_gt2_round28_20260613_0650/local-synthflow-r28/ex241/aigs/ex241_r28_abc_dc2_from_frontend_best.aig,student/work/ex240_ex299_frontend_gt2_round28_20260613_0650/local-synthflow-r28/ex241/logs/ex241_r28_abc_dc2_from_frontend_best.evaluate.py.log,1,not_run,529,29,15341,15341,15341,15544,15544,7224,203,0,official evaluate.py OK; abc_log=student/work/ex240_ex299_frontend_gt2_round28_20260613_0650/local-synthflow-r28/ex241/logs/ex241_r28_abc_dc2_from_frontend_best.abc.log; flow=strash; dc2; balance
ex241,float_fp8,local-synthflow-r28,ex241_r28_abc_dch_from_frontend_best,ex241|frontend_synthflow_micro_from_current_best|abc_flow_abc_dch|preserve_current_frontend_structure_rebalance_rewrite|abc_dch|official_evaluate|full_word,frontend synth-flow micro from current best,ABC flow abc_dch from current frontend best AIG,preserves current high-level frontend sharing; ABC rebalance/rewrite only,student/work/ex241_ex242_ex243_frontend_fp8_nested_tables_fix_20260608_1330/ex241/verilog/ex241_semantic_mul_product_nested_exp.v,student/work/ex240_ex299_frontend_gt2_round28_20260613_0650/local-synthflow-r28/ex241/aigs/ex241_r28_abc_dch_from_frontend_best.aig,student/work/ex240_ex299_frontend_gt2_round28_20260613_0650/local-synthflow-r28/ex241/logs/ex241_r28_abc_dch_from_frontend_best.evaluate.py.log,1,not_run,527,29,15283,15283,15283,15544,15544,7224,261,0,official evaluate.py OK; abc_log=student/work/ex240_ex299_frontend_gt2_round28_20260613_0650/local-synthflow-r28/ex241/logs/ex241_r28_abc_dch_from_frontend_best.abc.log; flow=strash; dch; balance
ex241,float_fp8,local-synthflow-r28,ex241_r28_abc_drw_from_frontend_best,ex241|frontend_synthflow_micro_from_current_best|abc_flow_abc_drw|preserve_current_frontend_structure_rebalance_rewrite|abc_drw|official_evaluate|full_word,frontend synth-flow micro from current best,ABC flow abc_drw from current frontend best AIG,preserves current high-level frontend sharing; ABC rebalance/rewrite only,student/work/ex241_ex242_ex243_frontend_fp8_nested_tables_fix_20260608_1330/ex241/verilog/ex241_semantic_mul_product_nested_exp.v,student/work/ex240_ex299_frontend_gt2_round28_20260613_0650/local-synthflow-r28/ex241/aigs/ex241_r28_abc_drw_from_frontend_best.aig,student/work/ex240_ex299_frontend_gt2_round28_20260613_0650/local-synthflow-r28/ex241/logs/ex241_r28_abc_drw_from_frontend_best.evaluate.py.log,1,not_run,534,29,15486,15486,15486,15544,15544,7224,58,0,official evaluate.py OK; abc_log=student/work/ex240_ex299_frontend_gt2_round28_20260613_0650/local-synthflow-r28/ex241/logs/ex241_r28_abc_drw_from_frontend_best.abc.log; flow=strash; drw; balance
ex241,float_fp8,local-synthflow-r28,ex241_r28_abc_drwz_from_frontend_best,ex241|frontend_synthflow_micro_from_current_best|abc_flow_abc_drwz|preserve_current_frontend_structure_rebalance_rewrite|abc_drwz|official_evaluate|full_word,frontend synth-flow micro from current best,ABC flow abc_drwz from current frontend best AIG,preserves current high-level frontend sharing; ABC rebalance/rewrite only,student/work/ex241_ex242_ex243_frontend_fp8_nested_tables_fix_20260608_1330/ex241/verilog/ex241_semantic_mul_product_nested_exp.v,student/work/ex240_ex299_frontend_gt2_round28_20260613_0650/local-synthflow-r28/ex241/aigs/ex241_r28_abc_drwz_from_frontend_best.aig,student/work/ex240_ex299_frontend_gt2_round28_20260613_0650/local-synthflow-r28/ex241/logs/ex241_r28_abc_drwz_from_frontend_best.evaluate.py.log,1,not_run,534,29,15486,15486,15486,15544,15544,7224,58,0,official evaluate.py OK; abc_log=student/work/ex240_ex299_frontend_gt2_round28_20260613_0650/local-synthflow-r28/ex241/logs/ex241_r28_abc_drwz_from_frontend_best.abc.log; flow=strash; drw -z; balance
ex242,float_fp8,local-synthflow-r28,ex242_r28_abc_rwz_rf_from_frontend_best,ex242|frontend_synthflow_micro_from_current_best|abc_flow_abc_rwz_rf|preserve_current_frontend_structure_rebalance_rewrite|abc_rwz_rf|official_evaluate|full_word,frontend synth-flow micro from current best,ABC flow abc_rwz_rf from current frontend best AIG,preserves current high-level frontend sharing; ABC rebalance/rewrite only,student/work/ex242_frontend_fp8_div_clean_sparse_20260608_1330/ex242/verilog/ex242_semantic_div_field_sparse_clean.v,student/work/ex240_ex299_frontend_gt2_round28_20260613_0650/local-synthflow-r28/ex242/aigs/ex242_r28_abc_rwz_rf_from_frontend_best.aig,student/work/ex240_ex299_frontend_gt2_round28_20260613_0650/local-synthflow-r28/ex242/logs/ex242_r28_abc_rwz_rf_from_frontend_best.evaluate.py.log,1,not_run,1262,20,25240,25240,25240,25320,25320,11900,80,0,official evaluate.py OK; abc_log=student/work/ex240_ex299_frontend_gt2_round28_20260613_0650/local-synthflow-r28/ex242/logs/ex242_r28_abc_rwz_rf_from_frontend_best.abc.log; flow=strash; balance; rewrite -z; refactor -z; balance; rewrite -z; balance
ex242,float_fp8,local-synthflow-r28,ex242_r28_abc_dch_from_frontend_best,ex242|frontend_synthflow_micro_from_current_best|abc_flow_abc_dch|preserve_current_frontend_structure_rebalance_rewrite|abc_dch|official_evaluate|full_word,frontend synth-flow micro from current best,ABC flow abc_dch from current frontend best AIG,preserves current high-level frontend sharing; ABC rebalance/rewrite only,student/work/ex242_frontend_fp8_div_clean_sparse_20260608_1330/ex242/verilog/ex242_semantic_div_field_sparse_clean.v,student/work/ex240_ex299_frontend_gt2_round28_20260613_0650/local-synthflow-r28/ex242/aigs/ex242_r28_abc_dch_from_frontend_best.aig,student/work/ex240_ex299_frontend_gt2_round28_20260613_0650/local-synthflow-r28/ex242/logs/ex242_r28_abc_dch_from_frontend_best.evaluate.py.log,1,not_run,1257,20,25140,25140,25140,25320,25320,11900,180,0,official evaluate.py OK; abc_log=student/work/ex240_ex299_frontend_gt2_round28_20260613_0650/local-synthflow-r28/ex242/logs/ex242_r28_abc_dch_from_frontend_best.abc.log; flow=strash; dch; balance
ex244,float_fp8,local-synthflow-r28,ex244_r28_abc_dc2_from_frontend_best,ex244|frontend_synthflow_micro_from_current_best|abc_flow_abc_dc2|preserve_current_frontend_structure_rebalance_rewrite|abc_dc2|official_evaluate|full_word,frontend synth-flow micro from current best,ABC flow abc_dc2 from current frontend best AIG,preserves current high-level frontend sharing; ABC rebalance/rewrite only,student/work/ex240_ex244_frontend_fp8_magbdd_deltaeff_20260608_1401/ex244/verilog/ex244_semantic_hypot_delta_maxeff_bdd_expfirst.v,student/work/ex240_ex299_frontend_gt2_round28_20260613_0650/local-synthflow-r28/ex244/aigs/ex244_r28_abc_dc2_from_frontend_best.aig,student/work/ex240_ex299_frontend_gt2_round28_20260613_0650/local-synthflow-r28/ex244/logs/ex244_r28_abc_dc2_from_frontend_best.evaluate.py.log,1,not_run,300,33,9900,9900,9900,10234,10234,4272,334,0,official evaluate.py OK; abc_log=student/work/ex240_ex299_frontend_gt2_round28_20260613_0650/local-synthflow-r28/ex244/logs/ex244_r28_abc_dc2_from_frontend_best.abc.log; flow=strash; dc2; balance
ex244,float_fp8,local-synthflow-r28,ex244_r28_abc_dch_from_frontend_best,ex244|frontend_synthflow_micro_from_current_best|abc_flow_abc_dch|preserve_current_frontend_structure_rebalance_rewrite|abc_dch|official_evaluate|full_word,frontend synth-flow micro from current best,ABC flow abc_dch from current frontend best AIG,preserves current high-level frontend sharing; ABC rebalance/rewrite only,student/work/ex240_ex244_frontend_fp8_magbdd_deltaeff_20260608_1401/ex244/verilog/ex244_semantic_hypot_delta_maxeff_bdd_expfirst.v,student/work/ex240_ex299_frontend_gt2_round28_20260613_0650/local-synthflow-r28/ex244/aigs/ex244_r28_abc_dch_from_frontend_best.aig,student/work/ex240_ex299_frontend_gt2_round28_20260613_0650/local-synthflow-r28/ex244/logs/ex244_r28_abc_dch_from_frontend_best.evaluate.py.log,1,not_run,300,34,10200,10200,10200,10234,10234,4272,34,0,official evaluate.py OK; abc_log=student/work/ex240_ex299_frontend_gt2_round28_20260613_0650/local-synthflow-r28/ex244/logs/ex244_r28_abc_dch_from_frontend_best.abc.log; flow=strash; dch; balance
ex240,float_fp8,local-synthflow-r28,ex240_r28_abc_rwz_rf_from_frontend_best,ex240|frontend_synthflow_micro_from_current_best|abc_flow_abc_rwz_rf|preserve_current_frontend_structure_rebalance_rewrite|abc_rwz_rf|official_evaluate|full_word,frontend synth-flow micro from current best,ABC flow abc_rwz_rf from current frontend best AIG,preserves current high-level frontend sharing; ABC rebalance/rewrite only,student/work/ex240_frontend_fp8_diff_grs_20260608_1401/ex240/verilog/ex240_semantic_add_same_grs_diff_param8.v,student/work/ex240_ex299_frontend_gt2_round28_20260613_0650/local-synthflow-r28/ex240/aigs/ex240_r28_abc_rwz_rf_from_frontend_best.aig,student/work/ex240_ex299_frontend_gt2_round28_20260613_0650/local-synthflow-r28/ex240/logs/ex240_r28_abc_rwz_rf_from_frontend_best.evaluate.py.log,1,not_run,589,51,30039,30039,30039,30090,30090,13299,51,0,official evaluate.py OK; abc_log=student/work/ex240_ex299_frontend_gt2_round28_20260613_0650/local-synthflow-r28/ex240/logs/ex240_r28_abc_rwz_rf_from_frontend_best.abc.log; flow=strash; balance; rewrite -z; refactor -z; balance; rewrite -z; balance
ex240,float_fp8,local-synthflow-r28,ex240_r28_abc_dc2_from_frontend_best,ex240|frontend_synthflow_micro_from_current_best|abc_flow_abc_dc2|preserve_current_frontend_structure_rebalance_rewrite|abc_dc2|official_evaluate|full_word,frontend synth-flow micro from current best,ABC flow abc_dc2 from current frontend best AIG,preserves current high-level frontend sharing; ABC rebalance/rewrite only,student/work/ex240_frontend_fp8_diff_grs_20260608_1401/ex240/verilog/ex240_semantic_add_same_grs_diff_param8.v,student/work/ex240_ex299_frontend_gt2_round28_20260613_0650/local-synthflow-r28/ex240/aigs/ex240_r28_abc_dc2_from_frontend_best.aig,student/work/ex240_ex299_frontend_gt2_round28_20260613_0650/local-synthflow-r28/ex240/logs/ex240_r28_abc_dc2_from_frontend_best.evaluate.py.log,1,not_run,582,51,29682,29682,29682,30090,30090,13299,408,0,official evaluate.py OK; abc_log=student/work/ex240_ex299_frontend_gt2_round28_20260613_0650/local-synthflow-r28/ex240/logs/ex240_r28_abc_dc2_from_frontend_best.abc.log; flow=strash; dc2; balance
ex240,float_fp8,local-synthflow-r28,ex240_r28_abc_dch_from_frontend_best,ex240|frontend_synthflow_micro_from_current_best|abc_flow_abc_dch|preserve_current_frontend_structure_rebalance_rewrite|abc_dch|official_evaluate|full_word,frontend synth-flow micro from current best,ABC flow abc_dch from current frontend best AIG,preserves current high-level frontend sharing; ABC rebalance/rewrite only,student/work/ex240_frontend_fp8_diff_grs_20260608_1401/ex240/verilog/ex240_semantic_add_same_grs_diff_param8.v,student/work/ex240_ex299_frontend_gt2_round28_20260613_0650/local-synthflow-r28/ex240/aigs/ex240_r28_abc_dch_from_frontend_best.aig,student/work/ex240_ex299_frontend_gt2_round28_20260613_0650/local-synthflow-r28/ex240/logs/ex240_r28_abc_dch_from_frontend_best.evaluate.py.log,1,not_run,581,51,29631,29631,29631,30090,30090,13299,459,0,official evaluate.py OK; abc_log=student/work/ex240_ex299_frontend_gt2_round28_20260613_0650/local-synthflow-r28/ex240/logs/ex240_r28_abc_dch_from_frontend_best.abc.log; flow=strash; dch; balance
