case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,runtime_sec,items,notes
ex280,ex280_unknown_quadratic_compressor_prefix_parity_reduce_full_clamp_basic,unknown_quadratic_compressor,prefix_parity_reduce_full_clamp_basic,student/work/ex280_ex284_frontend_quadratic_compressor_smoke_20260609_0216/ex280/verilog/ex280_unknown_quadratic_compressor_prefix_parity_reduce_full_clamp_basic.v,student/work/ex280_ex284_frontend_quadratic_compressor_smoke_20260609_0216/ex280/aigs/ex280_unknown_quadratic_compressor_prefix_parity_reduce_full_clamp_basic.aig,1,1,1,162,31,5022,1.051,transform=prefix_parity_reduce; coord_mode=full_clamp; style=basic; coord_width=17; candidate_basis=2062; raw_pair_terms=156; selected_terms=42; unique_products=37; compound_products=12; linear_forms=23; terms_by_bit=1:3:2:2:2:2:2:3:7:6:5:7; hash=f51186a27d5b,unknown quadratic shared-compressor Verilog seed
ex280,ex280_unknown_quadratic_compressor_prefix_parity_reduce_full_clamp_boundary,unknown_quadratic_compressor,prefix_parity_reduce_full_clamp_boundary,student/work/ex280_ex284_frontend_quadratic_compressor_smoke_20260609_0216/ex280/verilog/ex280_unknown_quadratic_compressor_prefix_parity_reduce_full_clamp_boundary.v,student/work/ex280_ex284_frontend_quadratic_compressor_smoke_20260609_0216/ex280/aigs/ex280_unknown_quadratic_compressor_prefix_parity_reduce_full_clamp_boundary.aig,1,1,1,162,31,5022,1.636,transform=prefix_parity_reduce; coord_mode=full_clamp; style=boundary; coord_width=17; candidate_basis=4540; raw_pair_terms=156; selected_terms=42; unique_products=37; compound_products=12; linear_forms=23; terms_by_bit=1:3:2:2:2:2:2:3:7:6:5:7; hash=f51186a27d5b,unknown quadratic shared-compressor Verilog seed
ex280,ex280_unknown_quadratic_compressor_prefix_parity_reduce_full_clamp_simplified_basic,unknown_quadratic_compressor,prefix_parity_reduce_full_clamp_simplified_basic,student/work/ex280_ex284_frontend_quadratic_compressor_smoke_20260609_0216/ex280/verilog/ex280_unknown_quadratic_compressor_prefix_parity_reduce_full_clamp_simplified_basic.v,student/work/ex280_ex284_frontend_quadratic_compressor_smoke_20260609_0216/ex280/aigs/ex280_unknown_quadratic_compressor_prefix_parity_reduce_full_clamp_simplified_basic.aig,1,1,1,171,31,5301,1.033,transform=prefix_parity_reduce; coord_mode=full_clamp_simplified; style=basic; coord_width=17; candidate_basis=2062; raw_pair_terms=156; selected_terms=42; unique_products=37; compound_products=12; linear_forms=23; terms_by_bit=1:3:2:2:2:2:2:3:7:6:5:7; hash=03fb5c01014e,unknown quadratic shared-compressor Verilog seed
ex280,ex280_unknown_quadratic_compressor_prefix_parity_reduce_full_clamp_simplified_boundary,unknown_quadratic_compressor,prefix_parity_reduce_full_clamp_simplified_boundary,student/work/ex280_ex284_frontend_quadratic_compressor_smoke_20260609_0216/ex280/verilog/ex280_unknown_quadratic_compressor_prefix_parity_reduce_full_clamp_simplified_boundary.v,student/work/ex280_ex284_frontend_quadratic_compressor_smoke_20260609_0216/ex280/aigs/ex280_unknown_quadratic_compressor_prefix_parity_reduce_full_clamp_simplified_boundary.aig,1,1,1,171,31,5301,1.650,transform=prefix_parity_reduce; coord_mode=full_clamp_simplified; style=boundary; coord_width=17; candidate_basis=4540; raw_pair_terms=156; selected_terms=42; unique_products=37; compound_products=12; linear_forms=23; terms_by_bit=1:3:2:2:2:2:2:3:7:6:5:7; hash=03fb5c01014e,unknown quadratic shared-compressor Verilog seed
ex280,ex280_unknown_quadratic_compressor_prefix_parity_full_clamp_basic,unknown_quadratic_compressor,prefix_parity_full_clamp_basic,student/work/ex280_ex284_frontend_quadratic_compressor_smoke_20260609_0216/ex280/verilog/ex280_unknown_quadratic_compressor_prefix_parity_full_clamp_basic.v,student/work/ex280_ex284_frontend_quadratic_compressor_smoke_20260609_0216/ex280/aigs/ex280_unknown_quadratic_compressor_prefix_parity_full_clamp_basic.aig,1,1,1,174,31,5394,1.044,transform=prefix_parity; coord_mode=full_clamp; style=basic; coord_width=17; candidate_basis=2062; raw_pair_terms=156; selected_terms=42; unique_products=37; compound_products=12; linear_forms=23; terms_by_bit=1:3:2:2:2:2:2:3:7:6:5:7; hash=b720aa9e1954,unknown quadratic shared-compressor Verilog seed
ex280,ex280_unknown_quadratic_compressor_prefix_parity_full_clamp_boundary,unknown_quadratic_compressor,prefix_parity_full_clamp_boundary,student/work/ex280_ex284_frontend_quadratic_compressor_smoke_20260609_0216/ex280/verilog/ex280_unknown_quadratic_compressor_prefix_parity_full_clamp_boundary.v,student/work/ex280_ex284_frontend_quadratic_compressor_smoke_20260609_0216/ex280/aigs/ex280_unknown_quadratic_compressor_prefix_parity_full_clamp_boundary.aig,1,1,1,174,31,5394,1.649,transform=prefix_parity; coord_mode=full_clamp; style=boundary; coord_width=17; candidate_basis=4540; raw_pair_terms=156; selected_terms=42; unique_products=37; compound_products=12; linear_forms=23; terms_by_bit=1:3:2:2:2:2:2:3:7:6:5:7; hash=b720aa9e1954,unknown quadratic shared-compressor Verilog seed
ex280,ex280_unknown_quadratic_compressor_prefix_parity_full_clamp_simplified_basic,unknown_quadratic_compressor,prefix_parity_full_clamp_simplified_basic,student/work/ex280_ex284_frontend_quadratic_compressor_smoke_20260609_0216/ex280/verilog/ex280_unknown_quadratic_compressor_prefix_parity_full_clamp_simplified_basic.v,student/work/ex280_ex284_frontend_quadratic_compressor_smoke_20260609_0216/ex280/aigs/ex280_unknown_quadratic_compressor_prefix_parity_full_clamp_simplified_basic.aig,1,1,1,174,31,5394,1.030,transform=prefix_parity; coord_mode=full_clamp_simplified; style=basic; coord_width=17; candidate_basis=2062; raw_pair_terms=156; selected_terms=42; unique_products=37; compound_products=12; linear_forms=23; terms_by_bit=1:3:2:2:2:2:2:3:7:6:5:7; hash=ebaa4526d453,unknown quadratic shared-compressor Verilog seed
ex280,ex280_unknown_quadratic_compressor_prefix_parity_full_clamp_simplified_boundary,unknown_quadratic_compressor,prefix_parity_full_clamp_simplified_boundary,student/work/ex280_ex284_frontend_quadratic_compressor_smoke_20260609_0216/ex280/verilog/ex280_unknown_quadratic_compressor_prefix_parity_full_clamp_simplified_boundary.v,student/work/ex280_ex284_frontend_quadratic_compressor_smoke_20260609_0216/ex280/aigs/ex280_unknown_quadratic_compressor_prefix_parity_full_clamp_simplified_boundary.aig,1,1,1,174,31,5394,1.628,transform=prefix_parity; coord_mode=full_clamp_simplified; style=boundary; coord_width=17; candidate_basis=4540; raw_pair_terms=156; selected_terms=42; unique_products=37; compound_products=12; linear_forms=23; terms_by_bit=1:3:2:2:2:2:2:3:7:6:5:7; hash=ebaa4526d453,unknown quadratic shared-compressor Verilog seed
ex284,ex284_unknown_quadratic_compressor_prefix_parity_reduce_full_clamp_basic,unknown_quadratic_compressor,prefix_parity_reduce_full_clamp_basic,student/work/ex280_ex284_frontend_quadratic_compressor_smoke_20260609_0216/ex284/verilog/ex284_unknown_quadratic_compressor_prefix_parity_reduce_full_clamp_basic.v,student/work/ex280_ex284_frontend_quadratic_compressor_smoke_20260609_0216/ex284/aigs/ex284_unknown_quadratic_compressor_prefix_parity_reduce_full_clamp_basic.aig,1,1,1,237,39,9243,11.535,transform=prefix_parity_reduce; coord_mode=full_clamp; style=basic; coord_width=21; candidate_basis=5003; raw_pair_terms=268; selected_terms=50; unique_products=45; compound_products=16; linear_forms=31; terms_by_bit=1:3:2:2:2:2:2:2:2:2:2:3:7:6:5:7; hash=82f62eab56cb,unknown quadratic shared-compressor Verilog seed
ex284,ex284_unknown_quadratic_compressor_prefix_parity_reduce_full_clamp_boundary,unknown_quadratic_compressor,prefix_parity_reduce_full_clamp_boundary,student/work/ex280_ex284_frontend_quadratic_compressor_smoke_20260609_0216/ex284/verilog/ex284_unknown_quadratic_compressor_prefix_parity_reduce_full_clamp_boundary.v,student/work/ex280_ex284_frontend_quadratic_compressor_smoke_20260609_0216/ex284/aigs/ex284_unknown_quadratic_compressor_prefix_parity_reduce_full_clamp_boundary.aig,1,1,1,237,39,9243,12.780,transform=prefix_parity_reduce; coord_mode=full_clamp; style=boundary; coord_width=21; candidate_basis=9977; raw_pair_terms=268; selected_terms=50; unique_products=45; compound_products=16; linear_forms=31; terms_by_bit=1:3:2:2:2:2:2:2:2:2:2:3:7:6:5:7; hash=82f62eab56cb,unknown quadratic shared-compressor Verilog seed
ex284,ex284_unknown_quadratic_compressor_prefix_parity_reduce_full_clamp_simplified_basic,unknown_quadratic_compressor,prefix_parity_reduce_full_clamp_simplified_basic,student/work/ex280_ex284_frontend_quadratic_compressor_smoke_20260609_0216/ex284/verilog/ex284_unknown_quadratic_compressor_prefix_parity_reduce_full_clamp_simplified_basic.v,student/work/ex280_ex284_frontend_quadratic_compressor_smoke_20260609_0216/ex284/aigs/ex284_unknown_quadratic_compressor_prefix_parity_reduce_full_clamp_simplified_basic.aig,1,1,1,245,38,9310,11.609,transform=prefix_parity_reduce; coord_mode=full_clamp_simplified; style=basic; coord_width=21; candidate_basis=5003; raw_pair_terms=268; selected_terms=50; unique_products=45; compound_products=16; linear_forms=31; terms_by_bit=1:3:2:2:2:2:2:2:2:2:2:3:7:6:5:7; hash=89852b1ca47d,unknown quadratic shared-compressor Verilog seed
