case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex260,ex260_smul_baugh_wooley_wallace_signbit_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_signbit+abc_g_aig,student/work/ex260_ex264_frontend_smul_baugh_signbit_20260609_0314/ex260/verilog/ex260_smul_baugh_wooley_wallace_signbit.v,student/work/ex260_ex264_frontend_smul_baugh_signbit_20260609_0314/ex260/aigs/ex260_smul_baugh_wooley_wallace_signbit_abc_g_aig.aig,1,1,1,98,14,1372,657,2.088280,0,0,0.197,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_signbit; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_signbit_wreduce_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_signbit+wreduce_abc_g_aig,student/work/ex260_ex264_frontend_smul_baugh_signbit_20260609_0314/ex260/verilog/ex260_smul_baugh_wooley_wallace_signbit.v,student/work/ex260_ex264_frontend_smul_baugh_signbit_20260609_0314/ex260/aigs/ex260_smul_baugh_wooley_wallace_signbit_wreduce_abc_g_aig.aig,1,1,1,98,14,1372,657,2.088280,0,0,0.213,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_signbit; flow=wreduce_abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_signbit_synth_preset_d13,signed low4_high4:a*b,baugh_wooley_wallace_signbit+synth_preset_d13,student/work/ex260_ex264_frontend_smul_baugh_signbit_20260609_0314/ex260/verilog/ex260_smul_baugh_wooley_wallace_signbit.v,student/work/ex260_ex264_frontend_smul_baugh_signbit_20260609_0314/ex260/aigs/ex260_smul_baugh_wooley_wallace_signbit_synth_preset_d13.aig,1,1,1,98,14,1372,657,2.088280,0,0,0.238,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_signbit; flow=synth_preset_d13
ex260,ex260_smul_baugh_wooley_wallace_signbit_synth_preset_d18,signed low4_high4:a*b,baugh_wooley_wallace_signbit+synth_preset_d18,student/work/ex260_ex264_frontend_smul_baugh_signbit_20260609_0314/ex260/verilog/ex260_smul_baugh_wooley_wallace_signbit.v,student/work/ex260_ex264_frontend_smul_baugh_signbit_20260609_0314/ex260/aigs/ex260_smul_baugh_wooley_wallace_signbit_synth_preset_d18.aig,1,1,1,98,14,1372,657,2.088280,0,0,0.235,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_signbit; flow=synth_preset_d18
ex260,ex260_smul_baugh_wooley_wallace_rev_signbit_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_rev_signbit+abc_g_aig,student/work/ex260_ex264_frontend_smul_baugh_signbit_20260609_0314/ex260/verilog/ex260_smul_baugh_wooley_wallace_rev_signbit.v,student/work/ex260_ex264_frontend_smul_baugh_signbit_20260609_0314/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_signbit_abc_g_aig.aig,1,1,1,88,14,1232,657,1.875190,0,0,0.239,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_signbit; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_rev_signbit_wreduce_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_rev_signbit+wreduce_abc_g_aig,student/work/ex260_ex264_frontend_smul_baugh_signbit_20260609_0314/ex260/verilog/ex260_smul_baugh_wooley_wallace_rev_signbit.v,student/work/ex260_ex264_frontend_smul_baugh_signbit_20260609_0314/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_signbit_wreduce_abc_g_aig.aig,1,1,1,88,14,1232,657,1.875190,0,0,0.221,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_signbit; flow=wreduce_abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_rev_signbit_synth_preset_d13,signed low4_high4:a*b,baugh_wooley_wallace_rev_signbit+synth_preset_d13,student/work/ex260_ex264_frontend_smul_baugh_signbit_20260609_0314/ex260/verilog/ex260_smul_baugh_wooley_wallace_rev_signbit.v,student/work/ex260_ex264_frontend_smul_baugh_signbit_20260609_0314/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_signbit_synth_preset_d13.aig,1,1,1,88,14,1232,657,1.875190,0,0,0.272,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_signbit; flow=synth_preset_d13
ex260,ex260_smul_baugh_wooley_wallace_rev_signbit_synth_preset_d18,signed low4_high4:a*b,baugh_wooley_wallace_rev_signbit+synth_preset_d18,student/work/ex260_ex264_frontend_smul_baugh_signbit_20260609_0314/ex260/verilog/ex260_smul_baugh_wooley_wallace_rev_signbit.v,student/work/ex260_ex264_frontend_smul_baugh_signbit_20260609_0314/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_signbit_synth_preset_d18.aig,1,1,1,88,14,1232,657,1.875190,0,0,0.306,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_signbit; flow=synth_preset_d18
ex260,ex260_smul_baugh_wooley_wallace_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace+abc_g_aig,student/work/ex260_ex264_frontend_smul_baugh_signbit_20260609_0314/ex260/verilog/ex260_smul_baugh_wooley_wallace.v,student/work/ex260_ex264_frontend_smul_baugh_signbit_20260609_0314/ex260/aigs/ex260_smul_baugh_wooley_wallace_abc_g_aig.aig,1,1,1,91,14,1274,657,1.939117,0,0,0.199,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_wreduce_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace+wreduce_abc_g_aig,student/work/ex260_ex264_frontend_smul_baugh_signbit_20260609_0314/ex260/verilog/ex260_smul_baugh_wooley_wallace.v,student/work/ex260_ex264_frontend_smul_baugh_signbit_20260609_0314/ex260/aigs/ex260_smul_baugh_wooley_wallace_wreduce_abc_g_aig.aig,1,1,1,91,14,1274,657,1.939117,0,0,0.198,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace; flow=wreduce_abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_synth_preset_d13,signed low4_high4:a*b,baugh_wooley_wallace+synth_preset_d13,student/work/ex260_ex264_frontend_smul_baugh_signbit_20260609_0314/ex260/verilog/ex260_smul_baugh_wooley_wallace.v,student/work/ex260_ex264_frontend_smul_baugh_signbit_20260609_0314/ex260/aigs/ex260_smul_baugh_wooley_wallace_synth_preset_d13.aig,1,1,1,91,14,1274,657,1.939117,0,0,0.271,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace; flow=synth_preset_d13
