case,layer,adjacent_pairs,same_output,distance2,distance4,distance_ge6,avg_output_distance,max_output_distance,notes
ex286,1,78,6,72,0,0,1.846154,2,output Hamming distance for adjacent input subsets in the Johnson graph
ex286,2,858,38,337,483,0,3.037296,4,output Hamming distance for adjacent input subsets in the Johnson graph
ex286,3,4290,154,1164,1637,1335,3.936131,6,output Hamming distance for adjacent input subsets in the Johnson graph
ex286,4,12870,411,2845,4288,5326,4.577001,8,output Hamming distance for adjacent input subsets in the Johnson graph
ex286,5,25740,826,4987,7945,11982,4.972494,10,output Hamming distance for adjacent input subsets in the Johnson graph
ex286,6,36036,1144,6812,10509,17571,5.151460,12,output Hamming distance for adjacent input subsets in the Johnson graph
ex286,7,36036,1143,6975,10441,17477,5.137585,12,output Hamming distance for adjacent input subsets in the Johnson graph
ex286,8,25740,814,5263,7754,11909,4.936364,10,output Hamming distance for adjacent input subsets in the Johnson graph
ex286,9,12870,426,2955,4286,5203,4.526651,8,output Hamming distance for adjacent input subsets in the Johnson graph
ex286,10,4290,163,1218,1583,1326,3.898368,6,output Hamming distance for adjacent input subsets in the Johnson graph
ex286,11,858,34,358,466,0,3.006993,4,output Hamming distance for adjacent input subsets in the Johnson graph
ex286,12,78,8,70,0,0,1.794872,2,output Hamming distance for adjacent input subsets in the Johnson graph
ex287,1,91,11,80,0,0,1.758242,2,output Hamming distance for adjacent input subsets in the Johnson graph
ex287,2,1092,60,448,584,0,2.959707,4,output Hamming distance for adjacent input subsets in the Johnson graph
ex287,3,6006,272,1772,2046,1916,3.866800,6,output Hamming distance for adjacent input subsets in the Johnson graph
ex287,4,20020,818,4690,6529,7983,4.538761,8,output Hamming distance for adjacent input subsets in the Johnson graph
ex287,5,45045,1777,9611,12716,20941,4.996248,10,output Hamming distance for adjacent input subsets in the Johnson graph
ex287,6,72072,2826,14063,20464,34719,5.254940,12,output Hamming distance for adjacent input subsets in the Johnson graph
ex287,7,84084,3242,16417,22663,41762,5.340279,14,output Hamming distance for adjacent input subsets in the Johnson graph
ex287,8,72072,2810,14018,20136,35108,5.263292,12,output Hamming distance for adjacent input subsets in the Johnson graph
ex287,9,45045,1766,9462,12672,21145,5.007881,10,output Hamming distance for adjacent input subsets in the Johnson graph
ex287,10,20020,814,4659,6409,8138,4.552048,8,output Hamming distance for adjacent input subsets in the Johnson graph
ex287,11,6006,282,1730,2079,1915,3.873793,6,output Hamming distance for adjacent input subsets in the Johnson graph
ex287,12,1092,51,476,565,0,2.941392,4,output Hamming distance for adjacent input subsets in the Johnson graph
ex287,13,91,12,79,0,0,1.736264,2,output Hamming distance for adjacent input subsets in the Johnson graph
ex288,1,105,8,97,0,0,1.847619,2,output Hamming distance for adjacent input subsets in the Johnson graph
ex288,2,1365,49,521,795,0,3.093040,4,output Hamming distance for adjacent input subsets in the Johnson graph
