case,layer,layer_size,rank,input_order,output_order,input_scheme,output_scheme,transform,matches,match_ratio,param,mean_abs_cyclic_displacement,max_abs_cyclic_displacement,notes
ex286,1,13,1,onehot_slot,natural,lex,lex,affine_small,6,0.461538,a=1;b=1,0.692308,2,best small-multiplier affine modulo layer size
ex286,1,13,2,onehot_slot,natural,lex,revlex,affine_small,6,0.461538,a=-1;b=11,0.692308,2,best small-multiplier affine modulo layer size
ex286,1,13,3,onehot_slot,natural,lex,colex,affine_small,6,0.461538,a=1;b=1,0.692308,2,best small-multiplier affine modulo layer size
ex286,1,13,4,onehot_slot,natural,lex,revcolex,affine_small,6,0.461538,a=-1;b=11,0.692308,2,best small-multiplier affine modulo layer size
ex286,1,13,5,onehot_slot,natural,revlex,lex,affine_small,6,0.461538,a=-1;b=0,0.692308,2,best small-multiplier affine modulo layer size
ex286,1,13,6,onehot_slot,natural,revlex,revlex,affine_small,6,0.461538,a=1;b=12,0.692308,2,best small-multiplier affine modulo layer size
ex286,1,13,7,onehot_slot,natural,revlex,colex,affine_small,6,0.461538,a=-1;b=0,0.692308,2,best small-multiplier affine modulo layer size
ex286,1,13,8,onehot_slot,natural,revlex,revcolex,affine_small,6,0.461538,a=1;b=12,0.692308,2,best small-multiplier affine modulo layer size
ex286,2,78,1,onehot_slot,natural,lex,lex,affine_small,7,0.089744,a=1;b=8,12.192308,38,best small-multiplier affine modulo layer size
ex286,2,78,2,onehot_slot,natural,lex,revlex,affine_small,7,0.089744,a=-1;b=69,12.192308,38,best small-multiplier affine modulo layer size
ex286,2,78,3,onehot_slot,natural,revlex,lex,affine_small,7,0.089744,a=-1;b=7,12.192308,38,best small-multiplier affine modulo layer size
ex286,2,78,4,onehot_slot,natural,revlex,revlex,affine_small,7,0.089744,a=1;b=70,12.192308,38,best small-multiplier affine modulo layer size
ex286,2,78,5,onehot_slot,reverse,lex,colex,affine_small,7,0.089744,a=-1;b=69,12.192308,38,best small-multiplier affine modulo layer size
ex286,2,78,6,onehot_slot,reverse,lex,revcolex,affine_small,7,0.089744,a=1;b=8,12.192308,38,best small-multiplier affine modulo layer size
ex286,2,78,7,onehot_slot,reverse,revlex,colex,affine_small,7,0.089744,a=1;b=70,12.192308,38,best small-multiplier affine modulo layer size
ex286,2,78,8,onehot_slot,reverse,revlex,revcolex,affine_small,7,0.089744,a=-1;b=7,12.192308,38,best small-multiplier affine modulo layer size
ex286,3,286,1,outside,onehot_slot_rev,lex,lex,affine_small,8,0.027972,a=1;b=174,59.846154,142,best small-multiplier affine modulo layer size
ex286,3,286,2,outside,onehot_slot_rev,lex,revlex,affine_small,8,0.027972,a=-1;b=111,59.846154,142,best small-multiplier affine modulo layer size
ex286,3,286,3,outside,onehot_slot_rev,revlex,lex,affine_small,8,0.027972,a=-1;b=173,59.846154,142,best small-multiplier affine modulo layer size
ex286,3,286,4,outside,onehot_slot_rev,revlex,revlex,affine_small,8,0.027972,a=1;b=112,59.846154,142,best small-multiplier affine modulo layer size
ex286,3,286,5,outside,outside,lex,lex,affine_small,8,0.027972,a=-5;b=256,61.979021,143,best small-multiplier affine modulo layer size
ex286,3,286,6,outside,outside,lex,revlex,affine_small,8,0.027972,a=5;b=29,61.979021,143,best small-multiplier affine modulo layer size
ex286,3,286,7,outside,outside,revlex,lex,affine_small,8,0.027972,a=5;b=261,61.979021,143,best small-multiplier affine modulo layer size
ex286,3,286,8,outside,outside,revlex,revlex,affine_small,8,0.027972,a=-5;b=24,61.979021,143,best small-multiplier affine modulo layer size
ex286,4,715,1,center,center,colex,colex,identity,10,0.013986,,160.072727,356,
ex286,4,715,2,center,center,colex,colex,affine_small,10,0.013986,a=1;b=0,160.072727,356,best small-multiplier affine modulo layer size
ex286,4,715,3,center,center,colex,revcolex,reverse,10,0.013986,,160.072727,356,
ex286,4,715,4,center,center,colex,revcolex,affine_small,10,0.013986,a=-1;b=714,160.072727,356,best small-multiplier affine modulo layer size
ex286,4,715,5,center,center,revcolex,colex,reverse,10,0.013986,,160.072727,356,
ex286,4,715,6,center,center,revcolex,colex,affine_small,10,0.013986,a=-1;b=714,160.072727,356,best small-multiplier affine modulo layer size
ex286,4,715,7,center,center,revcolex,revcolex,identity,10,0.013986,,160.072727,356,
ex286,4,715,8,center,center,revcolex,revcolex,affine_small,10,0.013986,a=1;b=0,160.072727,356,best small-multiplier affine modulo layer size
ex286,5,1287,1,outside,outside,colex,colex,identity,14,0.010878,,279.284382,642,
ex286,5,1287,2,outside,outside,colex,colex,affine_small,14,0.010878,a=1;b=0,279.284382,642,best small-multiplier affine modulo layer size
ex286,5,1287,3,outside,outside,colex,revcolex,reverse,14,0.010878,,279.284382,642,
ex286,5,1287,4,outside,outside,colex,revcolex,affine_small,14,0.010878,a=-1;b=1286,279.284382,642,best small-multiplier affine modulo layer size
ex286,5,1287,5,outside,outside,revcolex,colex,reverse,14,0.010878,,279.284382,642,
ex286,5,1287,6,outside,outside,revcolex,colex,affine_small,14,0.010878,a=-1;b=1286,279.284382,642,best small-multiplier affine modulo layer size
ex286,5,1287,7,outside,outside,revcolex,revcolex,identity,14,0.010878,,279.284382,642,
ex286,5,1287,8,outside,outside,revcolex,revcolex,affine_small,14,0.010878,a=1;b=0,279.284382,642,best small-multiplier affine modulo layer size
ex286,6,1716,1,outside,outside,colex,colex,identity,10,0.005828,,377.456876,857,
ex286,6,1716,2,outside,outside,colex,colex,affine_small,10,0.005828,a=1;b=0,377.456876,857,best small-multiplier affine modulo layer size
ex286,6,1716,3,outside,outside,colex,revcolex,reverse,10,0.005828,,377.456876,857,
ex286,6,1716,4,outside,outside,colex,revcolex,affine_small,10,0.005828,a=-1;b=1715,377.456876,857,best small-multiplier affine modulo layer size
ex286,6,1716,5,outside,outside,revcolex,colex,reverse,10,0.005828,,377.456876,857,
ex286,6,1716,6,outside,outside,revcolex,colex,affine_small,10,0.005828,a=-1;b=1715,377.456876,857,best small-multiplier affine modulo layer size
ex286,6,1716,7,outside,outside,revcolex,revcolex,identity,10,0.005828,,377.456876,857,
ex286,6,1716,8,outside,outside,revcolex,revcolex,affine_small,10,0.005828,a=1;b=0,377.456876,857,best small-multiplier affine modulo layer size
ex286,7,1716,1,natural,onehot_slot,colex,lex,affine_small,10,0.005828,a=1;b=131,412.207459,857,best small-multiplier affine modulo layer size
ex286,7,1716,2,natural,onehot_slot,colex,revlex,affine_small,10,0.005828,a=-1;b=1584,412.207459,857,best small-multiplier affine modulo layer size
ex286,7,1716,3,natural,onehot_slot,revcolex,lex,affine_small,10,0.005828,a=-1;b=130,412.207459,857,best small-multiplier affine modulo layer size
