case,candidate_id,hypothesis/function_guess,variant,verilog_path,aig_path,verified_truth,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,classification,notes
ex252,ex252_semantic_u2_dot4_handmul_balanced_qcase_default,packed_u2_dot4_to_e4m3,semantic_u2_dot4_handmul_balanced_qcase_default,student/work/ex252_ex253_frontend_handmul_popthreshold_20260608_2229/ex252/verilog/ex252_semantic_u2_dot4_handmul_balanced_qcase.v,student/work/ex252_ex253_frontend_handmul_popthreshold_20260608_2229/ex252/aigs/ex252_semantic_u2_dot4_handmul_balanced_qcase_default.aig,1,1,145,21,3045,2603,1.169804,1,0,semantic_exact,
ex253,ex253_semantic_u2_sum8_popcount_threshold_fields_default,packed_u2_sum8_times2_to_e4m3,semantic_u2_sum8_popcount_threshold_fields_default,student/work/ex252_ex253_frontend_handmul_popthreshold_20260608_2229/ex253/verilog/ex253_semantic_u2_sum8_popcount_threshold_fields.v,student/work/ex252_ex253_frontend_handmul_popthreshold_20260608_2229/ex253/aigs/ex253_semantic_u2_sum8_popcount_threshold_fields_default.aig,1,1,131,19,2489,1845,1.349051,1,0,semantic_exact,
