case,selected_count,best_candidate_id,best_area,best_delay,best_adp,reference_adp,adp_ratio_to_reference,candidate_ids,candidate_count_target,candidate_count_actual,candidate_insufficient,candidate_shortfall_reason
ex255,6,ex255_umul_wallace_bits_prefix_synth_preset,87,13,1131,836,1.352871,ex255_umul_wallace_bits_prefix_synth_preset;ex255_umul_csa_concat_center_abc_g_aig;ex255_umul_csa_androws_abc_g_aig;ex255_umul_csa_androws_cla_abc_g_aig;ex255_umul_csa_androws_cla_from4_synth_preset_d13;ex255_umul_csa_androws_cla_synth_preset_d13,6,6,0,
ex256,6,ex256_current_frontend_replay_post_resyn2,158,18,2844,1911,1.488226,ex256_current_frontend_replay_post_resyn2;ex256_current_frontend_replay_yosys_abc_g_aig;ex256_umul_csa_androws_cla_from2_wreduce_abc_g_aig;ex256_umul_csa_androws_carryselect3_synth_preset_d13;ex256_umul_csa_androws_cla_from4_wreduce_abc_g_aig;ex256_umul_csa_androws_cla_from2_abc_g_aig,6,6,0,
ex257,6,ex257_umul_csa_androws_cla_from4_wreduce_abc_g_aig,254,21,5334,3952,1.349696,ex257_umul_csa_androws_cla_from4_wreduce_abc_g_aig;ex257_umul_csa_androws_cla_from3_wreduce_abc_g_aig;ex257_umul_csa_concat_cla_abc_g_aig;ex257_umul_csa_androws_cla_from2_wreduce_abc_g_aig;ex257_umul_csa_androws_cla_from3_abc_g_aig;ex257_umul_csa_androws_cla_from4_abc_g_aig,6,6,0,
ex258,6,ex258_umul_csa_androws_cla_from3_wreduce_abc_g_aig,372,24,8928,6289,1.419622,ex258_umul_csa_androws_cla_from3_wreduce_abc_g_aig;ex258_umul_csa_androws_cla_from4_synth_preset_d13;ex258_umul_wallace_bits_cla_abc_g_aig;ex258_umul_wallace_bits_cla_synth_preset_d13;ex258_umul_wallace_bits_prefix_abc_g_aig;ex258_umul_wallace_bits_prefix_synth_preset,6,6,0,
ex259,6,ex259_umul_wallace_bits_outside_cla_abc_g_aig,480,28,13440,10000,1.344000,ex259_umul_wallace_bits_outside_cla_abc_g_aig;ex259_umul_wallace_bits_rev_cla_abc_g_aig;ex259_umul_csa_androws_cla_abc_g_aig;ex259_umul_csa_androws_cla_wreduce_abc_g_aig;ex259_umul_wallace_bits_prefix_abc_g_aig;ex259_umul_csa_androws_cla_from4_abc_g_aig,6,6,0,
ex260,6,ex260_r78_grouped_keep_common_abc_g_aig,87,13,1131,657,1.721461,ex260_r78_grouped_keep_common_abc_g_aig;ex260_r79_keep_rows_abc_g_aig;ex260_current_frontend_replay_post_dch;ex260_r69_mined_current_bw_rev_hcla4;ex260_r26_signed_mul_baugh_wooley_wallace_rev_hcla4_abc_g_gates;ex260_smul_ex260_rev_hcla4_qmc_hi2_synth_preset_d13,6,6,0,
ex261,6,ex261_current_frontend_replay_post_resyn2,164,18,2952,2041,1.446350,ex261_current_frontend_replay_post_resyn2;ex261_smul_baugh_wooley_wallace_evenodd_hcla4_abc_g_aig;ex261_smul_baugh_wooley_wallace_center_rhcla4_abc_g_aig;ex261_smul_baugh_wooley_wallace_evenodd_hcla4_synth_preset_d13;ex261_smul_baugh_wooley_wallace_hcla5_abc_g_aig;ex261_baugh_wooley_wallace_csel3_abc_g_aig,6,6,0,
ex262,6,ex262_smul_baugh_wooley_wallace_hcla4_wreduce_abc_g_aig,252,22,5544,4900,1.131429,ex262_smul_baugh_wooley_wallace_hcla4_wreduce_abc_g_aig;ex262_smul_baugh_wooley_wallace_hcla4_synth_preset_d13;ex262_smul_baugh_wooley_wallace_hcla6_abc_g_aig;ex262_smul_baugh_wooley_wallace_hcla6_wreduce_abc_g_aig;ex262_smul_baugh_wooley_wallace_outside_synth_preset_d13;ex262_smul_baugh_wooley_wallace_hcla8_abc_g_aig,6,6,0,
ex263,6,ex263_smul_baugh_wooley_wallace_rev_rhcla7_synth_preset_d13,363,24,8712,6840,1.273684,ex263_smul_baugh_wooley_wallace_rev_rhcla7_synth_preset_d13;ex263_smul_baugh_wooley_wallace_outside_rhcla2_abc_g_aig;ex263_smul_baugh_wooley_wallace_corrfirst_rhcla2_abc_g_aig;ex263_smul_baugh_wooley_wallace_corrzip_rhcla2_abc_g_aig;ex263_smul_baugh_wooley_wallace_corrfirst_rhcla2_mod_synth_preset_d11;ex263_smul_baugh_wooley_wallace_corrlast_hcla1_wreduce_abc_g_aig,6,6,0,
ex264,6,ex264_smul_baugh_wooley_wallace_rev_rhcla1_abc_g_aig,487,27,13149,9724,1.352221,ex264_smul_baugh_wooley_wallace_rev_rhcla1_abc_g_aig;ex264_smul_baugh_wooley_wallace_rev_rhcla3_synth_preset_d13;ex264_smul_baugh_wooley_wallace_center_hcla4_synth_preset_d13;ex264_smul_baugh_wooley_wallace_center_rhcla3_abc_g_aig;ex264_smul_baugh_wooley_wallace_hcla4_synth_preset_d11;ex264_smul_baugh_wooley_wallace_outside_rhcla1_synth_preset_d13,6,6,0,
ex265,6,ex265_r4_udiv_current_source_synth_preset_aig,63,8,504,322,1.565217,ex265_r4_udiv_current_source_synth_preset_aig;ex265_udiv_cof_bhi2_ahi1_bitbdd_wordmux_abc_g_aig;ex265_udiv_bdd_b_msb_abc_g_aig;ex265_udiv_bdd_greedy_interleave_msb_synth_preset;ex265_udiv_bdd_b_msb_a_lsb_synth_preset;ex265_udiv_cof_bhi2_ahi2_bitbdd_wordmux_synth_preset_d8,6,6,0,
ex266,6,ex266_udiv_cof_bhi2_a_hi2_wordmux_synth_preset,153,10,1530,848,1.804245,ex266_udiv_cof_bhi2_a_hi2_wordmux_synth_preset;ex266_r26_int_highgap_udiv_ex266_hybrid_top1_a43_synth_preset_d10;ex266_udiv_cof_bhi1_ahi1_bitbdd_wordmux_synth_preset_d10;ex266_udiv_bhi2_a4_case_wordmux_synth_preset_d10;ex266_udiv_cof_bhi3_a_hi1_wordmux_synth_preset;ex266_r24_int_highgap_udiv_ex266_hybrid_top1_b2a4_synth_preset_d10,6,6,0,
ex267,6,ex267_r9_q54_formula_overlay_abc_and,334,12,4008,2651,1.511882,ex267_r9_q54_formula_overlay_abc_and;ex267_r9_q54_range_overlay_optfull;ex267_r4_udiv_current_source_abc_g_aig;ex267_r8_current_default_and;ex267_udiv_cof_bhi3_bmid1_a_hi2_wordmux_abc_g_aig;ex267_r9_q4_formula_overlay,6,6,0,
ex268,6,ex268_udiv_denom_lz_range_direct_abc_g_aig,200,53,10600,7446,1.423583,ex268_udiv_denom_lz_range_direct_abc_g_aig;ex268_udiv_small_divisor_fast_direct_synth_preset;ex268_udiv_shift_subtract_abc_g_aig;ex268_udiv_denom_split_direct_synth_preset;ex268_udiv_direct_safe_abc_g_aig;ex268_udiv_direct_safe_synth_preset,6,6,0,
ex269,6,ex269_udiv_radix4_shift_subtract_gt_guard_synth_preset,382,42,16044,11760,1.364286,ex269_udiv_radix4_shift_subtract_gt_guard_synth_preset;ex269_udiv_radix4_compact_digit_wreduce_abc_g_aig;ex269_udiv_radix4_shift_subtract_arith_wreduce_aig;ex269_udiv_radix4_shift_subtract_wreduce_default;ex269_udiv_radix4_shift_subtract_narrow_wreduce_abc_g_aig;ex269_udiv_radix4_shift_subtract_narrow_abc_g_aig,6,6,0,
ex270,6,ex270_r5_top3_threshold_recut_synth_preset_aig,199,16,3184,2076,1.533719,ex270_r5_top3_threshold_recut_synth_preset_aig;ex270_r7_bit12_threshold_overlay_abc_g_aig;ex270_r5_top4_threshold_recut_abc_g_aig;ex270_current_frontend_replay_post_dch;ex270_square_wallace_square_outside_csel5_abc_g_aig;ex270_wallace_square_outside_csel5_synth_preset,6,6,0,
ex271,6,ex271_square_wallace_square_outside_csel12_abc_g_aig,336,24,8064,5542,1.455070,ex271_square_wallace_square_outside_csel12_abc_g_aig;ex271_square_wallace_square_outside_csel4_synth_preset;ex271_square_wallace_square_outside_csel4_abc_g_aig;ex271_square_wallace_square_outside_csel4_wreduce_abc_g_aig;ex271_square_hybrid_bddtop2_trunc_csel7_abc_g_aig;ex271_square_wallace_square_outside_csel3_synth_preset_d16,6,6,0,
