case,candidate_id,hypothesis/function_guess,variant,verilog_path,aig_path,verified_truth,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,classification,notes
ex236,ex236_core_clamp_hi6_abc_g_aig,fp16_cube,core_clamp_hi6_abc_g_aig,student/work/ex236_ex238_frontend_fp16_core_clamp_allflows_20260608_0953/ex236/verilog/ex236_core_clamp_hi6.v,student/work/ex236_ex238_frontend_fp16_core_clamp_allflows_20260608_0953/ex236/aigs/ex236_core_clamp_hi6_abc_g_aig.aig,1,1,1432,15,21480,17290,1.242337,1,0,semantic_core_clamp,"exp_delta_width=2; exp_delta_runs=3; exp_delta_max=2; mant_high=; low_width=10; nested_hi=6; boundary_clamp=exp10 mant1..0x109 zero, mant0x10a min-normal, exp20 mant>=0x10b inf"
ex238,ex238_core_clamp_hi5_abc_g_aig,fp16_reciprocal_cube,core_clamp_hi5_abc_g_aig,student/work/ex236_ex238_frontend_fp16_core_clamp_allflows_20260608_0953/ex238/verilog/ex238_core_clamp_hi5.v,student/work/ex236_ex238_frontend_fp16_core_clamp_allflows_20260608_0953/ex238/aigs/ex238_core_clamp_hi5_abc_g_aig.aig,1,1,1461,17,24837,16549,1.500816,0,0,semantic_core_clamp,"exp_delta_width=2; exp_delta_runs=4; exp_delta_max=3; mant_high=; low_width=10; nested_hi=5; boundary_clamp=exp9 mant<=0x259 inf, exp19 mant>=0x25a zero"
