case,order_style,outer_count,outer_vars,remaining_vars,classes,total_mdd_nodes,max_group_nodes,domain_vars,notes
ex286,forward,2,0:1,2:3:4:5:6:7:8:9:10,8,5678,751,11,cofactored pair-count MDD node diagnostic
ex286,forward,3,0:1:2,3:4:5:6:7:8:9:10,16,6912,459,11,cofactored pair-count MDD node diagnostic
ex286,forward,4,0:1:2:3,4:5:6:7:8:9:10,32,7476,260,11,cofactored pair-count MDD node diagnostic
ex286,forward,5,0:1:2:3:4,5:6:7:8:9:10,64,8688,158,11,cofactored pair-count MDD node diagnostic
ex286,forward,6,0:1:2:3:4:5,6:7:8:9:10,128,8936,83,11,cofactored pair-count MDD node diagnostic
ex286,reverse,2,10:9,0:1:2:3:4:5:6:7:8,4,3737,965,11,cofactored pair-count MDD node diagnostic
ex286,reverse,3,10:9:8,0:1:2:3:4:5:6:7,8,3719,524,11,cofactored pair-count MDD node diagnostic
ex286,reverse,4,10:9:8:7,0:1:2:3:4:5:6,16,4799,370,11,cofactored pair-count MDD node diagnostic
ex286,reverse,5,10:9:8:7:6,0:1:2:3:4:5,32,7308,251,11,cofactored pair-count MDD node diagnostic
ex286,reverse,6,10:9:8:7:6:5,0:1:2:3:4,64,6960,124,11,cofactored pair-count MDD node diagnostic
ex286,center,2,5:4,0:1:2:3:6:7:8:9:10,4,5600,1420,11,cofactored pair-count MDD node diagnostic
ex286,center,3,5:4:6,0:1:2:3:7:8:9:10,8,6848,870,11,cofactored pair-count MDD node diagnostic
ex286,center,4,5:4:6:3,0:1:2:7:8:9:10,16,7653,496,11,cofactored pair-count MDD node diagnostic
ex286,center,5,5:4:6:3:7,0:1:2:8:9:10,32,7707,261,11,cofactored pair-count MDD node diagnostic
ex286,center,6,5:4:6:3:7:2,0:1:8:9:10,64,6904,128,11,cofactored pair-count MDD node diagnostic
ex286,edge,2,0:10,1:2:3:4:5:6:7:8:9,6,5138,869,11,cofactored pair-count MDD node diagnostic
ex286,edge,3,0:10:1,2:3:4:5:6:7:8:9,16,5727,379,11,cofactored pair-count MDD node diagnostic
ex286,edge,4,0:10:1:9,2:3:4:5:6:7:8,32,5867,201,11,cofactored pair-count MDD node diagnostic
ex286,edge,5,0:10:1:9:2,3:4:5:6:7:8,64,6894,121,11,cofactored pair-count MDD node diagnostic
ex286,edge,6,0:10:1:9:2:8,3:4:5:6:7,128,7139,71,11,cofactored pair-count MDD node diagnostic
