case,candidate_id,hypothesis/function_guess,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,items,classification,notes
ex225,ex225_fp16_log10_manual14_13_bitvec12_9,fp16_log10,manual14_13_bitvec12_9,student/work/ex225_frontend_fp16_manual13_correction_20260607_1458/ex225/verilog/ex225_fp16_log10_manual14_13_bitvec12_9.v,student/work/ex225_frontend_fp16_manual13_correction_20260607_1458/ex225/aigs/ex225_fp16_log10_manual14_13_bitvec12_9.aig,1,1,1,11540,23,265420,116676,2.274847,0,0,15.289,"manual_bits=14,13; vec_bits=12,9; table_items=31777; bits=12,9; threshold=32; const_groups=47; range_groups=17; table_groups=0; range_items=72; table_items=0",structural_exact,"exact high/low mantissa correction; manual_bits=14,13; vec_bits=12,9; table_items=31777; bits=12,9; threshold=32; const_groups=47; range_groups=17; table_groups=0; range_items=72; table_items=0"
ex225,ex225_fp16_log10_manual14_13_12_bitvec9,fp16_log10,manual14_13_12_bitvec9,student/work/ex225_frontend_fp16_manual13_correction_20260607_1458/ex225/verilog/ex225_fp16_log10_manual14_13_12_bitvec9.v,student/work/ex225_frontend_fp16_manual13_correction_20260607_1458/ex225/aigs/ex225_fp16_log10_manual14_13_12_bitvec9.aig,1,1,1,11517,23,264891,116676,2.270313,0,0,16.993,"manual_bits=14,13,12; vec_bits=9; table_items=31777; bits=9; threshold=32; const_groups=47; range_groups=17; table_groups=0; range_items=71; table_items=0",structural_exact,"exact high/low mantissa correction; manual_bits=14,13,12; vec_bits=9; table_items=31777; bits=9; threshold=32; const_groups=47; range_groups=17; table_groups=0; range_items=71; table_items=0"
