case,selected_count,best_candidate_id,best_area,best_delay,best_adp,reference_adp,adp_ratio_to_reference,candidate_ids
ex240,1,ex240_semantic_add_same_grs_diff_param8_synth_preset_aig,590,51,30090,13299,2.262576,ex240_semantic_add_same_grs_diff_param8_synth_preset_aig
ex241,1,ex241_semantic_mul_product_nested_exp_synth_preset_aig,536,29,15544,7224,2.151717,ex241_semantic_mul_product_nested_exp_synth_preset_aig
ex242,1,ex242_semantic_div_field_sparse_clean_synth_preset_aig,1266,20,25320,11900,2.127731,ex242_semantic_div_field_sparse_clean_synth_preset_aig
ex243,1,ex243_semantic_fmod_modsig_nested_delta_abc_g_aig,1790,27,48330,53227,0.907998,ex243_semantic_fmod_modsig_nested_delta_abc_g_aig
ex244,1,ex244_semantic_hypot_delta_maxeff_bdd_expfirst_synth_preset_aig,301,34,10234,4272,2.395599,ex244_semantic_hypot_delta_maxeff_bdd_expfirst_synth_preset_aig
ex245,1,ex245_semantic_add_gap_class_synth_preset_aig,701,34,23834,11050,2.156923,ex245_semantic_add_gap_class_synth_preset_aig
ex246,1,ex246_semantic_mul_product_dc_seed12_set11to10_synth_preset_aig,341,22,7502,2805,2.674510,ex246_semantic_mul_product_dc_seed12_set11to10_synth_preset_aig
ex247,1,ex247_semantic_div_bound_smallpat_nested_den_synth_preset_aig,365,25,9125,2975,3.067227,ex247_semantic_div_bound_smallpat_nested_den_synth_preset_aig
ex248,1,ex248_semantic_fmod_periodic_rem_abc_g_aig,285,30,8550,4180,2.045455,ex248_semantic_fmod_periodic_rem_abc_g_aig
ex249,1,ex249_semantic_hypot_threshold_rawexp_synth_preset_aig,168,26,4368,2079,2.101010,ex249_semantic_hypot_threshold_rawexp_synth_preset_aig
ex250,1,ex250_semantic_fp4_dot2_magarith_qcase_synth_preset_aig,413,41,16933,20355,0.831884,ex250_semantic_fp4_dot2_magarith_qcase_synth_preset_aig
ex251,1,ex251_semantic_int3_dot2_arith_qcase_abc_g_aig,495,38,18810,39270,0.478992,ex251_semantic_int3_dot2_arith_qcase_abc_g_aig
ex252,1,ex252_semantic_u2_dot4_handmul_balanced_qcase_default,145,21,3045,2603,1.169804,ex252_semantic_u2_dot4_handmul_balanced_qcase_default
ex253,1,ex253_semantic_u2_sum8_popcount_laneqcase_default,126,18,2268,1845,1.229268,ex253_semantic_u2_sum8_popcount_laneqcase_default
ex254,1,ex254_semantic_e4add_fp4product_grs_magfactored_abc_g_aig,662,55,36410,38220,0.952643,ex254_semantic_e4add_fp4product_grs_magfactored_abc_g_aig
