case,candidate_id,hypothesis/function_guess,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,classification,items,runtime_sec,notes
ex280,ex280_unknown_bdd_selected_support10,unknown_bdd_selected_bits,support10,student/work/ex280_ex284_frontend_bdd_selected_bits_20260608_1250/ex280/verilog/ex280_unknown_bdd_selected_support10.v,student/work/ex280_ex284_frontend_bdd_selected_bits_20260608_1250/ex280/aigs/ex280_unknown_bdd_selected_support10.aig,1,1,1,1310,21,27510,2415,11.391304,0,0,structural_exact,support_limit=10; selected_bits=0:1:2:3; bdd_nodes=374; bit0:support=0:1:2:3:9:11:default=0:exceptions=16; bit1:support=0:1:2:3:4:8:10:11:default=0:exceptions=128; bit2:support=0:1:2:3:4:5:7:9:10:11:default=0:exceptions=512; bit3:support=0:1:2:3:4:6:8:9:10:11:default=0:exceptions=512; hash=1335fa887193,7.186,unknown shared-BDD with selected low-support LUT bits
ex280,ex280_unknown_bdd_selected_support8,unknown_bdd_selected_bits,support8,student/work/ex280_ex284_frontend_bdd_selected_bits_20260608_1250/ex280/verilog/ex280_unknown_bdd_selected_support8.v,student/work/ex280_ex284_frontend_bdd_selected_bits_20260608_1250/ex280/aigs/ex280_unknown_bdd_selected_support8.aig,1,1,1,1029,22,22638,2415,9.373913,0,0,structural_exact,support_limit=8; selected_bits=0:1; bdd_nodes=414; bit0:support=0:1:2:3:9:11:default=0:exceptions=16; bit1:support=0:1:2:3:4:8:10:11:default=0:exceptions=128; hash=40e90ae02213,1.384,unknown shared-BDD with selected low-support LUT bits
ex281,ex281_unknown_bdd_selected_support10,unknown_bdd_selected_bits,support10,student/work/ex280_ex284_frontend_bdd_selected_bits_20260608_1250/ex281/verilog/ex281_unknown_bdd_selected_support10.v,student/work/ex280_ex284_frontend_bdd_selected_bits_20260608_1250/ex281/aigs/ex281_unknown_bdd_selected_support10.aig,1,1,1,1394,23,32062,2336,13.725171,0,0,structural_exact,support_limit=10; selected_bits=0:1:2; bdd_nodes=469; bit0:support=0:1:2:3:10:12:default=0:exceptions=16; bit1:support=0:1:2:3:4:9:11:12:default=0:exceptions=128; bit2:support=0:1:2:3:4:5:8:10:11:12:default=0:exceptions=512; hash=ddeb945b2b6a,8.063,unknown shared-BDD with selected low-support LUT bits
ex281,ex281_unknown_bdd_selected_support8,unknown_bdd_selected_bits,support8,student/work/ex280_ex284_frontend_bdd_selected_bits_20260608_1250/ex281/verilog/ex281_unknown_bdd_selected_support8.v,student/work/ex280_ex284_frontend_bdd_selected_bits_20260608_1250/ex281/aigs/ex281_unknown_bdd_selected_support8.aig,1,1,1,1252,24,30048,2336,12.863014,0,0,structural_exact,support_limit=8; selected_bits=0:1; bdd_nodes=489; bit0:support=0:1:2:3:10:12:default=0:exceptions=16; bit1:support=0:1:2:3:4:9:11:12:default=0:exceptions=128; hash=a190d2b64738,2.480,unknown shared-BDD with selected low-support LUT bits
ex282,ex282_unknown_bdd_selected_support10,unknown_bdd_selected_bits,support10,student/work/ex280_ex284_frontend_bdd_selected_bits_20260608_1250/ex282/verilog/ex282_unknown_bdd_selected_support10.v,student/work/ex280_ex284_frontend_bdd_selected_bits_20260608_1250/ex282/aigs/ex282_unknown_bdd_selected_support10.aig,1,1,1,1639,26,42614,2704,15.759615,0,0,structural_exact,support_limit=10; selected_bits=0:1:2; bdd_nodes=549; bit0:support=0:1:2:3:11:13:default=0:exceptions=16; bit1:support=0:1:2:3:4:10:12:13:default=0:exceptions=128; bit2:support=0:1:2:3:4:5:9:11:12:13:default=0:exceptions=512; hash=ddb4366848d7,15.844,unknown shared-BDD with selected low-support LUT bits
ex282,ex282_unknown_bdd_selected_support8,unknown_bdd_selected_bits,support8,student/work/ex280_ex284_frontend_bdd_selected_bits_20260608_1250/ex282/verilog/ex282_unknown_bdd_selected_support8.v,student/work/ex280_ex284_frontend_bdd_selected_bits_20260608_1250/ex282/aigs/ex282_unknown_bdd_selected_support8.aig,1,1,1,1391,25,34775,2704,12.860577,0,0,structural_exact,support_limit=8; selected_bits=0:1; bdd_nodes=569; bit0:support=0:1:2:3:11:13:default=0:exceptions=16; bit1:support=0:1:2:3:4:10:12:13:default=0:exceptions=128; hash=89173dc0bb40,4.794,unknown shared-BDD with selected low-support LUT bits
ex283,ex283_unknown_bdd_selected_support10,unknown_bdd_selected_bits,support10,student/work/ex280_ex284_frontend_bdd_selected_bits_20260608_1250/ex283/verilog/ex283_unknown_bdd_selected_support10.v,student/work/ex280_ex284_frontend_bdd_selected_bits_20260608_1250/ex283/aigs/ex283_unknown_bdd_selected_support10.aig,1,1,1,1813,28,50764,3168,16.023990,0,0,structural_exact,support_limit=10; selected_bits=0:1:2; bdd_nodes=630; bit0:support=0:1:2:3:12:14:default=0:exceptions=16; bit1:support=0:1:2:3:4:11:13:14:default=0:exceptions=128; bit2:support=0:1:2:3:4:5:10:12:13:14:default=0:exceptions=512; hash=8275aded9fcb,31.857,unknown shared-BDD with selected low-support LUT bits
ex283,ex283_unknown_bdd_selected_support8,unknown_bdd_selected_bits,support8,student/work/ex280_ex284_frontend_bdd_selected_bits_20260608_1250/ex283/verilog/ex283_unknown_bdd_selected_support8.v,student/work/ex280_ex284_frontend_bdd_selected_bits_20260608_1250/ex283/aigs/ex283_unknown_bdd_selected_support8.aig,1,1,1,1654,27,44658,3168,14.096591,0,0,structural_exact,support_limit=8; selected_bits=0:1; bdd_nodes=650; bit0:support=0:1:2:3:12:14:default=0:exceptions=16; bit1:support=0:1:2:3:4:11:13:14:default=0:exceptions=128; hash=b7acd07648e0,9.620,unknown shared-BDD with selected low-support LUT bits
ex284,ex284_unknown_bdd_selected_support10,unknown_bdd_selected_bits,support10,student/work/ex280_ex284_frontend_bdd_selected_bits_20260608_1250/ex284/verilog/ex284_unknown_bdd_selected_support10.v,student/work/ex280_ex284_frontend_bdd_selected_bits_20260608_1250/ex284/aigs/ex284_unknown_bdd_selected_support10.aig,1,1,1,2146,29,62234,4240,14.677830,0,0,structural_exact,support_limit=10; selected_bits=0:1:2; bdd_nodes=716; bit0:support=0:1:2:3:13:15:default=0:exceptions=16; bit1:support=0:1:2:3:4:12:14:15:default=0:exceptions=128; bit2:support=0:1:2:3:4:5:11:13:14:15:default=0:exceptions=512; hash=8db7978a2b57,63.770,unknown shared-BDD with selected low-support LUT bits
ex284,ex284_unknown_bdd_selected_support8,unknown_bdd_selected_bits,support8,student/work/ex280_ex284_frontend_bdd_selected_bits_20260608_1250/ex284/verilog/ex284_unknown_bdd_selected_support8.v,student/work/ex280_ex284_frontend_bdd_selected_bits_20260608_1250/ex284/aigs/ex284_unknown_bdd_selected_support8.aig,1,1,1,1977,29,57333,4240,13.521934,0,0,structural_exact,support_limit=8; selected_bits=0:1; bdd_nodes=736; bit0:support=0:1:2:3:13:15:default=0:exceptions=16; bit1:support=0:1:2:3:4:12:14:15:default=0:exceptions=128; hash=d730a527cec3,20.142,unknown shared-BDD with selected low-support LUT bits
