case,candidate_id,parent_id,source,tool_chain,aig_path,area,delay,adp,equivalent,runtime_sec,notes
ex200,ex200_abc_dc2_dch,ex200_baseline,abc,abc_dc2_dch,student/work/best/abc_all_full_20260602_1524/ex200.aig,11391,19,216429,1,3.570,abc portfolio flow
ex201,ex201_abc_dc2_dch,ex201_baseline,abc,abc_dc2_dch,student/work/best/abc_all_full_20260602_1524/ex201.aig,5044,17,85748,1,1.446,abc portfolio flow
ex202,ex202_abc_dch_dc2,ex202_baseline,abc,abc_dch_dc2,student/work/best/abc_all_full_20260602_1524/ex202.aig,11208,19,212952,1,3.943,abc portfolio flow
ex203,ex203_abc_dc2_dch,ex203_baseline,abc,abc_dc2_dch,student/work/best/abc_all_full_20260602_1524/ex203.aig,20357,22,447854,1,4.655,abc portfolio flow
ex204,ex204_abc_dch_dc2,ex204_baseline,abc,abc_dch_dc2,student/work/best/abc_all_full_20260602_1524/ex204.aig,11188,21,234948,1,3.727,abc portfolio flow
ex205,ex205_abc_dc2_dch,ex205_baseline,abc,abc_dc2_dch,student/work/best/abc_all_full_20260602_1524/ex205.aig,21164,22,465608,1,4.669,abc portfolio flow
ex206,ex206_abc_dc2_dch,ex206_baseline,abc,abc_dc2_dch,student/work/best/abc_all_full_20260602_1524/ex206.aig,83463,23,1919649,1,19.325,abc portfolio flow
ex207,ex207_abc_dc2_dch,ex207_baseline,abc,abc_dc2_dch,student/work/best/abc_all_full_20260602_1524/ex207.aig,117516,23,2702868,1,28.450,abc portfolio flow
ex208,ex208_abc_dch_dc2,ex208_baseline,abc,abc_dch_dc2,student/work/best/abc_all_full_20260602_1524/ex208.aig,5870,18,105660,1,2.382,abc portfolio flow
ex209,ex209_abc_dch_dc2,ex209_baseline,abc,abc_dch_dc2,student/work/best/abc_all_full_20260602_1524/ex209.aig,1947,16,31152,1,1.082,abc portfolio flow
ex210,ex210_abc_dc2_dch,ex210_baseline,abc,abc_dc2_dch,student/work/best/abc_all_full_20260602_1524/ex210.aig,7192,18,129456,1,2.297,abc portfolio flow
ex211,ex211_abc_dch_dc2,ex211_baseline,abc,abc_dch_dc2,student/work/best/abc_all_full_20260602_1524/ex211.aig,606,12,7272,1,0.905,abc portfolio flow
ex212,ex212_abc_dch_rw,ex212_baseline,abc,abc_dch_rw,student/work/best/abc_all_full_20260602_1524/ex212.aig,519,11,5709,1,0.546,abc portfolio flow
ex213,ex213_abc_dc2_dch,ex213_baseline,abc,abc_dc2_dch,student/work/best/abc_all_full_20260602_1524/ex213.aig,1756,18,31608,1,1.243,abc portfolio flow
ex214,ex214_abc_dc2_dch,ex214_baseline,abc,abc_dc2_dch,student/work/best/abc_all_full_20260602_1524/ex214.aig,716,11,7876,1,0.539,abc portfolio flow
ex215,ex215_abc_dch_dc2,ex215_baseline,abc,abc_dch_dc2,student/work/best/abc_all_full_20260602_1524/ex215.aig,2280,19,43320,1,1.609,abc portfolio flow
ex216,ex216_abc_dc2_dch,ex216_baseline,abc,abc_dc2_dch,student/work/best/abc_all_full_20260602_1524/ex216.aig,1592,14,22288,1,0.705,abc portfolio flow
ex217,ex217_abc_dc2_dch,ex217_baseline,abc,abc_dc2_dch,student/work/best/abc_all_full_20260602_1524/ex217.aig,4610,19,87590,1,1.941,abc portfolio flow
