case,insert_bit,input_width,transition_count,unique_deltas,delta_popcount_hist,majority_delta_popcount_match,before_output_keys,before_output_conflicts,before_output_majority_match,before_output_max_delta_fanout,before_layer_keys,before_layer_conflicts,before_layer_majority_match,before_layer_max_delta_fanout,bucket_state_keys,bucket_state_conflicts,bucket_state_majority_match,bucket_state_max_delta_fanout,delta_bdd_nodes,delta_bdd_output_width,selected_features
ex286,0,13,4096,1061,1:45;3:340;5:1015;7:1410;9:958;11:308;13:20,1410,1392,468,2908,5,1392,468,2908,5,2304,0,4096,1,2880,13,raw3:raw10:xor6_7
ex286,1,13,4096,999,1:395;3:1260;5:1509;7:766;9:146;11:20,1509,1410,449,2928,7,1410,449,2928,7,2304,0,4096,1,2629,13,raw3:raw10:xor6_7
ex286,2,13,4096,340,1:680;3:1607;5:1290;7:481;9:38,1607,1455,414,3067,5,1455,414,3067,5,2304,0,4096,1,2158,13,raw3:raw10:xor6_7
ex286,3,13,4096,287,1:488;3:1484;5:1506;7:555;9:62;11:1,1506,1328,474,2853,6,1328,474,2853,6,2304,0,4096,1,2632,13,raw3:raw10:xor6_7
ex286,4,13,4096,224,1:2598;3:1182;5:284;7:30;9:2,2598,1839,723,2682,7,1839,723,2682,7,3072,0,4096,1,1367,13,raw3:raw10:xor6_7
ex286,5,13,4096,224,1:2598;3:1182;5:284;7:30;9:2,2598,1839,723,2682,7,1839,723,2682,7,3072,0,4096,1,1367,13,raw3:raw10:xor6_7
ex286,6,13,4096,22,1:3266;3:830,3266,1843,709,2725,7,1843,709,2725,7,3072,0,4096,1,885,13,raw3:raw10:xor6_7
ex286,7,13,4096,22,1:3266;3:830,3266,1843,709,2725,7,1843,709,2725,7,3072,0,4096,1,885,13,raw3:raw10:xor6_7
ex286,8,13,4096,98,1:2688;3:1280;5:128,2688,1463,386,3190,4,1463,386,3190,4,2304,0,4096,1,821,13,raw3:raw10:xor6_7
ex286,9,13,4096,761,1:48;3:470;5:1240;7:1438;9:756;11:144,1438,1392,441,3005,5,1392,441,3005,5,2304,0,4096,1,2501,13,raw3:raw10:xor6_7
ex286,10,13,4096,655,1:380;3:1085;5:1374;7:918;9:298;11:41,1374,1441,408,3076,5,1441,408,3076,5,2304,0,4096,1,2527,13,raw3:raw10:xor6_7
ex286,11,13,4096,493,1:456;3:1184;5:1436;7:820;9:194;11:6,1436,1448,387,3136,6,1448,387,3136,6,2304,0,4096,1,2286,13,raw3:raw10:xor6_7
ex286,12,13,4096,64,1:606;3:1540;5:1422;7:490;9:38,1540,1358,266,3383,4,1358,266,3383,4,2304,0,4096,1,1766,13,raw3:raw10:xor6_7
ex287,0,14,8192,1098,1:42;3:395;5:1379;7:2541;9:2475;11:1160;13:200,2541,1893,574,6107,5,1893,574,6107,5,3456,0,8192,1,4797,14,xor6_7:xor8_9:raw13:raw12
ex287,1,14,8192,1205,1:820;3:2488;5:2970;7:1606;9:278;11:30,2970,1869,646,5987,4,1869,646,5987,4,3456,0,8192,1,4513,14,xor6_7:xor8_9:raw13:raw12
ex287,2,14,8192,479,1:1040;3:2887;5:2795;7:1265;9:201;11:4,2887,1807,540,6161,4,1807,540,6161,4,3456,0,8192,1,4335,14,xor6_7:xor8_9:raw13:raw12
ex287,3,14,8192,454,1:785;3:2708;5:3009;7:1371;9:298;11:21,3009,1804,550,6137,5,1804,550,6137,5,3456,0,8192,1,5443,14,xor6_7:xor8_9:raw13:raw12
ex287,4,14,8192,251,1:5094;3:2406;5:590;7:98;9:4,5094,2163,768,5823,5,2163,768,5823,5,4608,0,8192,1,2041,14,xor6_7:xor8_9:raw13:raw12
ex287,5,14,8192,251,1:5094;3:2406;5:590;7:98;9:4,5094,2163,768,5823,5,2163,768,5823,5,4608,0,8192,1,2041,14,xor6_7:xor8_9:raw13:raw12
ex287,6,14,8192,26,1:6408;3:1784,6408,2161,728,5955,5,2161,728,5955,5,4608,0,8192,1,1103,14,xor6_7:xor8_9:raw13:raw12
ex287,7,14,8192,26,1:6408;3:1784,6408,2161,728,5955,5,2161,728,5955,5,4608,0,8192,1,1103,14,xor6_7:xor8_9:raw13:raw12
ex287,8,14,8192,195,1:5376;3:2560;5:256,5376,2065,669,6036,5,2065,669,6036,5,4608,0,8192,1,1714,14,xor6_7:xor8_9:raw13:raw12
ex287,9,14,8192,195,1:5376;3:2560;5:256,5376,2065,669,6036,5,2065,669,6036,5,4608,0,8192,1,1714,14,xor6_7:xor8_9:raw13:raw12
ex287,10,14,8192,704,1:96;3:672;5:1856;7:2624;9:2016;11:800;13:128,2624,1898,535,6376,5,1898,535,6376,5,3456,0,8192,1,4611,14,xor6_7:xor8_9:raw13:raw12
