case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex270,ex270_square_full_word_case_small_abc_g_aig,unsigned_square_x_times_x,full_word_case_small+abc_g_aig,student/work/ex270_ex271_square_fullcase_20260609_1138/ex270/verilog/ex270_square_full_word_case_small.v,student/work/ex270_ex271_square_fullcase_20260609_1138/ex270/aigs/ex270_square_full_word_case_small_abc_g_aig.aig,1,1,1,381,13,4953,2076,2.385838,0,0,0.314,square_specific_structural_rtl,exact unsigned 8-bit square x*x over 256 inputs; source=full_word_case_small; flow=abc_g_aig
ex270,ex270_square_full_word_case_small_wreduce_abc_g_aig,unsigned_square_x_times_x,full_word_case_small+wreduce_abc_g_aig,student/work/ex270_ex271_square_fullcase_20260609_1138/ex270/verilog/ex270_square_full_word_case_small.v,student/work/ex270_ex271_square_fullcase_20260609_1138/ex270/aigs/ex270_square_full_word_case_small_wreduce_abc_g_aig.aig,1,1,1,381,13,4953,2076,2.385838,0,0,0.312,square_specific_structural_rtl,exact unsigned 8-bit square x*x over 256 inputs; source=full_word_case_small; flow=wreduce_abc_g_aig
ex270,ex270_square_full_word_case_small_synth_preset,unsigned_square_x_times_x,full_word_case_small+synth_preset,student/work/ex270_ex271_square_fullcase_20260609_1138/ex270/verilog/ex270_square_full_word_case_small.v,student/work/ex270_ex271_square_fullcase_20260609_1138/ex270/aigs/ex270_square_full_word_case_small_synth_preset.aig,1,1,1,370,12,4440,2076,2.138728,0,0,0.402,square_specific_structural_rtl,exact unsigned 8-bit square x*x over 256 inputs; source=full_word_case_small; flow=synth_preset
ex270,ex270_square_full_word_case_small_default,unsigned_square_x_times_x,full_word_case_small+default,student/work/ex270_ex271_square_fullcase_20260609_1138/ex270/verilog/ex270_square_full_word_case_small.v,student/work/ex270_ex271_square_fullcase_20260609_1138/ex270/aigs/ex270_square_full_word_case_small_default.aig,1,1,1,382,13,4966,2076,2.392100,0,0,0.347,square_specific_structural_rtl,exact unsigned 8-bit square x*x over 256 inputs; source=full_word_case_small; flow=default
ex270,ex270_square_full_word_case_small_wreduce_default,unsigned_square_x_times_x,full_word_case_small+wreduce_default,student/work/ex270_ex271_square_fullcase_20260609_1138/ex270/verilog/ex270_square_full_word_case_small.v,student/work/ex270_ex271_square_fullcase_20260609_1138/ex270/aigs/ex270_square_full_word_case_small_wreduce_default.aig,1,1,1,382,13,4966,2076,2.392100,0,0,0.313,square_specific_structural_rtl,exact unsigned 8-bit square x*x over 256 inputs; source=full_word_case_small; flow=wreduce_default
ex270,ex270_square_wallace_square_outside_csel4_abc_g_aig,unsigned_square_x_times_x,wallace_square_outside_csel4+abc_g_aig,student/work/ex270_ex271_square_fullcase_20260609_1138/ex270/verilog/ex270_square_wallace_square_outside_csel4.v,student/work/ex270_ex271_square_fullcase_20260609_1138/ex270/aigs/ex270_square_wallace_square_outside_csel4_abc_g_aig.aig,1,1,1,193,20,3860,2076,1.859345,0,0,0.272,square_specific_structural_rtl,exact unsigned 8-bit square x*x over 256 inputs; source=wallace_square_outside_csel4; flow=abc_g_aig
ex270,ex270_square_wallace_square_outside_csel4_wreduce_abc_g_aig,unsigned_square_x_times_x,wallace_square_outside_csel4+wreduce_abc_g_aig,student/work/ex270_ex271_square_fullcase_20260609_1138/ex270/verilog/ex270_square_wallace_square_outside_csel4.v,student/work/ex270_ex271_square_fullcase_20260609_1138/ex270/aigs/ex270_square_wallace_square_outside_csel4_wreduce_abc_g_aig.aig,1,1,1,193,20,3860,2076,1.859345,0,0,0.268,square_specific_structural_rtl,exact unsigned 8-bit square x*x over 256 inputs; source=wallace_square_outside_csel4; flow=wreduce_abc_g_aig
ex270,ex270_square_wallace_square_outside_csel4_synth_preset,unsigned_square_x_times_x,wallace_square_outside_csel4+synth_preset,student/work/ex270_ex271_square_fullcase_20260609_1138/ex270/verilog/ex270_square_wallace_square_outside_csel4.v,student/work/ex270_ex271_square_fullcase_20260609_1138/ex270/aigs/ex270_square_wallace_square_outside_csel4_synth_preset.aig,1,1,1,189,20,3780,2076,1.820809,0,0,0.377,square_specific_structural_rtl,exact unsigned 8-bit square x*x over 256 inputs; source=wallace_square_outside_csel4; flow=synth_preset
ex270,ex270_square_wallace_square_outside_csel4_default,unsigned_square_x_times_x,wallace_square_outside_csel4+default,student/work/ex270_ex271_square_fullcase_20260609_1138/ex270/verilog/ex270_square_wallace_square_outside_csel4.v,student/work/ex270_ex271_square_fullcase_20260609_1138/ex270/aigs/ex270_square_wallace_square_outside_csel4_default.aig,1,1,1,250,20,5000,2076,2.408478,0,0,0.295,square_specific_structural_rtl,exact unsigned 8-bit square x*x over 256 inputs; source=wallace_square_outside_csel4; flow=default
ex270,ex270_square_wallace_square_outside_csel4_wreduce_default,unsigned_square_x_times_x,wallace_square_outside_csel4+wreduce_default,student/work/ex270_ex271_square_fullcase_20260609_1138/ex270/verilog/ex270_square_wallace_square_outside_csel4.v,student/work/ex270_ex271_square_fullcase_20260609_1138/ex270/aigs/ex270_square_wallace_square_outside_csel4_wreduce_default.aig,1,1,1,248,20,4960,2076,2.389210,0,0,0.272,square_specific_structural_rtl,exact unsigned 8-bit square x*x over 256 inputs; source=wallace_square_outside_csel4; flow=wreduce_default
ex270,ex270_square_wallace_square_outside_csel5_abc_g_aig,unsigned_square_x_times_x,wallace_square_outside_csel5+abc_g_aig,student/work/ex270_ex271_square_fullcase_20260609_1138/ex270/verilog/ex270_square_wallace_square_outside_csel5.v,student/work/ex270_ex271_square_fullcase_20260609_1138/ex270/aigs/ex270_square_wallace_square_outside_csel5_abc_g_aig.aig,1,1,1,191,17,3247,2076,1.564066,0,0,0.263,square_specific_structural_rtl,exact unsigned 8-bit square x*x over 256 inputs; source=wallace_square_outside_csel5; flow=abc_g_aig
