case,candidate_id,equivalent,area,delay,adp,aig_path,notes
ex256,ex256_umul_csa_androws_4to2_leave0_cla_abc_g_aig,1,179,19,3401,student/work/ex256_frontend_umul_4to2_compressor_20260609_0153/ex256/aigs/ex256_umul_csa_androws_4to2_leave0_cla_abc_g_aig.aig,exact unsigned low5 * high5 over 1024 inputs; focused source=csa_androws_4to2_leave0_cla; flow=abc_g_aig
ex256,ex256_umul_csa_androws_4to2_leave0_cla_wreduce_abc_g_aig,1,179,19,3401,student/work/ex256_frontend_umul_4to2_compressor_20260609_0153/ex256/aigs/ex256_umul_csa_androws_4to2_leave0_cla_wreduce_abc_g_aig.aig,exact unsigned low5 * high5 over 1024 inputs; focused source=csa_androws_4to2_leave0_cla; flow=wreduce_abc_g_aig
ex256,ex256_umul_csa_androws_4to2_leave0_cla_synth_preset_d13,1,180,18,3240,student/work/ex256_frontend_umul_4to2_compressor_20260609_0153/ex256/aigs/ex256_umul_csa_androws_4to2_leave0_cla_synth_preset_d13.aig,exact unsigned low5 * high5 over 1024 inputs; focused source=csa_androws_4to2_leave0_cla; flow=synth_preset_d13
ex256,ex256_umul_csa_androws_4to2_leave0_cla_synth_preset_d18,1,180,18,3240,student/work/ex256_frontend_umul_4to2_compressor_20260609_0153/ex256/aigs/ex256_umul_csa_androws_4to2_leave0_cla_synth_preset_d18.aig,exact unsigned low5 * high5 over 1024 inputs; focused source=csa_androws_4to2_leave0_cla; flow=synth_preset_d18
ex256,ex256_umul_csa_androws_4to2_leave1_cla_abc_g_aig,1,178,19,3382,student/work/ex256_frontend_umul_4to2_compressor_20260609_0153/ex256/aigs/ex256_umul_csa_androws_4to2_leave1_cla_abc_g_aig.aig,exact unsigned low5 * high5 over 1024 inputs; focused source=csa_androws_4to2_leave1_cla; flow=abc_g_aig
ex256,ex256_umul_csa_androws_4to2_leave1_cla_wreduce_abc_g_aig,1,178,19,3382,student/work/ex256_frontend_umul_4to2_compressor_20260609_0153/ex256/aigs/ex256_umul_csa_androws_4to2_leave1_cla_wreduce_abc_g_aig.aig,exact unsigned low5 * high5 over 1024 inputs; focused source=csa_androws_4to2_leave1_cla; flow=wreduce_abc_g_aig
ex256,ex256_umul_csa_androws_4to2_leave1_cla_synth_preset_d13,1,180,18,3240,student/work/ex256_frontend_umul_4to2_compressor_20260609_0153/ex256/aigs/ex256_umul_csa_androws_4to2_leave1_cla_synth_preset_d13.aig,exact unsigned low5 * high5 over 1024 inputs; focused source=csa_androws_4to2_leave1_cla; flow=synth_preset_d13
ex256,ex256_umul_csa_androws_4to2_leave1_cla_synth_preset_d18,1,180,18,3240,student/work/ex256_frontend_umul_4to2_compressor_20260609_0153/ex256/aigs/ex256_umul_csa_androws_4to2_leave1_cla_synth_preset_d18.aig,exact unsigned low5 * high5 over 1024 inputs; focused source=csa_androws_4to2_leave1_cla; flow=synth_preset_d18
ex256,ex256_umul_csa_androws_4to2_leave2_cla_abc_g_aig,1,168,19,3192,student/work/ex256_frontend_umul_4to2_compressor_20260609_0153/ex256/aigs/ex256_umul_csa_androws_4to2_leave2_cla_abc_g_aig.aig,exact unsigned low5 * high5 over 1024 inputs; focused source=csa_androws_4to2_leave2_cla; flow=abc_g_aig
ex256,ex256_umul_csa_androws_4to2_leave2_cla_wreduce_abc_g_aig,1,168,19,3192,student/work/ex256_frontend_umul_4to2_compressor_20260609_0153/ex256/aigs/ex256_umul_csa_androws_4to2_leave2_cla_wreduce_abc_g_aig.aig,exact unsigned low5 * high5 over 1024 inputs; focused source=csa_androws_4to2_leave2_cla; flow=wreduce_abc_g_aig
ex256,ex256_umul_csa_androws_4to2_leave2_cla_synth_preset_d13,1,168,20,3360,student/work/ex256_frontend_umul_4to2_compressor_20260609_0153/ex256/aigs/ex256_umul_csa_androws_4to2_leave2_cla_synth_preset_d13.aig,exact unsigned low5 * high5 over 1024 inputs; focused source=csa_androws_4to2_leave2_cla; flow=synth_preset_d13
