case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex256,ex256_umul_csa_androws_4to2_leave0_cla_abc_g_aig,unsigned low5_high5:a*b,csa_androws_4to2_leave0_cla+abc_g_aig,student/work/ex256_frontend_umul_4to2_compressor_20260609_0153/ex256/verilog/ex256_umul_csa_androws_4to2_leave0_cla.v,student/work/ex256_frontend_umul_4to2_compressor_20260609_0153/ex256/aigs/ex256_umul_csa_androws_4to2_leave0_cla_abc_g_aig.aig,1,1,1,179,19,3401,1911,1.779696,0,0,0.234,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=csa_androws_4to2_leave0_cla; flow=abc_g_aig
ex256,ex256_umul_csa_androws_4to2_leave0_cla_wreduce_abc_g_aig,unsigned low5_high5:a*b,csa_androws_4to2_leave0_cla+wreduce_abc_g_aig,student/work/ex256_frontend_umul_4to2_compressor_20260609_0153/ex256/verilog/ex256_umul_csa_androws_4to2_leave0_cla.v,student/work/ex256_frontend_umul_4to2_compressor_20260609_0153/ex256/aigs/ex256_umul_csa_androws_4to2_leave0_cla_wreduce_abc_g_aig.aig,1,1,1,179,19,3401,1911,1.779696,0,0,0.240,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=csa_androws_4to2_leave0_cla; flow=wreduce_abc_g_aig
ex256,ex256_umul_csa_androws_4to2_leave0_cla_synth_preset_d13,unsigned low5_high5:a*b,csa_androws_4to2_leave0_cla+synth_preset_d13,student/work/ex256_frontend_umul_4to2_compressor_20260609_0153/ex256/verilog/ex256_umul_csa_androws_4to2_leave0_cla.v,student/work/ex256_frontend_umul_4to2_compressor_20260609_0153/ex256/aigs/ex256_umul_csa_androws_4to2_leave0_cla_synth_preset_d13.aig,1,1,1,180,18,3240,1911,1.695447,0,0,0.294,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=csa_androws_4to2_leave0_cla; flow=synth_preset_d13
ex256,ex256_umul_csa_androws_4to2_leave0_cla_synth_preset_d18,unsigned low5_high5:a*b,csa_androws_4to2_leave0_cla+synth_preset_d18,student/work/ex256_frontend_umul_4to2_compressor_20260609_0153/ex256/verilog/ex256_umul_csa_androws_4to2_leave0_cla.v,student/work/ex256_frontend_umul_4to2_compressor_20260609_0153/ex256/aigs/ex256_umul_csa_androws_4to2_leave0_cla_synth_preset_d18.aig,1,1,1,180,18,3240,1911,1.695447,0,0,0.294,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=csa_androws_4to2_leave0_cla; flow=synth_preset_d18
ex256,ex256_umul_csa_androws_4to2_leave1_cla_abc_g_aig,unsigned low5_high5:a*b,csa_androws_4to2_leave1_cla+abc_g_aig,student/work/ex256_frontend_umul_4to2_compressor_20260609_0153/ex256/verilog/ex256_umul_csa_androws_4to2_leave1_cla.v,student/work/ex256_frontend_umul_4to2_compressor_20260609_0153/ex256/aigs/ex256_umul_csa_androws_4to2_leave1_cla_abc_g_aig.aig,1,1,1,178,19,3382,1911,1.769754,0,0,0.233,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=csa_androws_4to2_leave1_cla; flow=abc_g_aig
ex256,ex256_umul_csa_androws_4to2_leave1_cla_wreduce_abc_g_aig,unsigned low5_high5:a*b,csa_androws_4to2_leave1_cla+wreduce_abc_g_aig,student/work/ex256_frontend_umul_4to2_compressor_20260609_0153/ex256/verilog/ex256_umul_csa_androws_4to2_leave1_cla.v,student/work/ex256_frontend_umul_4to2_compressor_20260609_0153/ex256/aigs/ex256_umul_csa_androws_4to2_leave1_cla_wreduce_abc_g_aig.aig,1,1,1,178,19,3382,1911,1.769754,0,0,0.239,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=csa_androws_4to2_leave1_cla; flow=wreduce_abc_g_aig
ex256,ex256_umul_csa_androws_4to2_leave1_cla_synth_preset_d13,unsigned low5_high5:a*b,csa_androws_4to2_leave1_cla+synth_preset_d13,student/work/ex256_frontend_umul_4to2_compressor_20260609_0153/ex256/verilog/ex256_umul_csa_androws_4to2_leave1_cla.v,student/work/ex256_frontend_umul_4to2_compressor_20260609_0153/ex256/aigs/ex256_umul_csa_androws_4to2_leave1_cla_synth_preset_d13.aig,1,1,1,180,18,3240,1911,1.695447,0,0,0.313,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=csa_androws_4to2_leave1_cla; flow=synth_preset_d13
ex256,ex256_umul_csa_androws_4to2_leave1_cla_synth_preset_d18,unsigned low5_high5:a*b,csa_androws_4to2_leave1_cla+synth_preset_d18,student/work/ex256_frontend_umul_4to2_compressor_20260609_0153/ex256/verilog/ex256_umul_csa_androws_4to2_leave1_cla.v,student/work/ex256_frontend_umul_4to2_compressor_20260609_0153/ex256/aigs/ex256_umul_csa_androws_4to2_leave1_cla_synth_preset_d18.aig,1,1,1,180,18,3240,1911,1.695447,0,0,0.309,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=csa_androws_4to2_leave1_cla; flow=synth_preset_d18
ex256,ex256_umul_csa_androws_4to2_leave2_cla_abc_g_aig,unsigned low5_high5:a*b,csa_androws_4to2_leave2_cla+abc_g_aig,student/work/ex256_frontend_umul_4to2_compressor_20260609_0153/ex256/verilog/ex256_umul_csa_androws_4to2_leave2_cla.v,student/work/ex256_frontend_umul_4to2_compressor_20260609_0153/ex256/aigs/ex256_umul_csa_androws_4to2_leave2_cla_abc_g_aig.aig,1,1,1,168,19,3192,1911,1.670330,0,0,0.232,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=csa_androws_4to2_leave2_cla; flow=abc_g_aig
ex256,ex256_umul_csa_androws_4to2_leave2_cla_wreduce_abc_g_aig,unsigned low5_high5:a*b,csa_androws_4to2_leave2_cla+wreduce_abc_g_aig,student/work/ex256_frontend_umul_4to2_compressor_20260609_0153/ex256/verilog/ex256_umul_csa_androws_4to2_leave2_cla.v,student/work/ex256_frontend_umul_4to2_compressor_20260609_0153/ex256/aigs/ex256_umul_csa_androws_4to2_leave2_cla_wreduce_abc_g_aig.aig,1,1,1,168,19,3192,1911,1.670330,0,0,0.236,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=csa_androws_4to2_leave2_cla; flow=wreduce_abc_g_aig
ex256,ex256_umul_csa_androws_4to2_leave2_cla_synth_preset_d13,unsigned low5_high5:a*b,csa_androws_4to2_leave2_cla+synth_preset_d13,student/work/ex256_frontend_umul_4to2_compressor_20260609_0153/ex256/verilog/ex256_umul_csa_androws_4to2_leave2_cla.v,student/work/ex256_frontend_umul_4to2_compressor_20260609_0153/ex256/aigs/ex256_umul_csa_androws_4to2_leave2_cla_synth_preset_d13.aig,1,1,1,168,20,3360,1911,1.758242,0,0,0.326,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=csa_androws_4to2_leave2_cla; flow=synth_preset_d13
