case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex275,ex275_isqrt_prefix4_bitwise_arith_wreduce_aig,unsigned_floor_isqrt,prefix4_bitwise+arith_wreduce_aig,student/work/ex275_ex276_frontend_isqrt_prefix_bitwise_20260609_1551/ex275/verilog/ex275_isqrt_prefix4_bitwise.v,student/work/ex275_ex276_frontend_isqrt_prefix_bitwise_20260609_1551/ex275/aigs/ex275_isqrt_prefix4_bitwise_arith_wreduce_aig.aig,1,1,1,47,9,423,204,2.073529,0,0,0.226,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix4_bitwise; flow=arith_wreduce_aig
ex275,ex275_isqrt_prefix4_bitwise_synth_preset,unsigned_floor_isqrt,prefix4_bitwise+synth_preset,student/work/ex275_ex276_frontend_isqrt_prefix_bitwise_20260609_1551/ex275/verilog/ex275_isqrt_prefix4_bitwise.v,student/work/ex275_ex276_frontend_isqrt_prefix_bitwise_20260609_1551/ex275/aigs/ex275_isqrt_prefix4_bitwise_synth_preset.aig,1,1,1,48,7,336,204,1.647059,0,0,0.280,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix4_bitwise; flow=synth_preset
ex275,ex275_isqrt_prefix4_bitwise_synth_preset_d6,unsigned_floor_isqrt,prefix4_bitwise+synth_preset_d6,student/work/ex275_ex276_frontend_isqrt_prefix_bitwise_20260609_1551/ex275/verilog/ex275_isqrt_prefix4_bitwise.v,student/work/ex275_ex276_frontend_isqrt_prefix_bitwise_20260609_1551/ex275/aigs/ex275_isqrt_prefix4_bitwise_synth_preset_d6.aig,1,1,1,48,7,336,204,1.647059,0,0,0.279,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix4_bitwise; flow=synth_preset_d6
ex275,ex275_isqrt_prefix4_bitwise_synth_preset_d8,unsigned_floor_isqrt,prefix4_bitwise+synth_preset_d8,student/work/ex275_ex276_frontend_isqrt_prefix_bitwise_20260609_1551/ex275/verilog/ex275_isqrt_prefix4_bitwise.v,student/work/ex275_ex276_frontend_isqrt_prefix_bitwise_20260609_1551/ex275/aigs/ex275_isqrt_prefix4_bitwise_synth_preset_d8.aig,1,1,1,48,7,336,204,1.647059,0,0,0.278,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix4_bitwise; flow=synth_preset_d8
ex275,ex275_isqrt_prefix4_bitwise_synth_preset_d10,unsigned_floor_isqrt,prefix4_bitwise+synth_preset_d10,student/work/ex275_ex276_frontend_isqrt_prefix_bitwise_20260609_1551/ex275/verilog/ex275_isqrt_prefix4_bitwise.v,student/work/ex275_ex276_frontend_isqrt_prefix_bitwise_20260609_1551/ex275/aigs/ex275_isqrt_prefix4_bitwise_synth_preset_d10.aig,1,1,1,48,7,336,204,1.647059,0,0,0.317,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix4_bitwise; flow=synth_preset_d10
ex275,ex275_isqrt_prefix4_bitwise_abc_g_aig_d6,unsigned_floor_isqrt,prefix4_bitwise+abc_g_aig_d6,student/work/ex275_ex276_frontend_isqrt_prefix_bitwise_20260609_1551/ex275/verilog/ex275_isqrt_prefix4_bitwise.v,student/work/ex275_ex276_frontend_isqrt_prefix_bitwise_20260609_1551/ex275/aigs/ex275_isqrt_prefix4_bitwise_abc_g_aig_d6.aig,1,1,1,48,7,336,204,1.647059,0,0,0.224,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix4_bitwise; flow=abc_g_aig_d6
ex275,ex275_isqrt_prefix4_bitwise_abc_g_aig_d8,unsigned_floor_isqrt,prefix4_bitwise+abc_g_aig_d8,student/work/ex275_ex276_frontend_isqrt_prefix_bitwise_20260609_1551/ex275/verilog/ex275_isqrt_prefix4_bitwise.v,student/work/ex275_ex276_frontend_isqrt_prefix_bitwise_20260609_1551/ex275/aigs/ex275_isqrt_prefix4_bitwise_abc_g_aig_d8.aig,1,1,1,48,7,336,204,1.647059,0,0,0.237,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix4_bitwise; flow=abc_g_aig_d8
ex275,ex275_isqrt_prefix4_bitwise_abc_g_aig_d10,unsigned_floor_isqrt,prefix4_bitwise+abc_g_aig_d10,student/work/ex275_ex276_frontend_isqrt_prefix_bitwise_20260609_1551/ex275/verilog/ex275_isqrt_prefix4_bitwise.v,student/work/ex275_ex276_frontend_isqrt_prefix_bitwise_20260609_1551/ex275/aigs/ex275_isqrt_prefix4_bitwise_abc_g_aig_d10.aig,1,1,1,48,7,336,204,1.647059,0,0,0.236,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix4_bitwise; flow=abc_g_aig_d10
ex275,ex275_isqrt_prefix5_bitwise_abc_g_aig,unsigned_floor_isqrt,prefix5_bitwise+abc_g_aig,student/work/ex275_ex276_frontend_isqrt_prefix_bitwise_20260609_1551/ex275/verilog/ex275_isqrt_prefix5_bitwise.v,student/work/ex275_ex276_frontend_isqrt_prefix_bitwise_20260609_1551/ex275/aigs/ex275_isqrt_prefix5_bitwise_abc_g_aig.aig,1,1,1,74,9,666,204,3.264706,0,0,0.244,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix5_bitwise; flow=abc_g_aig
ex275,ex275_isqrt_prefix5_bitwise_wreduce_abc_g_aig,unsigned_floor_isqrt,prefix5_bitwise+wreduce_abc_g_aig,student/work/ex275_ex276_frontend_isqrt_prefix_bitwise_20260609_1551/ex275/verilog/ex275_isqrt_prefix5_bitwise.v,student/work/ex275_ex276_frontend_isqrt_prefix_bitwise_20260609_1551/ex275/aigs/ex275_isqrt_prefix5_bitwise_wreduce_abc_g_aig.aig,1,1,1,74,9,666,204,3.264706,0,0,0.246,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix5_bitwise; flow=wreduce_abc_g_aig
