case,input_width,output_width,encoded_width,components,component_count,orientation_conflicts,encoded_all_bdd_nodes,pair_count_bdd_nodes,orientation_bdd_nodes,max_pair_count_support,max_orientation_support,notes
ex286,13,13,16,0:4;1:3:5;2,3,0,1417,1179,335,13,13,component encoded output field split: pair counts versus orientation bits
ex287,14,14,15,0:1:2:3:4:5:6,1,0,1031,998,35,14,14,component encoded output field split: pair counts versus orientation bits
ex288,15,15,19,0:4;1:5;2:6;3,4,0,2566,2170,608,15,15,component encoded output field split: pair counts versus orientation bits
ex289,16,16,17,0:1:2:3:4:5:6:7,1,0,1206,1172,41,16,16,component encoded output field split: pair counts versus orientation bits
