case,domain,candidate_id,equivalent,area,delay,adp,reference_adp,current_frontend_adp,verilog_path,aig_path,log_path,method_signature,agent_id,run_id,notes
ex204,bf16,ex204_bf16_log2_log2_arithbase_delta_hilo3_formulaeq_bits_11_14,1,1550,18,27900,15180,25670,student/work/ex200_ex299_frontend_refgap_round22_20260613_0218/bf16-r22/ex204/ex204/verilog/ex204_bf16_log2_log2_arithbase_delta_hilo3_formulaeq_bits_11_14.v,student/work/ex200_ex299_frontend_refgap_round22_20260613_0218/bf16-r22/ex204/official_eval/ex204_bf16_log2_log2_arithbase_delta_hilo3_formulaeq_bits_11_14/ex204.aig,student/work/ex200_ex299_frontend_refgap_round22_20260613_0218/bf16-r22/ex204/logs/ex204_bf16_log2_log2_arithbase_delta_hilo3_formulaeq_bits_11_14.evaluate.py.log,,bf16-r22,ex200_ex299_frontend_refgap_round22_20260613_0218,current frontend 25670 reference 15180
ex204,bf16,ex204_bf16_log2_log2_arithbase_delta_hilo3_fullruns_bits_11_14,1,1570,18,28260,15180,25670,student/work/ex200_ex299_frontend_refgap_round22_20260613_0218/bf16-r22/ex204/ex204/verilog/ex204_bf16_log2_log2_arithbase_delta_hilo3_fullruns_bits_11_14.v,student/work/ex200_ex299_frontend_refgap_round22_20260613_0218/bf16-r22/ex204/official_eval/ex204_bf16_log2_log2_arithbase_delta_hilo3_fullruns_bits_11_14/ex204.aig,student/work/ex200_ex299_frontend_refgap_round22_20260613_0218/bf16-r22/ex204/logs/ex204_bf16_log2_log2_arithbase_delta_hilo3_fullruns_bits_11_14.evaluate.py.log,,bf16-r22,ex200_ex299_frontend_refgap_round22_20260613_0218,current frontend 25670 reference 15180
ex205,bf16,ex205_bf16_log10_log10_exp_base_delta_hilo5,1,4929,23,113367,47128,71104,student/work/ex200_ex299_frontend_refgap_round22_20260613_0218/bf16-r22/ex205/ex205/verilog/ex205_bf16_log10_log10_exp_base_delta_hilo5.v,student/work/ex200_ex299_frontend_refgap_round22_20260613_0218/bf16-r22/ex205/official_eval/ex205_bf16_log10_log10_exp_base_delta_hilo5/ex205.aig,student/work/ex200_ex299_frontend_refgap_round22_20260613_0218/bf16-r22/ex205/logs/ex205_bf16_log10_log10_exp_base_delta_hilo5.evaluate.py.log,,bf16-r22,ex200_ex299_frontend_refgap_round22_20260613_0218,current frontend 71104 reference 47128
ex205,bf16,ex205_bf16_log10_sep_fields_e2_m5_s0_manual_bits_15,1,4818,22,105996,47128,71104,student/work/ex200_ex299_frontend_refgap_round22_20260613_0218/bf16-r22/ex205/ex205/verilog/ex205_bf16_log10_sep_fields_e2_m5_s0_manual_bits_15.v,student/work/ex200_ex299_frontend_refgap_round22_20260613_0218/bf16-r22/ex205/official_eval/ex205_bf16_log10_sep_fields_e2_m5_s0_manual_bits_15/ex205.aig,student/work/ex200_ex299_frontend_refgap_round22_20260613_0218/bf16-r22/ex205/logs/ex205_bf16_log10_sep_fields_e2_m5_s0_manual_bits_15.evaluate.py.log,,bf16-r22,ex200_ex299_frontend_refgap_round22_20260613_0218,current frontend 71104 reference 47128
ex218,bf16,ex218_bf16_reciprocal_cube_delta_pair_mode_hilo4_bits_15_cmp,1,530,14,7420,3222,5941,student/work/ex200_ex299_frontend_refgap_round22_20260613_0218/bf16-r22/ex218/ex218/verilog/ex218_bf16_reciprocal_cube_delta_pair_mode_hilo4_bits_15_cmp.v,student/work/ex200_ex299_frontend_refgap_round22_20260613_0218/bf16-r22/ex218/official_eval/ex218_bf16_reciprocal_cube_delta_pair_mode_hilo4_bits_15_cmp/ex218.aig,student/work/ex200_ex299_frontend_refgap_round22_20260613_0218/bf16-r22/ex218/logs/ex218_bf16_reciprocal_cube_delta_pair_mode_hilo4_bits_15_cmp.evaluate.py.log,,bf16-r22,ex200_ex299_frontend_refgap_round22_20260613_0218,current frontend 5941 reference 3222
ex218,bf16,ex218_bf16_reciprocal_cube_hand_recip_cube_guard_lut_normal_first,1,477,24,11448,3222,5941,student/work/ex200_ex299_frontend_refgap_round22_20260613_0218/bf16-r22/ex218/ex218/verilog/ex218_bf16_reciprocal_cube_hand_recip_cube_guard_lut_normal_first.v,student/work/ex200_ex299_frontend_refgap_round22_20260613_0218/bf16-r22/ex218/official_eval/ex218_bf16_reciprocal_cube_hand_recip_cube_guard_lut_normal_first/ex218.aig,student/work/ex200_ex299_frontend_refgap_round22_20260613_0218/bf16-r22/ex218/logs/ex218_bf16_reciprocal_cube_hand_recip_cube_guard_lut_normal_first.evaluate.py.log,,bf16-r22,ex200_ex299_frontend_refgap_round22_20260613_0218,current frontend 5941 reference 3222
ex244,float_fp8,ex244_r22_maxeff_delta_bdd_replay,1,301,34,10234,4272,10234,student/work/ex200_ex299_frontend_refgap_round22_20260613_0218/float-fp8-r22/ex244/verilog/ex244_r22_maxeff_delta_bdd_replay.v,student/work/ex200_ex299_frontend_refgap_round22_20260613_0218/float-fp8-r22/ex244/aigs/ex244_r22_maxeff_delta_bdd_replay.aig,student/work/ex200_ex299_frontend_refgap_round22_20260613_0218/float-fp8-r22/ex244/logs/ex244_r22_maxeff_delta_bdd_replay.official_evaluate.log,ex244|E4M3FN packed hypot|round22 max-eff delta BDD replay|shared abs max/min decode max_eff gap sig4 and delta BDD bits|yosys_synth_flatten_abc_g_aig_official_evaluate|exact_e4m3fn_hypot_abs_high_low|max_plus_delta_outputs,float-fp8-r22,ex200_ex299_frontend_refgap_round22_20260613_0218,"official evaluate.py OK; tied current frontend ADP, no improvement"
ex246,float_fp8,ex246_r22_product_seed12_replay,1,341,22,7502,2805,7502,student/work/ex200_ex299_frontend_refgap_round22_20260613_0218/float-fp8-r22/ex246/verilog/ex246_r22_product_seed12_replay.v,student/work/ex200_ex299_frontend_refgap_round22_20260613_0218/float-fp8-r22/ex246/aigs/ex246_r22_product_seed12_replay.aig,student/work/ex200_ex299_frontend_refgap_round22_20260613_0218/float-fp8-r22/ex246/logs/ex246_r22_product_seed12_replay.official_evaluate.log,ex246|E5M2FN packed multiply|round22 product-class seed12 replay|shared sign xor exponent sum significand product and product_mag class decode|yosys_synth_flatten_abc_g_aig_official_evaluate|exact_e5m2fn_mul_high_times_low|product_class_magnitude_outputs,float-fp8-r22,ex200_ex299_frontend_refgap_round22_20260613_0218,"official evaluate.py OK; tied current frontend ADP, no improvement"
ex247,float_fp8,ex247_r22_bound_region_mux_share2,1,363,23,8349,2975,8349,student/work/ex200_ex299_frontend_refgap_round22_20260613_0218/float-fp8-r22/ex247/verilog/ex247_r22_bound_region_mux_share2.v,student/work/ex200_ex299_frontend_refgap_round22_20260613_0218/float-fp8-r22/ex247/aigs/ex247_r22_bound_region_mux_share2.aig,student/work/ex200_ex299_frontend_refgap_round22_20260613_0218/float-fp8-r22/ex247/logs/ex247_r22_bound_region_mux_share2.official_evaluate.log,ex247|E5M2FN packed low-over-high division|round22 copied boundary-region mux with share+dual-abc synth|shared sign/exponent/significand decode and denominator boundary predicates|yosys_share_abc_g_aig_then_abc_g_AND_official_evaluate|exact_e5m2fn_div_low_over_high|region_mux_outputs,float-fp8-r22,ex200_ex299_frontend_refgap_round22_20260613_0218,"official evaluate.py OK; tied current frontend ADP, no improvement"
ex277,integer,ex277_isqrt_cofbdd3_reverse_synth_preset_d12,1,241,14,3374,1980,2844,student/work/ex200_ex299_frontend_refgap_round22_20260613_0218/integer-r22/ex277/verilog/ex277_isqrt_cofbdd3_reverse.v,student/work/ex200_ex299_frontend_refgap_round22_20260613_0218/integer-r22/ex277/aigs/ex277_isqrt_cofbdd3_reverse_synth_preset_d12.aig,student/work/ex200_ex299_frontend_refgap_round22_20260613_0218/integer-r22/ex277/logs/ex277_isqrt_cofbdd3_reverse_synth_preset_d12.evaluate.py.log,,integer-r22,ex200_ex299_frontend_refgap_round22_20260613_0218,official evaluate.py OK
