case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex266,ex266_udiv_ex266_cof_bhi2_a4_comp_wordmux_abc_g_aig,unsigned low5_high5:a/b dbz=max,ex266_cof_bhi2_a4_comp_wordmux+abc_g_aig,student/work/ex266_frontend_udiv_cofactor_comp_wordmux_20260609_1148/ex266/verilog/ex266_udiv_ex266_cof_bhi2_a4_comp_wordmux.v,student/work/ex266_frontend_udiv_cofactor_comp_wordmux_20260609_1148/ex266/aigs/ex266_udiv_ex266_cof_bhi2_a4_comp_wordmux_abc_g_aig.aig,1,1,1,153,12,1836,848,2.165094,0,0,0.260,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi2_a4_comp_wordmux; flow=abc_g_aig
ex266,ex266_udiv_ex266_cof_bhi2_a4_comp_wordmux_wreduce_abc_g_aig,unsigned low5_high5:a/b dbz=max,ex266_cof_bhi2_a4_comp_wordmux+wreduce_abc_g_aig,student/work/ex266_frontend_udiv_cofactor_comp_wordmux_20260609_1148/ex266/verilog/ex266_udiv_ex266_cof_bhi2_a4_comp_wordmux.v,student/work/ex266_frontend_udiv_cofactor_comp_wordmux_20260609_1148/ex266/aigs/ex266_udiv_ex266_cof_bhi2_a4_comp_wordmux_wreduce_abc_g_aig.aig,1,1,1,153,12,1836,848,2.165094,0,0,0.254,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi2_a4_comp_wordmux; flow=wreduce_abc_g_aig
ex266,ex266_udiv_ex266_cof_bhi2_a4_comp_wordmux_synth_preset,unsigned low5_high5:a/b dbz=max,ex266_cof_bhi2_a4_comp_wordmux+synth_preset,student/work/ex266_frontend_udiv_cofactor_comp_wordmux_20260609_1148/ex266/verilog/ex266_udiv_ex266_cof_bhi2_a4_comp_wordmux.v,student/work/ex266_frontend_udiv_cofactor_comp_wordmux_20260609_1148/ex266/aigs/ex266_udiv_ex266_cof_bhi2_a4_comp_wordmux_synth_preset.aig,1,1,1,148,11,1628,848,1.919811,0,0,0.317,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi2_a4_comp_wordmux; flow=synth_preset
ex266,ex266_udiv_ex266_cof_bhi2_a4_comp_wordmux_synth_preset_d8,unsigned low5_high5:a/b dbz=max,ex266_cof_bhi2_a4_comp_wordmux+synth_preset_d8,student/work/ex266_frontend_udiv_cofactor_comp_wordmux_20260609_1148/ex266/verilog/ex266_udiv_ex266_cof_bhi2_a4_comp_wordmux.v,student/work/ex266_frontend_udiv_cofactor_comp_wordmux_20260609_1148/ex266/aigs/ex266_udiv_ex266_cof_bhi2_a4_comp_wordmux_synth_preset_d8.aig,1,1,1,148,11,1628,848,1.919811,0,0,0.323,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi2_a4_comp_wordmux; flow=synth_preset_d8
ex266,ex266_udiv_ex266_cof_bhi2_a4_comp_wordmux_synth_preset_d10,unsigned low5_high5:a/b dbz=max,ex266_cof_bhi2_a4_comp_wordmux+synth_preset_d10,student/work/ex266_frontend_udiv_cofactor_comp_wordmux_20260609_1148/ex266/verilog/ex266_udiv_ex266_cof_bhi2_a4_comp_wordmux.v,student/work/ex266_frontend_udiv_cofactor_comp_wordmux_20260609_1148/ex266/aigs/ex266_udiv_ex266_cof_bhi2_a4_comp_wordmux_synth_preset_d10.aig,1,1,1,148,11,1628,848,1.919811,0,0,0.323,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi2_a4_comp_wordmux; flow=synth_preset_d10
ex266,ex266_udiv_ex266_cof_bhi2_a4_comp_wordmux_synth_preset_d12,unsigned low5_high5:a/b dbz=max,ex266_cof_bhi2_a4_comp_wordmux+synth_preset_d12,student/work/ex266_frontend_udiv_cofactor_comp_wordmux_20260609_1148/ex266/verilog/ex266_udiv_ex266_cof_bhi2_a4_comp_wordmux.v,student/work/ex266_frontend_udiv_cofactor_comp_wordmux_20260609_1148/ex266/aigs/ex266_udiv_ex266_cof_bhi2_a4_comp_wordmux_synth_preset_d12.aig,1,1,1,148,11,1628,848,1.919811,0,0,0.322,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi2_a4_comp_wordmux; flow=synth_preset_d12
ex266,ex266_udiv_ex266_cof_bhi2_a43_comp_wordmux_abc_g_aig,unsigned low5_high5:a/b dbz=max,ex266_cof_bhi2_a43_comp_wordmux+abc_g_aig,student/work/ex266_frontend_udiv_cofactor_comp_wordmux_20260609_1148/ex266/verilog/ex266_udiv_ex266_cof_bhi2_a43_comp_wordmux.v,student/work/ex266_frontend_udiv_cofactor_comp_wordmux_20260609_1148/ex266/aigs/ex266_udiv_ex266_cof_bhi2_a43_comp_wordmux_abc_g_aig.aig,1,1,1,155,11,1705,848,2.010613,0,0,0.262,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi2_a43_comp_wordmux; flow=abc_g_aig
ex266,ex266_udiv_ex266_cof_bhi2_a43_comp_wordmux_wreduce_abc_g_aig,unsigned low5_high5:a/b dbz=max,ex266_cof_bhi2_a43_comp_wordmux+wreduce_abc_g_aig,student/work/ex266_frontend_udiv_cofactor_comp_wordmux_20260609_1148/ex266/verilog/ex266_udiv_ex266_cof_bhi2_a43_comp_wordmux.v,student/work/ex266_frontend_udiv_cofactor_comp_wordmux_20260609_1148/ex266/aigs/ex266_udiv_ex266_cof_bhi2_a43_comp_wordmux_wreduce_abc_g_aig.aig,1,1,1,155,11,1705,848,2.010613,0,0,0.266,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi2_a43_comp_wordmux; flow=wreduce_abc_g_aig
ex266,ex266_udiv_ex266_cof_bhi2_a43_comp_wordmux_synth_preset,unsigned low5_high5:a/b dbz=max,ex266_cof_bhi2_a43_comp_wordmux+synth_preset,student/work/ex266_frontend_udiv_cofactor_comp_wordmux_20260609_1148/ex266/verilog/ex266_udiv_ex266_cof_bhi2_a43_comp_wordmux.v,student/work/ex266_frontend_udiv_cofactor_comp_wordmux_20260609_1148/ex266/aigs/ex266_udiv_ex266_cof_bhi2_a43_comp_wordmux_synth_preset.aig,1,1,1,152,11,1672,848,1.971698,0,0,0.334,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi2_a43_comp_wordmux; flow=synth_preset
ex266,ex266_udiv_ex266_cof_bhi2_a43_comp_wordmux_synth_preset_d8,unsigned low5_high5:a/b dbz=max,ex266_cof_bhi2_a43_comp_wordmux+synth_preset_d8,student/work/ex266_frontend_udiv_cofactor_comp_wordmux_20260609_1148/ex266/verilog/ex266_udiv_ex266_cof_bhi2_a43_comp_wordmux.v,student/work/ex266_frontend_udiv_cofactor_comp_wordmux_20260609_1148/ex266/aigs/ex266_udiv_ex266_cof_bhi2_a43_comp_wordmux_synth_preset_d8.aig,1,1,1,152,11,1672,848,1.971698,0,0,0.339,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi2_a43_comp_wordmux; flow=synth_preset_d8
ex266,ex266_udiv_ex266_cof_bhi2_a43_comp_wordmux_synth_preset_d10,unsigned low5_high5:a/b dbz=max,ex266_cof_bhi2_a43_comp_wordmux+synth_preset_d10,student/work/ex266_frontend_udiv_cofactor_comp_wordmux_20260609_1148/ex266/verilog/ex266_udiv_ex266_cof_bhi2_a43_comp_wordmux.v,student/work/ex266_frontend_udiv_cofactor_comp_wordmux_20260609_1148/ex266/aigs/ex266_udiv_ex266_cof_bhi2_a43_comp_wordmux_synth_preset_d10.aig,1,1,1,152,11,1672,848,1.971698,0,0,0.341,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi2_a43_comp_wordmux; flow=synth_preset_d10
