case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex260,ex260_smul_baugh_wooley_wallace_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace+abc_g_aig,student/work/ex260_ex264_frontend_smul_baugh_order_20260609_0258/ex260/verilog/ex260_smul_baugh_wooley_wallace.v,student/work/ex260_ex264_frontend_smul_baugh_order_20260609_0258/ex260/aigs/ex260_smul_baugh_wooley_wallace_abc_g_aig.aig,1,1,1,91,14,1274,657,1.939117,0,0,0.197,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_wreduce_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace+wreduce_abc_g_aig,student/work/ex260_ex264_frontend_smul_baugh_order_20260609_0258/ex260/verilog/ex260_smul_baugh_wooley_wallace.v,student/work/ex260_ex264_frontend_smul_baugh_order_20260609_0258/ex260/aigs/ex260_smul_baugh_wooley_wallace_wreduce_abc_g_aig.aig,1,1,1,91,14,1274,657,1.939117,0,0,0.218,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace; flow=wreduce_abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_synth_preset_d13,signed low4_high4:a*b,baugh_wooley_wallace+synth_preset_d13,student/work/ex260_ex264_frontend_smul_baugh_order_20260609_0258/ex260/verilog/ex260_smul_baugh_wooley_wallace.v,student/work/ex260_ex264_frontend_smul_baugh_order_20260609_0258/ex260/aigs/ex260_smul_baugh_wooley_wallace_synth_preset_d13.aig,1,1,1,91,14,1274,657,1.939117,0,0,0.242,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace; flow=synth_preset_d13
ex260,ex260_smul_baugh_wooley_wallace_synth_preset_d18,signed low4_high4:a*b,baugh_wooley_wallace+synth_preset_d18,student/work/ex260_ex264_frontend_smul_baugh_order_20260609_0258/ex260/verilog/ex260_smul_baugh_wooley_wallace.v,student/work/ex260_ex264_frontend_smul_baugh_order_20260609_0258/ex260/aigs/ex260_smul_baugh_wooley_wallace_synth_preset_d18.aig,1,1,1,91,14,1274,657,1.939117,0,0,0.266,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace; flow=synth_preset_d18
ex260,ex260_smul_baugh_wooley_wallace_rev_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_rev+abc_g_aig,student/work/ex260_ex264_frontend_smul_baugh_order_20260609_0258/ex260/verilog/ex260_smul_baugh_wooley_wallace_rev.v,student/work/ex260_ex264_frontend_smul_baugh_order_20260609_0258/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_abc_g_aig.aig,1,1,1,88,14,1232,657,1.875190,0,0,0.210,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_rev_wreduce_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_rev+wreduce_abc_g_aig,student/work/ex260_ex264_frontend_smul_baugh_order_20260609_0258/ex260/verilog/ex260_smul_baugh_wooley_wallace_rev.v,student/work/ex260_ex264_frontend_smul_baugh_order_20260609_0258/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_wreduce_abc_g_aig.aig,1,1,1,88,14,1232,657,1.875190,0,0,0.239,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev; flow=wreduce_abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_rev_synth_preset_d13,signed low4_high4:a*b,baugh_wooley_wallace_rev+synth_preset_d13,student/work/ex260_ex264_frontend_smul_baugh_order_20260609_0258/ex260/verilog/ex260_smul_baugh_wooley_wallace_rev.v,student/work/ex260_ex264_frontend_smul_baugh_order_20260609_0258/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_synth_preset_d13.aig,1,1,1,88,14,1232,657,1.875190,0,0,0.268,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev; flow=synth_preset_d13
ex260,ex260_smul_baugh_wooley_wallace_rev_synth_preset_d18,signed low4_high4:a*b,baugh_wooley_wallace_rev+synth_preset_d18,student/work/ex260_ex264_frontend_smul_baugh_order_20260609_0258/ex260/verilog/ex260_smul_baugh_wooley_wallace_rev.v,student/work/ex260_ex264_frontend_smul_baugh_order_20260609_0258/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_synth_preset_d18.aig,1,1,1,88,14,1232,657,1.875190,0,0,0.267,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev; flow=synth_preset_d18
ex260,ex260_smul_baugh_wooley_wallace_outside_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_outside+abc_g_aig,student/work/ex260_ex264_frontend_smul_baugh_order_20260609_0258/ex260/verilog/ex260_smul_baugh_wooley_wallace_outside.v,student/work/ex260_ex264_frontend_smul_baugh_order_20260609_0258/ex260/aigs/ex260_smul_baugh_wooley_wallace_outside_abc_g_aig.aig,1,1,1,90,14,1260,657,1.917808,0,0,0.264,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_outside; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_outside_wreduce_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_outside+wreduce_abc_g_aig,student/work/ex260_ex264_frontend_smul_baugh_order_20260609_0258/ex260/verilog/ex260_smul_baugh_wooley_wallace_outside.v,student/work/ex260_ex264_frontend_smul_baugh_order_20260609_0258/ex260/aigs/ex260_smul_baugh_wooley_wallace_outside_wreduce_abc_g_aig.aig,1,1,1,90,14,1260,657,1.917808,0,0,0.197,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_outside; flow=wreduce_abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_outside_synth_preset_d13,signed low4_high4:a*b,baugh_wooley_wallace_outside+synth_preset_d13,student/work/ex260_ex264_frontend_smul_baugh_order_20260609_0258/ex260/verilog/ex260_smul_baugh_wooley_wallace_outside.v,student/work/ex260_ex264_frontend_smul_baugh_order_20260609_0258/ex260/aigs/ex260_smul_baugh_wooley_wallace_outside_synth_preset_d13.aig,1,1,1,92,14,1288,657,1.960426,0,0,0.259,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_outside; flow=synth_preset_d13
