case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex275,ex275_isqrt_prefix3_ge_bitwise_abc_g_aig,unsigned_floor_isqrt,prefix3_ge_bitwise+abc_g_aig,student/work/ex275_ex276_frontend_isqrt_shared_ge_20260609_1656/ex275/verilog/ex275_isqrt_prefix3_ge_bitwise.v,student/work/ex275_ex276_frontend_isqrt_shared_ge_20260609_1656/ex275/aigs/ex275_isqrt_prefix3_ge_bitwise_abc_g_aig.aig,1,1,1,47,8,376,204,1.843137,0,0,0.289,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix3_ge_bitwise; flow=abc_g_aig
ex275,ex275_isqrt_prefix3_ge_bitwise_wreduce_abc_g_aig,unsigned_floor_isqrt,prefix3_ge_bitwise+wreduce_abc_g_aig,student/work/ex275_ex276_frontend_isqrt_shared_ge_20260609_1656/ex275/verilog/ex275_isqrt_prefix3_ge_bitwise.v,student/work/ex275_ex276_frontend_isqrt_shared_ge_20260609_1656/ex275/aigs/ex275_isqrt_prefix3_ge_bitwise_wreduce_abc_g_aig.aig,1,1,1,47,8,376,204,1.843137,0,0,0.254,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix3_ge_bitwise; flow=wreduce_abc_g_aig
ex275,ex275_isqrt_prefix3_ge_bitwise_arith_wreduce_aig,unsigned_floor_isqrt,prefix3_ge_bitwise+arith_wreduce_aig,student/work/ex275_ex276_frontend_isqrt_shared_ge_20260609_1656/ex275/verilog/ex275_isqrt_prefix3_ge_bitwise.v,student/work/ex275_ex276_frontend_isqrt_shared_ge_20260609_1656/ex275/aigs/ex275_isqrt_prefix3_ge_bitwise_arith_wreduce_aig.aig,1,1,1,48,7,336,204,1.647059,0,0,0.229,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix3_ge_bitwise; flow=arith_wreduce_aig
ex275,ex275_isqrt_prefix3_ge_bitwise_synth_preset,unsigned_floor_isqrt,prefix3_ge_bitwise+synth_preset,student/work/ex275_ex276_frontend_isqrt_shared_ge_20260609_1656/ex275/verilog/ex275_isqrt_prefix3_ge_bitwise.v,student/work/ex275_ex276_frontend_isqrt_shared_ge_20260609_1656/ex275/aigs/ex275_isqrt_prefix3_ge_bitwise_synth_preset.aig,1,1,1,44,8,352,204,1.725490,0,0,0.289,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix3_ge_bitwise; flow=synth_preset
ex275,ex275_isqrt_prefix3_ge_bitwise_synth_preset_d6,unsigned_floor_isqrt,prefix3_ge_bitwise+synth_preset_d6,student/work/ex275_ex276_frontend_isqrt_shared_ge_20260609_1656/ex275/verilog/ex275_isqrt_prefix3_ge_bitwise.v,student/work/ex275_ex276_frontend_isqrt_shared_ge_20260609_1656/ex275/aigs/ex275_isqrt_prefix3_ge_bitwise_synth_preset_d6.aig,1,1,1,44,8,352,204,1.725490,0,0,0.288,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix3_ge_bitwise; flow=synth_preset_d6
ex275,ex275_isqrt_prefix3_ge_bitwise_synth_preset_d8,unsigned_floor_isqrt,prefix3_ge_bitwise+synth_preset_d8,student/work/ex275_ex276_frontend_isqrt_shared_ge_20260609_1656/ex275/verilog/ex275_isqrt_prefix3_ge_bitwise.v,student/work/ex275_ex276_frontend_isqrt_shared_ge_20260609_1656/ex275/aigs/ex275_isqrt_prefix3_ge_bitwise_synth_preset_d8.aig,1,1,1,44,8,352,204,1.725490,0,0,0.289,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix3_ge_bitwise; flow=synth_preset_d8
ex275,ex275_isqrt_prefix3_ge_bitwise_synth_preset_d10,unsigned_floor_isqrt,prefix3_ge_bitwise+synth_preset_d10,student/work/ex275_ex276_frontend_isqrt_shared_ge_20260609_1656/ex275/verilog/ex275_isqrt_prefix3_ge_bitwise.v,student/work/ex275_ex276_frontend_isqrt_shared_ge_20260609_1656/ex275/aigs/ex275_isqrt_prefix3_ge_bitwise_synth_preset_d10.aig,1,1,1,44,8,352,204,1.725490,0,0,0.287,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix3_ge_bitwise; flow=synth_preset_d10
ex275,ex275_isqrt_prefix4_ge_bitwise_abc_g_aig,unsigned_floor_isqrt,prefix4_ge_bitwise+abc_g_aig,student/work/ex275_ex276_frontend_isqrt_shared_ge_20260609_1656/ex275/verilog/ex275_isqrt_prefix4_ge_bitwise.v,student/work/ex275_ex276_frontend_isqrt_shared_ge_20260609_1656/ex275/aigs/ex275_isqrt_prefix4_ge_bitwise_abc_g_aig.aig,1,1,1,50,8,400,204,1.960784,0,0,0.217,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix4_ge_bitwise; flow=abc_g_aig
ex275,ex275_isqrt_prefix4_ge_bitwise_wreduce_abc_g_aig,unsigned_floor_isqrt,prefix4_ge_bitwise+wreduce_abc_g_aig,student/work/ex275_ex276_frontend_isqrt_shared_ge_20260609_1656/ex275/verilog/ex275_isqrt_prefix4_ge_bitwise.v,student/work/ex275_ex276_frontend_isqrt_shared_ge_20260609_1656/ex275/aigs/ex275_isqrt_prefix4_ge_bitwise_wreduce_abc_g_aig.aig,1,1,1,50,8,400,204,1.960784,0,0,0.225,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix4_ge_bitwise; flow=wreduce_abc_g_aig
ex275,ex275_isqrt_prefix4_ge_bitwise_arith_wreduce_aig,unsigned_floor_isqrt,prefix4_ge_bitwise+arith_wreduce_aig,student/work/ex275_ex276_frontend_isqrt_shared_ge_20260609_1656/ex275/verilog/ex275_isqrt_prefix4_ge_bitwise.v,student/work/ex275_ex276_frontend_isqrt_shared_ge_20260609_1656/ex275/aigs/ex275_isqrt_prefix4_ge_bitwise_arith_wreduce_aig.aig,1,1,1,51,9,459,204,2.250000,0,0,0.226,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix4_ge_bitwise; flow=arith_wreduce_aig
ex275,ex275_isqrt_prefix4_ge_bitwise_synth_preset,unsigned_floor_isqrt,prefix4_ge_bitwise+synth_preset,student/work/ex275_ex276_frontend_isqrt_shared_ge_20260609_1656/ex275/verilog/ex275_isqrt_prefix4_ge_bitwise.v,student/work/ex275_ex276_frontend_isqrt_shared_ge_20260609_1656/ex275/aigs/ex275_isqrt_prefix4_ge_bitwise_synth_preset.aig,1,1,1,51,8,408,204,2.000000,0,0,0.286,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix4_ge_bitwise; flow=synth_preset
