case,candidate_id,hypothesis/function_guess,variant,verilog_path,aig_path,verified_truth,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,classification,notes
ex240,ex240_semantic_add_scaled_abc_g_aig,fp8_e4m3fn_add,semantic_add_scaled_abc_g_aig,student/work/ex240_ex244_frontend_fp8_semantic_20260608_1130/ex240/verilog/ex240_semantic_add_scaled.v,student/work/ex240_ex244_frontend_fp8_semantic_20260608_1130/ex240/aigs/ex240_semantic_add_scaled_abc_g_aig.aig,1,1,1404,56,78624,13299,5.912023,0,0,semantic_exact,"semantic RTL: decode scaled magnitude, add/sub, quantize"
ex241,ex241_semantic_mul_scaled_abc_g_aig,fp8_e4m3fn_mul,semantic_mul_scaled_abc_g_aig,student/work/ex240_ex244_frontend_fp8_semantic_20260608_1130/ex241/verilog/ex241_semantic_mul_scaled.v,student/work/ex240_ex244_frontend_fp8_semantic_20260608_1130/ex241/aigs/ex241_semantic_mul_scaled_abc_g_aig.aig,1,1,3343,52,173836,7224,24.063677,0,0,semantic_exact,"semantic RTL: decode scaled magnitude, small multiply, quantize"
ex242,ex242_semantic_div_mag_table_synth_preset_aig,fp8_e4m3fn_div_low_over_high,semantic_div_mag_table_synth_preset_aig,student/work/ex240_ex244_frontend_fp8_semantic_20260608_1130/ex242/verilog/ex242_semantic_div_mag_table.v,student/work/ex240_ex244_frontend_fp8_semantic_20260608_1130/ex242/aigs/ex242_semantic_div_mag_table_synth_preset_aig.aig,1,1,4790,24,114960,11900,9.660504,0,0,semantic_exact,semantic magnitude table for low/high division
ex243,ex243_semantic_fmod_mag_table_synth_preset_aig,fp8_e4m3fn_fmod_low_by_high_abs,semantic_fmod_mag_table_synth_preset_aig,student/work/ex240_ex244_frontend_fp8_semantic_20260608_1130/ex243/verilog/ex243_semantic_fmod_mag_table.v,student/work/ex240_ex244_frontend_fp8_semantic_20260608_1130/ex243/aigs/ex243_semantic_fmod_mag_table_synth_preset_aig.aig,1,1,5866,25,146650,53227,2.755181,0,0,semantic_exact,semantic magnitude table for low % abs(high)
ex244,ex244_semantic_hypot_mag_table_synth_preset_aig,fp8_e4m3fn_hypot_abs,semantic_hypot_mag_table_synth_preset_aig,student/work/ex240_ex244_frontend_fp8_semantic_20260608_1130/ex244/verilog/ex244_semantic_hypot_mag_table.v,student/work/ex240_ex244_frontend_fp8_semantic_20260608_1130/ex244/aigs/ex244_semantic_hypot_mag_table_synth_preset_aig.aig,1,1,2420,22,53240,4272,12.462547,0,0,semantic_exact,"semantic magnitude table for hypot(abs(high), abs(low))"
