case,candidate_id,hypothesis,variant,verilog_path,aig_path,area,delay,adp,items,notes
ex280,ex280_unknown_key_classonehot_bitoverride_prefix_parity_reduce_top6_endpoint_low4,unknown_key_classonehot_bitoverride,prefix_parity_reduce_top6_endpoint_low4,student/work/ex280_ex284_frontend_key_classonehot_bitoverride_20260608_2118/ex280/verilog/ex280_unknown_key_classonehot_bitoverride_prefix_parity_reduce_top6_endpoint_low4.v,student/work/ex280_ex284_frontend_key_classonehot_bitoverride_20260608_2118/ex280/aigs/ex280_unknown_key_classonehot_bitoverride_prefix_parity_reduce_top6_endpoint_low4.aig,1217,27,32859,transform=prefix_parity_reduce; variant=top6; outer_bits=0:11:1:10:2:9; inner_bits=3:4:5:6:7:8; inner_order_style=endpoint; override_low=4; keep_bits=4:5:6:7:8:9:10:11; class_count=50; override_anf_terms=202; override_unique_terms=142; selected_group_bdd_nodes=3025; group_bdd_nodes=54:61:61:60:60:57:60:61:60:60:60:55:61:61:61:59:61:59:58:61:60:55:60:58:58:54:61:64:64:62:64:59:64:58:64:62:62:64:63:60:63:56:63:64:63:63:63:57:64:63; hash=2fcc92570dc0,unknown classonehot BDD with low-bit ANF override Verilog seed
ex281,ex281_unknown_key_classonehot_bitoverride_prefix_parity_reduce_top6_endpoint_low4,unknown_key_classonehot_bitoverride,prefix_parity_reduce_top6_endpoint_low4,student/work/ex280_ex284_frontend_key_classonehot_bitoverride_20260608_2118/ex281/verilog/ex281_unknown_key_classonehot_bitoverride_prefix_parity_reduce_top6_endpoint_low4.v,student/work/ex280_ex284_frontend_key_classonehot_bitoverride_20260608_2118/ex281/aigs/ex281_unknown_key_classonehot_bitoverride_prefix_parity_reduce_top6_endpoint_low4.aig,1382,27,37314,transform=prefix_parity_reduce; variant=top6; outer_bits=0:12:1:11:2:10; inner_bits=3:4:5:6:7:8:9; inner_order_style=endpoint; override_low=4; keep_bits=4:5:6:7:8:9:10:11:12; class_count=50; override_anf_terms=202; override_unique_terms=156; selected_group_bdd_nodes=5261; group_bdd_nodes=97:105:105:103:103:100:105:103:105:105:105:97:104:104:104:104:104:104:101:104:104:101:104:104:104:98:106:109:109:110:109:107:109:103:109:110:110:109:108:105:108:103:109:108:109:109:108:100:108:109; hash=03c72610e7ae,unknown classonehot BDD with low-bit ANF override Verilog seed
ex282,ex282_unknown_key_classonehot_bitoverride_prefix_parity_reduce_top6_endpoint_rev_low4,unknown_key_classonehot_bitoverride,prefix_parity_reduce_top6_endpoint_rev_low4,student/work/ex280_ex284_frontend_key_classonehot_bitoverride_20260608_2118/ex282/verilog/ex282_unknown_key_classonehot_bitoverride_prefix_parity_reduce_top6_endpoint_rev_low4.v,student/work/ex280_ex284_frontend_key_classonehot_bitoverride_20260608_2118/ex282/aigs/ex282_unknown_key_classonehot_bitoverride_prefix_parity_reduce_top6_endpoint_rev_low4.aig,1541,30,46230,transform=prefix_parity_reduce; variant=top6; outer_bits=0:13:1:12:2:11; inner_bits=3:4:5:6:7:8:9:10; inner_order_style=endpoint_rev; override_low=4; keep_bits=4:5:6:7:8:9:10:11:12:13; class_count=50; override_anf_terms=234; override_unique_terms=188; selected_group_bdd_nodes=8110; group_bdd_nodes=154:161:161:161:161:158:161:161:161:161:161:154:161:161:161:161:161:161:158:161:161:158:161:161:161:154:163:166:166:166:166:163:166:159:166:166:166:166:166:163:166:159:166:166:166:166:166:159:166:166; hash=5856aa6d5cb2,unknown classonehot BDD with low-bit ANF override Verilog seed
ex283,ex283_unknown_key_classonehot_bitoverride_prefix_parity_reduce_top6_endpoint_rev_low4,unknown_key_classonehot_bitoverride,prefix_parity_reduce_top6_endpoint_rev_low4,student/work/ex280_ex284_frontend_key_classonehot_bitoverride_20260608_2118/ex283/verilog/ex283_unknown_key_classonehot_bitoverride_prefix_parity_reduce_top6_endpoint_rev_low4.v,student/work/ex280_ex284_frontend_key_classonehot_bitoverride_20260608_2118/ex283/aigs/ex283_unknown_key_classonehot_bitoverride_prefix_parity_reduce_top6_endpoint_rev_low4.aig,1629,30,48870,transform=prefix_parity_reduce; variant=top6; outer_bits=0:14:1:13:2:12; inner_bits=3:4:5:6:7:8:9:10:11; inner_order_style=endpoint_rev; override_low=4; keep_bits=4:5:6:7:8:9:10:11:12:13:14; class_count=50; override_anf_terms=234; override_unique_terms=188; selected_group_bdd_nodes=11360; group_bdd_nodes=219:226:226:226:226:223:226:226:226:226:226:219:226:226:226:226:226:226:223:226:226:223:226:226:226:219:228:231:231:231:231:228:231:224:231:231:231:231:231:228:231:224:231:231:231:231:231:224:231:231; hash=9ab091f79469,unknown classonehot BDD with low-bit ANF override Verilog seed
ex284,ex284_unknown_key_classonehot_bitoverride_prefix_parity_reduce_top6_endpoint_rev_low4,unknown_key_classonehot_bitoverride,prefix_parity_reduce_top6_endpoint_rev_low4,student/work/ex280_ex284_frontend_key_classonehot_bitoverride_20260608_2118/ex284/verilog/ex284_unknown_key_classonehot_bitoverride_prefix_parity_reduce_top6_endpoint_rev_low4.v,student/work/ex280_ex284_frontend_key_classonehot_bitoverride_20260608_2118/ex284/aigs/ex284_unknown_key_classonehot_bitoverride_prefix_parity_reduce_top6_endpoint_rev_low4.aig,1793,34,60962,transform=prefix_parity_reduce; variant=top6; outer_bits=0:15:1:14:2:13; inner_bits=3:4:5:6:7:8:9:10:11:12; inner_order_style=endpoint_rev; override_low=4; keep_bits=4:5:6:7:8:9:10:11:12:13:14:15; class_count=50; override_anf_terms=234; override_unique_terms=188; selected_group_bdd_nodes=14410; group_bdd_nodes=280:287:287:287:287:284:287:287:287:287:287:280:287:287:287:287:287:287:284:287:287:284:287:287:287:280:289:292:292:292:292:289:292:285:292:292:292:292:292:289:292:285:292:292:292:292:292:285:292:292; hash=b2c4c834ca20,unknown classonehot BDD with low-bit ANF override Verilog seed
