case,candidate_id,hypothesis/function_guess,variant,verilog_path,aig_path,verified_truth,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,classification,notes
ex232,ex232_fp16_square_bitvec_bits12_9_t32,fp16_square,bitvec_bits12_9_t32,student/work/ex232_ex233_frontend_fp16_bitrun_20260607_1853/ex232/verilog/ex232_fp16_square_bitvec_bits12_9_t32.v,student/work/ex232_ex233_frontend_fp16_bitrun_20260607_1853/ex232/aigs/ex232_fp16_square_bitvec_bits12_9_t32.aig,1,1,1350,17,22950,13392,1.713710,0,0,structural_exact,"per-output-bit run-cover hybrid; bitvec selected bits; table_items=32800; bits=12,9; threshold=32; const_groups=32; range_groups=32; table_groups=0; range_items=124; table_items=0"
ex233,ex233_fp16_sqrt_bitvec_bits12_9_t32,fp16_sqrt,bitvec_bits12_9_t32,student/work/ex232_ex233_frontend_fp16_bitrun_20260607_1853/ex233/verilog/ex233_fp16_sqrt_bitvec_bits12_9_t32.v,student/work/ex232_ex233_frontend_fp16_bitrun_20260607_1853/ex233/aigs/ex233_fp16_sqrt_bitvec_bits12_9_t32.aig,1,1,1729,17,29393,20174,1.456974,1,0,structural_exact,"per-output-bit run-cover hybrid; bitvec selected bits; table_items=31777; bits=12,9; threshold=32; const_groups=48; range_groups=16; table_groups=0; range_items=32; table_items=0"
