case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,runtime_sec,items,notes
ex287,ex287_unknown_symcof_interleave_f00_k4_onehot_group,unknown_symmetry_cofactor_classonehot,interleave_f00_k4_onehot_group,student/work/ex287_frontend_symcof_selector_20260609_0828/ex287/verilog/ex287_unknown_symcof_interleave_f00_k4_onehot_group.v,student/work/ex287_frontend_symcof_selector_20260609_0828/ex287/aigs/ex287_unknown_symcof_interleave_f00_k4_onehot_group.aig,1,1,1,1722,17,29274,2.451,"pairs=4:5,6:7,8:9; order=interleave; policy=f00; mux_style=onehot; bdd_share=group; outer_bits=0:13:1:12; inner_bits=2:3:4:5:6:7:8:9:10:11; classes=16; group_nodes=202:210:186:190:228:179:190:163:180:179:183:194:184:161:212:194; total_group_nodes=3035; anf_bits=; popcount_repair_bits=; hash=722cacbdae35",unknown symmetry cofactor class-onehot Verilog seed
ex287,ex287_unknown_symcof_interleave_f00_bits_0_1_10_11_onehot_group,unknown_symmetry_cofactor_classonehot,interleave_f00_bits_0_1_10_11_onehot_group,student/work/ex287_frontend_symcof_selector_20260609_0828/ex287/verilog/ex287_unknown_symcof_interleave_f00_bits_0_1_10_11_onehot_group.v,student/work/ex287_frontend_symcof_selector_20260609_0828/ex287/aigs/ex287_unknown_symcof_interleave_f00_bits_0_1_10_11_onehot_group.aig,1,1,1,1648,18,29664,2.212,"pairs=4:5,6:7,8:9; order=interleave; policy=f00; mux_style=onehot; bdd_share=group; outer_bits=0:1:10:11; inner_bits=2:3:4:5:6:7:8:9:12:13; classes=14; group_nodes=141:147:160:145:140:141:132:127:116:112:122:140:156:128; total_group_nodes=1907; anf_bits=; popcount_repair_bits=; hash=acf0c6d41ee0",unknown symmetry cofactor class-onehot Verilog seed
