case,input_coord,output_coord,degree,exact_bits,total_bits,total_terms,low_degree_terms,max_degree,bit_term_counts,bit_degrees,notes
ex289,raw,prefix_natural,4,1,16,93244,4504,16,7387:5396:7677:4354:8227:5978:7097:1652:7997:6048:8047:4530:7533:5136:6169:16,16:15:16:13:16:15:16:9:16:15:16:13:16:15:16:1,output-coordinate ANF over transformed input coordinates
ex289,raw,prefix_natural,3,1,16,93244,1744,16,7387:5396:7677:4354:8227:5978:7097:1652:7997:6048:8047:4530:7533:5136:6169:16,16:15:16:13:16:15:16:9:16:15:16:13:16:15:16:1,output-coordinate ANF over transformed input coordinates
ex289,raw,prefix_natural,2,1,16,93244,540,16,7387:5396:7677:4354:8227:5978:7097:1652:7997:6048:8047:4530:7533:5136:6169:16,16:15:16:13:16:15:16:9:16:15:16:13:16:15:16:1,output-coordinate ANF over transformed input coordinates
ex289,raw,prefix_natural,1,1,16,93244,134,16,7387:5396:7677:4354:8227:5978:7097:1652:7997:6048:8047:4530:7533:5136:6169:16,16:15:16:13:16:15:16:9:16:15:16:13:16:15:16:1,output-coordinate ANF over transformed input coordinates
ex289,raw,suffix_natural,4,1,16,93248,4508,16,16:7403:5410:7689:4366:8239:5982:7101:1652:7997:6040:8039:4518:7521:5122:6153,1:16:15:16:13:16:15:16:9:16:15:16:13:16:15:16,output-coordinate ANF over transformed input coordinates
ex289,raw,suffix_natural,3,1,16,93248,1748,16,16:7403:5410:7689:4366:8239:5982:7101:1652:7997:6040:8039:4518:7521:5122:6153,1:16:15:16:13:16:15:16:9:16:15:16:13:16:15:16,output-coordinate ANF over transformed input coordinates
ex289,raw,suffix_natural,2,1,16,93248,544,16,16:7403:5410:7689:4366:8239:5982:7101:1652:7997:6040:8039:4518:7521:5122:6153,1:16:15:16:13:16:15:16:9:16:15:16:13:16:15:16,output-coordinate ANF over transformed input coordinates
ex289,raw,suffix_natural,1,1,16,93248,138,16,16:7403:5410:7689:4366:8239:5982:7101:1652:7997:6040:8039:4518:7521:5122:6153,1:16:15:16:13:16:15:16:9:16:15:16:13:16:15:16,output-coordinate ANF over transformed input coordinates
ex289,raw,prefix_onehot,4,1,16,99376,5690,16,16:7403:7537:9157:8759:5410:3098:7659:8069:4424:6238:8277:5756:7325:7566:2682,1:16:16:16:16:15:11:16:16:12:13:16:15:16:15:11,output-coordinate ANF over transformed input coordinates
ex289,raw,prefix_onehot,3,1,16,99376,2267,16,16:7403:7537:9157:8759:5410:3098:7659:8069:4424:6238:8277:5756:7325:7566:2682,1:16:16:16:16:15:11:16:16:12:13:16:15:16:15:11,output-coordinate ANF over transformed input coordinates
