case,candidate_id,hypothesis,variant,verilog_path,aig_path,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,classification,notes
ex275,ex275_isqrt_bdd_outside_synth_preset,unsigned_floor_isqrt,bdd_outside+synth_preset,student/work/ex275_ex279_frontend_isqrt_structures_20260609_1551/ex275/verilog/ex275_isqrt_bdd_outside.v,student/work/ex275_ex279_frontend_isqrt_structures_20260609_1551/ex275/aigs/ex275_isqrt_bdd_outside_synth_preset.aig,42,8,336,204,1.647059,0,0,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=bdd_outside; flow=synth_preset
ex276,ex276_isqrt_prefix3_range_synth_preset,unsigned_floor_isqrt,prefix3_range+synth_preset,student/work/ex275_ex279_frontend_isqrt_structures_20260609_1551/ex276/verilog/ex276_isqrt_prefix3_range.v,student/work/ex275_ex279_frontend_isqrt_structures_20260609_1551/ex276/aigs/ex276_isqrt_prefix3_range_synth_preset.aig,107,11,1177,632,1.862342,0,0,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=prefix3_range; flow=synth_preset
ex277,ex277_isqrt_prefix4_range_abc_g_aig,unsigned_floor_isqrt,prefix4_range+abc_g_aig,student/work/ex275_ex279_frontend_isqrt_structures_20260609_1551/ex277/verilog/ex277_isqrt_prefix4_range.v,student/work/ex275_ex279_frontend_isqrt_structures_20260609_1551/ex277/aigs/ex277_isqrt_prefix4_range_abc_g_aig.aig,270,12,3240,1980,1.636364,0,0,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 4096 inputs; source=prefix4_range; flow=abc_g_aig
ex278,ex278_isqrt_prefix4_range_synth_preset,unsigned_floor_isqrt,prefix4_range+synth_preset,student/work/ex275_ex279_frontend_isqrt_structures_20260609_1551/ex278/verilog/ex278_isqrt_prefix4_range.v,student/work/ex275_ex279_frontend_isqrt_structures_20260609_1551/ex278/aigs/ex278_isqrt_prefix4_range_synth_preset.aig,535,15,8025,5198,1.543863,0,0,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 16384 inputs; source=prefix4_range; flow=synth_preset
ex279,ex279_isqrt_restoring_wires_synth_preset,unsigned_floor_isqrt,restoring_wires+synth_preset,student/work/ex275_ex279_frontend_isqrt_structures_20260609_1551/ex279/verilog/ex279_isqrt_restoring_wires.v,student/work/ex275_ex279_frontend_isqrt_structures_20260609_1551/ex279/aigs/ex279_isqrt_restoring_wires_synth_preset.aig,260,64,16640,10952,1.519357,0,0,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 65536 inputs; source=restoring_wires; flow=synth_preset
