case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex275,ex275_isqrt_range_tree_synth_preset,unsigned_floor_isqrt,range_tree+synth_preset,student/work/ex275_ex279_frontend_isqrt_structures_20260609_1551/ex275/verilog/ex275_isqrt_range_tree.v,student/work/ex275_ex279_frontend_isqrt_structures_20260609_1551/ex275/aigs/ex275_isqrt_range_tree_synth_preset.aig,1,1,1,48,10,480,204,2.352941,0,0,0.322,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=range_tree; flow=synth_preset
ex275,ex275_isqrt_restoring_proc_abc_g_aig,unsigned_floor_isqrt,restoring_proc+abc_g_aig,student/work/ex275_ex279_frontend_isqrt_structures_20260609_1551/ex275/verilog/ex275_isqrt_restoring_proc.v,student/work/ex275_ex279_frontend_isqrt_structures_20260609_1551/ex275/aigs/ex275_isqrt_restoring_proc_abc_g_aig.aig,1,1,1,49,16,784,204,3.843137,0,0,0.239,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=restoring_proc; flow=abc_g_aig
ex275,ex275_isqrt_restoring_proc_wreduce_abc_g_aig,unsigned_floor_isqrt,restoring_proc+wreduce_abc_g_aig,student/work/ex275_ex279_frontend_isqrt_structures_20260609_1551/ex275/verilog/ex275_isqrt_restoring_proc.v,student/work/ex275_ex279_frontend_isqrt_structures_20260609_1551/ex275/aigs/ex275_isqrt_restoring_proc_wreduce_abc_g_aig.aig,1,1,1,49,16,784,204,3.843137,0,0,0.257,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=restoring_proc; flow=wreduce_abc_g_aig
ex275,ex275_isqrt_restoring_proc_synth_preset,unsigned_floor_isqrt,restoring_proc+synth_preset,student/work/ex275_ex279_frontend_isqrt_structures_20260609_1551/ex275/verilog/ex275_isqrt_restoring_proc.v,student/work/ex275_ex279_frontend_isqrt_structures_20260609_1551/ex275/aigs/ex275_isqrt_restoring_proc_synth_preset.aig,1,1,1,49,16,784,204,3.843137,0,0,0.308,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=restoring_proc; flow=synth_preset
ex275,ex275_isqrt_restoring_wires_abc_g_aig,unsigned_floor_isqrt,restoring_wires+abc_g_aig,student/work/ex275_ex279_frontend_isqrt_structures_20260609_1551/ex275/verilog/ex275_isqrt_restoring_wires.v,student/work/ex275_ex279_frontend_isqrt_structures_20260609_1551/ex275/aigs/ex275_isqrt_restoring_wires_abc_g_aig.aig,1,1,1,49,16,784,204,3.843137,0,0,0.239,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=restoring_wires; flow=abc_g_aig
ex275,ex275_isqrt_restoring_wires_wreduce_abc_g_aig,unsigned_floor_isqrt,restoring_wires+wreduce_abc_g_aig,student/work/ex275_ex279_frontend_isqrt_structures_20260609_1551/ex275/verilog/ex275_isqrt_restoring_wires.v,student/work/ex275_ex279_frontend_isqrt_structures_20260609_1551/ex275/aigs/ex275_isqrt_restoring_wires_wreduce_abc_g_aig.aig,1,1,1,49,16,784,204,3.843137,0,0,0.251,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=restoring_wires; flow=wreduce_abc_g_aig
ex275,ex275_isqrt_restoring_wires_synth_preset,unsigned_floor_isqrt,restoring_wires+synth_preset,student/work/ex275_ex279_frontend_isqrt_structures_20260609_1551/ex275/verilog/ex275_isqrt_restoring_wires.v,student/work/ex275_ex279_frontend_isqrt_structures_20260609_1551/ex275/aigs/ex275_isqrt_restoring_wires_synth_preset.aig,1,1,1,49,16,784,204,3.843137,0,0,0.306,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=restoring_wires; flow=synth_preset
ex275,ex275_isqrt_prefix2_range_abc_g_aig,unsigned_floor_isqrt,prefix2_range+abc_g_aig,student/work/ex275_ex279_frontend_isqrt_structures_20260609_1551/ex275/verilog/ex275_isqrt_prefix2_range.v,student/work/ex275_ex279_frontend_isqrt_structures_20260609_1551/ex275/aigs/ex275_isqrt_prefix2_range_abc_g_aig.aig,1,1,1,47,9,423,204,2.073529,0,0,0.228,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix2_range; flow=abc_g_aig
ex275,ex275_isqrt_prefix2_range_wreduce_abc_g_aig,unsigned_floor_isqrt,prefix2_range+wreduce_abc_g_aig,student/work/ex275_ex279_frontend_isqrt_structures_20260609_1551/ex275/verilog/ex275_isqrt_prefix2_range.v,student/work/ex275_ex279_frontend_isqrt_structures_20260609_1551/ex275/aigs/ex275_isqrt_prefix2_range_wreduce_abc_g_aig.aig,1,1,1,49,9,441,204,2.161765,0,0,0.236,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix2_range; flow=wreduce_abc_g_aig
ex275,ex275_isqrt_prefix2_range_synth_preset,unsigned_floor_isqrt,prefix2_range+synth_preset,student/work/ex275_ex279_frontend_isqrt_structures_20260609_1551/ex275/verilog/ex275_isqrt_prefix2_range.v,student/work/ex275_ex279_frontend_isqrt_structures_20260609_1551/ex275/aigs/ex275_isqrt_prefix2_range_synth_preset.aig,1,1,1,45,9,405,204,1.985294,0,0,0.280,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix2_range; flow=synth_preset
ex275,ex275_isqrt_prefix3_range_abc_g_aig,unsigned_floor_isqrt,prefix3_range+abc_g_aig,student/work/ex275_ex279_frontend_isqrt_structures_20260609_1551/ex275/verilog/ex275_isqrt_prefix3_range.v,student/work/ex275_ex279_frontend_isqrt_structures_20260609_1551/ex275/aigs/ex275_isqrt_prefix3_range_abc_g_aig.aig,1,1,1,49,7,343,204,1.681373,0,0,0.220,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix3_range; flow=abc_g_aig
ex275,ex275_isqrt_prefix3_range_wreduce_abc_g_aig,unsigned_floor_isqrt,prefix3_range+wreduce_abc_g_aig,student/work/ex275_ex279_frontend_isqrt_structures_20260609_1551/ex275/verilog/ex275_isqrt_prefix3_range.v,student/work/ex275_ex279_frontend_isqrt_structures_20260609_1551/ex275/aigs/ex275_isqrt_prefix3_range_wreduce_abc_g_aig.aig,1,1,1,47,8,376,204,1.843137,0,0,0.219,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix3_range; flow=wreduce_abc_g_aig
