case,candidate_id,evaluate_status,equivalent,area,delay,adp,verilog_path,aig_path,log_path,agent_id,notes,status,output_dir,evaluate_log,runtime_sec,shard_csv,domain,method_signature,evaluate_command,beats_frontend,beats_current_best,beats_reference
ex223,ex223_r75_nested_low14_hi5_manual15_14_directspecial_abc_g_aig,OK,1,10772,19,204668,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp16-redesc-r75/ex223/verilog/ex223_r75_nested_low14_hi5_manual15_14_directspecial.v,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp16-redesc-r75/ex223/aigs/ex223_r75_nested_low14_hi5_manual15_14_directspecial_abc_g_aig.aig,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp16-redesc-r75/ex223/logs/ex223_r75_nested_low14_hi5_manual15_14_directspecial_abc_g_aig.yosys.log,sub-fp16-redesc-r75,official evaluate.py equivalent,OK,student/runs/fp16/frontend_source_parallel_round75_20260613_1450/sub-fp16-redesc-r75/ex223/official_eval/ex223_r75_nested_low14_hi5_manual15_14_directspecial_abc_g_aig,student/runs/fp16/frontend_source_parallel_round75_20260613_1450/sub-fp16-redesc-r75/ex223/official_eval/ex223_r75_nested_low14_hi5_manual15_14_directspecial_abc_g_aig/ex223_r75_nested_low14_hi5_manual15_14_directspecial_abc_g_aig.evaluate.py.log,1.425,student/frontend_campaigns/campaigns/frontend_source_parallel_round75_20260613_1450/agent_shards/sub-fp16-redesc-r75/evaluation_results.csv,fp16,ex223|fp16_log_special_nested_minimality_recheck|low14_hi5_nested_lut_with_manual_sign_and_bit14|direct_special_class_shell_plus_manual_high-bit_thresholds_and_nested_low_table|yosys_abc_g_aig|abc_xf_official_evaluate|r75_nested_low14_hi5_manual15_14_directspecial,,,,
ex223,ex223_r75_sparse_low14_hi5_manual15_14_directspecial_abc_g_aig,OK,1,10735,19,203965,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp16-redesc-r75/ex223/verilog/ex223_r75_sparse_low14_hi5_manual15_14_directspecial.v,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp16-redesc-r75/ex223/aigs/ex223_r75_sparse_low14_hi5_manual15_14_directspecial_abc_g_aig.aig,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp16-redesc-r75/ex223/logs/ex223_r75_sparse_low14_hi5_manual15_14_directspecial_abc_g_aig.yosys.log,sub-fp16-redesc-r75,official evaluate.py equivalent,OK,student/runs/fp16/frontend_source_parallel_round75_20260613_1450/sub-fp16-redesc-r75/ex223/official_eval/ex223_r75_sparse_low14_hi5_manual15_14_directspecial_abc_g_aig,student/runs/fp16/frontend_source_parallel_round75_20260613_1450/sub-fp16-redesc-r75/ex223/official_eval/ex223_r75_sparse_low14_hi5_manual15_14_directspecial_abc_g_aig/ex223_r75_sparse_low14_hi5_manual15_14_directspecial_abc_g_aig.evaluate.py.log,1.374,student/frontend_campaigns/campaigns/frontend_source_parallel_round75_20260613_1450/agent_shards/sub-fp16-redesc-r75/evaluation_results.csv,fp16,ex223|fp16_log_sparse_residual_minimality_recheck|sparse_low14_hi5_residual_defaults_with_manual_sign_and_bit14|direct_special_class_shell_plus_manual_high-bit_thresholds_and_sparse_residual_defaults|yosys_abc_g_aig|abc_xf_official_evaluate|r75_sparse_low14_hi5_manual15_14_directspecial,,,,
ex225,ex225_r75_sparse_low14_hi5_directspecial_abc_g_aig,OK,1,11537,19,219203,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp16-redesc-r75/ex225/verilog/ex225_r75_sparse_low14_hi5_directspecial.v,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp16-redesc-r75/ex225/aigs/ex225_r75_sparse_low14_hi5_directspecial_abc_g_aig.aig,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp16-redesc-r75/ex225/logs/ex225_r75_sparse_low14_hi5_directspecial_abc_g_aig.yosys.log,sub-fp16-redesc-r75,official evaluate.py equivalent,OK,student/runs/fp16/frontend_source_parallel_round75_20260613_1450/sub-fp16-redesc-r75/ex225/official_eval/ex225_r75_sparse_low14_hi5_directspecial_abc_g_aig,student/runs/fp16/frontend_source_parallel_round75_20260613_1450/sub-fp16-redesc-r75/ex225/official_eval/ex225_r75_sparse_low14_hi5_directspecial_abc_g_aig/ex225_r75_sparse_low14_hi5_directspecial_abc_g_aig.evaluate.py.log,1.394,student/frontend_campaigns/campaigns/frontend_source_parallel_round75_20260613_1450/agent_shards/sub-fp16-redesc-r75/evaluation_results.csv,fp16,ex225|fp16_log10_sparse_residual_minimality_recheck|sparse_low14_hi5_residual_defaults_with_run_high_bits|direct_special_class_shell_plus_high-bit_run_trees_and_sparse_residual_defaults|yosys_abc_g_aig|abc_xf_official_evaluate|r75_sparse_low14_hi5_directspecial,,,,
ex225,ex225_r75_sparse_low14_hi5_manual15_directspecial_abc_g_aig,OK,1,11525,19,218975,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp16-redesc-r75/ex225/verilog/ex225_r75_sparse_low14_hi5_manual15_directspecial.v,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp16-redesc-r75/ex225/aigs/ex225_r75_sparse_low14_hi5_manual15_directspecial_abc_g_aig.aig,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp16-redesc-r75/ex225/logs/ex225_r75_sparse_low14_hi5_manual15_directspecial_abc_g_aig.yosys.log,sub-fp16-redesc-r75,official evaluate.py equivalent,OK,student/runs/fp16/frontend_source_parallel_round75_20260613_1450/sub-fp16-redesc-r75/ex225/official_eval/ex225_r75_sparse_low14_hi5_manual15_directspecial_abc_g_aig,student/runs/fp16/frontend_source_parallel_round75_20260613_1450/sub-fp16-redesc-r75/ex225/official_eval/ex225_r75_sparse_low14_hi5_manual15_directspecial_abc_g_aig/ex225_r75_sparse_low14_hi5_manual15_directspecial_abc_g_aig.evaluate.py.log,1.348,student/frontend_campaigns/campaigns/frontend_source_parallel_round75_20260613_1450/agent_shards/sub-fp16-redesc-r75/evaluation_results.csv,fp16,ex225|fp16_log10_sparse_residual_minimality_recheck|sparse_low14_hi5_residual_defaults_with_manual_sign_only|direct_special_class_shell_plus_manual_sign_predicate_and_sparse_residual_defaults|yosys_abc_g_aig|abc_xf_official_evaluate|r75_sparse_low14_hi5_manual15_directspecial,,,,
ex225,ex225_r75_sparse_low14_hi5_manual15_14_directspecial_abc_g_aig,OK,1,11572,20,231440,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp16-redesc-r75/ex225/verilog/ex225_r75_sparse_low14_hi5_manual15_14_directspecial.v,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp16-redesc-r75/ex225/aigs/ex225_r75_sparse_low14_hi5_manual15_14_directspecial_abc_g_aig.aig,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp16-redesc-r75/ex225/logs/ex225_r75_sparse_low14_hi5_manual15_14_directspecial_abc_g_aig.yosys.log,sub-fp16-redesc-r75,official evaluate.py equivalent,OK,student/runs/fp16/frontend_source_parallel_round75_20260613_1450/sub-fp16-redesc-r75/ex225/official_eval/ex225_r75_sparse_low14_hi5_manual15_14_directspecial_abc_g_aig,student/runs/fp16/frontend_source_parallel_round75_20260613_1450/sub-fp16-redesc-r75/ex225/official_eval/ex225_r75_sparse_low14_hi5_manual15_14_directspecial_abc_g_aig/ex225_r75_sparse_low14_hi5_manual15_14_directspecial_abc_g_aig.evaluate.py.log,1.350,student/frontend_campaigns/campaigns/frontend_source_parallel_round75_20260613_1450/agent_shards/sub-fp16-redesc-r75/evaluation_results.csv,fp16,ex225|fp16_log10_sparse_residual_minimality_recheck|sparse_low14_hi5_residual_defaults_with_manual_sign_and_bit14|direct_special_class_shell_plus_manual_high-bit_thresholds_and_sparse_residual_defaults|yosys_abc_g_aig|abc_xf_official_evaluate|r75_sparse_low14_hi5_manual15_14_directspecial,,,,
ex225,ex225_r75_nested_low12_hi5_directspecial_abc_g_aig,OK,1,11531,19,219089,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp16-redesc-r75/ex225/verilog/ex225_r75_nested_low12_hi5_directspecial.v,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp16-redesc-r75/ex225/aigs/ex225_r75_nested_low12_hi5_directspecial_abc_g_aig.aig,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp16-redesc-r75/ex225/logs/ex225_r75_nested_low12_hi5_directspecial_abc_g_aig.yosys.log,sub-fp16-redesc-r75,official evaluate.py equivalent,OK,student/runs/fp16/frontend_source_parallel_round75_20260613_1450/sub-fp16-redesc-r75/ex225/official_eval/ex225_r75_nested_low12_hi5_directspecial_abc_g_aig,student/runs/fp16/frontend_source_parallel_round75_20260613_1450/sub-fp16-redesc-r75/ex225/official_eval/ex225_r75_nested_low12_hi5_directspecial_abc_g_aig/ex225_r75_nested_low12_hi5_directspecial_abc_g_aig.evaluate.py.log,1.364,student/frontend_campaigns/campaigns/frontend_source_parallel_round75_20260613_1450/agent_shards/sub-fp16-redesc-r75/evaluation_results.csv,fp16,ex225|fp16_log10_special_nested_minimality_recheck|low12_hi5_nested_lut_with_run_high_bits|direct_special_class_shell_plus_high-bit_run_trees_and_nested_low_table|yosys_abc_g_aig|abc_xf_official_evaluate|r75_nested_low12_hi5_directspecial,,,,
ex225,ex225_r75_nested_low12_hi5_manual15_directspecial_abc_g_aig,OK,1,11540,19,219260,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp16-redesc-r75/ex225/verilog/ex225_r75_nested_low12_hi5_manual15_directspecial.v,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp16-redesc-r75/ex225/aigs/ex225_r75_nested_low12_hi5_manual15_directspecial_abc_g_aig.aig,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp16-redesc-r75/ex225/logs/ex225_r75_nested_low12_hi5_manual15_directspecial_abc_g_aig.yosys.log,sub-fp16-redesc-r75,official evaluate.py equivalent,OK,student/runs/fp16/frontend_source_parallel_round75_20260613_1450/sub-fp16-redesc-r75/ex225/official_eval/ex225_r75_nested_low12_hi5_manual15_directspecial_abc_g_aig,student/runs/fp16/frontend_source_parallel_round75_20260613_1450/sub-fp16-redesc-r75/ex225/official_eval/ex225_r75_nested_low12_hi5_manual15_directspecial_abc_g_aig/ex225_r75_nested_low12_hi5_manual15_directspecial_abc_g_aig.evaluate.py.log,1.385,student/frontend_campaigns/campaigns/frontend_source_parallel_round75_20260613_1450/agent_shards/sub-fp16-redesc-r75/evaluation_results.csv,fp16,ex225|fp16_log10_special_nested_minimality_recheck|low12_hi5_nested_lut_with_manual_sign_only|direct_special_class_shell_plus_manual_sign_predicate_and_nested_low_table|yosys_abc_g_aig|abc_xf_official_evaluate|r75_nested_low12_hi5_manual15_directspecial,,,,
ex225,ex225_r75_nested_low13_hi5_manual15_14_13_directspecial_abc_g_aig,OK,1,11553,19,219507,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp16-redesc-r75/ex225/verilog/ex225_r75_nested_low13_hi5_manual15_14_13_directspecial.v,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp16-redesc-r75/ex225/aigs/ex225_r75_nested_low13_hi5_manual15_14_13_directspecial_abc_g_aig.aig,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp16-redesc-r75/ex225/logs/ex225_r75_nested_low13_hi5_manual15_14_13_directspecial_abc_g_aig.yosys.log,sub-fp16-redesc-r75,official evaluate.py equivalent,OK,student/runs/fp16/frontend_source_parallel_round75_20260613_1450/sub-fp16-redesc-r75/ex225/official_eval/ex225_r75_nested_low13_hi5_manual15_14_13_directspecial_abc_g_aig,student/runs/fp16/frontend_source_parallel_round75_20260613_1450/sub-fp16-redesc-r75/ex225/official_eval/ex225_r75_nested_low13_hi5_manual15_14_13_directspecial_abc_g_aig/ex225_r75_nested_low13_hi5_manual15_14_13_directspecial_abc_g_aig.evaluate.py.log,1.367,student/frontend_campaigns/campaigns/frontend_source_parallel_round75_20260613_1450/agent_shards/sub-fp16-redesc-r75/evaluation_results.csv,fp16,ex225|fp16_log10_special_nested_minimality_recheck|low13_hi5_nested_lut_with_manual_bits15_14_13|direct_special_class_shell_plus_manual_high-bit_thresholds_and_nested_low_table|yosys_abc_g_aig|abc_xf_official_evaluate|r75_nested_low13_hi5_manual15_14_13_directspecial,,,,
ex240,ex240_ex240_r75_final_packed_mux_repo_yosys,OK,1,645,45,29025,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp8-addhypot-redesc-r75/ex240/verilog/ex240_r75_final_packed_mux.v,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp8-addhypot-redesc-r75/ex240/aigs/ex240_ex240_r75_final_packed_mux_repo_yosys.aig,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp8-addhypot-redesc-r75/ex240/logs/ex240_ex240_r75_final_packed_mux_repo_yosys.yosys.log,sub-fp8-addhypot-redesc-r75,official evaluate.py OK; eval_sec=0.867; total_sec=1.404,OK,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp8-addhypot-redesc-r75/ex240/eval/ex240_ex240_r75_final_packed_mux_repo_yosys,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp8-addhypot-redesc-r75/ex240/logs/ex240_ex240_r75_final_packed_mux_repo_yosys.evaluate.py.log,1.404,agent_shards/sub-fp8-addhypot-redesc-r75/evaluation_results.csv,float_fp8,ex240|E4M3FN packed add high byte plus low byte|ex240_r75_final_packed_mux|replace_helper_final_sign_mag_selectors_and_split_assigns_with_one_packed_output_mux|repo_yosys_frontend_default|official_evaluate|full_word,,,,
ex240,ex240_ex240_r75_diff_gapcase_final_mux_repo_yosys,OK,1,684,42,28728,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp8-addhypot-redesc-r75/ex240/verilog/ex240_r75_diff_gapcase_final_mux.v,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp8-addhypot-redesc-r75/ex240/aigs/ex240_ex240_r75_diff_gapcase_final_mux_repo_yosys.aig,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp8-addhypot-redesc-r75/ex240/logs/ex240_ex240_r75_diff_gapcase_final_mux_repo_yosys.yosys.log,sub-fp8-addhypot-redesc-r75,official evaluate.py OK; eval_sec=0.870; total_sec=1.439,OK,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp8-addhypot-redesc-r75/ex240/eval/ex240_ex240_r75_diff_gapcase_final_mux_repo_yosys,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp8-addhypot-redesc-r75/ex240/logs/ex240_ex240_r75_diff_gapcase_final_mux_repo_yosys.evaluate.py.log,1.439,agent_shards/sub-fp8-addhypot-redesc-r75/evaluation_results.csv,float_fp8,ex240|E4M3FN packed add high byte plus low byte|ex240_r75_diff_gapcase_final_mux|case_decode_diff_alignment_action_plus_packed_final_sign_mag_mux|repo_yosys_frontend_default|official_evaluate|full_word,,,,
