case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex266,ex266_udiv_cof_bhi3_a_hi1_wordmux_abc_g_aig,unsigned lowN_highN:a/b dbz=max,udiv_cof_bhi3_a_hi1_wordmux+abc_g_aig,student/work/ex266_ex267_ex276_frontend_highgap_struct_20260609_1732/ex266/verilog/ex266_udiv_cof_bhi3_a_hi1_wordmux.v,student/work/ex266_ex267_ex276_frontend_highgap_struct_20260609_1732/ex266/aigs/ex266_udiv_cof_bhi3_a_hi1_wordmux_abc_g_aig.aig,1,1,1,157,11,1727,848,2.036557,0,0,0.262,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=udiv_cof_bhi3_a_hi1_wordmux; flow=abc_g_aig
ex266,ex266_udiv_cof_bhi3_a_hi1_wordmux_wreduce_abc_g_aig,unsigned lowN_highN:a/b dbz=max,udiv_cof_bhi3_a_hi1_wordmux+wreduce_abc_g_aig,student/work/ex266_ex267_ex276_frontend_highgap_struct_20260609_1732/ex266/verilog/ex266_udiv_cof_bhi3_a_hi1_wordmux.v,student/work/ex266_ex267_ex276_frontend_highgap_struct_20260609_1732/ex266/aigs/ex266_udiv_cof_bhi3_a_hi1_wordmux_wreduce_abc_g_aig.aig,1,1,1,157,11,1727,848,2.036557,0,0,0.268,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=udiv_cof_bhi3_a_hi1_wordmux; flow=wreduce_abc_g_aig
ex266,ex266_udiv_cof_bhi3_a_hi1_wordmux_synth_preset,unsigned lowN_highN:a/b dbz=max,udiv_cof_bhi3_a_hi1_wordmux+synth_preset,student/work/ex266_ex267_ex276_frontend_highgap_struct_20260609_1732/ex266/verilog/ex266_udiv_cof_bhi3_a_hi1_wordmux.v,student/work/ex266_ex267_ex276_frontend_highgap_struct_20260609_1732/ex266/aigs/ex266_udiv_cof_bhi3_a_hi1_wordmux_synth_preset.aig,1,1,1,147,11,1617,848,1.906840,0,0,0.327,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=udiv_cof_bhi3_a_hi1_wordmux; flow=synth_preset
ex266,ex266_udiv_cof_bhi2_a_hi2_wordmux_abc_g_aig,unsigned lowN_highN:a/b dbz=max,udiv_cof_bhi2_a_hi2_wordmux+abc_g_aig,student/work/ex266_ex267_ex276_frontend_highgap_struct_20260609_1732/ex266/verilog/ex266_udiv_cof_bhi2_a_hi2_wordmux.v,student/work/ex266_ex267_ex276_frontend_highgap_struct_20260609_1732/ex266/aigs/ex266_udiv_cof_bhi2_a_hi2_wordmux_abc_g_aig.aig,1,1,1,158,11,1738,848,2.049528,0,0,0.273,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=udiv_cof_bhi2_a_hi2_wordmux; flow=abc_g_aig
ex266,ex266_udiv_cof_bhi2_a_hi2_wordmux_wreduce_abc_g_aig,unsigned lowN_highN:a/b dbz=max,udiv_cof_bhi2_a_hi2_wordmux+wreduce_abc_g_aig,student/work/ex266_ex267_ex276_frontend_highgap_struct_20260609_1732/ex266/verilog/ex266_udiv_cof_bhi2_a_hi2_wordmux.v,student/work/ex266_ex267_ex276_frontend_highgap_struct_20260609_1732/ex266/aigs/ex266_udiv_cof_bhi2_a_hi2_wordmux_wreduce_abc_g_aig.aig,1,1,1,158,11,1738,848,2.049528,0,0,0.268,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=udiv_cof_bhi2_a_hi2_wordmux; flow=wreduce_abc_g_aig
ex266,ex266_udiv_cof_bhi2_a_hi2_wordmux_synth_preset,unsigned lowN_highN:a/b dbz=max,udiv_cof_bhi2_a_hi2_wordmux+synth_preset,student/work/ex266_ex267_ex276_frontend_highgap_struct_20260609_1732/ex266/verilog/ex266_udiv_cof_bhi2_a_hi2_wordmux.v,student/work/ex266_ex267_ex276_frontend_highgap_struct_20260609_1732/ex266/aigs/ex266_udiv_cof_bhi2_a_hi2_wordmux_synth_preset.aig,1,1,1,153,10,1530,848,1.804245,0,0,0.361,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=udiv_cof_bhi2_a_hi2_wordmux; flow=synth_preset
ex266,ex266_udiv_cof_bhi3_a_hi2_wordmux_abc_g_aig,unsigned lowN_highN:a/b dbz=max,udiv_cof_bhi3_a_hi2_wordmux+abc_g_aig,student/work/ex266_ex267_ex276_frontend_highgap_struct_20260609_1732/ex266/verilog/ex266_udiv_cof_bhi3_a_hi2_wordmux.v,student/work/ex266_ex267_ex276_frontend_highgap_struct_20260609_1732/ex266/aigs/ex266_udiv_cof_bhi3_a_hi2_wordmux_abc_g_aig.aig,1,1,1,166,10,1660,848,1.957547,0,0,0.266,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=udiv_cof_bhi3_a_hi2_wordmux; flow=abc_g_aig
ex266,ex266_udiv_cof_bhi3_a_hi2_wordmux_wreduce_abc_g_aig,unsigned lowN_highN:a/b dbz=max,udiv_cof_bhi3_a_hi2_wordmux+wreduce_abc_g_aig,student/work/ex266_ex267_ex276_frontend_highgap_struct_20260609_1732/ex266/verilog/ex266_udiv_cof_bhi3_a_hi2_wordmux.v,student/work/ex266_ex267_ex276_frontend_highgap_struct_20260609_1732/ex266/aigs/ex266_udiv_cof_bhi3_a_hi2_wordmux_wreduce_abc_g_aig.aig,1,1,1,166,10,1660,848,1.957547,0,0,0.302,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=udiv_cof_bhi3_a_hi2_wordmux; flow=wreduce_abc_g_aig
ex266,ex266_udiv_cof_bhi3_a_hi2_wordmux_synth_preset,unsigned lowN_highN:a/b dbz=max,udiv_cof_bhi3_a_hi2_wordmux+synth_preset,student/work/ex266_ex267_ex276_frontend_highgap_struct_20260609_1732/ex266/verilog/ex266_udiv_cof_bhi3_a_hi2_wordmux.v,student/work/ex266_ex267_ex276_frontend_highgap_struct_20260609_1732/ex266/aigs/ex266_udiv_cof_bhi3_a_hi2_wordmux_synth_preset.aig,1,1,1,163,10,1630,848,1.922170,0,0,0.394,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=udiv_cof_bhi3_a_hi2_wordmux; flow=synth_preset
ex266,ex266_udiv_cof_bhi2_blo1_a_hi1_wordmux_abc_g_aig,unsigned lowN_highN:a/b dbz=max,udiv_cof_bhi2_blo1_a_hi1_wordmux+abc_g_aig,student/work/ex266_ex267_ex276_frontend_highgap_struct_20260609_1732/ex266/verilog/ex266_udiv_cof_bhi2_blo1_a_hi1_wordmux.v,student/work/ex266_ex267_ex276_frontend_highgap_struct_20260609_1732/ex266/aigs/ex266_udiv_cof_bhi2_blo1_a_hi1_wordmux_abc_g_aig.aig,1,1,1,182,12,2184,848,2.575472,0,0,0.298,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=udiv_cof_bhi2_blo1_a_hi1_wordmux; flow=abc_g_aig
ex266,ex266_udiv_cof_bhi2_blo1_a_hi1_wordmux_wreduce_abc_g_aig,unsigned lowN_highN:a/b dbz=max,udiv_cof_bhi2_blo1_a_hi1_wordmux+wreduce_abc_g_aig,student/work/ex266_ex267_ex276_frontend_highgap_struct_20260609_1732/ex266/verilog/ex266_udiv_cof_bhi2_blo1_a_hi1_wordmux.v,student/work/ex266_ex267_ex276_frontend_highgap_struct_20260609_1732/ex266/aigs/ex266_udiv_cof_bhi2_blo1_a_hi1_wordmux_wreduce_abc_g_aig.aig,1,1,1,182,12,2184,848,2.575472,0,0,0.277,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=udiv_cof_bhi2_blo1_a_hi1_wordmux; flow=wreduce_abc_g_aig
