round,run_id,agent_id,case,candidate_id,equivalent,area,delay,adp,verilog_path,aig_path,evaluate_log,status,notes,shard_csv,method_signature
85,frontend_hybrid_parallel_round85_20260613_2139,sub-fp16-int-hybrid-r85,ex223,ex223_r85_output_group_residual_abc_g_aig,1,10713,19,203547,student/work/frontend_hybrid_parallel_round85_20260613_2139/sub-fp16-int-hybrid-r85/ex223/verilog/ex223_r85_output_group_residual.v,student/work/frontend_hybrid_parallel_round85_20260613_2139/sub-fp16-int-hybrid-r85/ex223/aigs/ex223_r85_output_group_residual_abc_g_aig.aig,student/runs/fp16/frontend_hybrid_parallel_round85_20260613_2139/sub-fp16-int-hybrid-r85/ex223/official_eval/ex223_r85_output_group_residual_abc_g_aig/ex223_r85_output_group_residual_abc_g_aig.evaluate.py.log,OK,official evaluate.py row; official_aig=student/runs/fp16/frontend_hybrid_parallel_round85_20260613_2139/sub-fp16-int-hybrid-r85/ex223/official_eval/ex223_r85_output_group_residual_abc_g_aig/output/ex223.aig,student/frontend_campaigns/campaigns/frontend_hybrid_parallel_round85_20260613_2139/agent_shards/sub-fp16-int-hybrid-r85/evaluation_results.csv,
85,frontend_hybrid_parallel_round85_20260613_2139,sub-fp16-int-hybrid-r85,ex225,ex225_r85_output_group_residual_abc_g_aig,1,11616,19,220704,student/work/frontend_hybrid_parallel_round85_20260613_2139/sub-fp16-int-hybrid-r85/ex225/verilog/ex225_r85_output_group_residual.v,student/work/frontend_hybrid_parallel_round85_20260613_2139/sub-fp16-int-hybrid-r85/ex225/aigs/ex225_r85_output_group_residual_abc_g_aig.aig,student/runs/fp16/frontend_hybrid_parallel_round85_20260613_2139/sub-fp16-int-hybrid-r85/ex225/official_eval/ex225_r85_output_group_residual_abc_g_aig/ex225_r85_output_group_residual_abc_g_aig.evaluate.py.log,OK,official evaluate.py row; official_aig=student/runs/fp16/frontend_hybrid_parallel_round85_20260613_2139/sub-fp16-int-hybrid-r85/ex225/official_eval/ex225_r85_output_group_residual_abc_g_aig/output/ex225.aig,student/frontend_campaigns/campaigns/frontend_hybrid_parallel_round85_20260613_2139/agent_shards/sub-fp16-int-hybrid-r85/evaluation_results.csv,
85,frontend_hybrid_parallel_round85_20260613_2139,sub-fp16-int-hybrid-r85,ex260,ex260_r85_output_cluster_hybrid_abc_g_aig,1,125,12,1500,student/work/frontend_hybrid_parallel_round85_20260613_2139/sub-fp16-int-hybrid-r85/ex260/verilog/ex260_r85_output_cluster_hybrid.v,student/work/frontend_hybrid_parallel_round85_20260613_2139/sub-fp16-int-hybrid-r85/ex260/aigs/ex260_r85_output_cluster_hybrid_abc_g_aig.aig,student/runs/integer/frontend_hybrid_parallel_round85_20260613_2139/sub-fp16-int-hybrid-r85/ex260/official_eval/ex260_r85_output_cluster_hybrid_abc_g_aig/ex260_r85_output_cluster_hybrid_abc_g_aig.evaluate.py.log,OK,official evaluate.py row; official_aig=student/runs/integer/frontend_hybrid_parallel_round85_20260613_2139/sub-fp16-int-hybrid-r85/ex260/official_eval/ex260_r85_output_cluster_hybrid_abc_g_aig/output/ex260.aig,student/frontend_campaigns/campaigns/frontend_hybrid_parallel_round85_20260613_2139/agent_shards/sub-fp16-int-hybrid-r85/evaluation_results.csv,
85,frontend_hybrid_parallel_round85_20260613_2139,sub-fp16-int-hybrid-r85,ex266,ex266_r85_quotient_cluster_hybrid_abc_g_aig,1,156,12,1872,student/work/frontend_hybrid_parallel_round85_20260613_2139/sub-fp16-int-hybrid-r85/ex266/verilog/ex266_r85_quotient_cluster_hybrid.v,student/work/frontend_hybrid_parallel_round85_20260613_2139/sub-fp16-int-hybrid-r85/ex266/aigs/ex266_r85_quotient_cluster_hybrid_abc_g_aig.aig,student/runs/integer/frontend_hybrid_parallel_round85_20260613_2139/sub-fp16-int-hybrid-r85/ex266/official_eval/ex266_r85_quotient_cluster_hybrid_abc_g_aig/ex266_r85_quotient_cluster_hybrid_abc_g_aig.evaluate.py.log,OK,official evaluate.py row; official_aig=student/runs/integer/frontend_hybrid_parallel_round85_20260613_2139/sub-fp16-int-hybrid-r85/ex266/official_eval/ex266_r85_quotient_cluster_hybrid_abc_g_aig/output/ex266.aig,student/frontend_campaigns/campaigns/frontend_hybrid_parallel_round85_20260613_2139/agent_shards/sub-fp16-int-hybrid-r85/evaluation_results.csv,
round85,frontend_hybrid_parallel_round85_20260613_2139,sub-fp8-top-hybrid-r85,ex247,ex247_r85_lowpat_boolean,1,368,25,9200,student/work/frontend_hybrid_parallel_round85_20260613_2139/sub-fp8-top-hybrid-r85/ex247/verilog/ex247_r85_lowpat_boolean.v,student/work/frontend_hybrid_parallel_round85_20260613_2139/sub-fp8-top-hybrid-r85/ex247/aigs/ex247_r85_lowpat_boolean.aig,student/work/frontend_hybrid_parallel_round85_20260613_2139/sub-fp8-top-hybrid-r85/ex247/logs/ex247_r85_lowpat_boolean.evaluate.py.log,OK,official evaluate.py OK; synth_eval_sec=0.803; eval_sec=0.503,student/frontend_campaigns/campaigns/frontend_hybrid_parallel_round85_20260613_2139/agent_shards/sub-fp8-top-hybrid-r85/evaluation_results.csv,
round85,frontend_hybrid_parallel_round85_20260613_2139,sub-fp8-top-hybrid-r85,ex246,ex246_r85_mant_residual_sop,1,397,24,9528,student/work/frontend_hybrid_parallel_round85_20260613_2139/sub-fp8-top-hybrid-r85/ex246/verilog/ex246_r85_mant_residual_sop.v,student/work/frontend_hybrid_parallel_round85_20260613_2139/sub-fp8-top-hybrid-r85/ex246/aigs/ex246_r85_mant_residual_sop.aig,student/work/frontend_hybrid_parallel_round85_20260613_2139/sub-fp8-top-hybrid-r85/ex246/logs/ex246_r85_mant_residual_sop.evaluate.py.log,OK,official evaluate.py OK; synth_eval_sec=0.994; eval_sec=0.456,student/frontend_campaigns/campaigns/frontend_hybrid_parallel_round85_20260613_2139/agent_shards/sub-fp8-top-hybrid-r85/evaluation_results.csv,
round85,frontend_hybrid_parallel_round85_20260613_2139,sub-fp8-top-hybrid-r85,ex244,ex244_r85_delta_residual_sop,1,472,41,19352,student/work/frontend_hybrid_parallel_round85_20260613_2139/sub-fp8-top-hybrid-r85/ex244/verilog/ex244_r85_delta_residual_sop.v,student/work/frontend_hybrid_parallel_round85_20260613_2139/sub-fp8-top-hybrid-r85/ex244/aigs/ex244_r85_delta_residual_sop.aig,student/work/frontend_hybrid_parallel_round85_20260613_2139/sub-fp8-top-hybrid-r85/ex244/logs/ex244_r85_delta_residual_sop.evaluate.py.log,OK,official evaluate.py OK; synth_eval_sec=0.887; eval_sec=0.489,student/frontend_campaigns/campaigns/frontend_hybrid_parallel_round85_20260613_2139/agent_shards/sub-fp8-top-hybrid-r85/evaluation_results.csv,
round85,frontend_hybrid_parallel_round85_20260613_2139,sub-fp8-wide-hybrid-r85,ex249,ex249_r85_minimized_delta_predicates,1,202,34,6868,student/work/frontend_hybrid_parallel_round85_20260613_2139/sub-fp8-wide-hybrid-r85/ex249/verilog/ex249_r85_minimized_delta_predicates.v,student/work/frontend_hybrid_parallel_round85_20260613_2139/sub-fp8-wide-hybrid-r85/ex249/aigs/ex249_r85_minimized_delta_predicates.aig,student/runs/float_fp8/frontend_hybrid_parallel_round85_20260613_2139/sub-fp8-wide-hybrid-r85/ex249/official_eval/ex249_r85_minimized_delta_predicates/ex249_r85_minimized_delta_predicates.evaluate.py.log,OK,evaluate.py exit=0,student/frontend_campaigns/campaigns/frontend_hybrid_parallel_round85_20260613_2139/agent_shards/sub-fp8-wide-hybrid-r85/evaluation_results.csv,
round85,frontend_hybrid_parallel_round85_20260613_2139,sub-fp8-wide-hybrid-r85,ex241,ex241_r85_product_output_cluster,1,555,30,16650,student/work/frontend_hybrid_parallel_round85_20260613_2139/sub-fp8-wide-hybrid-r85/ex241/verilog/ex241_r85_product_output_cluster.v,student/work/frontend_hybrid_parallel_round85_20260613_2139/sub-fp8-wide-hybrid-r85/ex241/aigs/ex241_r85_product_output_cluster.aig,student/runs/float_fp8/frontend_hybrid_parallel_round85_20260613_2139/sub-fp8-wide-hybrid-r85/ex241/official_eval/ex241_r85_product_output_cluster/ex241_r85_product_output_cluster.evaluate.py.log,OK,evaluate.py exit=0,student/frontend_campaigns/campaigns/frontend_hybrid_parallel_round85_20260613_2139/agent_shards/sub-fp8-wide-hybrid-r85/evaluation_results.csv,
round85,frontend_hybrid_parallel_round85_20260613_2139,sub-fp8-wide-hybrid-r85,ex240,ex240_r85_cancel_predicate_patch,1,650,46,29900,student/work/frontend_hybrid_parallel_round85_20260613_2139/sub-fp8-wide-hybrid-r85/ex240/verilog/ex240_r85_cancel_predicate_patch.v,student/work/frontend_hybrid_parallel_round85_20260613_2139/sub-fp8-wide-hybrid-r85/ex240/aigs/ex240_r85_cancel_predicate_patch.aig,student/runs/float_fp8/frontend_hybrid_parallel_round85_20260613_2139/sub-fp8-wide-hybrid-r85/ex240/official_eval/ex240_r85_cancel_predicate_patch/ex240_r85_cancel_predicate_patch.evaluate.py.log,OK,evaluate.py exit=0,student/frontend_campaigns/campaigns/frontend_hybrid_parallel_round85_20260613_2139/agent_shards/sub-fp8-wide-hybrid-r85/evaluation_results.csv,
